日付,曜日,特定日,856番台,,,,,,,,857番台,,,,,,,,858番台,,,,,,,,860番台,,,,,,,,861番台,,,,,,,,862番台,,,,,,,,863番台,,,,,,,,865番台,,,,,,,,866番台,,,,,,,,867番台,,,,,,,,868番台,,,,,,,,870番台,,,,,,,
,,,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差
2026-06-11,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-197,"1,920",6,5,1/175,3.04,57,2.0,-461,"1,778",5,4,1/198,2.88,62,1.0,-457,"1,262",5,0,1/252,2.54,65,3.0,+250,"3,613",15,12,1/134,3.61,47,12.0,-272,771,2,1,1/257,3.02,58,1.0,-372,"1,198",3,2,1/240,2.87,35,-,-404,523,1,0,1/523,2.97,61,3.0,-967,"3,951",9,13,1/180,2.93,55,1.0,-166,"3,594",12,13,1/144,3.56,54,3.0,-182,"2,732",10,7,1/161,2.98,51,4.0
2026-06-10,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-218,601,2,0,1/301,2.98,56,5.0,"-1,127","1,970",3,4,1/281,2.53,57,1.0,-734,"2,225",5,6,1/202,2.85,61,2.0,-67,"2,324",9,5,1/166,2.88,57,1.0,-646,598,0,1,1/598,3.03,47,4.0,"+1,930","7,257",34,26,1/121,4.38,18,-,-184,158,0,0,-,3.31,51,3.0,-299,"3,898",12,13,1/156,3.24,48,1.0,-406,"1,151",3,3,1/192,3.16,59,2.0,-583,"3,583",11,11,1/163,3.05,43,25.0
2026-06-09,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-697,"1,824",4,3,1/261,2.54,7,3.0,-162,"2,906",10,7,1/171,2.80,33,8.0,-220,"1,407",5,2,1/201,2.83,39,4.0,-860,"3,125",7,11,1/174,3.17,55,9.0,-736,"5,805",17,21,1/153,3.39,0,-,-253,198,0,0,-,3.26,4,4.0,+54,"6,498",27,15,1/155,2.36,25,6.0,-566,884,2,2,1/221,3.13,46,7.0,-34,"1,905",7,4,1/173,2.92,35,2.0,+537,"6,871",31,17,1/143,2.69,19,12.0
2026-06-06,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,430","8,023",38,34,1/111,5.06,0,-,"+1,932","9,121",40,30,1/130,3.87,11,11.0,"+2,051","7,314",38,20,1/126,3.51,15,4.0,-361,"8,166",27,30,1/143,3.68,37,17.0,"+5,025","8,434",49,34,1/102,5.41,0,-,"+3,676","8,895",44,40,1/106,5.36,0,-,"+1,837","8,606",39,30,1/125,4.26,20,2.0,-330,"7,454",26,27,1/141,3.71,0,-,"+2,313","7,245",35,25,1/121,4.31,18,2.0,"+2,970","8,623",48,19,1/129,2.77,16,1.0
2026-06-05,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,543","4,928",25,15,1/123,3.80,39,1.0,-279,"1,576",6,4,1/158,3.20,52,4.0,+49,"2,454",11,5,1/153,2.92,38,38.0,-303,653,2,0,1/327,2.92,68,7.0,+60,"1,639",6,7,1/126,3.83,48,9.0,-564,"3,008",11,5,1/188,2.38,61,3.0,-218,753,2,1,1/251,3.05,73,5.0,"+2,309","8,600",34,44,1/110,5.26,0,-,-594,560,0,0,-,2.84,58,6.0,"-1,264","2,332",4,8,1/194,3.09,82,9.0
2026-06-04,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-832,"2,970",8,10,1/165,3.21,56,4.0,+492,"2,362",12,2,1/169,2.45,50,13.0,+695,"5,575",23,23,1/121,4.45,37,24.0,-966,934,0,1,1/934,2.67,62,6.0,+488,"4,676",19,20,1/120,4.43,52,2.0,-379,"1,302",5,0,1/260,2.51,70,4.0,"-1,386","2,483",5,7,1/207,2.81,82,12.0,-449,765,2,1,1/255,3.03,65,3.0,+69,"2,772",13,4,1/163,2.54,13,-,-900,"2,894",8,8,1/181,2.85,66,1.0
2026-06-03,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-245,"6,130",21,21,1/146,3.41,45,3.0,-340,243,0,0,-,3.20,48,3.0,-464,"1,604",4,4,1/201,2.98,58,6.0,-257,"4,216",12,15,1/156,3.33,42,42.0,-497,978,2,1,1/326,2.80,61,3.0,-759,"2,261",8,2,1/226,2.26,62,1.0,-945,"1,115",1,3,1/279,3.01,69,2.0,-608,"1,059",2,2,1/265,2.93,52,4.0,+515,"7,062",21,35,1/126,4.71,0,-,"-1,074","3,198",9,6,1/213,2.28,67,5.0
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-467,643,1,1,1/322,3.07,61,3.0,"+1,473","4,603",25,12,1/124,3.48,33,8.0,"-1,110","2,460",6,3,1/273,2.16,25,-,-572,"3,809",14,8,1/173,2.46,55,4.0,-46,"1,067",4,3,1/152,3.36,46,9.0,"-1,122","5,069",13,16,1/175,2.80,66,5.0,-280,244,0,0,-,3.20,51,5.0,"+1,492","5,540",26,17,1/129,3.65,37,4.0,-468,"1,371",4,4,1/171,3.24,55,4.0,-481,"4,100",13,16,1/141,3.74,58,3.0
2026-06-01,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-255,892,4,0,1/223,2.84,50,1.0,-439,"3,298",13,5,1/183,2.28,50,1.0,"+1,135","4,352",19,19,1/115,4.55,2,-,-161,139,0,0,-,3.33,7,5.0,"+1,011","5,929",26,20,1/129,3.86,31,24.0,-346,526,0,2,1/263,3.35,65,15.0,-123,"5,938",20,25,1/132,4.22,42,1.0,-350,"2,311",7,6,1/178,2.94,49,1.0,-323,"3,972",14,13,1/147,3.34,41,10.0,-422,918,3,1,1/230,2.95,48,6.0
2026-05-31,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+728,"5,673",24,17,1/138,3.31,43,2.0,"-1,390","2,276",5,3,1/285,2.24,52,1.0,-219,"1,376",5,4,1/153,3.33,55,1.0,"+2,215","8,184",37,31,1/120,4.59,0,-,+396,"2,436",12,5,1/143,3.04,51,8.0,"-1,335","2,230",5,4,1/248,2.45,59,4.0,-789,"3,411",10,8,1/190,2.53,60,1.0,-198,"3,707",13,12,1/148,3.31,54,2.0,"+1,280","4,440",23,12,1/127,3.47,35,35.0,+924,"7,532",30,27,1/132,3.97,41,6.0
