日付,曜日,特定日,1053番台,,,,,,,,1055番台,,,,,,,,1056番台,,,,,,,,1057番台,,,,,,,,1058番台,,,,,,,,1060番台,,,,,,,,1061番台,,,,,,,,1062番台,,,,,,,,1063番台,,,,,,,,1065番台,,,,,,,
,,,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差
2026-06-11,木,いいえ,-369,"2,453",9,4,1/189,2.60,47,32.0,-840,"1,099",1,2,1/366,2.86,63,2.0,-592,"1,647",4,4,1/206,3.03,61,6.0,-168,"1,217",5,2,1/174,3.05,55,1.0,"+1,359","7,840",34,20,1/145,2.96,15,3.0,+69,375,2,1,1/125,3.51,48,1.0,-126,"1,653",6,5,1/150,3.46,54,5.0,+976,"3,453",19,4,1/150,2.37,49,1.0,-339,"1,041",3,1,1/260,2.82,61,6.0,+0,"3,378",11,12,1/147,3.79,12,-
2026-06-10,水,いいえ,-498,"1,754",6,2,1/219,2.59,47,1.0,+131,"2,017",7,6,1/155,3.40,46,1.0,"-1,425","3,057",7,7,1/218,2.62,48,1.0,-428,"2,478",7,6,1/191,2.91,59,11.0,-490,652,1,1,1/326,3.08,45,6.0,+488,"2,060",9,6,1/137,3.53,34,34.0,+267,"3,409",16,8,1/142,3.13,39,5.0,-931,"1,561",4,1,1/312,2.42,65,6.0,-119,"1,639",6,2,1/205,2.69,48,1.0,"+1,137","6,384",25,25,1/128,4.69,0,-
2026-06-09,火,いいえ,-314,945,3,2,1/189,3.19,0,-,+605,"5,291",22,19,1/129,4.33,37,2.0,-239,"1,617",7,1,1/202,2.55,0,-,-629,"2,484",8,4,1/207,2.52,58,16.0,-309,807,2,1,1/269,2.99,0,-,+979,"5,454",24,18,1/130,4.10,0,-,+389,"3,781",15,13,1/135,3.94,42,1.0,-531,"1,683",4,5,1/187,3.25,41,4.0,+469,"4,704",22,8,1/157,2.36,35,35.0,"-2,369","3,485",5,4,1/387,1.84,62,4.0
2026-06-06,土,はい,"+3,303","8,331",41,35,1/110,5.52,0,-,-528,"5,044",19,8,1/187,2.05,50,7.0,"+3,861","8,705",46,32,1/112,5.32,0,-,"-2,092","6,571",20,9,1/227,1.64,43,14.0,"+4,241","9,134",47,37,1/109,5.57,0,-,"+2,526","7,710",37,30,1/115,5.20,0,-,"-1,685","5,327",14,15,1/184,2.84,51,1.0,"+2,143","8,155",42,16,1/141,2.38,13,13.0,+642,"7,954",33,20,1/150,2.82,27,14.0,-31,"7,561",30,19,1/154,2.76,29,2.0
2026-06-05,金,いいえ,-705,800,1,0,1/800,2.67,64,6.0,+85,"1,873",8,3,1/170,2.85,56,7.0,-582,987,2,1,1/329,2.80,57,1.0,+157,"3,131",12,11,1/136,3.89,31,24.0,-552,746,1,1,1/373,2.98,57,1.0,+472,"1,390",7,5,1/116,3.89,56,7.0,-85,"1,196",5,2,1/171,3.07,7,-,+336,"4,291",17,11,1/153,3.05,49,10.0,-187,325,1,0,1/325,3.18,58,1.0,+836,"3,743",18,9,1/139,3.19,39,8.0
2026-06-04,木,いいえ,-474,844,1,1,1/422,2.87,53,10.0,+213,"1,521",6,5,1/138,3.62,59,1.0,+0,469,2,0,1/235,3.10,43,1.0,"+1,014","5,030",24,13,1/136,3.32,33,14.0,+119,701,4,0,1/175,3.01,53,10.0,+170,827,4,2,1/138,3.43,42,9.0,"+2,167","7,051",32,29,1/116,5.21,0,-,-302,250,0,0,-,3.18,64,5.0,-441,"1,120",3,1,1/280,2.74,19,19.0,-225,"2,959",10,8,1/164,3.14,58,5.0
2026-06-03,水,はい,-391,"1,794",6,3,1/199,2.78,41,6.0,-324,953,3,1,1/238,2.91,65,5.0,"+1,563","4,990",23,18,1/122,4.50,35,2.0,+162,"1,475",6,3,1/164,3.12,50,9.0,-416,"1,330",4,3,1/190,3.11,59,2.0,+748,"5,490",26,13,1/141,3.00,33,13.0,-34,"1,444",5,5,1/144,3.62,57,7.0,-550,"1,352",4,2,1/225,2.83,60,1.0,+992,"5,454",21,25,1/119,5.11,0,-,-229,674,2,1,1/225,3.14,20,20.0
2026-06-02,火,いいえ,+354,"6,615",23,23,1/144,3.99,34,34.0,-698,908,1,1,1/454,2.81,52,2.0,-396,"2,075",7,4,1/189,2.82,55,2.0,+184,534,3,1,1/134,3.41,53,1.0,-611,"1,593",3,5,1/199,3.27,44,10.0,-301,"3,252",10,12,1/148,3.84,49,5.0,-340,"1,078",3,1,1/270,2.78,61,6.0,"-1,015","6,267",19,18,1/169,2.98,50,1.0,-139,"2,625",9,5,1/188,2.67,66,5.0,"+1,875","3,656",20,17,1/99,5.23,0,-
2026-06-01,月,いいえ,-300,816,2,2,1/204,3.26,59,7.0,"+1,684","5,852",28,19,1/125,4.25,37,5.0,+225,716,4,1,1/143,3.27,44,7.0,-735,"1,013",2,0,1/507,2.54,37,5.0,+851,"6,061",27,17,1/138,3.47,32,15.0,-630,"2,334",7,5,1/195,2.81,17,-,-846,"1,368",2,3,1/274,2.91,64,5.0,-86,"3,015",13,4,1/177,2.38,52,8.0,-310,"1,077",4,1,1/215,2.86,65,1.0,-208,"1,254",5,1,1/209,2.75,52,8.0
2026-05-31,日,いいえ,-760,"1,053",1,1,1/527,2.67,53,5.0,-881,"1,798",3,6,1/200,3.31,65,5.0,-112,"3,843",15,8,1/167,2.65,35,17.0,"+2,473","6,862",36,20,1/123,4.10,12,12.0,-301,"1,489",5,2,1/213,2.76,48,10.0,+991,"7,309",26,34,1/122,5.26,0,-,-208,999,3,3,1/167,3.41,18,6.0,"-1,196","2,990",6,9,1/199,3.06,55,2.0,"-1,340","2,303",5,3,1/288,2.31,60,5.0,-581,"3,483",12,6,1/194,2.37,38,3.0
2026-05-30,土,いいえ,-261,"5,076",17,15,1/159,3.24,44,4.0,-303,"1,666",5,4,1/185,3.09,51,7.0,"+1,537","5,733",29,11,1/143,2.54,27,1.0,-120,"1,604",7,0,1/229,2.35,55,4.0,+437,"3,024",14,8,1/137,3.39,40,1.0,-370,"2,195",9,2,1/200,2.40,61,6.0,"+2,334","4,654",24,21,1/103,5.31,0,-,+283,"3,837",15,11,1/148,3.36,39,2.0,+303,"7,768",29,23,1/149,3.36,37,10.0,"+3,064","4,981",33,13,1/108,4.22,26,26.0
2026-05-29,金,いいえ,-221,144,0,0,-,3.31,53,3.0,-254,"5,896",18,24,1/140,4.44,42,-,-208,"3,758",15,12,1/139,3.71,44,1.0,-221,220,0,0,-,3.22,50,6.0,-349,"3,553",12,8,1/178,2.71,59,5.0,-452,"1,162",3,2,1/232,2.95,54,1.0,-227,370,1,0,1/370,3.13,59,5.0,-67,"3,774",17,9,1/145,3.08,43,1.0,"-1,246","1,420",2,1,1/473,2.42,78,11.0,-748,"4,072",12,12,1/170,3.15,67,8.0
2026-05-28,木,いいえ,+31,"3,901",16,10,1/150,3.12,42,5.0,-343,"2,389",7,8,1/159,3.51,57,4.0,-41,"2,833",13,3,1/177,2.33,52,8.0,"+1,189","1,800",13,2,1/120,3.07,37,-,"-1,744","3,074",4,13,1/181,3.78,68,1.0,+815,"3,690",16,13,1/127,4.13,53,1.0,-80,"2,013",8,5,1/155,3.22,42,5.0,"+1,175","2,886",15,11,1/111,4.45,44,2.0,-960,"2,728",6,11,1/160,3.82,67,10.0,"-1,393","3,548",7,12,1/187,3.30,75,7.0
2026-05-27,水,いいえ,-75,"2,233",9,4,1/172,2.80,43,7.0,-371,"1,906",6,4,1/191,2.91,57,3.0,-510,"2,230",7,4,1/203,2.67,54,2.0,+63,"2,981",10,12,1/136,4.13,44,1.0,-488,870,2,1,1/290,2.92,52,8.0,-238,164,0,0,-,3.29,61,4.0,+801,"6,770",27,24,1/133,4.33,36,15.0,-617,616,0,2,1/308,3.31,21,-,-419,514,1,0,1/514,2.96,57,3.0,-756,"1,582",4,4,1/198,3.10,67,6.0
2026-05-26,火,はい,-697,"6,247",21,20,1/152,3.55,44,1.0,+189,"1,533",7,2,1/170,2.87,53,8.0,"-1,386","5,742",14,18,1/179,3.12,43,3.0,"+1,130","4,563",20,15,1/130,4.00,40,40.0,+641,"3,086",15,9,1/129,3.69,45,1.0,-543,"3,267",10,10,1/163,3.32,60,4.0,-363,421,0,1,1/421,3.26,54,1.0,"+1,889","5,514",25,25,1/110,5.29,0,-,-85,"4,217",16,9,1/169,2.61,43,3.0,-505,"1,983",7,3,1/198,2.67,56,2.0
2026-05-25,月,いいえ,-429,"2,661",9,6,1/177,2.87,54,2.0,-192,"1,786",6,5,1/162,3.31,49,2.0,+28,"2,713",8,12,1/136,4.25,49,2.0,-444,493,0,2,1/247,3.46,26,-,-163,455,2,0,1/228,3.12,38,12.0,-393,704,2,0,1/352,2.84,61,7.0,+820,"2,087",12,2,1/149,2.68,44,6.0,+25,"3,533",13,10,1/154,3.27,52,3.0,+368,"2,277",10,6,1/142,3.36,38,12.0,+571,"3,174",15,8,1/138,3.31,47,3.0
2026-05-24,日,いいえ,"-1,270","5,037",14,14,1/180,2.86,51,1.0,-101,"3,131",14,6,1/157,2.77,0,-,-472,"1,130",2,4,1/188,3.44,49,5.0,+289,"3,855",14,17,1/124,4.66,0,-,"+1,187","8,027",35,25,1/134,3.97,19,19.0,-344,"1,091",3,4,1/156,3.58,50,1.0,+38,"4,579",18,14,1/143,3.57,44,2.0,-369,"1,791",7,2,1/199,2.62,61,10.0,-225,"6,517",23,20,1/152,3.43,42,23.0,-441,"1,634",5,3,1/204,2.87,51,1.0
2026-05-23,土,はい,-592,"2,615",7,8,1/174,3.27,53,10.0,"+3,128","6,395",35,20,1/116,4.51,0,-,+0,379,1,1,1/190,3.41,4,4.0,"+1,544","6,931",30,23,1/131,4.21,36,22.0,-512,"1,043",2,2,1/261,3.00,57,4.0,+995,"5,798",25,20,1/129,4.28,43,2.0,"-1,018",984,0,1,1/984,2.66,14,10.0,-866,"3,006",9,7,1/188,2.78,53,10.0,"-1,353","2,810",5,9,1/201,3.16,61,4.0,-684,"6,511",20,20,1/163,3.25,41,5.0
2026-05-22,金,いいえ,-371,"2,744",9,5,1/196,2.57,51,5.0,-454,770,2,0,1/385,2.77,61,3.0,"+2,531","6,581",28,35,1/104,5.68,0,-,-708,798,1,1,1/399,2.92,63,2.0,+147,"1,428",6,2,1/179,2.90,46,3.0,+112,"1,099",4,3,1/157,3.38,58,7.0,"+3,767","5,568",33,25,1/96,5.61,0,-,"+1,228","2,471",16,4,1/124,3.11,43,43.0,-195,721,2,2,1/180,3.37,0,-,-218,"6,316",23,21,1/144,3.84,43,43.0
2026-05-21,木,いいえ,-254,"2,179",9,2,1/198,2.41,55,4.0,-720,"3,376",9,13,1/153,3.87,49,1.0,-450,"1,362",3,4,1/195,3.26,51,2.0,-255,664,2,2,1/166,3.44,40,40.0,+72,"4,360",16,14,1/145,3.64,42,1.0,+132,949,6,1,1/136,3.17,64,1.0,-131,635,2,1,1/212,3.19,63,8.0,-179,236,0,1,1/236,3.49,41,1.0,"+4,278","7,948",44,31,1/106,5.51,0,-,-33,405,2,0,1/203,3.18,48,6.0
2026-05-20,水,いいえ,-49,"1,314",6,2,1/164,3.03,51,6.0,"+1,862","3,100",21,5,1/119,3.09,45,14.0,-375,685,1,2,1/228,3.32,51,6.0,"+2,862","6,597",36,20,1/118,4.39,21,-,-178,"1,719",7,4,1/156,3.20,55,4.0,"-1,386","3,513",9,8,1/207,2.57,77,12.0,-384,884,2,2,1/221,3.18,65,6.0,"+2,712","4,562",27,10,1/123,3.30,22,1.0,+342,534,4,1,1/107,3.51,59,4.0,+323,"7,315",29,17,1/159,2.52,31,9.0
2026-05-19,火,いいえ,-366,"3,606",11,11,1/164,3.29,46,3.0,-558,"1,007",2,2,1/252,3.04,63,2.0,-393,"1,213",4,1,1/243,2.72,43,-,-689,"2,541",8,4,1/212,2.47,72,6.0,+40,"1,867",8,4,1/156,3.11,53,7.0,-814,"1,874",5,4,1/208,2.87,73,1.0,-770,"1,640",4,3,1/234,2.79,66,3.0,-122,"1,855",7,2,1/206,2.56,57,4.0,-521,423,0,0,-,2.98,59,2.0,-243,"1,984",5,8,1/153,3.80,61,2.0
2026-05-18,月,いいえ,+304,"1,372",7,2,1/152,3.04,44,37.0,+42,"2,099",9,4,1/161,2.94,56,10.0,+528,"2,959",14,8,1/135,3.47,7,-,-603,749,0,3,1/250,3.44,73,9.0,-830,"1,263",2,2,1/316,2.77,61,1.0,-558,"1,284",3,2,1/257,2.82,64,3.0,-14,"2,041",6,8,1/146,3.83,60,1.0,-64,"1,272",5,2,1/182,2.99,56,10.0,-5,"5,088",18,17,1/145,3.77,46,2.0,-190,625,2,1,1/208,3.20,59,3.0
2026-05-17,日,いいえ,"+1,032","4,410",23,8,1/142,2.65,32,22.0,+137,"1,386",7,2,1/154,3.03,53,2.0,+254,"5,983",21,30,1/117,5.33,0,-,-645,"1,440",4,2,1/240,2.74,69,3.0,-522,"1,304",3,2,1/261,2.80,46,10.0,"-1,340","4,602",14,9,1/200,2.25,51,5.0,-828,"2,756",8,8,1/172,3.19,66,7.0,-279,"1,188",3,4,1/170,3.47,10,10.0,-655,"1,406",4,1,1/281,2.54,59,6.0,-156,"1,724",7,3,1/172,2.92,36,4.0
2026-05-16,土,はい,"-1,370","5,984",18,17,1/171,2.94,40,3.0,-715,"4,042",14,10,1/168,2.85,54,8.0,-678,"3,559",13,6,1/187,2.36,54,8.0,"-1,579","4,257",10,13,1/185,3.07,55,1.0,+990,"5,243",25,13,1/138,3.17,41,1.0,-158,"4,634",14,16,1/154,3.68,46,5.0,-911,"3,005",10,5,1/200,2.42,58,3.0,"+2,145","8,134",35,33,1/120,5.17,0,-,-140,"3,728",14,7,1/178,2.48,37,24.0,"+2,051","7,255",36,20,1/130,3.67,13,13.0
2026-05-15,金,いいえ,+432,"3,822",16,13,1/132,3.98,37,6.0,-293,"3,939",13,12,1/158,3.35,44,7.0,-368,528,1,0,1/528,2.95,49,3.0,+250,"4,379",17,12,1/151,3.20,52,3.0,-457,671,1,0,1/671,2.80,59,5.0,-504,"2,205",8,3,1/200,2.54,60,1.0,-674,"1,432",3,4,1/205,3.18,46,2.0,-822,"1,409",4,0,1/352,2.34,67,7.0,"+1,704","3,709",22,9,1/120,3.59,31,-,+124,"1,908",9,4,1/147,3.15,54,2.0
