日付,曜日,特定日,1044番台,,,,,,,1045番台,,,,,,,1046番台,,,,,,,1047番台,,,,,,,1048番台,,,,,,,1050番台,,,,,,,1051番台,,,,,,,1052番台,,,,,,,1053番台,,,,,,,1054番台,,,,,,,1055番台,,,,,,,1056番台,,,,,,,1057番台,,,,,,,1058番台,,,,,,,1059番台,,,,,,,1060番台,,,,,,,1061番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-23,火,いいえ,-,-,-,-,-,-,-,-200,"1,070",3,4,1/153,1/6.26,3.69,-410,852,2,2,1/213,1/6.49,3.24,-200,379,1,1,1/190,1/7.37,3.43,"+1,170","3,949",18,13,1/127,1/5.87,3.86,-340,"2,324",8,5,1/179,1/6.10,2.81,+90,"1,818",8,2,1/182,1/5.86,2.46,-230,483,1,1,1/242,1/5.99,3.30,+450,"3,175",13,9,1/144,1/5.84,3.31,-70,800,3,2,1/160,1/6.36,3.35,+110,"2,932",12,7,1/154,1/6.12,2.93,-360,"1,445",5,3,1/181,1/6.61,3.02,-230,0,0,0,-,-,-,-330,0,0,0,-,-,-,+450,"2,018",8,8,1/126,1/5.82,4.06,-120,0,0,0,-,-,-,"+1,460","5,548",25,19,1/126,1/6.02,4.13
2026-06-22,月,いいえ,-,-,-,-,-,-,-,+377,"3,813",16,11,1/141,1/6.18,3.35,+822,"4,289",16,24,1/107,1/6.43,5.28,+155,697,4,0,1/174,1/6.12,2.85,+316,931,5,1,1/155,1/5.66,2.95,"+1,488","6,139",28,19,1/131,1/6.03,3.69,-100,299,1,0,1/299,1/5.90,3.18,-489,"3,182",11,8,1/167,1/6.33,2.93,-178,730,2,2,1/183,1/6.00,3.39,-584,819,1,3,1/205,1/6.90,3.58,+233,703,4,1,1/141,1/6.19,3.17,-695,840,1,1,1/420,1/6.20,2.89,-406,369,0,0,-,1/5.58,3.06,-539,"2,851",6,15,1/136,1/6.13,4.83,-295,"1,123",4,3,1/160,1/7.18,3.34,-256,279,0,0,-,1/4.95,3.16,+733,"7,818",27,35,1/126,1/6.04,5.18
2026-06-21,日,はい,-,-,-,-,-,-,-,-989,"2,104",5,3,1/263,1/6.03,2.38,+800,"4,462",19,16,1/127,1/6.19,4.19,-773,"1,580",3,4,1/226,1/6.06,3.11,-334,"1,789",5,5,1/179,1/5.83,3.27,+977,"2,799",14,8,1/127,1/5.95,3.45,-878,"1,634",3,3,1/272,1/5.90,2.74,-256,"5,513",20,15,1/158,1/6.11,2.94,-106,"2,071",8,2,1/207,1/5.66,2.26,"+3,111","7,206",35,31,1/109,1/6.04,5.17,-234,"1,943",6,7,1/149,1/6.22,3.77,-167,"1,634",5,6,1/149,1/6.13,3.77,"-1,145","2,799",6,8,1/200,1/6.12,3.14,-756,"5,025",16,11,1/186,1/5.85,2.28,-539,"1,491",4,1,1/298,1/5.59,2.37,-728,"5,540",17,19,1/154,1/6.17,3.88,+888,"4,385",16,22,1/115,1/6.01,5.11
2026-06-20,土,いいえ,-,-,-,-,-,-,-,-340,"1,020",2,1,1/340,1/4.97,2.74,-790,"3,350",10,9,1/176,1/6.23,3.02,-770,"3,262",9,7,1/204,1/5.74,2.52,-530,702,1,1,1/351,1/6.24,3.05,"-1,560","5,434",12,20,1/170,1/5.99,4.06,-380,830,2,3,1/166,1/7.15,3.60,-460,"4,559",13,16,1/157,1/5.82,3.90,-580,"2,176",6,6,1/181,1/6.13,3.20,"+1,190","6,783",28,23,1/133,1/5.97,4.09,-240,0,0,0,-,-,-,-510,"1,099",2,4,1/183,1/6.35,3.62,-350,547,1,1,1/274,1/6.37,3.23,+40,"2,621",10,7,1/154,1/6.02,3.18,-560,698,1,1,1/349,1/6.50,3.05,"+4,720","5,307",36,22,1/92,1/6.10,5.05,-290,"1,881",7,3,1/188,1/6.22,2.64
2026-06-19,金,いいえ,-,-,-,-,-,-,-,-412,736,2,1,1/245,1/6.92,3.05,"+1,333","2,427",14,5,1/128,1/5.60,2.92,+266,"2,181",9,6,1/145,1/5.93,3.31,-289,"2,362",6,10,1/148,1/5.87,4.19,"-1,012","5,041",14,18,1/158,1/6.21,3.99,-223,553,2,0,1/277,1/6.57,2.93,+388,991,5,4,1/110,1/6.34,3.86,-67,"2,381",9,5,1/170,1/5.93,2.79,+316,848,5,2,1/121,1/6.72,3.37,-356,738,1,1,1/369,1/5.07,3.01,-395,"2,288",9,4,1/176,1/6.67,2.60,-123,615,2,1,1/205,1/5.90,3.19,+50,"1,131",5,1,1/189,1/5.81,2.73,+344,"3,136",11,13,1/131,1/5.89,4.39,+100,"2,191",8,9,1/129,1/6.34,4.16,-578,"1,357",3,1,1/339,1/5.41,2.45
2026-06-18,木,いいえ,-,-,-,-,-,-,-,-84,"4,300",15,12,1/159,1/5.86,3.10,-323,193,0,0,-,1/9.30,3.27,-850,976,0,1,1/976,1/5.12,2.71,-17,574,3,0,1/191,1/6.75,2.94,"+3,555","5,788",34,18,1/111,1/5.86,3.96,-217,142,0,0,-,1/7.96,3.33,+755,"2,727",15,5,1/136,1/6.43,2.66,+294,994,5,2,1/142,1/5.86,3.20,+261,"1,043",6,1,1/149,1/6.46,2.86,+2,182,1,0,1/182,1/6.91,3.32,-189,596,2,1,1/199,1/6.63,3.21,+194,250,2,0,1/125,1/6.20,3.28,-93,249,1,0,1/249,1/6.98,3.24,+5,"3,095",12,8,1/155,1/6.12,3.05,-273,237,0,0,-,1/5.79,3.21,+144,"1,594",7,1,1/199,1/5.50,2.37
2026-06-17,水,いいえ,-,-,-,-,-,-,-,"-1,056","2,016",4,4,1/252,1/6.07,2.69,"+1,011","1,276",7,9,1/80,1/6.35,4.86,+44,"2,441",10,6,1/153,1/6.25,3.06,-89,"1,555",7,2,1/173,1/6.58,2.67,+261,"3,168",13,9,1/144,1/6.12,3.32,-478,805,1,3,1/201,1/6.31,3.59,+344,"2,787",12,7,1/147,1/6.02,3.07,-34,646,3,1,1/162,1/6.90,3.19,-284,"1,146",3,3,1/191,1/5.83,3.27,-334,540,1,0,1/540,1/5.53,2.90,-317,"1,063",3,1,1/266,1/5.59,2.73,+50,642,3,1,1/161,1/6.24,3.20,-456,"1,059",2,3,1/212,1/5.91,3.34,+155,"1,882",8,4,1/157,1/5.98,2.97,-173,228,0,1,1/228,1/5.92,3.57,-6,"3,283",12,7,1/173,1/5.70,2.59
2026-06-16,火,いいえ,-,-,-,-,-,-,-,"-1,245","6,332",17,24,1/154,1/6.18,4.35,-350,457,1,0,1/457,1/6.58,3.00,-389,538,1,0,1/538,1/5.96,2.91,-367,952,3,1,1/238,1/6.39,2.85,+494,"1,640",9,2,1/149,1/6.01,2.66,-256,760,2,1,1/253,1/5.69,3.02,+972,"2,363",12,7,1/124,1/5.81,3.54,"-1,034","1,765",2,6,1/221,1/6.00,3.50,-117,780,2,3,1/156,1/5.86,3.66,"+1,533","5,048",22,19,1/123,1/5.82,4.46,-589,"1,151",2,4,1/192,1/6.41,3.56,-200,233,0,1,1/233,1/6.34,3.56,-467,543,0,2,1/272,1/6.07,3.53,-967,"1,369",0,7,1/196,1/5.99,4.15,-228,332,1,0,1/332,1/7.36,3.14,+966,"3,188",15,14,1/110,1/6.53,4.66
2026-06-15,月,いいえ,-,-,-,-,-,-,-,"+1,910","8,837",33,45,1/113,1/6.08,5.43,"+1,890","5,890",26,25,1/115,1/6.01,4.97,-110,687,2,2,1/172,1/5.89,3.44,+660,"3,091",14,9,1/134,1/6.05,3.44,-400,"1,786",6,3,1/198,1/6.16,2.70,"+2,300","4,749",29,4,1/144,1/5.73,1.63,-760,829,0,2,1/415,1/5.78,3.19,"+1,850","3,193",19,10,1/110,1/6.11,3.82,-190,679,3,0,1/226,1/7.03,2.83,+610,"5,773",22,22,1/131,1/6.11,4.51,+850,"6,758",27,24,1/133,1/6.11,4.30,-350,0,0,0,-,-,-,-540,"1,152",2,3,1/230,1/5.82,3.23,"-1,170","1,362",1,4,1/272,1/6.63,3.27,-160,"1,158",4,1,1/232,1/5.55,2.67,-930,"1,136",2,1,1/379,1/6.75,2.62
2026-06-14,日,いいえ,-,-,-,-,-,-,-,+470,959,4,6,1/96,1/5.85,4.42,-230,422,1,1,1/211,1/6.89,3.37,+520,"5,490",21,20,1/134,1/6.10,4.29,-130,"4,179",15,14,1/144,1/6.28,3.80,+460,"4,515",17,17,1/133,1/6.05,4.31,-460,0,0,0,-,-,-,-250,281,0,1,1/281,1/6.15,3.50,+90,"1,405",5,4,1/156,1/5.61,3.38,+580,"2,077",10,7,1/122,1/6.29,3.78,-220,0,0,0,-,-,-,-340,"3,870",15,7,1/176,1/6.19,2.22,-340,801,2,0,1/401,1/5.41,2.66,-330,"1,811",6,5,1/165,1/6.41,3.29,+510,"1,217",7,1,1/152,1/5.63,2.72,-500,447,0,1,1/447,1/6.67,3.30,+350,"1,521",8,2,1/152,1/6.11,2.74
