日付,曜日,特定日,98番台,,,,,,,,,99番台,,,,,,,,,100番台,,,,,,,,,101番台,,,,,,,,,102番台,,,,,,,,,103番台,,,,,,,,,104番台,,,,,,,,,105番台,,,,,,,,,132番台,,,,,,,,,133番台,,,,,,,,,135番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-28,日,いいえ,+148,"3,551",15,7,1/161,-,2.46,9,3.0,-883,"2,847",6,11,1/167,-,3.98,13,4.0,"-1,359","3,704",9,9,1/206,-,2.65,53,7.0,-621,"5,602",18,17,1/160,-,3.33,46,13.0,"-1,015","1,539",3,1,1/385,-,2.30,20,7.0,"+1,509","6,519",32,14,1/142,-,2.28,33,13.0,+873,"4,934",23,11,1/145,-,2.53,6,-,-59,"4,564",16,15,1/147,-,3.73,59,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-27,土,いいえ,+69,"5,914",23,15,1/156,-,2.69,9,4.0,+951,"5,652",26,13,1/145,-,2.52,12,3.0,-789,"4,334",12,15,1/161,-,3.81,37,2.0,-608,"2,878",8,9,1/169,-,3.44,34,22.0,"+2,190","6,989",32,27,1/118,-,4.79,5,-,-963,"2,596",6,7,1/200,-,3.05,35,1.0,+417,"5,638",20,23,1/131,-,4.72,9,4.0,-57,"5,810",22,15,1/157,-,2.75,40,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-26,金,いいえ,-754,"1,403",3,2,1/281,-,2.68,25,7.0,"-1,077","6,850",18,28,1/149,-,4.72,18,4.0,+639,"5,603",23,17,1/140,-,3.50,35,10.0,-530,"2,942",9,8,1/173,-,3.10,25,7.0,"-1,106","3,288",8,9,1/193,-,3.01,14,1.0,+192,"2,634",10,9,1/139,-,3.78,11,-,"+1,235","4,439",19,19,1/117,-,4.79,13,2.0,-565,832,1,2,1/277,-,3.23,45,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-24,水,いいえ,-14,"2,615",11,4,1/174,-,2.38,14,2.0,"+1,541","5,057",27,9,1/140,-,2.13,20,6.0,-409,"2,684",9,6,1/179,-,2.78,67,34.0,-294,"2,173",7,6,1/167,-,3.24,21,1.0,-491,"1,266",3,3,1/211,-,3.14,8,-,+19,"2,172",9,4,1/167,-,2.71,12,4.0,-668,"3,392",11,7,1/188,-,2.47,27,6.0,+33,"1,299",6,1,1/186,-,2.60,33,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-23,火,いいえ,"+1,719","8,515",39,23,1/137,-,2.96,16,4.0,-399,952,3,0,1/317,-,2.55,22,1.0,-567,"3,517",12,7,1/185,-,2.40,54,5.0,-471,"2,111",6,6,1/176,-,3.27,12,10.0,+744,"3,922",18,10,1/140,-,3.02,2,-,-141,740,3,0,1/247,-,2.76,21,4.0,+688,"6,216",25,20,1/138,-,3.78,17,1.0,-907,"3,045",8,8,1/190,-,2.96,49,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-22,月,はい,+85,"8,784",30,33,1/139,-,4.60,21,8.0,+229,"2,317",9,8,1/136,-,3.78,11,7.0,"+1,292","6,947",29,25,1/129,-,4.41,37,6.0,-80,"7,076",28,15,1/165,-,2.06,4,-,-177,"1,344",5,2,1/192,-,2.81,4,-,-976,"1,507",3,1,1/377,-,2.33,13,2.0,-733,"3,525",11,8,1/186,-,2.61,31,6.0,-588,"2,990",9,8,1/176,-,3.05,25,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-21,日,いいえ,-902,"4,605",14,12,1/177,-,2.78,18,1.0,"+2,995","7,267",35,31,1/110,-,5.15,9,3.0,"-1,056","4,078",12,9,1/194,-,2.43,49,27.0,"+2,087","5,676",31,12,1/132,-,2.42,2,-,"+3,277","4,250",30,9,1/109,-,2.84,2,-,"-1,726","6,225",17,16,1/189,-,2.52,6,4.0,+837,"5,806",24,19,1/135,-,3.87,17,8.0,-435,"1,923",6,4,1/192,-,2.85,22,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-20,土,いいえ,+450,"5,778",25,12,1/156,-,2.20,12,9.0,"-1,278","2,746",7,3,1/275,-,1.99,52,8.0,-611,"3,474",12,6,1/193,-,2.22,27,14.0,+941,"7,077",29,23,1/136,-,3.87,3,1.0,+962,"6,406",27,20,1/136,-,3.67,2,-,"+1,508","5,817",29,13,1/139,-,2.48,2,-,-162,"5,382",18,19,1/145,-,4.06,44,17.0,"+1,055","7,271",30,24,1/135,-,3.97,13,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-19,金,いいえ,"-1,182","4,964",15,11,1/191,-,2.30,15,3.0,-130,"4,226",16,10,1/163,-,2.67,41,11.0,-756,"3,415",10,9,1/180,-,2.95,23,8.0,+338,"2,197",10,5,1/146,-,3.02,12,5.0,"+2,864","7,175",39,18,1/126,-,2.86,7,7.0,"+2,104","7,438",30,37,1/111,-,5.37,0,-,-164,"3,264",12,8,1/163,-,2.88,30,2.0,"-1,120","4,656",13,13,1/179,-,2.97,28,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-18,木,いいえ,"+1,547","5,180",28,8,1/144,-,1.92,12,8.0,"-1,375","2,648",5,6,1/241,-,2.68,43,17.0,"-2,367","6,832",17,17,1/201,-,2.32,21,9.0,"-1,061","4,260",14,6,1/213,-,1.83,26,5.0,"-1,304","3,916",11,7,1/218,-,2.11,12,8.0,+406,"2,893",14,4,1/161,-,2.25,4,-,-98,"5,141",19,14,1/156,-,2.99,45,2.0,+430,"3,527",16,7,1/153,-,2.51,21,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
