日付,曜日,特定日,31番台,,,,,,,32番台,,,,,,,33番台,,,,,,,35番台,,,,,,,36番台,,,,,,,37番台,,,,,,,38番台,,,,,,,50番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-05,金,いいえ,-230,189,0,0,-,1/6.08,3.27,+410,523,3,2,1/105,1/5.33,3.67,"+1,330","2,206",13,7,1/110,1/5.95,3.75,-370,496,1,0,1/496,1/6.26,2.95,-400,341,0,1,1/341,1/7.42,3.43,-80,778,3,1,1/195,1/6.00,3.04,-670,638,1,0,1/638,1/7.36,2.80,-470,529,0,1,1/529,1/5.47,3.21
2026-06-04,木,はい,+720,"3,504",16,11,1/130,1/6.23,3.67,-210,778,2,2,1/195,1/5.85,3.33,-710,"2,758",6,9,1/184,1/5.66,3.49,+10,411,2,1,1/137,1/7.31,3.43,-260,"1,016",3,2,1/203,1/5.96,3.10,-430,"1,022",2,3,1/204,1/5.99,3.38,-610,"1,895",3,10,1/146,1/6.14,4.51,-250,"2,169",7,4,1/197,1/5.61,2.64
2026-06-03,水,いいえ,-190,642,2,1,1/214,1/6.15,3.16,-300,"1,155",2,4,1/193,1/5.32,3.55,-190,288,0,1,1/288,1/5.20,3.49,+80,"2,004",8,3,1/182,1/5.63,2.56,+460,"1,124",7,1,1/141,1/6.23,2.81,-460,382,0,0,-,1/6.02,3.04,-190,171,0,0,-,1/5.62,3.29,-410,"2,080",7,5,1/173,1/6.37,3.03
2026-06-02,火,いいえ,-130,494,1,1,1/247,1/5.11,3.29,+180,"1,416",7,3,1/142,1/6.62,3.13,-60,274,1,0,1/274,1/5.74,3.21,+40,"1,081",4,3,1/154,1/5.84,3.39,-160,201,0,0,-,1/4.60,3.26,+540,"2,037",10,4,1/146,1/5.84,2.88,"-1,130","2,001",2,9,1/182,1/6.23,4.14,-230,624,2,0,1/312,1/5.90,2.85
2026-06-01,月,いいえ,-110,506,2,0,1/253,1/6.07,2.98,+60,"2,036",6,10,1/127,1/5.94,4.48,-150,313,1,0,1/313,1/6.41,3.16,-980,"2,704",7,6,1/208,1/6.14,2.69,-550,"1,139",2,3,1/228,1/5.91,3.24,+260,383,2,2,1/96,1/5.75,3.80,+440,809,5,3,1/101,1/6.90,3.75,+300,"1,274",6,4,1/127,1/6.26,3.58
2026-05-31,日,いいえ,"-1,170","2,540",6,3,1/282,1/5.87,2.09,-720,"2,158",6,4,1/216,1/6.06,2.62,-150,"4,300",16,8,1/179,1/5.80,2.16,+470,"1,148",6,2,1/144,1/5.49,3.06,-80,"3,821",14,12,1/147,1/6.22,3.56,-270,731,2,0,1/366,1/5.43,2.74,"+1,310","5,416",24,15,1/139,1/5.76,3.17,-250,"2,344",9,5,1/167,1/6.39,2.83
2026-05-30,土,いいえ,+180,"2,159",10,5,1/144,1/6.53,3.06,"+1,190","4,961",22,20,1/118,1/6.32,4.70,-400,"3,078",11,7,1/171,1/6.24,2.75,+710,"2,961",15,4,1/156,1/5.86,2.23,"-1,000","3,081",7,7,1/220,1/5.65,2.62,-370,"1,734",6,2,1/217,1/5.99,2.47,-810,"1,439",3,3,1/240,1/6.43,2.95,+550,"7,926",33,21,1/147,1/6.17,2.79
2026-05-29,金,いいえ,-20,570,2,2,1/143,1/6.28,3.58,-270,596,1,1,1/298,1/5.35,3.17,-90,478,1,1,1/239,1/4.95,3.31,+70,803,4,1,1/161,1/6.44,3.05,-270,518,1,1,1/259,1/5.97,3.26,+420,"1,555",9,3,1/130,1/6.92,3.05,-70,957,3,2,1/191,1/5.45,3.16,+300,"1,175",6,2,1/147,1/5.99,3.03
2026-05-28,木,いいえ,-710,890,1,1,1/445,1/5.95,2.84,-440,"1,000",2,2,1/250,1/5.73,3.07,"-1,520","1,598",0,4,1/400,1/5.97,2.97,+160,"1,312",6,2,1/164,1/5.91,2.88,-430,502,0,2,1/251,1/6.19,3.58,-160,407,1,1,1/204,1/6.23,3.39,-360,"1,190",4,1,1/238,1/6.15,2.64,-430,540,0,2,1/270,1/5.80,3.53
2026-05-27,水,いいえ,-580,"2,973",10,4,1/212,1/5.88,2.10,-370,609,1,2,1/203,1/6.70,3.49,+220,"1,074",5,2,1/153,1/5.78,3.11,-890,"2,232",6,3,1/248,1/6.03,2.31,-180,146,0,0,-,1/6.15,3.32,+40,238,1,0,1/238,1/4.87,3.25,-300,775,2,2,1/194,1/6.42,3.33,-160,942,3,3,1/157,1/6.39,3.51
2026-05-26,火,いいえ,+580,"2,797",13,9,1/127,1/6.36,3.72,+50,"2,111",9,5,1/151,1/6.39,3.07,-200,361,1,0,1/361,1/6.25,3.11,+600,"1,683",9,5,1/120,1/6.38,3.55,+960,"3,672",15,18,1/111,1/6.20,4.98,-190,167,0,0,-,1/5.73,3.30,+230,"3,893",17,7,1/162,1/6.08,2.26,"-1,070","1,582",1,3,1/396,1/5.28,2.73
2026-05-25,月,いいえ,+90,"1,030",4,4,1/129,1/6.32,3.78,+650,"1,685",9,5,1/120,1/6.22,3.55,-30,832,4,1,1/166,1/6.85,3.02,-30,410,2,0,1/205,1/6.51,3.09,-360,348,0,0,-,1/5.34,3.08,+630,"2,045",10,6,1/128,1/6.04,3.50,-370,458,0,1,1/458,1/5.28,3.29,-720,"2,299",6,6,1/192,1/6.11,3.06
2026-05-24,日,はい,-720,"2,340",7,5,1/195,1/6.33,2.76,"+2,580","7,612",37,24,1/125,1/5.96,3.90,-110,"3,541",15,6,1/169,1/6.30,2.24,"+1,670","7,950",33,30,1/126,1/6.01,4.70,"-1,000","3,048",9,7,1/191,1/6.46,2.71,"+1,040","4,002",20,10,1/133,1/6.20,3.01,-750,"4,277",15,10,1/171,1/6.41,2.59,-980,"6,137",18,20,1/162,1/6.06,3.62
2026-05-23,土,いいえ,+80,"7,818",29,27,1/140,1/6.28,4.15,-230,342,1,0,1/342,1/7.13,3.13,-960,"1,871",2,6,1/234,1/5.55,3.38,+320,"2,828",13,6,1/149,1/6.24,2.78,-110,"2,739",10,6,1/171,1/5.88,2.76,+740,"1,186",7,1,1/148,1/5.04,2.75,-70,567,2,1,1/189,1/5.93,3.24,+960,"5,261",23,13,1/146,1/5.82,2.75
2026-05-22,金,いいえ,+200,"1,622",7,4,1/147,1/6.02,3.22,-500,452,0,0,-,1/5.61,2.96,-190,210,0,0,-,1/4.91,3.25,+0,"1,229",5,1,1/205,1/5.60,2.63,-190,189,0,0,-,1/5.23,3.27,-470,686,1,2,1/229,1/6.67,3.40,-290,"1,690",4,6,1/169,1/5.62,3.66,-360,546,1,1,1/273,1/6.48,3.23
2026-05-21,木,いいえ,+0,4,0,0,-,1/3.16,3.50,-510,407,0,0,-,1/6.25,3.01,+50,193,1,0,1/193,1/5.39,3.31,+0,1,0,0,-,1/3.16,3.50,-100,"1,013",4,1,1/203,1/5.96,2.82,-60,207,1,0,1/207,1/7.81,3.29,-120,123,0,0,-,1/5.13,3.35,-110,"1,863",6,5,1/169,1/5.70,3.23
2026-05-20,水,いいえ,-110,105,0,0,-,1/5.38,3.37,+200,705,4,0,1/176,1/5.78,2.84,+220,492,3,1,1/123,1/6.42,3.37,-430,391,0,0,-,1/5.58,3.03,-220,472,1,2,1/157,1/7.12,3.65,-250,344,1,0,1/344,1/7.46,3.13,+0,847,4,0,1/212,1/5.96,2.69,-100,"1,453",5,4,1/161,1/6.01,3.33
2026-05-19,火,いいえ,+370,347,3,0,1/116,1/5.64,3.21,-220,"1,108",3,2,1/222,1/5.41,2.99,-300,433,0,2,1/217,1/5.73,3.66,-390,541,1,0,1/541,1/5.94,2.90,+740,"1,587",7,6,1/122,1/5.25,3.89,-340,"2,513",8,6,1/180,1/5.86,2.91,+960,"1,556",10,4,1/111,1/6.25,3.41,-290,871,2,2,1/218,1/5.72,3.22
