日付,曜日,特定日,566番台,,,,,,,567番台,,,,,,,568番台,,,,,,,570番台,,,,,,,571番台,,,,,,,603番台,,,,,,,605番台,,,,,,,606番台,,,,,,,607番台,,,,,,,608番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-27,土,いいえ,-160,"2,255",9,6,1/150,1/6.68,3.23,-580,441,0,0,-,1/6.57,2.98,"+1,880","2,681",20,2,1/122,1/6.25,2.13,-690,"1,460",3,4,1/209,1/6.26,3.24,-140,"2,017",6,7,1/155,1/5.80,3.69,+20,"4,005",14,15,1/138,1/6.18,4.19,-540,973,1,4,1/195,1/6.05,3.72,+80,851,5,0,1/170,1/6.99,2.72,-280,386,1,0,1/386,1/6.93,3.08,+140,"4,881",19,19,1/128,1/6.64,4.50
2026-06-26,金,いいえ,"+2,150","6,454",29,25,1/120,1/5.89,4.74,-10,9,0,0,-,1/5.62,3.49,+390,495,4,1,1/99,1/7.36,3.41,-340,574,1,2,1/191,1/6.86,3.53,-340,719,2,0,1/360,1/5.89,2.75,-40,"1,481",6,1,1/212,1/5.64,2.43,-290,597,0,4,1/149,1/5.70,4.10,-370,835,2,1,1/278,1/5.84,2.94,-560,"1,252",2,4,1/209,1/5.82,3.44,-790,"1,995",5,4,1/222,1/6.10,2.74
2026-06-25,木,いいえ,-280,584,1,1,1/292,1/5.49,3.18,-160,"1,499",4,6,1/150,1/5.85,3.88,-20,29,0,0,-,1/4.34,3.46,+180,386,2,1,1/129,1/5.54,3.46,"+1,780","4,661",25,14,1/120,1/6.29,3.67,-170,372,1,0,1/372,1/5.72,3.10,-10,733,3,0,1/244,1/5.38,2.77,+10,582,3,0,1/194,1/6.40,2.93,-180,153,0,0,-,1/5.89,3.31,"+1,650","3,512",19,10,1/121,1/5.87,3.48
2026-06-24,水,はい,"+1,510","6,697",27,27,1/124,1/5.91,4.85,-30,32,0,0,-,1/5.01,3.46,-270,199,0,0,-,1/6.80,3.26,-70,511,1,1,1/256,1/4.67,3.27,+150,"3,734",14,11,1/149,1/5.95,3.35,-100,334,1,0,1/334,1/5.41,3.14,-270,598,1,2,1/199,1/5.98,3.50,+190,"1,855",8,4,1/155,1/5.97,3.00,-380,669,1,2,1/223,1/6.15,3.42,+370,"3,801",16,9,1/152,1/5.97,2.78
2026-06-23,火,いいえ,"+1,330","7,033",28,21,1/144,1/5.59,3.38,+0,0,0,0,-,-,-,-30,219,1,0,1/219,1/6.43,3.28,-430,"1,817",5,7,1/151,1/6.50,3.87,+950,"1,294",9,3,1/108,1/6.21,3.35,+290,984,5,1,1/164,1/5.53,2.89,"+1,590","4,823",23,14,1/130,1/5.80,3.44,-270,"1,110",2,6,1/139,1/6.09,4.21,-370,339,0,1,1/339,1/6.91,3.43,-90,"1,714",5,6,1/156,1/5.68,3.68
2026-06-22,月,いいえ,-790,"2,080",4,8,1/173,1/6.16,3.85,-90,56,0,0,-,1/8.63,3.43,-270,234,0,0,-,1/5.80,3.22,+110,"2,143",9,6,1/143,1/6.38,3.35,+100,344,2,0,1/172,1/5.90,3.17,-220,280,0,1,1/280,1/5.70,3.50,+90,"1,420",5,4,1/158,1/5.57,3.37,-210,228,0,0,-,1/4.96,3.22,"+1,050","4,019",20,11,1/130,1/6.28,3.28,+230,"1,741",7,8,1/116,1/6.62,4.30
2026-06-21,日,いいえ,-90,"1,370",6,2,1/171,1/6.55,2.82,-890,"1,505",3,1,1/376,1/5.82,2.33,+50,"2,048",8,9,1/120,1/6.97,4.30,-290,512,1,1,1/256,1/6.22,3.27,+420,"2,787",14,6,1/139,1/6.62,2.85,-560,"1,588",3,4,1/227,1/5.47,3.10,-580,"1,637",2,8,1/164,1/5.71,4.23,-920,"1,699",3,5,1/212,1/6.34,3.29,-220,"1,734",6,4,1/173,1/6.10,3.05,-540,"1,892",6,3,1/210,1/6.18,2.60
2026-06-20,土,いいえ,+220,"4,125",15,17,1/129,1/6.29,4.56,-820,"3,946",11,12,1/172,1/6.02,3.32,-220,199,0,0,-,1/5.60,3.26,-720,"3,040",8,9,1/179,1/5.94,3.26,-140,"1,095",5,0,1/219,1/6.39,2.48,-340,618,1,1,1/309,1/5.64,3.14,-380,743,2,1,1/248,1/6.60,3.04,+500,"3,623",16,11,1/134,1/6.33,3.55,-350,857,2,1,1/286,1/5.62,2.91,-490,665,1,0,1/665,1/5.65,2.77
2026-06-19,金,いいえ,+800,"2,550",12,6,1/142,1/5.58,3.02,+140,"1,050",5,2,1/150,1/6.24,3.14,-470,387,0,0,-,1/6.07,3.04,-140,103,0,0,-,1/6.81,3.37,"+1,460","4,264",21,13,1/125,1/5.97,3.65,-290,240,0,0,-,1/6.04,3.21,-490,288,0,0,-,1/9.61,3.15,-230,493,1,1,1/247,1/5.88,3.29,+760,"1,964",9,6,1/131,1/5.44,3.55,-390,740,2,0,1/370,1/6.04,2.73
2026-06-18,木,いいえ,"+1,920","5,639",23,25,1/117,1/5.65,5.03,-230,182,0,0,-,1/6.30,3.28,-90,342,1,1,1/171,1/6.40,3.47,-90,555,2,1,1/185,1/6.21,3.26,-20,995,4,2,1/166,1/6.13,3.16,-120,73,0,0,-,1/8.99,3.41,-110,637,2,1,1/212,1/5.65,3.16,+620,"1,164",7,3,1/116,1/6.15,3.42,+70,605,3,1,1/151,1/6.46,3.24,+220,"4,214",16,13,1/145,1/6.01,3.52
2026-06-17,水,いいえ,+410,"4,991",16,22,1/131,1/5.79,4.85,+270,"1,158",6,1,1/165,1/5.82,2.74,"+1,600","2,986",15,12,1/111,1/5.66,4.41,+540,"1,451",8,2,1/145,1/5.79,2.81,+300,"1,560",9,1,1/156,1/6.63,2.46,"+1,100","1,717",10,8,1/95,1/6.38,4.42,-450,"1,880",5,6,1/171,1/6.08,3.49,-190,608,2,0,1/304,1/5.75,2.87,-120,583,2,2,1/146,1/7.07,3.56,"-1,420","2,648",3,10,1/204,1/5.94,3.80
2026-06-16,火,いいえ,-150,307,1,0,1/307,1/6.54,3.17,+350,595,4,0,1/149,1/5.61,2.96,+30,977,3,3,1/163,1/5.36,3.47,-230,174,0,0,-,1/6.60,3.29,-100,"3,973",15,13,1/142,1/6.45,3.73,-280,579,1,2,1/193,1/6.24,3.53,-170,376,0,2,1/188,1/5.10,3.72,+150,454,3,0,1/151,1/6.69,3.08,-230,439,1,1,1/220,1/6.58,3.35,+200,"1,811",8,3,1/165,1/5.84,2.74
2026-06-15,月,いいえ,-270,"2,173",6,8,1/155,1/5.89,3.82,-80,"1,189",5,2,1/170,1/6.44,2.98,-670,946,1,3,1/237,1/6.39,3.43,-100,230,1,0,1/230,1/7.99,3.26,-410,552,1,0,1/552,1/6.00,2.89,"+1,210","3,904",18,16,1/115,1/6.23,4.61,-250,341,0,2,1/171,1/6.48,3.77,-230,135,0,0,-,1/9.64,3.34,-120,186,0,1,1/186,1/5.84,3.62,+180,"3,967",15,14,1/137,1/6.23,4.01
2026-06-14,日,はい,"+1,240","4,518",22,15,1/122,1/6.35,3.98,-590,648,1,0,1/648,1/6.49,2.79,+150,"1,069",4,4,1/134,1/5.84,3.73,+700,"6,975",27,26,1/132,1/6.17,4.53,+180,827,4,1,1/165,1/5.66,3.02,-290,"1,685",4,9,1/130,1/6.41,4.49,-770,"4,207",12,14,1/162,1/6.11,3.66,-410,546,1,0,1/546,1/6.06,2.90,-780,"1,467",4,2,1/245,1/6.77,2.65,+550,"3,759",15,10,1/150,1/5.65,3.07
2026-06-13,土,いいえ,-500,"1,112",3,1,1/278,1/6.08,2.68,+840,"3,348",15,7,1/152,1/5.51,2.63,+310,799,5,0,1/160,1/5.96,2.77,-180,"3,693",14,11,1/148,1/6.45,3.40,-410,832,2,1,1/277,1/6.07,2.94,+220,656,3,2,1/131,1/5.63,3.52,"+4,640","5,922",39,19,1/102,1/5.94,4.24,-440,800,1,3,1/200,1/6.12,3.60,-270,441,1,0,1/441,1/5.93,3.02,-520,"2,171",7,5,1/181,1/6.36,2.93
2026-06-12,金,いいえ,+140,614,3,2,1/123,1/6.59,3.57,-70,37,0,0,-,1/12.46,3.45,-150,125,0,0,-,1/6.00,3.35,+30,138,1,0,1/138,1/8.69,3.37,-500,869,1,3,1/217,1/5.99,3.52,-160,199,0,0,-,1/4.63,3.26,-340,568,1,1,1/284,1/6.06,3.20,+210,495,3,0,1/165,1/5.60,3.03,-70,47,0,0,-,1/7.66,3.44,+480,368,3,1,1/92,1/5.27,3.52
2026-06-11,木,いいえ,-440,494,0,1,1/494,1/5.53,3.25,-160,540,2,1,1/180,1/7.12,3.28,-540,652,1,0,1/652,1/6.07,2.78,-270,842,1,4,1/168,1/5.50,3.87,+650,"2,557",12,8,1/128,1/6.15,3.64,-100,48,0,0,-,1/17.76,3.44,+60,"4,454",17,12,1/154,1/6.04,3.02,+270,"3,221",13,12,1/129,1/6.45,4.13,-80,210,1,0,1/210,1/8.42,3.29,+190,"3,089",12,12,1/129,1/6.45,4.22
