日付,曜日,特定日,949番台,,,,,,,950番台,,,,,,,951番台,,,,,,,952番台,,,,,,,953番台,,,,,,,954番台,,,,,,,955番台,,,,,,,956番台,,,,,,,957番台,,,,,,,958番台,,,,,,,959番台,,,,,,,960番台,,,,,,,961番台,,,,,,,962番台,,,,,,,963番台,,,,,,,964番台,,,,,,,965番台,,,,,,,966番台,,,,,,,967番台,,,,,,,968番台,,,,,,,969番台,,,,,,,970番台,,,,,,,971番台,,,,,,,972番台,,,,,,,973番台,,,,,,,974番台,,,,,,,975番台,,,,,,,976番台,,,,,,,977番台,,,,,,,978番台,,,,,,,979番台,,,,,,,980番台,,,,,,,981番台,,,,,,,982番台,,,,,,,983番台,,,,,,,984番台,,,,,,,985番台,,,,,,,986番台,,,,,,,987番台,,,,,,,988番台,,,,,,,989番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-09,火,いいえ,"+1,675","4,173",21,12,1/126,1/5.76,3.45,+275,"4,130",15,16,1/133,1/6.11,4.35,+614,"5,940",25,15,1/149,1/6.01,2.73,-699,"2,959",9,7,1/185,1/6.15,2.79,-814,"1,118",2,2,1/280,1/6.77,2.94,+293,"6,428",25,22,1/137,1/6.31,4.07,+23,"6,119",23,17,1/153,1/6.06,3.02,-136,"1,312",6,1,1/187,1/6.66,2.59,"+1,843","5,879",29,18,1/125,1/6.12,3.71,-128,"3,717",12,15,1/138,1/6.18,4.38,-200,"3,012",12,6,1/167,1/6.30,2.57,"+1,432","7,311",31,24,1/133,1/5.96,3.97,+858,"6,859",29,21,1/137,1/6.17,3.57,-522,"7,630",23,29,1/147,1/5.98,4.51,-159,"3,255",12,7,1/171,1/5.94,2.62,"+1,664","7,256",28,35,1/115,1/6.04,5.32,-446,"2,640",7,10,1/155,1/6.01,3.95,-243,"5,160",17,16,1/156,1/5.90,3.45,"+1,078","3,529",16,12,1/126,1/5.85,3.93,"-1,241","3,479",8,13,1/166,1/6.47,3.97,+933,"5,570",25,16,1/136,1/6.20,3.33,-678,"5,059",16,14,1/169,1/6.00,2.96,"-1,026","1,724",3,4,1/246,1/6.27,2.95,+609,"5,705",24,9,1/173,1/5.61,1.78,-983,"1,776",4,1,1/355,1/5.89,2.15,+501,"6,538",27,16,1/152,1/6.01,2.55,"+1,362","5,554",26,15,1/135,1/5.98,3.11,-238,"2,633",8,8,1/165,1/5.78,3.40,-933,"6,592",22,17,1/169,1/6.15,2.60,-980,"3,763",12,9,1/179,1/6.47,2.69,-878,"4,413",12,14,1/170,1/5.96,3.45,-574,"1,854",5,5,1/185,1/6.23,3.20,"+2,374","4,490",28,11,1/115,1/6.39,3.09,"+1,009","4,267",19,13,1/133,1/5.91,3.57,"+1,461","5,640",23,30,1/106,1/6.40,5.35,-652,764,1,1,1/382,1/6.54,2.98,-191,"1,715",6,6,1/143,1/6.66,3.71,"+2,217","6,013",30,21,1/118,1/6.12,4.34,-742,"3,231",8,9,1/190,1/5.67,3.06,+41,"5,455",21,16,1/147,1/6.22,3.30,-229,752,2,2,1/188,1/6.15,3.36
2026-06-08,月,はい,"-1,223","6,014",16,20,1/167,1/5.98,3.66,"-1,409","5,676",15,17,1/177,1/6.02,3.16,-452,"3,153",9,12,1/150,1/6.14,4.06,-528,"2,476",8,7,1/165,1/6.49,3.26,"-1,287","3,204",8,9,1/188,1/6.50,3.09,-325,"5,457",18,17,1/156,1/5.96,3.47,"+1,032","7,136",27,28,1/130,1/5.95,4.75,-296,"4,943",21,5,1/190,1/6.14,1.58,-829,"6,207",20,19,1/159,1/6.19,3.36,-174,"2,520",9,8,1/148,1/6.36,3.56,-597,"3,067",10,7,1/180,1/6.17,2.73,"+1,501","6,668",30,21,1/131,1/6.06,3.78,"+1,322","7,629",32,27,1/129,1/6.12,4.38,-412,"8,079",26,31,1/142,1/6.15,4.63,"-1,217","4,135",11,11,1/188,1/6.10,2.85,"-1,223","1,409",1,3,1/352,1/6.25,2.90,+243,"5,077",20,11,1/164,1/5.80,2.34,+510,"4,335",17,14,1/140,1/5.92,3.71,-220,"7,349",24,27,1/144,1/6.04,4.37,"-1,090","2,705",6,6,1/225,1/5.90,2.66,"+1,652","4,405",21,12,1/133,1/5.54,3.21,-107,"3,595",14,8,1/163,1/6.13,2.64,"-1,275","4,204",11,11,1/191,1/6.07,2.79,"+1,501","6,596",32,18,1/132,1/6.28,3.14,-519,"2,601",8,4,1/217,1/5.68,2.31,-623,"7,519",22,32,1/139,1/6.15,4.97,+603,"7,183",27,23,1/144,1/5.88,3.72,+238,"5,822",22,15,1/157,1/5.83,2.74,"+2,270","7,167",31,34,1/110,1/6.15,5.31,"+2,287","7,842",35,25,1/131,1/5.75,3.87,-643,"3,141",10,6,1/196,1/5.97,2.41,"-1,397","1,605",2,2,1/401,1/6.51,2.46,"-1,148","7,433",19,33,1/143,1/6.13,5.05,"+3,490","7,495",42,18,1/125,1/5.91,2.70,-623,"1,210",2,3,1/242,1/5.87,3.16,+568,"6,033",23,18,1/147,1/5.81,3.36,-980,"2,487",6,6,1/207,1/6.16,2.87,-655,"1,301",2,3,1/260,1/5.63,3.06,"+1,217","7,311",28,29,1/128,1/5.92,4.81,+313,"6,781",26,21,1/144,1/6.09,3.55,-655,"3,704",10,12,1/168,1/5.87,3.53
2026-06-07,日,いいえ,"-1,177","3,905",10,9,1/206,1/5.87,2.51,"-1,478","4,525",12,9,1/215,1/5.95,2.13,+458,"4,509",19,11,1/150,1/5.99,2.77,+3,"3,195",12,7,1/168,1/5.82,2.67,"-1,635","4,081",10,8,1/227,1/6.04,2.17,-933,"2,353",7,4,1/214,1/6.55,2.48,-933,"3,008",10,6,1/188,1/6.71,2.52,-29,"3,376",12,7,1/178,1/5.60,2.51,"-1,339","4,402",12,13,1/176,1/6.37,3.18,+267,"4,409",19,9,1/157,1/6.11,2.37,+272,"4,137",18,8,1/159,1/6.09,2.32,-81,"3,337",12,9,1/159,1/5.96,3.10,"+1,096","8,094",33,29,1/131,1/6.18,4.45,-742,"2,826",11,2,1/217,1/6.56,1.87,"-2,148","6,132",15,16,1/198,1/6.09,2.54,-458,"1,483",4,2,1/247,1/5.66,2.64,"-1,235","5,131",15,14,1/177,1/6.19,2.87,-730,"3,931",13,7,1/197,1/5.96,2.14,+171,"5,630",23,14,1/152,1/6.19,2.69,-823,"2,969",10,4,1/212,1/6.27,2.10,+206,"4,949",20,10,1/165,1/5.88,2.23,+435,"8,023",28,24,1/154,1/5.64,3.26,-548,"2,145",7,3,1/215,1/6.06,2.40,-986,"7,233",23,18,1/176,1/5.91,2.39,+496,"4,071",17,13,1/136,1/6.18,3.70,+84,"3,663",16,5,1/174,1/6.05,2.00,-812,"4,695",15,12,1/174,1/6.12,2.74,-768,"3,804",11,11,1/173,1/6.05,3.17,"+2,817","8,028",40,26,1/122,1/6.08,4.09,+904,"6,066",28,15,1/141,1/6.26,2.72,+12,"2,793",12,7,1/147,1/6.60,3.07,"-1,391","4,482",11,18,1/155,1/6.58,4.38,-455,"1,863",5,5,1/186,1/5.91,3.19,+168,"4,427",18,11,1/153,1/6.13,2.81,-383,"2,970",12,4,1/186,1/6.38,2.15,-681,"1,602",5,0,1/320,1/6.06,2.09,-855,"7,106",24,20,1/162,1/6.21,2.95,-342,"2,570",7,7,1/184,1/5.51,3.12,-942,"1,825",3,3,1/304,1/5.54,2.56,"+1,072","6,010",29,15,1/137,1/6.38,2.80,-258,"6,342",23,16,1/163,1/6.00,2.59
2026-06-06,土,はい,"+1,362","8,125",34,30,1/127,1/6.21,4.62,+255,"6,319",25,16,1/154,1/6.01,2.66,"+1,400","8,607",37,25,1/139,1/6.01,3.29,-742,"6,711",25,18,1/156,1/6.54,2.82,"-2,191","7,245",19,15,1/213,1/5.84,1.85,"-2,000","7,192",21,17,1/189,1/6.20,2.19,-151,"7,633",29,16,1/170,1/5.91,1.96,"+2,725","8,103",34,31,1/125,1/5.55,4.78,"+2,409","8,305",37,35,1/115,1/6.19,5.16,-325,"7,803",25,30,1/142,1/6.09,4.62,"-1,078","5,256",17,11,1/188,1/6.11,2.16,-104,"5,747",23,14,1/155,1/6.30,2.59,+3,"7,726",28,23,1/151,1/6.00,3.27,"+3,188","8,770",44,24,1/129,1/5.85,3.13,"-1,351","6,007",18,14,1/188,1/6.03,2.28,"+2,243","7,730",36,26,1/125,1/6.04,4.21,-174,"7,059",28,17,1/157,1/6.27,2.42,-499,"8,598",27,30,1/151,1/5.94,4.11,"-1,588","5,934",16,14,1/198,1/5.89,2.29,-562,"5,634",20,12,1/176,1/6.00,2.18,+672,"6,910",29,16,1/154,1/5.93,2.35,+991,"7,083",27,25,1/136,1/5.83,4.26,"-3,014","5,814",13,9,1/264,1/6.15,1.62,"-1,904","6,258",17,15,1/196,1/6.10,2.29,-580,"6,783",25,17,1/162,1/6.27,2.54,"+2,409","7,463",36,22,1/129,1/5.90,3.51,-528,"8,229",30,22,1/158,1/6.20,2.70,"+3,455","8,524",34,43,1/111,1/5.53,5.42,-223,"7,757",26,26,1/149,1/5.99,3.90,"-1,136","6,207",19,18,1/168,1/6.16,3.07,"+2,070","8,261",40,22,1/133,1/6.13,2.96,-922,"7,438",26,17,1/173,1/6.12,2.15,+359,"7,185",28,19,1/153,1/5.95,2.76,-701,"6,612",23,18,1/161,1/6.22,2.84,-968,"7,792",24,25,1/159,1/6.05,3.57,-539,"5,653",19,16,1/162,1/6.07,3.05,"+3,119","7,580",40,24,1/118,1/6.12,4.02,"+1,212","8,139",30,32,1/131,1/5.83,4.82,+35,"5,202",21,14,1/149,1/6.34,3.00,+12,"6,990",24,27,1/137,1/6.17,4.62,-681,"8,463",27,33,1/141,1/6.29,4.72
2026-06-05,金,はい,"+1,420","9,131",37,27,1/143,1/5.79,3.32,"-2,896","5,796",12,9,1/276,1/5.88,1.62,"-1,484","6,596",19,14,1/200,1/5.81,1.98,-87,"5,525",21,16,1/149,1/6.25,3.23,+142,"6,760",26,18,1/154,1/6.03,2.81,"-1,055","6,974",22,26,1/145,1/6.52,4.40,"-1,148","7,375",23,19,1/176,1/5.96,2.49,"+2,878","9,685",41,36,1/126,1/5.70,4.76,"+1,038","8,012",34,18,1/154,1/5.82,2.16,+510,"8,370",29,34,1/133,1/6.02,4.93,"+2,270","8,076",30,42,1/112,1/5.82,5.42,"+2,270","8,112",35,37,1/113,1/6.23,5.31,"+1,229","8,528",32,35,1/127,1/5.99,5.02,+614,"7,831",29,28,1/137,1/6.00,4.35,-852,"7,054",24,19,1/164,1/6.18,2.75,"-2,417","8,032",21,21,1/191,1/6.06,2.41,"-1,252","5,949",19,12,1/192,1/6.05,1.99,+875,"8,242",32,26,1/142,1/5.90,3.67,-371,"7,332",27,19,1/159,1/6.14,2.62,-226,"6,488",25,17,1/154,1/6.28,2.76,-214,"6,348",24,15,1/163,1/6.07,2.40,"-1,852","6,366",19,14,1/193,1/6.26,2.10,-307,"6,143",25,12,1/166,1/6.31,2.00,"-1,165","8,941",27,29,1/160,1/6.02,3.62,+684,"6,918",29,20,1/141,1/6.17,3.27,+290,"8,108",30,27,1/142,1/6.08,3.95,"+2,313","7,798",32,31,1/124,1/5.67,4.90,"+3,084","8,912",35,41,1/117,1/5.54,5.33,"-1,130","9,874",30,29,1/167,1/5.84,2.99,"+2,887","8,377",37,32,1/121,1/5.73,4.83,+974,"9,529",35,30,1/147,1/5.69,3.61,"+2,487","8,712",38,28,1/132,1/5.68,3.92,"+2,026","6,318",29,24,1/119,1/6.02,4.66,"+2,272","8,957",33,44,1/116,1/5.78,5.40,"+3,733","8,636",40,36,1/114,1/5.74,5.17,"+1,420","9,464",32,41,1/130,1/5.66,5.19,"-1,443","9,128",23,32,1/166,1/5.71,4.00,+435,"8,770",29,38,1/131,1/6.01,5.15,+72,"8,451",27,28,1/154,1/5.65,3.80,"+1,409","8,477",39,22,1/139,1/6.21,2.76,-229,"6,890",23,21,1/157,1/5.86,3.35
2026-06-04,木,いいえ,+429,"5,698",22,22,1/130,1/6.34,4.56,"+1,426","4,490",20,20,1/112,1/6.17,4.92,-910,"2,566",7,7,1/183,1/6.52,3.12,-945,"3,628",10,9,1/191,1/5.98,2.75,"-1,212","2,830",8,3,1/257,1/6.20,1.97,+571,"3,538",15,8,1/154,1/5.69,2.72,+681,"4,023",20,9,1/139,1/6.49,2.71,"+2,574","8,033",38,28,1/122,1/6.04,4.44,-693,957,1,1,1/479,1/5.54,2.77,"-1,009","4,346",14,11,1/174,1/6.43,2.76,-957,"1,477",2,3,1/295,1/5.93,2.87,+246,"4,665",18,16,1/137,1/6.24,3.97,-241,"6,037",23,17,1/151,1/6.35,3.09,"+1,730","6,882",32,18,1/138,1/5.89,2.89,+597,"4,431",19,14,1/134,1/6.24,3.69,-325,"2,652",10,6,1/166,1/6.45,2.84,"+2,843","7,451",36,26,1/120,1/5.88,4.42,+52,"6,301",24,17,1/154,1/6.06,2.89,"+1,432","7,457",34,17,1/146,1/5.90,2.31,"+2,759","9,075",44,26,1/130,1/5.98,3.35,-516,"1,159",3,3,1/193,1/6.75,3.26,"-1,200","5,095",14,18,1/159,1/6.33,3.94,-319,"1,893",6,6,1/158,1/6.35,3.51,"-1,554","6,150",18,16,1/181,1/6.20,2.60,"+2,217","5,005",28,11,1/128,1/5.92,2.62,-580,"2,325",7,4,1/211,1/5.89,2.50,"+1,722","7,496",33,26,1/127,1/6.07,4.31,+467,"2,980",13,9,1/135,1/6.16,3.52,-597,"4,422",13,15,1/158,1/6.02,3.76,+90,"3,642",13,8,1/173,1/5.53,2.57,+504,"3,378",17,4,1/161,1/6.16,2.01,-261,"5,642",20,16,1/157,1/6.06,3.09,-696,"1,262",2,3,1/252,1/5.91,3.10,-829,"2,858",8,8,1/179,1/6.31,3.15,-78,"1,612",5,5,1/161,1/5.70,3.47,"+1,522","6,316",30,16,1/137,1/6.01,2.82,"-1,119","4,428",12,15,1/164,1/6.30,3.72,-58,"1,923",6,8,1/137,1/6.08,4.09,+206,"4,332",18,14,1/135,1/6.55,3.75,-93,"4,612",18,12,1/154,1/6.26,2.91,-313,"1,287",4,2,1/215,1/5.90,2.84
2026-06-03,水,いいえ,+551,"4,304",18,13,1/139,1/6.08,3.50,+29,"7,262",30,18,1/151,1/6.37,2.54,+281,"3,770",15,12,1/140,1/6.17,3.65,-177,"3,288",12,11,1/143,1/6.47,3.75,"-1,374","2,815",6,8,1/201,1/6.49,3.13,+243,"4,863",19,11,1/162,1/5.80,2.47,-629,"2,232",7,4,1/203,1/6.22,2.59,"-1,397","3,519",7,14,1/168,1/6.39,4.16,"+2,252","5,329",27,19,1/116,1/6.00,4.38,"+1,461","3,665",18,16,1/108,1/6.29,4.76,-693,"2,309",6,8,1/165,1/6.43,3.68,"+1,513","7,497",30,28,1/129,1/5.86,4.60,+206,"4,177",17,11,1/149,1/6.15,3.01,+328,"3,689",13,13,1/142,1/5.74,3.94,"+2,200","7,790",36,23,1/132,1/5.86,3.47,-945,"7,705",26,24,1/154,1/6.35,3.47,"-1,026","1,277",1,5,1/213,1/6.93,3.69,+130,"5,810",23,15,1/153,1/6.12,2.78,"+1,119","6,218",26,24,1/124,1/6.22,4.66,"-1,014","8,772",22,37,1/149,1/5.80,4.96,"-1,061","1,260",1,2,1/420,1/5.98,2.76,+388,"5,007",17,20,1/135,1/5.84,4.55,"+1,507","5,699",28,15,1/133,1/6.13,3.04,"+2,348","6,926",35,23,1/119,1/6.26,4.19,"-1,014","1,637",3,2,1/327,1/6.00,2.47,+20,"6,853",24,28,1/132,1/6.36,4.84,-267,"7,679",28,20,1/160,1/6.03,2.61,-133,"4,369",17,12,1/151,1/6.37,3.11,"+2,809","8,297",38,33,1/117,1/6.00,5.00,+655,"6,678",30,17,1/142,1/6.39,2.76,"-1,403","6,512",17,23,1/163,1/6.06,3.98,+75,"8,441",28,35,1/134,1/6.13,4.99,"+2,452","7,145",35,27,1/115,1/6.27,4.76,+690,"5,332",23,13,1/148,1/5.97,2.69,-516,"3,524",12,8,1/176,1/6.11,2.64,-319,"3,810",11,15,1/147,1/5.96,4.27,-684,"4,679",14,17,1/151,1/6.24,4.07,+104,"4,460",16,14,1/149,1/5.93,3.55,-383,"4,212",11,17,1/150,1/5.74,4.38,+580,"5,654",24,12,1/157,1/5.88,2.26,-157,"3,446",14,7,1/164,1/6.32,2.51
2026-06-02,火,いいえ,"-1,270","1,991",3,5,1/249,1/6.28,2.97,+968,"4,865",22,14,1/135,1/6.09,3.36,-881,"1,215",1,4,1/243,1/6.23,3.44,-823,"2,514",6,5,1/229,1/5.67,2.57,"+1,400","6,867",27,29,1/123,1/5.98,5.00,"+3,328","5,813",34,20,1/108,1/6.16,4.40,"-1,101","3,767",11,8,1/198,1/6.16,2.41,-672,"7,900",24,26,1/158,1/5.86,3.71,-478,"2,047",6,5,1/186,1/6.04,3.03,-748,"2,651",8,8,1/166,1/6.67,3.38,-252,"2,279",8,3,1/207,1/5.67,2.33,-162,"7,196",22,28,1/144,1/5.86,4.60,-510,"1,481",5,1,1/247,1/6.29,2.40,"+2,183","7,028",34,22,1/126,1/6.05,3.84,"-1,148","5,301",15,20,1/151,1/6.46,4.27,"+2,070","5,465",26,19,1/121,1/5.81,4.24,-536,"1,645",4,4,1/206,1/5.88,3.07,-809,"1,552",3,3,1/259,1/5.98,2.83,"+1,229","6,200",27,23,1/124,1/6.28,4.52,+110,"3,742",13,13,1/144,1/5.92,3.89,+55,"1,679",7,4,1/153,1/6.23,3.15,-29,"3,941",13,13,1/152,1/5.81,3.69,-81,"6,507",23,22,1/145,1/6.14,3.94,"-1,783","3,205",7,3,1/321,1/5.99,1.78,-443,"1,787",5,3,1/223,1/5.64,2.66,-707,"2,617",9,3,1/218,1/6.23,2.11,-84,"2,577",10,5,1/172,1/6.00,2.64,-722,"1,926",3,10,1/148,1/6.32,4.48,-284,"7,658",22,32,1/142,1/5.85,4.90,-238,819,3,1,1/205,1/6.66,2.99,"+1,652","4,005",18,20,1/105,1/6.02,5.10,-986,"2,184",4,8,1/182,1/6.31,3.73,-699,"2,341",6,7,1/180,1/6.15,3.33,-417,"2,121",7,6,1/163,1/6.50,3.30,-171,"1,023",4,0,1/256,1/5.80,2.52,-78,"3,861",16,7,1/168,1/6.19,2.25,-29,"1,832",8,5,1/141,1/6.94,3.34,+128,"2,397",11,4,1/160,1/6.31,2.56,+139,"4,639",19,10,1/160,1/6.05,2.42,-162,"2,694",11,3,1/192,1/5.99,2.11,-365,"2,244",7,6,1/173,1/6.03,3.16
2026-06-01,月,いいえ,-748,"4,239",13,10,1/184,1/5.90,2.56,+400,"5,871",24,16,1/147,1/6.12,3.01,-586,"2,382",8,4,1/199,1/6.26,2.48,"+1,296","7,374",31,28,1/125,1/6.24,4.70,-759,"4,622",13,18,1/149,1/6.23,4.32,"-1,345","3,018",8,4,1/252,1/6.20,2.03,-510,"4,153",12,13,1/166,1/5.80,3.43,-649,"3,768",12,10,1/171,1/6.15,2.96,-806,"2,628",9,4,1/202,1/6.58,2.31,-232,"2,742",10,7,1/161,1/6.24,3.05,"+4,217","6,445",34,32,1/98,1/5.81,5.38,"+1,861","5,607",25,25,1/112,1/6.11,5.07,"-1,246","6,703",21,18,1/172,1/6.16,2.71,"+5,174","8,135",42,38,1/102,1/5.65,5.39,+110,"4,444",14,14,1/159,1/5.48,3.49,"+3,977","5,800",33,19,1/112,1/5.45,4.16,"+3,919","8,097",40,36,1/107,1/5.96,5.30,"+2,513","7,298",36,26,1/118,1/6.20,4.53,"+1,333","6,982",28,29,1/122,1/6.10,4.97,-670,"6,426",19,21,1/161,1/5.85,3.64,"+1,783","5,853",27,24,1/115,1/6.26,4.89,-386,"5,390",19,17,1/150,1/6.31,3.57,"-1,212","2,538",5,7,1/212,1/6.19,3.08,"+1,374","7,487",29,33,1/121,1/6.09,5.16,"-1,293","3,161",7,7,1/226,1/5.92,2.55,"+1,783","7,754",31,32,1/123,1/5.90,5.01,-551,"3,828",12,11,1/166,1/6.05,3.18,"+1,409","5,456",29,10,1/140,1/6.28,2.12,+9,"4,948",16,16,1/155,1/5.68,3.62,"+1,678","5,598",27,21,1/117,1/6.38,4.57,"+2,052","7,226",33,27,1/120,1/6.13,4.67,-791,"2,672",8,6,1/191,1/6.32,2.76,"+1,113","4,980",23,13,1/138,1/5.97,3.00,-762,"2,123",6,4,1/212,1/6.25,2.65,-180,"4,521",16,13,1/156,1/6.05,3.20,-687,"3,735",11,12,1/162,1/6.17,3.54,-557,"3,328",10,9,1/175,1/5.94,3.04,-739,981,2,0,1/491,1/6.32,2.49,"+3,783","7,200",42,20,1/116,1/6.07,3.44,-72,"5,660",21,16,1/153,1/6.10,3.11,-84,"2,556",9,8,1/150,1/6.11,3.52
2026-05-31,日,いいえ,"-1,391","5,057",14,12,1/195,1/6.01,2.42,"+3,797","8,290",42,35,1/108,1/6.13,5.22,"+2,304","7,239",31,38,1/105,1/6.33,5.43,"-1,136","5,332",14,17,1/172,1/5.92,3.45,"+1,084","8,879",32,37,1/129,1/5.95,5.07,"-1,281","4,789",12,16,1/171,1/6.10,3.64,+220,"9,175",34,32,1/139,1/6.22,4.27,"+1,188","6,807",33,15,1/142,1/6.29,2.31,-278,"7,174",25,21,1/156,1/6.00,3.16,+635,"7,966",31,30,1/131,1/6.31,4.65,"+1,930","8,168",38,23,1/134,1/6.04,3.21,"-1,710","5,738",15,15,1/191,1/6.04,2.61,-209,"8,667",24,38,1/140,1/5.76,5.12,"-1,919","6,075",18,12,1/203,1/6.25,1.92,"+2,252","8,769",36,40,1/115,1/6.09,5.32,"+1,296","7,442",34,20,1/138,1/6.18,2.97,-429,"6,545",21,21,1/156,1/5.93,3.60,-870,"7,183",23,23,1/156,1/6.17,3.59,"-1,299","7,367",20,25,1/164,1/5.95,3.81,+435,"6,928",30,13,1/161,1/6.05,1.87,+67,"6,175",22,16,1/163,1/5.73,2.69,-417,"7,416",26,21,1/158,1/6.06,2.99,"+2,209","7,324",35,26,1/120,1/6.22,4.49,"-1,867","5,237",13,13,1/201,1/6.10,2.48,"+1,513","9,419",35,44,1/119,1/6.13,5.36,"+1,032","7,952",30,31,1/130,1/5.99,4.78,+267,"7,415",30,15,1/165,1/5.91,1.93,-461,"6,693",23,22,1/149,1/6.25,3.78,-438,"6,992",24,23,1/149,1/6.21,3.79,"-1,078","5,782",20,14,1/170,1/6.45,2.48,+191,"8,134",29,32,1/133,1/6.26,4.80,"-1,096","3,317",9,8,1/195,1/6.22,2.73,+968,"9,060",34,34,1/133,1/6.01,4.68,"+3,768","8,603",40,38,1/110,1/5.83,5.30,-70,"7,611",27,24,1/149,1/6.04,3.58,-864,"5,941",17,20,1/161,1/5.96,3.76,+122,"8,200",31,26,1/144,1/6.21,3.68,"-1,188","5,517",16,20,1/153,1/6.47,4.11,"+1,878","7,620",35,23,1/131,1/6.02,3.59,"-1,246","6,646",18,23,1/162,1/6.02,3.90,"+2,887","7,957",38,31,1/115,1/6.08,4.93
