日付,曜日,特定日,2022番台,,,,,,,2023番台,,,,,,,2024番台,,,,,,,2025番台,,,,,,,2026番台,,,,,,,2027番台,,,,,,,2050番台,,,,,,,2051番台,,,,,,,2052番台,,,,,,,2053番台,,,,,,,2054番台,,,,,,,2055番台,,,,,,,2056番台,,,,,,,2057番台,,,,,,,2058番台,,,,,,,2059番台,,,,,,,2060番台,,,,,,,2061番台,,,,,,,2062番台,,,,,,,2063番台,,,,,,,2064番台,,,,,,,2065番台,,,,,,,2066番台,,,,,,,2067番台,,,,,,,2068番台,,,,,,,2069番台,,,,,,,2070番台,,,,,,,2177番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-27,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,014","6,959",30,19,1/142,1/6.02,3.01,+796,"5,098",22,17,1/131,1/6.25,3.95,"-1,198","4,910",14,14,1/175,1/6.18,3.04,-304,"5,420",19,13,1/169,1/5.88,2.50,-992,"3,467",10,7,1/204,1/6.04,2.39,"+3,713","6,557",36,25,1/107,1/5.94,4.82,-696,"3,245",9,9,1/180,1/5.92,3.09,+197,"5,624",22,14,1/156,1/5.97,2.66,-504,"2,189",7,7,1/156,1/6.74,3.54,"+3,414","6,352",36,23,1/108,1/6.20,4.63,"-1,086","1,921",4,3,1/274,1/6.19,2.51,+115,"6,500",22,25,1/138,1/6.03,4.55,"-1,796","6,944",18,19,1/188,1/5.90,2.67,-101,"4,435",14,14,1/158,1/5.67,3.50,+196,"7,615",26,29,1/138,1/6.01,4.60,"+1,615","5,293",27,12,1/136,1/6.00,2.60,"+1,310","9,450",36,35,1/133,1/5.91,4.64,"+2,802","7,794",37,33,1/111,1/6.22,5.17,"-1,192","7,835",21,30,1/154,1/5.99,4.50,-500,"5,797",17,22,1/149,1/5.96,4.35,"-1,198","4,275",12,11,1/186,1/6.17,2.76,+107,"7,538",28,21,1/154,1/5.96,2.95,"+1,302","7,422",26,37,1/118,1/5.95,5.35,-701,"4,331",15,7,1/197,1/5.96,1.96,"+1,810","6,293",29,22,1/123,1/6.06,4.31,"-1,385","4,625",11,12,1/201,1/5.78,2.68
2026-06-26,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+404,"2,751",12,7,1/145,1/6.00,3.11,+206,"1,847",9,3,1/154,1/6.36,2.74,+307,"1,550",7,2,1/172,1/5.45,2.68,"-1,088","1,783",3,3,1/297,1/5.99,2.60,-502,479,0,1,1/479,1/6.23,3.27,-487,"5,000",15,20,1/143,1/6.19,4.50,"+1,613","4,951",22,21,1/115,1/6.02,4.86,+404,"2,408",11,6,1/142,1/6.12,3.14,"+1,009","2,906",15,10,1/116,1/6.42,3.97,+313,"2,176",9,5,1/155,1/5.67,3.00,+0,"1,034",4,2,1/172,1/5.84,3.11,-390,"2,649",8,9,1/156,1/6.17,3.69,-304,"1,221",4,3,1/174,1/6.55,3.23,-595,641,1,0,1/641,1/6.60,2.79,+313,"2,774",11,7,1/154,1/5.70,3.05,+203,"4,164",17,9,1/160,1/5.96,2.50,+0,"2,436",9,6,1/162,1/5.87,3.03,-98,"3,166",9,14,1/138,1/5.89,4.52,-297,373,0,1,1/373,1/5.41,3.39,+795,"6,487",26,24,1/130,1/6.21,4.48,+207,"1,138",5,3,1/142,1/5.92,3.36,+407,"3,937",17,9,1/151,1/6.03,2.69,+410,"1,232",6,2,1/154,1/5.40,2.97,-102,"1,468",6,3,1/163,1/6.48,3.03,"-1,197","3,717",9,11,1/186,1/6.08,3.19,-102,"3,976",16,11,1/147,1/6.53,3.18
2026-06-25,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,493","4,628",11,13,1/193,1/5.97,2.93,"+2,620","7,199",35,26,1/118,1/6.05,4.57,"-1,985","4,330",7,15,1/197,1/6.00,3.64,"+2,316","7,770",35,27,1/125,1/5.88,4.36,-390,"7,791",30,16,1/169,1/6.09,1.91,+0,"7,532",29,30,1/128,1/6.80,4.85,-489,"3,296",11,10,1/157,1/6.40,3.41,"-1,092","4,900",15,11,1/188,1/6.05,2.34,+0,"4,119",16,12,1/147,1/6.29,3.32,+905,"8,393",31,30,1/138,1/5.86,4.37,"+1,995","7,566",34,29,1/120,1/6.19,4.80,"+1,010","9,365",32,44,1/123,1/6.03,5.34,"+1,010","8,095",29,33,1/131,1/5.88,4.94,"+1,701","9,341",33,47,1/117,1/5.98,5.42,+310,"9,031",32,34,1/137,1/6.10,4.65,"+1,201","6,846",28,25,1/129,1/6.04,4.46,"-1,087","5,059",15,14,1/174,1/6.14,2.93,"+4,915","5,605",34,30,1/88,1/5.87,5.43,"+1,610","3,092",19,6,1/124,1/6.08,2.73,-999,"6,366",16,24,1/159,1/5.80,4.29,-398,"4,110",13,13,1/158,1/6.00,3.51,"+1,508","6,408",25,30,1/117,1/6.00,5.21,"+2,621","7,681",32,38,1/110,1/5.94,5.39,-592,"4,138",12,12,1/172,1/5.80,3.16,"-1,193","6,622",20,19,1/170,1/6.09,2.99,-598,"5,564",18,17,1/159,1/6.08,3.36
2026-06-24,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-196,"5,904",19,23,1/141,1/6.09,4.52,+801,"4,053",14,22,1/113,1/5.99,5.19,-496,"2,249",6,7,1/173,1/5.97,3.43,-394,"2,361",7,4,1/215,1/5.50,2.47,-105,"6,531",19,32,1/128,1/6.10,5.24,"-1,195","5,683",18,16,1/167,1/6.39,2.99,-391,988,2,3,1/198,1/6.00,3.42,-190,"1,848",6,2,1/231,1/5.31,2.38,-104,"1,850",7,3,1/185,1/5.86,2.67,+307,"4,872",20,13,1/148,1/6.14,3.00,-593,568,0,1,1/568,1/6.06,3.16,-905,"2,207",6,6,1/184,1/6.81,3.16,-705,"6,753",20,22,1/161,1/5.85,3.63,+0,740,3,3,1/123,1/7.15,3.75,"+1,013","3,506",16,9,1/140,1/5.62,3.07,-698,"1,695",4,4,1/212,1/6.16,3.02,-697,"2,186",5,5,1/219,1/5.65,2.84,"+2,097","4,706",28,9,1/127,1/6.19,2.39,-191,727,2,2,1/182,1/6.10,3.39,"-1,794","4,547",8,16,1/189,1/5.90,3.73,-105,309,1,0,1/309,1/5.81,3.17,"+1,097","5,880",23,22,1/131,1/5.83,4.46,-501,"2,626",6,7,1/202,1/5.30,3.02,+406,"1,081",7,2,1/120,1/7.30,3.18,"+2,808","5,689",31,19,1/114,1/6.01,4.20,+0,"6,789",25,18,1/158,1/5.93,2.76
2026-06-23,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-592,"3,985",13,10,1/173,1/6.06,2.79,-799,788,0,1,1/788,1/5.73,2.91,+406,"1,597",7,4,1/145,1/5.55,3.24,+204,"5,749",24,12,1/160,1/6.09,2.20,-902,"5,998",18,20,1/158,1/6.13,3.74,+901,"2,908",15,7,1/132,1/6.11,3.06,-592,644,0,1,1/644,1/5.46,3.07,-394,803,2,1,1/268,1/6.18,2.97,"+1,210","5,356",26,11,1/145,1/5.99,2.30,-98,"2,661",11,5,1/166,1/6.29,2.59,+116,738,3,0,1/246,1/4.80,2.77,+0,"3,545",13,10,1/154,1/5.99,3.22,-97,"1,387",5,2,1/198,1/5.65,2.77,+116,"1,594",7,2,1/177,1/5.81,2.63,-195,673,2,0,1/337,1/5.36,2.80,"+1,401","6,733",27,26,1/127,1/5.89,4.68,-192,"1,532",5,4,1/170,1/6.00,3.24,-485,"3,780",12,11,1/164,1/6.04,3.23,-390,409,0,0,-,1/5.06,3.01,-296,"2,963",9,10,1/156,1/5.96,3.69,-300,629,1,1,1/315,1/5.33,3.13,+507,"2,098",10,5,1/140,1/5.96,3.12,-999,"2,753",8,7,1/184,1/6.71,2.96,+0,"1,866",6,5,1/170,1/5.46,3.22,-296,"2,106",8,2,1/211,1/5.96,2.23,"-2,207","3,381",5,4,1/376,1/5.74,1.80
2026-06-22,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,390","2,970",6,8,1/212,1/6.17,2.97,-790,889,1,0,1/889,1/5.88,2.54,+0,"4,237",15,13,1/151,1/5.95,3.46,+802,"3,159",16,5,1/150,1/5.90,2.33,-590,"3,158",12,5,1/186,1/6.48,2.22,+902,"3,686",17,12,1/127,1/6.15,3.81,+714,"3,666",17,10,1/136,1/6.18,3.24,-994,"1,718",3,2,1/344,1/5.71,2.40,-396,"2,187",7,3,1/219,1/5.66,2.37,+802,"2,116",10,5,1/141,1/5.36,3.10,-197,"1,158",3,5,1/145,1/6.18,3.91,+0,"2,892",11,6,1/170,1/5.82,2.65,"+1,396","4,475",21,15,1/124,1/5.98,3.99,+107,"2,390",10,8,1/133,1/6.67,3.74,+401,"5,412",21,14,1/155,1/5.80,2.81,"+3,211","3,932",27,7,1/116,1/5.53,2.50,"-1,198","2,424",4,7,1/220,1/5.95,3.16,+0,"5,195",19,16,1/148,1/6.09,3.48,+408,"3,701",14,13,1/137,1/5.92,3.96,-199,"1,272",4,3,1/182,1/5.90,3.17,"+1,315","5,311",25,16,1/130,1/6.14,3.58,"-1,089","2,368",4,7,1/215,1/5.87,3.22,-392,748,2,0,1/374,1/5.99,2.72,"+1,510","3,714",22,7,1/128,1/6.33,2.53,+498,"5,797",21,25,1/126,1/6.21,4.93,"-1,002","2,869",7,4,1/261,1/5.58,2.10
2026-06-21,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-98,"6,322",20,22,1/151,1/5.78,4.01,"-1,904","3,981",8,11,1/210,1/6.24,2.90,+110,"7,197",24,26,1/144,1/5.89,4.29,-502,"6,118",21,16,1/165,1/6.00,2.71,-894,"6,685",24,15,1/171,1/6.26,2.19,-701,"5,304",20,13,1/161,1/6.60,2.62,"+3,089","8,866",40,38,1/114,1/6.02,5.24,-895,"5,256",16,15,1/170,1/6.06,3.05,"+1,403","5,813",25,18,1/135,1/5.75,3.64,"+2,094","8,470",40,25,1/130,1/6.13,3.50,-299,"9,068",30,26,1/162,1/5.76,2.94,"-1,498","3,902",10,8,1/217,1/6.13,2.29,"+3,010","7,579",36,31,1/113,1/5.98,5.06,-900,"5,141",16,15,1/166,1/6.19,3.16,-405,"6,626",24,14,1/174,1/5.91,2.05,-792,"3,737",12,6,1/208,1/5.90,2.05,"-1,392","6,241",15,13,1/223,1/5.32,1.94,"-1,493","8,314",23,31,1/154,1/6.17,4.40,-490,"9,676",31,32,1/154,1/5.90,3.81,-897,"6,862",19,25,1/156,1/5.91,4.20,-793,"8,580",26,27,1/162,1/5.83,3.44,"-1,297","3,643",11,7,1/202,1/6.51,2.28,-484,"6,861",23,22,1/152,1/6.12,3.63,"-1,304","5,796",16,17,1/176,1/6.02,3.08,"-1,197","6,513",20,15,1/186,1/5.92,2.21,"+1,910","6,826",32,21,1/129,1/6.00,3.70
2026-06-20,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-891,"4,009",10,13,1/174,1/5.84,3.51,-393,"2,749",9,7,1/172,1/6.07,3.00,"+3,420","6,659",38,21,1/113,1/6.14,4.05,"+5,191","8,174",49,28,1/106,1/6.04,4.60,-799,"4,386",13,13,1/169,1/6.07,3.23,-391,"7,830",24,31,1/142,1/6.02,4.73,"-1,297","1,770",3,4,1/253,1/6.93,2.90,-895,"3,671",10,11,1/175,1/6.09,3.27,"-1,009","6,800",21,20,1/166,1/6.05,3.11,"+1,815","7,483",35,21,1/134,1/6.04,3.21,"+3,013","6,411",37,16,1/121,1/6.13,2.96,-301,"4,130",14,10,1/172,1/5.83,2.69,"-1,091","3,600",10,9,1/189,1/6.21,2.77,"-1,900","4,486",10,7,1/264,1/5.73,1.81,+714,"6,137",27,19,1/133,1/6.45,3.66,+308,"6,512",24,20,1/148,1/5.91,3.47,"+1,413","5,125",24,15,1/131,1/5.95,3.45,-787,"5,671",16,22,1/149,1/6.11,4.42,+509,"2,740",14,4,1/152,1/6.21,2.36,"+2,101","7,006",32,25,1/123,1/5.98,4.45,-793,"2,008",5,4,1/223,1/6.07,2.73,"+1,309","5,984",26,19,1/133,1/5.93,3.77,"-1,001","2,061",5,2,1/294,1/5.96,2.19,-505,"4,247",15,9,1/177,1/6.07,2.38,-199,"7,631",26,27,1/144,1/6.12,4.21,"-1,190","7,007",23,20,1/163,1/6.35,3.00
2026-06-19,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,496","2,714",6,4,1/271,1/6.24,2.18,-96,"1,405",5,3,1/176,1/5.88,3.06,-103,995,4,2,1/166,1/6.55,3.16,-190,"3,226",11,14,1/129,1/6.69,4.53,+116,"2,472",6,15,1/118,1/5.79,5.02,+910,"3,940",17,11,1/141,1/5.69,3.25,-196,586,2,1,1/195,1/6.82,3.22,+208,"2,576",11,3,1/184,1/5.62,2.19,-793,"4,093",12,13,1/164,1/6.18,3.49,+108,"2,778",9,7,1/174,1/5.29,2.97,-199,"1,401",5,1,1/234,1/5.63,2.47,-500,"2,017",6,3,1/224,1/5.75,2.48,-505,"1,197",3,2,1/239,1/6.07,2.90,+0,"1,618",6,4,1/162,1/5.89,3.18,+0,"2,636",11,4,1/176,1/6.00,2.36,"+2,419","6,006",31,16,1/128,1/5.81,3.12,-191,"2,151",7,7,1/154,1/6.11,3.58,+109,"1,173",5,2,1/168,1/5.77,3.00,-500,"1,358",4,1,1/272,1/5.92,2.48,-302,"1,955",5,9,1/140,1/6.20,4.28,-599,"2,512",7,6,1/193,1/5.88,2.88,+109,"5,266",21,18,1/135,1/6.57,4.01,"+1,202","7,791",32,30,1/126,1/6.25,4.77,-296,"1,094",3,4,1/156,1/6.57,3.66,-697,"7,131",22,26,1/149,1/6.13,4.28,+607,"4,278",19,11,1/143,1/6.12,2.98
2026-06-18,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-493,"2,214",6,7,1/170,1/6.05,3.47,-697,831,0,2,1/416,1/5.47,3.19,-696,825,2,0,1/413,1/7.42,2.64,"-1,190","2,063",3,4,1/295,1/5.70,2.61,-501,610,0,1,1/610,1/5.15,3.11,-398,470,0,0,-,1/4.74,2.94,+714,"5,990",23,23,1/130,1/6.09,4.56,+407,"5,791",21,18,1/148,1/5.76,3.52,-497,471,0,1,1/471,1/6.28,3.27,"+1,506","3,489",18,13,1/113,1/6.14,4.30,-396,"1,525",4,3,1/218,1/5.63,2.89,"+1,815","2,351",14,9,1/102,1/5.58,4.21,-105,"3,536",11,12,1/154,1/5.75,3.74,-101,"2,794",11,6,1/164,1/6.17,2.74,-101,"2,412",10,5,1/161,1/6.43,2.79,+109,852,3,2,1/170,1/5.17,3.28,+801,"7,705",31,25,1/138,1/6.11,3.87,+606,"2,718",11,11,1/124,1/5.95,4.28,-395,"2,414",6,9,1/161,1/5.78,3.86,-502,460,0,1,1/460,1/6.49,3.29,+0,"3,544",13,11,1/148,1/6.11,3.52,-503,"1,455",4,3,1/208,1/6.18,2.97,-190,"3,134",10,11,1/149,1/6.02,3.84,-395,"3,521",9,12,1/168,1/5.52,3.69,-198,"2,302",8,5,1/177,1/5.88,2.83,"-1,190","2,921",7,6,1/225,1/6.05,2.50
