日付,曜日,特定日,676番台,,,,,,,677番台,,,,,,,678番台,,,,,,,679番台,,,,,,,680番台,,,,,,,681番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-13,土,いいえ,"-1,528","4,435",10,10,1/222,1/5.70,2.34,"-1,598","1,759",2,2,1/440,1/6.51,2.33,-590,"3,557",12,7,1/187,1/6.03,2.37,"+1,456","6,139",26,23,1/125,1/5.97,4.54,+766,"5,920",26,10,1/164,1/5.75,1.84,-747,"3,998",12,11,1/174,1/6.04,3.01
2026-06-12,金,いいえ,-293,"2,348",6,12,1/130,1/6.29,4.65,"-1,336","1,857",3,2,1/371,1/6.14,2.29,-293,"2,084",7,5,1/174,1/6.09,3.02,-661,"1,555",4,3,1/222,1/6.28,2.86,+320,"5,350",19,20,1/137,1/5.98,4.34,+126,"2,163",9,4,1/166,1/5.87,2.72
2026-06-11,木,いいえ,+641,"7,641",26,35,1/125,1/6.08,5.22,"+1,097","4,187",21,10,1/135,1/6.16,2.86,+926,"5,148",22,16,1/135,1/5.99,3.64,+773,"6,499",27,23,1/130,1/6.34,4.30,-53,"1,947",8,4,1/162,1/6.29,2.90,"+1,643","4,286",22,12,1/126,1/5.92,3.37
2026-06-10,水,いいえ,-243,"4,509",18,8,1/173,1/6.15,2.08,-686,"1,561",3,4,1/223,1/5.87,3.13,-479,711,2,0,1/356,1/6.96,2.76,-87,"5,767",19,19,1/152,1/5.84,3.74,+394,"5,708",21,19,1/143,1/5.91,3.86,+430,"1,137",7,0,1/162,1/5.89,2.51
2026-06-09,火,いいえ,-545,"3,927",13,7,1/196,1/5.77,2.14,-799,"1,660",3,4,1/237,1/5.87,3.02,-101,"1,343",5,3,1/168,1/6.14,3.13,-259,"5,419",22,13,1/155,1/6.51,2.59,-89,714,3,1,1/179,1/6.59,3.11,"-1,019","2,706",7,5,1/226,1/6.03,2.43
2026-06-08,月,いいえ,-195,"3,395",10,16,1/131,1/6.26,4.75,"+4,419","9,504",44,43,1/109,1/5.74,5.38,"+1,436","5,945",24,21,1/132,1/5.65,4.22,-642,"4,826",15,15,1/161,1/6.08,3.43,+149,"4,197",17,11,1/150,1/6.18,2.99,"-1,119","2,423",4,8,1/202,1/5.98,3.47
2026-06-07,日,はい,+619,"7,084",28,25,1/134,1/6.23,4.28,"+1,680","6,558",27,27,1/121,1/5.91,4.92,"+1,082","8,739",31,41,1/121,1/6.11,5.33,-752,"2,678",8,6,1/191,1/6.24,2.75,"+1,614","9,511",38,40,1/122,1/6.21,5.18,-280,"3,657",13,9,1/166,1/6.05,2.82
2026-06-06,土,はい,"-2,535","5,961",14,11,1/238,1/5.98,1.79,"-3,852","7,295",15,15,1/243,1/6.21,1.78,-790,"6,548",21,14,1/187,1/5.73,2.04,-68,"7,120",28,20,1/148,1/6.35,3.06,-645,"6,192",20,19,1/159,1/6.07,3.37,"+1,432","6,909",32,18,1/138,1/6.06,2.87
2026-06-05,金,いいえ,+307,"4,788",21,9,1/160,1/6.11,2.16,-704,"6,002",21,17,1/158,1/6.35,3.06,+431,"3,844",17,9,1/148,1/6.14,2.78,-873,"3,638",11,7,1/202,1/5.95,2.29,+266,"8,697",27,38,1/134,1/5.89,5.14,-652,"3,979",13,11,1/166,1/6.26,3.07
2026-06-04,木,いいえ,"+2,190","6,637",34,16,1/133,1/5.98,2.67,-406,"3,797",15,7,1/173,1/6.39,2.27,-281,"3,573",14,7,1/170,1/6.27,2.41,-772,"5,695",21,10,1/184,1/6.16,1.86,"+1,466","5,188",25,18,1/121,1/6.32,4.21,"+1,342","7,544",33,26,1/128,1/6.27,4.27
2026-06-03,水,いいえ,-476,0,0,0,-,-,-,+84,"5,996",21,22,1/139,1/6.11,4.31,-16,"3,262",13,7,1/163,1/6.08,2.64,-667,"2,587",7,6,1/199,1/5.84,2.80,-684,"1,126",2,2,1/282,1/6.12,2.93,+854,"2,990",14,12,1/115,1/6.40,4.37
2026-06-02,火,いいえ,-461,"2,341",9,3,1/195,1/6.44,2.30,-927,"3,791",11,12,1/165,1/6.39,3.48,-668,"1,576",5,0,1/315,1/6.11,2.11,"-1,675","6,033",14,21,1/172,1/5.99,3.83,+465,"5,983",24,18,1/142,1/6.11,3.44,"-1,390","2,458",4,8,1/205,1/6.43,3.43
2026-06-01,月,いいえ,-893,"2,758",7,6,1/212,1/5.89,2.64,-788,"4,378",11,21,1/137,1/6.37,4.94,-690,"1,692",4,4,1/212,1/6.15,3.02,"+1,572","5,788",26,19,1/129,1/5.90,3.95,+77,"5,712",24,13,1/154,1/6.32,2.42,"-1,144","2,710",7,5,1/226,1/6.24,2.43
2026-05-31,日,いいえ,+271,"5,330",17,23,1/133,1/5.87,4.83,-308,"2,945",10,7,1/173,1/5.96,2.84,+434,"5,440",18,24,1/130,1/5.91,4.92,+513,"4,740",17,22,1/122,1/6.21,4.99,-273,"2,839",10,6,1/177,1/5.95,2.66,"-1,703","3,741",7,12,1/197,1/6.17,3.38
2026-05-30,土,いいえ,-332,"5,718",21,18,1/147,1/6.43,3.59,"-1,615","4,685",11,15,1/180,1/6.21,3.43,-581,"1,996",6,3,1/222,1/5.98,2.50,-986,"3,096",10,3,1/238,1/6.12,1.87,"-1,602","4,598",11,11,1/209,1/5.92,2.46,+235,"5,005",19,14,1/152,1/5.91,3.12
2026-05-29,金,いいえ,-361,"2,415",8,6,1/173,1/6.11,3.02,+542,"5,192",20,16,1/144,1/5.84,3.52,"+1,749","5,455",24,21,1/121,1/5.83,4.60,-935,"4,306",12,12,1/179,1/5.95,3.00,"-1,175","3,483",11,6,1/205,1/6.49,2.19,"-1,086","1,668",2,5,1/238,1/6.20,3.29
2026-05-28,木,いいえ,-880,"2,637",7,6,1/203,1/6.11,2.76,-21,"5,898",19,23,1/140,1/5.97,4.53,-470,"2,441",8,6,1/174,1/6.27,2.99,+940,"3,721",18,10,1/133,1/6.13,3.22,+837,"4,290",19,12,1/138,1/5.96,3.26,-332,"4,482",16,13,1/155,1/6.26,3.24
2026-05-27,水,はい,"-1,477","4,915",14,11,1/197,1/6.16,2.31,+88,"6,173",24,16,1/154,1/6.08,2.75,"-1,654","6,314",17,20,1/171,1/6.22,3.42,"+1,348","6,880",28,22,1/138,1/5.74,3.77,+720,"5,412",24,14,1/142,1/6.16,2.90,-611,"3,803",9,13,1/173,1/5.53,3.68
2026-05-26,火,いいえ,-295,"2,724",10,6,1/170,1/6.22,2.77,-63,"4,444",17,14,1/143,1/6.40,3.60,+909,"6,550",23,28,1/128,1/5.82,4.97,-644,"3,909",10,14,1/163,1/5.80,3.89,-347,"2,393",8,5,1/184,1/5.96,2.74,"+1,026","4,200",21,11,1/131,1/6.33,3.13
2026-05-25,月,いいえ,"-1,320","6,137",17,20,1/166,1/6.13,3.58,-792,"6,754",22,23,1/150,1/6.32,3.93,-455,"6,768",24,20,1/154,1/6.22,3.24,-290,"6,685",26,15,1/163,1/6.19,2.23,-403,"5,556",20,12,1/174,1/5.95,2.23,-726,"7,217",23,20,1/168,1/5.88,2.83
2026-05-24,日,いいえ,-662,"2,274",6,5,1/207,1/5.86,2.79,+226,"5,223",22,13,1/149,1/6.28,2.75,"-1,252","2,668",5,6,1/243,1/5.82,2.66,-16,"3,991",14,12,1/154,1/5.91,3.38,+516,"6,505",25,20,1/145,1/5.94,3.51,-949,"3,218",8,10,1/179,1/6.10,3.38
2026-05-23,土,いいえ,-880,"3,948",11,13,1/165,1/6.20,3.61,+269,"5,642",23,14,1/152,1/6.09,2.68,-788,"3,644",11,7,1/202,1/5.84,2.28,-898,"3,370",10,7,1/198,1/6.07,2.46,-17,"7,475",26,19,1/166,1/5.68,2.50,+249,"3,469",14,9,1/151,1/5.99,3.04
2026-05-22,金,いいえ,"-1,057","1,251",1,3,1/313,1/6.37,3.08,"-1,071","4,617",15,9,1/192,1/6.19,2.14,"-1,146","5,326",18,8,1/205,1/6.06,1.72,-357,"2,406",8,5,1/185,1/5.95,2.73,-9,"5,058",17,19,1/141,1/6.05,4.30,-396,"3,469",10,15,1/139,1/6.28,4.52
