日付,曜日,特定日,157番台,,,,,,,,,158番台,,,,,,,,,160番台,,,,,,,,,161番台,,,,,,,,,162番台,,,,,,,,,163番台,,,,,,,,,165番台,,,,,,,,,166番台,,,,,,,,,167番台,,,,,,,,,168番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-14,日,いいえ,-100,162,0,1,1/162,-,3.65,30,1.0,+441,370,2,4,1/62,-,4.40,6,-,-290,239,0,0,-,-,3.21,29,3.0,-4,706,3,1,1/177,-,3.12,26,5.0,-841,"1,218",1,4,1/244,-,3.44,45,15.0,-263,504,1,1,1/252,-,3.28,21,4.0,-302,249,0,0,-,-,3.20,29,3.0,+542,"1,900",9,6,1/127,-,3.62,10,4.0,-453,532,0,2,1/266,-,3.54,73,28.0,-64,53,0,0,-,-,3.44,17,7.0
2026-06-13,土,はい,-154,335,1,0,1/335,-,3.14,26,9.0,+513,"7,827",29,28,1/137,-,4.35,11,3.0,+192,"1,119",5,3,1/140,-,3.39,28,2.0,-632,"1,382",3,3,1/230,-,3.01,17,1.0,+217,"2,138",10,3,1/164,-,2.50,39,11.0,+199,"2,648",12,4,1/166,-,2.38,8,-,"+1,096","3,027",17,5,1/138,-,2.46,16,3.0,+149,"1,778",8,3,1/162,-,2.77,11,3.0,"-1,400","3,859",5,21,1/148,-,5.05,63,24.0,-269,"2,153",7,6,1/166,-,3.26,13,2.0
2026-06-12,金,いいえ,-456,455,0,1,1/455,-,3.29,22,6.0,+739,"2,422",10,12,1/110,-,4.70,16,1.0,+324,"2,288",10,6,1/143,-,3.23,38,5.0,"+1,195","1,124",9,3,1/94,-,3.55,14,7.0,-122,675,2,2,1/169,-,3.45,66,26.0,+256,"1,482",7,3,1/148,-,3.05,16,1.0,-732,"1,177",2,2,1/294,-,2.88,33,11.0,-411,"3,082",9,11,1/154,-,3.85,15,1.0,-90,361,1,1,1/181,-,3.45,40,2.0,"+1,372","1,938",14,2,1/121,-,2.54,7,-
2026-06-11,木,いいえ,"+1,330","5,994",28,16,1/136,-,3.03,21,10.0,+96,416,2,1,1/139,-,3.42,25,2.0,-174,"1,262",5,1,1/210,-,2.60,56,22.0,-136,815,3,1,1/204,-,3.00,34,5.0,-273,512,1,1,1/256,-,3.27,73,17.0,+550,"2,903",15,3,1/161,-,2.07,23,2.0,-9,631,3,0,1/210,-,2.88,28,3.0,-331,273,0,0,-,-,3.17,6,-,-396,"1,059",2,4,1/177,-,3.66,29,1.0,"+2,430","5,008",28,15,1/116,-,3.71,11,5.0
2026-06-10,水,いいえ,-74,843,3,2,1/169,-,3.30,48,10.0,-311,464,1,0,1/464,-,2.99,35,8.0,-58,256,1,0,1/256,-,3.23,38,1.0,-263,296,0,1,1/296,-,3.48,18,14.0,-265,218,0,0,-,-,3.24,64,16.0,-32,"1,829",6,7,1/141,-,3.89,37,2.0,-108,376,1,1,1/188,-,3.43,27,1.0,"+1,153","1,446",10,4,1/103,-,3.54,4,-,-106,295,1,0,1/295,-,3.19,26,3.0,-330,351,0,1,1/351,-,3.42,23,5.0
2026-06-09,火,いいえ,-360,822,1,4,1/164,-,3.89,44,5.0,+106,"1,190",5,3,1/149,-,3.30,33,4.0,-191,157,0,0,-,-,3.31,29,9.0,+217,"1,049",4,5,1/117,-,4.06,7,-,-135,270,0,2,1/135,-,3.85,58,14.0,-654,"2,530",5,12,1/149,-,4.49,37,4.0,+297,"4,479",17,15,1/140,-,3.85,8,1.0,-263,217,0,0,-,-,3.24,13,5.0,-10,870,3,3,1/145,-,3.60,39,2.0,-243,616,2,0,1/308,-,2.86,20,7.0
2026-06-08,月,いいえ,+285,"4,122",16,13,1/142,-,3.61,24,6.0,-244,280,0,1,1/280,-,3.50,37,3.0,-120,"1,168",4,3,1/167,-,3.29,26,2.0,-357,294,0,0,-,-,3.15,14,2.0,-46,612,2,2,1/153,-,3.53,59,21.0,-550,820,1,2,1/273,-,3.24,34,8.0,"-1,119","1,209",1,1,1/605,-,2.52,12,-,+68,"2,529",9,9,1/141,-,3.85,12,-,-200,531,1,2,1/177,-,3.58,38,1.0,+463,"1,391",7,4,1/126,-,3.48,18,4.0
2026-06-07,日,いいえ,-236,402,1,0,1/402,-,3.06,33,2.0,-255,210,0,0,-,-,3.25,17,4.0,-255,289,0,1,1/289,-,3.49,17,4.0,+346,705,4,2,1/118,-,3.50,13,5.0,-42,35,0,0,-,-,3.46,33,2.0,"+2,630","4,031",26,10,1/112,-,3.20,31,6.0,+440,"1,538",8,3,1/140,-,3.03,8,-,+171,562,3,1,1/141,-,3.29,20,1.0,+487,638,5,0,1/128,-,2.95,25,5.0,-329,271,0,0,-,-,3.17,19,2.0
2026-06-06,土,はい,-160,"1,647",5,6,1/150,-,3.75,30,1.0,-109,"2,021",7,6,1/155,-,3.41,13,2.0,-190,"1,562",6,2,1/195,-,2.63,14,1.0,-177,"1,344",5,2,1/192,-,2.81,19,2.0,-949,"7,319",20,30,1/146,-,4.78,29,9.0,-777,"1,789",4,4,1/224,-,2.92,82,52.0,+387,"5,266",20,18,1/139,-,3.98,17,2.0,+157,"2,584",10,8,1/144,-,3.53,20,1.0,+432,"1,704",8,5,1/131,-,3.49,15,1.0,"+2,023","7,403",36,20,1/132,-,3.07,11,-
2026-06-05,金,いいえ,-806,"1,843",3,7,1/184,-,3.76,28,1.0,+179,"1,258",6,2,1/157,-,2.94,8,-,+301,"4,011",14,17,1/129,-,4.61,11,3.0,-95,"2,425",9,6,1/162,-,3.04,14,3.0,-570,"1,252",3,2,1/250,-,2.84,27,4.0,-474,"3,440",12,7,1/181,-,2.46,63,30.0,-445,"8,408",28,28,1/150,-,3.87,29,1.0,+949,"2,268",12,7,1/119,-,3.64,33,1.0,+527,"3,012",12,12,1/126,-,4.29,23,9.0,-715,"1,738",4,4,1/217,-,2.97,32,3.0
