日付,曜日,特定日,1013番台,,,,,,,1014番台,,,,,,,1015番台,,,,,,,1016番台,,,,,,,1017番台,,,,,,,1018番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-16,火,はい,-249,"4,369",15,15,1/146,1/6.25,3.88,+378,"7,259",29,21,1/145,1/6.16,3.22,+331,"3,720",17,9,1/143,1/6.48,2.89,"+1,554","6,471",28,22,1/129,1/5.91,4.13,-700,"3,007",10,5,1/200,1/6.15,2.28,+836,"5,669",26,15,1/138,1/6.31,3.00
2026-06-15,月,いいえ,"+1,220","6,168",30,15,1/137,1/6.30,2.69,"+2,507","6,587",35,17,1/127,1/6.04,2.99,"-2,155","3,000",5,2,1/429,1/6.01,1.71,"+1,803","6,027",28,22,1/121,1/6.12,4.48,-674,"5,254",19,11,1/175,1/6.20,2.21,-162,"5,488",20,17,1/148,1/6.22,3.51
2026-06-14,日,いいえ,-744,"1,699",4,4,1/212,1/6.28,3.01,"-1,104","2,544",5,8,1/196,1/6.15,3.38,+886,"5,445",25,12,1/147,1/6.04,2.43,-734,"1,805",5,3,1/226,1/6.31,2.64,+349,"2,680",12,7,1/141,1/6.24,3.19,"+1,403","5,889",28,13,1/144,1/5.89,2.40
2026-06-13,土,はい,"-1,037","5,948",16,21,1/161,1/5.97,3.97,+689,"3,172",15,8,1/138,1/6.09,3.08,+782,"6,358",22,28,1/127,1/5.89,5.03,-502,"4,042",16,8,1/168,1/6.56,2.34,-905,"4,711",15,12,1/174,1/6.19,2.72,"-1,195","5,066",15,11,1/195,1/5.97,2.23
2026-06-12,金,いいえ,-758,"2,463",6,7,1/189,1/5.98,3.20,-17,"3,283",11,13,1/137,1/6.15,4.26,-275,"1,625",6,3,1/181,1/6.38,2.86,-666,"3,795",13,10,1/165,1/6.46,2.97,+229,"3,720",13,14,1/138,1/5.92,4.17,+519,"5,501",23,18,1/134,1/6.36,3.86
2026-06-11,木,はい,-728,"4,826",15,13,1/172,1/5.98,2.88,"+1,225","3,043",16,10,1/117,1/6.19,3.86,"+1,342","5,002",22,20,1/119,1/6.12,4.67,"-1,190","1,420",2,2,1/355,1/6.64,2.63,+680,"5,545",20,25,1/123,1/6.10,5.02,"-1,781","4,391",11,7,1/244,1/5.96,1.86
2026-06-10,水,いいえ,-887,"2,663",7,6,1/205,1/6.06,2.73,-573,"5,114",20,6,1/197,1/6.05,1.61,-401,"3,599",11,13,1/150,1/6.14,3.96,+174,"5,591",21,15,1/155,1/5.89,2.91,+220,"2,251",10,5,1/150,1/6.17,2.96,-874,"4,974",17,7,1/207,1/5.88,1.72
2026-06-09,火,いいえ,-774,"2,404",7,5,1/200,1/6.27,2.70,+100,"3,539",16,3,1/186,1/5.98,1.77,-562,928,2,0,1/464,1/5.78,2.54,+553,"4,130",17,12,1/142,1/5.93,3.35,"+1,418","3,004",17,10,1/111,1/6.37,3.94,"-1,108","4,221",12,7,1/222,1/5.74,1.96
2026-06-08,月,いいえ,-642,"1,734",5,4,1/193,1/6.60,3.01,+208,"6,096",25,15,1/152,1/6.18,2.61,"-1,407","5,869",17,16,1/178,1/6.16,2.80,"-1,004","2,370",6,4,1/237,1/6.12,2.44,"-1,084","2,255",5,2,1/322,1/5.68,2.06,"+2,005","5,590",29,14,1/130,1/5.96,2.91
2026-06-07,日,いいえ,-333,"2,297",9,1,1/230,1/5.89,1.94,-932,"1,695",3,5,1/212,1/6.39,3.30,-651,"1,513",4,2,1/252,1/6.11,2.61,-392,"4,088",13,12,1/164,1/5.92,3.25,-375,"1,762",7,2,1/196,1/6.62,2.48,-732,"4,421",14,11,1/177,1/6.02,2.69
2026-06-06,土,はい,-609,"5,470",20,13,1/166,1/6.30,2.49,"+3,302","6,919",34,33,1/103,1/6.11,5.34,"+3,002","7,201",39,16,1/131,1/5.84,2.40,-455,"6,905",23,20,1/161,1/5.94,3.08,+480,"5,991",22,20,1/143,1/5.86,3.88,"-1,084","6,831",24,16,1/171,1/6.34,2.28
2026-06-05,金,いいえ,"-1,498","4,644",12,14,1/179,1/6.31,3.22,-304,"2,865",12,5,1/169,1/6.66,2.45,-275,"5,332",17,19,1/148,1/6.00,4.07,-611,"2,420",7,8,1/161,1/6.49,3.59,"+1,573","5,387",24,20,1/122,1/5.96,4.45,"+1,932","4,801",27,8,1/137,1/5.90,2.10
2026-06-04,木,いいえ,-704,"2,602",8,2,1/260,1/5.66,1.92,"-1,023","2,108",5,3,1/264,1/6.10,2.38,-802,"2,712",8,5,1/209,1/6.08,2.46,-896,"4,028",10,13,1/175,1/5.82,3.49,-688,"1,471",3,4,1/210,1/6.21,3.23,"-1,857","5,907",17,9,1/227,1/5.94,1.63
2026-06-03,水,いいえ,+495,"4,886",21,16,1/132,1/6.48,3.86,-311,"1,220",5,0,1/244,1/6.43,2.37,"-1,140","2,681",5,9,1/192,1/6.09,3.54,-408,"1,734",5,5,1/173,1/6.19,3.33,+374,"1,613",9,2,1/147,1/6.47,2.68,-254,"2,504",8,8,1/157,1/6.07,3.54
2026-06-02,火,いいえ,"-1,120","2,670",6,8,1/191,1/6.36,3.28,"+1,541","4,497",19,21,1/112,1/5.88,5.02,-382,"2,580",9,4,1/198,1/5.90,2.35,+861,"3,086",14,10,1/129,1/5.90,3.74,+382,"3,941",18,7,1/158,1/6.12,2.25,-73,"4,105",16,11,1/152,1/6.28,3.05
2026-06-01,月,いいえ,-633,"4,538",15,11,1/175,1/6.03,2.62,-672,"1,859",6,1,1/266,1/6.13,2.14,-826,"2,905",8,8,1/182,1/6.21,3.10,+128,"4,615",21,7,1/165,1/6.32,1.92,-81,"3,681",14,11,1/147,1/6.33,3.41,"+2,501","7,103",35,18,1/134,1/5.72,2.80
2026-05-31,日,いいえ,"-1,456","2,155",2,6,1/269,1/5.90,3.07,+392,"2,145",10,5,1/143,1/6.08,3.07,-249,"3,833",15,7,1/174,1/6.13,2.25,+676,"5,843",25,16,1/143,1/6.13,3.07,+904,"5,629",27,14,1/137,1/6.43,2.81,+511,"6,225",24,21,1/138,1/6.07,3.98
2026-05-30,土,はい,-681,"4,254",14,12,1/164,1/6.30,3.12,+872,"5,389",23,15,1/142,1/5.93,3.16,-402,"6,928",24,21,1/154,1/6.11,3.35,"-1,384","2,909",6,7,1/224,1/6.13,2.74,+429,"6,933",25,24,1/141,1/5.92,4.10,-379,"7,313",25,27,1/141,1/6.33,4.42
2026-05-29,金,いいえ,"-1,286","4,197",13,5,1/233,1/6.01,1.72,-852,"2,183",7,2,1/243,1/6.42,2.15,-633,"4,908",17,10,1/182,1/6.00,2.19,-678,"2,454",5,10,1/164,1/5.92,4.07,-959,"4,539",15,8,1/197,1/6.07,2.01,"-1,446","4,120",11,9,1/206,1/6.16,2.37
2026-05-28,木,いいえ,+743,"4,708",20,15,1/135,1/6.10,3.73,-915,"3,080",7,10,1/181,1/5.93,3.49,"-1,023","3,583",10,8,1/199,1/6.02,2.53,"-1,561","4,027",10,9,1/212,1/6.14,2.41,"-1,159","3,225",6,8,1/230,1/5.46,2.72,+817,"3,878",18,10,1/139,1/6.04,3.06
2026-05-27,水,いいえ,+513,"3,385",16,5,1/161,1/5.93,2.17,+890,"6,420",25,26,1/126,1/6.16,4.82,-876,"1,549",3,1,1/387,1/5.65,2.29,"+2,715","4,358",30,9,1/112,1/6.56,2.74,+144,965,5,1,1/161,1/6.28,2.91,"+1,130","6,208",25,20,1/138,1/5.76,3.78
2026-05-26,火,はい,-872,"4,973",15,13,1/178,1/5.95,2.75,"+1,598","6,090",30,15,1/135,1/6.08,2.76,+127,"3,473",13,15,1/124,1/6.62,4.60,+879,"5,512",23,16,1/141,1/5.88,3.32,"+2,401","5,466",30,18,1/114,1/6.30,4.13,+324,"6,512",27,17,1/148,1/6.23,2.80
2026-05-25,月,いいえ,+183,"5,067",18,18,1/141,1/6.01,4.10,"+1,350","4,336",23,10,1/131,1/6.23,2.79,+654,"3,225",17,2,1/170,1/5.94,1.79,"-1,923","4,805",10,15,1/192,1/6.12,3.27,+517,"2,664",14,5,1/140,1/6.56,2.69,"+1,203","8,210",33,31,1/128,1/6.15,4.70
2026-05-24,日,いいえ,-384,"5,051",18,14,1/158,1/6.20,3.04,-803,"1,729",5,1,1/288,1/6.23,2.21,+25,"6,990",26,21,1/149,1/6.11,3.36,-68,"2,349",8,7,1/157,1/5.89,3.40,"-1,174","4,458",12,14,1/171,1/6.21,3.41,"-1,333","3,556",8,6,1/254,1/5.60,2.08
2026-05-23,土,はい,"-1,216","3,325",9,8,1/196,1/6.39,2.72,+173,"6,687",27,19,1/145,1/6.32,3.15,-96,"4,111",13,14,1/152,1/5.78,3.79,+995,"3,917",18,15,1/119,1/6.36,4.39,-998,"4,874",13,16,1/168,1/5.97,3.59,"+3,063","8,459",39,39,1/108,1/6.22,5.36
2026-05-22,金,はい,+603,"4,465",19,11,1/149,1/5.90,2.81,"-1,054","6,002",18,20,1/158,1/6.25,3.74,"+2,316","5,238",28,16,1/119,1/6.00,3.76,"+1,751","2,763",19,4,1/120,1/6.19,2.49,-137,"3,634",14,5,1/191,1/5.75,1.98,-332,"5,054",19,10,1/174,1/6.02,2.14
2026-05-21,木,いいえ,"-1,393","1,231",0,2,1/616,1/6.42,2.75,"+1,399","5,046",24,16,1/126,1/6.13,3.81,-372,"1,065",3,3,1/178,1/6.66,3.37,+621,"5,150",22,14,1/143,1/6.09,3.08,+488,"2,551",13,5,1/142,1/6.40,2.76,-152,"4,589",18,6,1/191,1/5.78,1.76
2026-05-20,水,いいえ,-987,"6,265",20,11,1/202,1/5.71,1.75,+754,"1,355",9,1,1/136,1/5.96,2.65,"+2,433","7,832",34,32,1/119,1/5.91,5.03,+349,"2,034",10,3,1/156,1/6.05,2.59,"-1,781","3,406",6,7,1/262,1/5.85,2.33,+18,"5,736",21,16,1/155,1/5.95,3.04
2026-05-19,火,いいえ,"-1,548","2,616",4,7,1/238,1/6.16,2.96,-321,"3,417",13,5,1/190,1/5.98,2.08,+447,"4,924",19,18,1/133,1/6.16,4.25,-807,"1,854",4,5,1/206,1/6.18,3.16,"+1,205","5,390",25,17,1/128,1/6.24,3.78,"-1,108","4,736",16,6,1/215,1/6.04,1.68
2026-05-18,月,いいえ,"-1,299","3,980",13,4,1/234,1/6.22,1.69,+104,"3,950",15,12,1/146,1/6.11,3.46,-185,"5,796",19,18,1/157,1/5.82,3.45,+51,"4,780",19,13,1/149,1/6.26,3.06,-931,"3,848",13,7,1/192,1/6.33,2.19,+334,"5,224",19,19,1/137,1/6.02,4.23
2026-05-17,日,いいえ,+503,"4,106",17,12,1/142,1/6.02,3.37,-263,"2,931",10,7,1/172,1/5.92,2.86,-473,"2,796",9,5,1/200,1/5.80,2.42,"+2,007","6,669",30,30,1/111,1/6.32,5.20,"-1,598","4,158",9,14,1/181,1/6.26,3.60,"+2,427","8,194",35,36,1/115,1/6.03,5.24
2026-05-16,土,はい,"+3,006","8,169",36,36,1/113,1/5.86,5.25,"+1,208","7,574",34,20,1/140,1/6.13,2.86,-19,"5,920",23,14,1/160,1/6.05,2.46,+716,"6,194",27,15,1/147,1/6.08,2.59,-849,"7,269",23,20,1/169,1/5.91,2.79,"-2,995","6,230",14,10,1/260,1/6.01,1.61
