日付,曜日,特定日,186番台,,,,,,,187番台,,,,,,,188番台,,,,,,,189番台,,,,,,,190番台,,,,,,,191番台,,,,,,,192番台,,,,,,,193番台,,,,,,,194番台,,,,,,,195番台,,,,,,,196番台,,,,,,,197番台,,,,,,,198番台,,,,,,,199番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-17,水,いいえ,-902,"1,655",3,2,1/331,1/5.66,2.45,"+1,449","5,112",24,13,1/138,1/5.77,2.91,-657,"1,306",3,2,1/261,1/6.14,2.78,-599,"5,611",19,12,1/181,1/5.86,2.17,-985,"5,135",14,17,1/166,1/5.99,3.64,+206,"3,994",17,6,1/174,1/5.86,2.01,-602,"3,353",12,5,1/197,1/6.12,2.10,"-1,181","5,568",17,13,1/186,1/6.04,2.35,-319,"1,416",4,2,1/236,1/5.48,2.70,-793,"2,455",6,7,1/189,1/6.07,3.20,"+1,259","3,615",19,10,1/125,1/6.21,3.37,-218,"2,423",10,4,1/173,1/6.44,2.51,+710,"6,004",23,24,1/128,1/6.16,4.72,"+1,753","7,596",30,33,1/121,1/5.93,5.14
2026-06-16,火,はい,-462,"3,193",11,8,1/168,1/6.26,2.92,"+1,326","7,014",31,21,1/135,1/6.07,3.50,"+1,819","7,981",31,33,1/125,1/5.79,5.02,-679,"4,200",13,12,1/168,1/6.08,3.13,"-1,474","4,456",10,14,1/186,1/6.00,3.34,+267,"5,901",22,18,1/148,1/5.95,3.45,-92,"4,875",19,9,1/174,1/5.91,2.07,+50,"7,006",25,24,1/143,1/6.11,4.04,"-1,055","5,677",15,16,1/183,1/5.68,2.90,-227,"6,132",18,22,1/153,1/5.67,4.11,"+1,095","8,134",33,32,1/125,1/6.33,4.88,"-1,831","3,125",7,4,1/284,1/6.36,1.96,"-1,014","3,461",10,7,1/204,1/6.08,2.39,-536,"4,761",16,12,1/170,1/6.02,2.71
2026-06-15,月,いいえ,+110,"4,651",17,15,1/145,1/6.04,3.68,-249,"3,137",13,4,1/185,1/6.23,2.07,-726,"2,629",8,5,1/202,1/6.13,2.53,-597,"1,551",4,2,1/259,1/5.83,2.57,"+1,346","7,229",29,25,1/134,1/5.82,4.20,"-1,567","3,547",9,6,1/236,1/6.21,2.10,+840,"5,117",25,9,1/151,1/6.18,2.06,-751,"2,319",6,3,1/258,1/5.59,2.24,+302,"4,845",21,11,1/151,1/6.24,2.54,"+3,328","4,101",30,9,1/105,1/6.22,2.98,"+1,554","7,016",30,28,1/121,1/6.20,4.87,-280,"3,098",8,12,1/155,1/5.64,4.08,-893,"4,241",12,13,1/170,1/6.09,3.34,-937,"1,872",3,7,1/187,1/6.31,3.73
2026-06-14,日,いいえ,-854,"1,516",4,0,1/379,1/6.13,2.12,"+1,009","6,426",24,26,1/129,1/5.89,4.80,"-2,022","4,159",9,9,1/231,1/6.19,2.29,-445,"1,089",3,2,1/218,1/6.39,3.01,"+1,154","8,130",34,30,1/127,1/6.33,4.62,-34,"3,715",14,10,1/155,1/6.09,3.08,-945,"5,123",17,11,1/183,1/6.13,2.24,"-1,745","3,165",7,7,1/226,1/6.61,2.54,-223,"3,858",14,10,1/161,1/6.11,2.94,+873,"6,943",27,24,1/136,1/5.95,4.15,+225,"2,660",12,5,1/156,1/6.16,2.62,-366,"3,899",13,12,1/156,1/6.15,3.44,+86,"2,953",13,4,1/174,1/6.06,2.18,+253,"5,362",23,11,1/158,1/6.15,2.23
2026-06-13,土,いいえ,"+1,561","6,509",28,22,1/130,1/5.87,4.10,-226,"4,524",17,14,1/146,1/6.47,3.52,-254,"2,467",9,6,1/164,1/6.27,3.00,+998,"4,985",23,13,1/138,1/6.07,3.00,"-1,494","4,211",11,7,1/234,1/5.89,1.95,+855,"6,734",27,19,1/146,1/5.81,3.11,-87,"4,626",18,9,1/171,1/5.95,2.20,+641,"5,311",20,15,1/152,1/5.59,3.13,"+1,893","6,941",33,19,1/133,1/5.96,3.12,+603,"4,480",20,10,1/149,1/6.03,2.57,+857,"4,432",22,9,1/143,1/6.26,2.43,-519,"2,426",7,4,1/221,1/5.59,2.42,"-1,444","2,747",5,5,1/275,1/5.83,2.34,"+1,583","6,126",27,21,1/128,1/5.93,4.16
2026-06-12,金,いいえ,+73,"4,093",16,10,1/157,1/6.02,2.78,+21,"3,112",12,10,1/141,1/6.36,3.64,-346,"1,728",6,3,1/192,1/6.20,2.75,+404,"4,306",18,13,1/139,1/6.24,3.49,"+2,120","5,085",30,11,1/124,1/6.39,2.62,-585,"1,770",6,2,1/221,1/6.46,2.44,-362,"5,151",18,16,1/152,1/6.24,3.49,+262,"2,408",9,8,1/142,1/5.80,3.68,+302,"5,051",21,11,1/158,1/6.00,2.39,-14,"2,656",10,8,1/148,1/6.21,3.45,"-1,283","2,866",7,6,1/220,1/6.31,2.55,"-1,163","5,512",16,16,1/172,1/6.11,3.08,-912,"1,658",4,2,1/276,1/6.36,2.48,-966,"4,177",11,13,1/174,1/5.98,3.37
2026-06-11,木,いいえ,+479,"4,172",18,9,1/155,1/5.92,2.52,+748,"3,327",16,7,1/145,1/5.96,2.68,"+1,084","8,160",32,25,1/143,1/5.79,3.51,"-1,090","1,747",4,2,1/291,1/6.55,2.40,+468,"3,535",14,11,1/141,1/5.85,3.56,+951,"8,773",35,32,1/131,1/6.23,4.56,-633,"3,437",12,6,1/191,1/6.16,2.24,+783,"6,619",27,21,1/138,1/6.08,3.73,-355,"4,125",15,8,1/179,1/5.96,2.26,-167,"3,530",11,11,1/160,1/5.72,3.46,-343,"3,697",12,12,1/154,1/6.11,3.61,-220,"3,156",11,8,1/166,1/5.97,2.96,+377,"3,492",16,6,1/159,1/6.06,2.30,"-1,068","5,194",18,8,1/200,1/6.13,1.77
2026-06-10,水,いいえ,-766,"5,188",17,14,1/167,1/6.16,2.88,+481,"1,772",8,5,1/136,1/5.74,3.41,"+1,859","6,806",32,23,1/124,1/6.18,4.20,"+1,434","6,061",27,18,1/135,1/5.88,3.47,+84,"3,621",16,7,1/157,1/6.38,2.43,-157,"3,922",12,11,1/171,1/5.51,3.09,-439,"5,819",16,27,1/135,1/6.08,5.05,+418,"5,612",20,21,1/137,1/5.93,4.38,"-1,155","6,903",20,21,1/168,1/5.96,3.24,+33,"4,066",15,10,1/163,1/5.83,2.78,-461,"2,149",7,3,1/215,1/5.87,2.40,"+1,983","7,029",28,37,1/108,1/6.14,5.41,"+2,052","8,046",30,41,1/113,1/5.90,5.41,-382,"1,555",6,2,1/194,1/6.72,2.64
2026-06-09,火,いいえ,-472,"2,503",9,2,1/228,1/5.88,2.00,+297,"5,119",21,10,1/165,1/5.85,2.15,-736,"3,581",10,12,1/163,1/6.15,3.66,"-2,111","4,579",7,15,1/208,1/5.83,3.39,-151,"2,425",11,2,1/187,1/6.42,2.09,-928,"4,313",13,11,1/180,1/6.10,2.75,-49,"4,363",16,11,1/162,1/5.91,2.80,"+1,580","4,426",21,14,1/126,1/5.76,3.77,"-1,460","4,022",8,13,1/192,1/5.90,3.42,+431,"4,253",16,13,1/147,1/5.75,3.48,"-1,566","2,401",6,4,1/240,1/7.34,2.41,"-1,085","4,708",14,8,1/214,1/5.76,1.91,-827,"1,383",2,3,1/277,1/5.88,2.97,"+2,545","5,634",28,23,1/110,1/5.98,4.88
2026-06-08,月,いいえ,-22,"1,320",5,3,1/165,1/5.96,3.16,-644,"2,910",9,6,1/194,1/6.00,2.57,-162,"2,207",7,7,1/158,1/5.91,3.52,-44,"4,854",16,16,1/152,1/5.82,3.71,+252,"1,259",6,3,1/140,1/6.15,3.26,+784,"3,103",14,11,1/124,1/6.13,4.01,+25,"5,238",20,16,1/146,1/6.25,3.48,+262,"4,860",19,12,1/157,1/5.87,2.72,-658,"1,804",5,2,1/258,1/5.87,2.38,-713,"4,591",13,16,1/158,1/6.02,3.86,"-1,054","4,189",13,6,1/220,1/5.88,1.85,"+1,310","4,610",23,11,1/136,1/6.02,2.81,-731,"2,613",8,5,1/201,1/6.17,2.54,"-1,146","2,746",6,7,1/211,1/6.07,2.90
