日付,曜日,特定日,627番台,,,,,,,628番台,,,,,,,630番台,,,,,,,631番台,,,,,,,632番台,,,,,,,633番台,,,,,,,635番台,,,,,,,636番台,,,,,,,637番台,,,,,,,638番台,,,,,,,650番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-18,木,いいえ,-666,"5,058",16,17,1/153,1/6.25,3.78,+625,"1,280",7,2,1/142,1/5.37,2.96,-416,"2,843",10,7,1/167,1/6.34,2.94,+917,"2,433",13,6,1/128,1/6.04,3.19,-208,"1,915",7,4,1/174,1/6.15,2.90,-416,"2,156",6,5,1/196,1/5.66,2.91,+0,599,3,0,1/200,1/6.30,2.92,-750,"1,317",2,3,1/263,1/5.88,3.04,-750,"1,017",1,2,1/339,1/5.89,3.02,"-1,250","2,976",4,13,1/175,1/5.91,4.31,-333,817,2,0,1/409,1/5.30,2.65
2026-06-17,水,いいえ,-125,"3,971",14,12,1/153,1/6.06,3.40,-458,428,0,1,1/428,1/6.46,3.33,"+1,250","3,157",14,17,1/102,1/6.20,5.07,-166,139,0,0,-,1/5.97,3.33,-208,415,1,0,1/415,1/5.62,3.05,-583,"1,666",4,5,1/185,1/6.21,3.37,"+1,125","1,361",9,6,1/91,1/6.32,4.20,-833,"1,694",3,5,1/212,1/6.11,3.30,-458,440,0,0,-,1/5.36,2.98,-291,"5,193",19,14,1/157,1/6.18,2.94,+584,"2,142",12,2,1/153,1/6.14,2.31
2026-06-16,火,いいえ,+125,"3,099",13,8,1/148,1/6.32,3.09,-83,"1,203",3,4,1/172,1/5.28,3.54,-208,"1,552",4,6,1/155,1/5.81,3.82,+459,"5,974",23,22,1/133,1/6.23,4.38,-416,552,1,0,1/552,1/6.05,2.89,-250,491,1,0,1/491,1/5.30,2.96,"+3,625","4,861",32,13,1/108,1/5.88,3.44,+0,820,3,3,1/137,1/6.36,3.66,-83,"3,044",11,9,1/152,1/6.11,3.37,"-1,083","1,693",3,2,1/339,1/6.00,2.42,-750,"2,589",6,9,1/173,1/6.04,3.67
2026-06-15,月,いいえ,"+1,000","4,040",17,16,1/122,1/5.98,4.48,-291,"2,250",7,7,1/161,1/6.06,3.47,-750,"1,762",4,5,1/196,1/6.34,3.26,+0,"3,677",13,12,1/147,1/6.03,3.67,"+1,625","5,889",26,20,1/128,1/5.85,4.10,-291,"3,055",9,11,1/153,1/5.93,3.88,+0,"2,501",8,13,1/119,1/6.53,4.77,+167,"1,392",6,2,1/174,1/5.61,2.80,"+1,750","4,612",20,21,1/112,1/5.80,4.99,+125,"7,368",26,24,1/147,1/5.94,3.76,-125,"3,357",13,10,1/146,1/6.50,3.42
2026-06-14,日,いいえ,"+1,209","4,655",24,7,1/150,1/5.94,1.96,-333,889,2,1,1/296,1/5.40,2.88,-500,"1,142",3,3,1/190,1/6.78,3.28,"+1,625","5,359",26,15,1/131,1/5.96,3.29,"+1,459","3,002",17,7,1/125,1/5.86,3.04,-875,"3,790",11,11,1/172,1/6.20,3.19,-416,"1,071",3,1,1/268,1/5.93,2.72,-416,"3,981",15,9,1/166,1/6.35,2.59,+84,800,4,1,1/160,1/6.37,3.05,"-1,166","1,346",1,2,1/449,1/5.99,2.67,-291,"4,030",15,8,1/175,1/6.01,2.32
2026-06-13,土,はい,+375,"2,975",14,4,1/165,1/5.96,2.19,-83,"3,616",13,11,1/151,1/6.11,3.44,-833,"2,427",8,3,1/221,1/6.46,2.22,-500,"1,802",5,4,1/200,1/5.96,2.94,"+1,084","3,919",20,8,1/140,1/6.04,2.55,"-1,000","3,585",12,4,1/224,1/6.14,1.82,+84,"2,351",10,5,1/157,1/6.20,2.85,-541,"1,812",6,2,1/227,1/6.19,2.40,"-1,000","2,596",7,4,1/236,1/6.07,2.29,-125,"4,033",12,14,1/155,1/5.64,3.84,"-1,541","2,451",4,5,1/272,1/6.17,2.56
2026-06-12,金,いいえ,"-2,125","2,153",1,4,1/431,1/6.40,2.47,+167,"1,360",7,2,1/151,1/6.58,2.87,-500,"1,873",5,5,1/187,1/5.99,3.18,-333,"1,699",6,1,1/243,1/5.76,2.26,+667,"3,100",15,8,1/135,1/6.26,3.16,+125,"2,703",11,6,1/159,1/5.98,2.83,-125,"1,287",6,1,1/184,1/6.75,2.61,+84,"3,581",13,13,1/138,1/6.20,4.05,-541,"2,061",7,2,1/229,1/6.06,2.24,-541,"3,009",11,5,1/188,1/6.30,2.31,-125,"1,526",6,3,1/170,1/6.30,2.97
2026-06-11,木,いいえ,"-1,000","1,213",1,2,1/404,1/5.96,2.80,-291,461,1,0,1/461,1/5.91,2.99,"+1,292","5,754",27,17,1/131,1/6.21,3.49,"+1,042","3,586",17,10,1/133,1/5.89,3.32,-416,867,1,3,1/217,1/5.60,3.52,-708,845,0,2,1/423,1/5.45,3.17,+584,"2,500",10,7,1/147,1/5.38,3.31,+0,"3,417",13,7,1/171,1/5.82,2.51,-583,"1,637",4,4,1/205,1/6.04,3.08,"-2,000","2,588",3,3,1/431,1/5.90,2.00,+334,"3,991",14,17,1/129,1/6.06,4.63
2026-06-10,水,はい,-791,"2,064",6,3,1/229,1/6.27,2.44,-791,767,0,2,1/384,1/6.40,3.26,+84,"2,679",9,8,1/158,1/5.60,3.38,-791,"2,428",8,5,1/187,1/6.80,2.71,+500,"6,384",23,25,1/133,1/6.04,4.65,+959,"4,316",20,12,1/135,1/6.07,3.27,-541,707,1,1,1/354,1/6.28,3.04,"+1,417","4,264",22,11,1/129,1/6.08,3.10,-541,730,1,1,1/365,1/6.09,3.01,+0,"6,770",24,22,1/147,1/6.03,3.74,"-1,166","2,393",4,7,1/218,1/5.96,3.20
2026-06-09,火,いいえ,"-1,000","2,199",6,3,1/244,1/6.36,2.33,-375,608,1,1,1/304,1/5.96,3.15,"+1,542","5,031",25,11,1/140,1/5.82,2.51,+0,"1,520",6,3,1/169,1/5.94,2.97,-916,"1,609",4,3,1/230,1/6.92,2.80,-375,354,0,0,-,1/5.43,3.08,-125,"4,866",122,15,1/36,-,5.43,"-1,125","1,026",0,1,1/1026,1/5.96,2.66,-166,"1,595",6,2,1/199,1/5.89,2.60,-791,"1,325",3,2,1/265,1/6.56,2.76,-875,"2,476",6,6,1/206,1/5.99,2.88
