日付,曜日,特定日,667番台,,,,,,668番台,,,,,,670番台,,,,,,671番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,いいえ,"+1,980","6,395",32,23,1/116,4.82,-477,"3,963",14,8,1/180,2.51,"+1,981","5,615",30,19,1/115,4.70,"+2,055","6,544",29,27,1/117,4.96
2026-06-07,日,いいえ,-299,"3,235",11,7,1/180,2.71,-103,"4,747",15,15,1/158,3.29,+39,"3,979",16,10,1/153,3.08,-748,"2,750",8,6,1/196,2.70
2026-06-06,土,いいえ,+0,"3,909",15,14,1/135,3.95,-157,"1,243",5,1,1/207,2.84,+291,"6,384",23,22,1/142,3.86,-664,695,1,0,1/695,2.79
2026-06-05,金,いいえ,"-1,039","1,593",4,1,1/319,2.42,+91,"4,393",19,9,1/157,2.72,+354,"1,501",8,3,1/136,3.36,-120,"1,525",5,5,1/153,3.48
2026-06-04,木,いいえ,-721,"2,232",7,4,1/203,2.69,"-1,142","5,962",18,17,1/170,2.83,-163,"1,407",6,0,1/235,2.54,+174,"2,687",12,6,1/149,3.15
2026-06-03,水,いいえ,+199,"5,057",22,10,1/158,2.57,-433,"1,243",3,3,1/207,3.10,"-1,138","4,106",10,15,1/164,3.46,+777,"5,450",23,21,1/124,4.53
2026-06-02,火,いいえ,-910,"2,282",6,4,1/228,2.56,-896,"1,388",3,2,1/278,2.72,+434,"3,046",13,8,1/145,3.33,-157,"3,739",13,12,1/150,3.49
2026-06-01,月,いいえ,-561,952,2,0,1/476,2.63,"+2,197","6,279",32,18,1/126,4.06,-676,546,0,1,1/546,3.09,-234,"1,215",5,1,1/203,2.87
2026-05-31,日,いいえ,"+1,330","5,348",26,15,1/130,3.78,+298,"2,903",14,4,1/161,2.65,+446,"3,902",18,8,1/150,2.90,-360,"3,393",12,9,1/162,3.08
2026-05-30,土,はい,"-1,195","2,960",6,11,1/174,3.39,-803,"2,551",7,6,1/196,2.80,"+1,172","3,592",20,7,1/133,3.22,"+1,207","5,827",30,13,1/136,3.19
2026-05-29,金,いいえ,-815,"1,821",4,5,1/202,3.04,-543,"4,440",16,12,1/159,3.05,-458,789,1,2,1/263,3.17,+739,"2,653",13,7,1/133,3.55
2026-05-28,木,いいえ,+144,"5,423",21,18,1/139,3.82,-293,"1,125",3,2,1/225,3.00,"+1,156","5,014",23,14,1/136,3.60,-626,759,1,1,1/380,2.96
