日付,曜日,特定日,722番台,,,,,,723番台,,,,,,725番台,,,,,,726番台,,,,,,727番台,,,,,,728番台,,,,,,730番台,,,,,,731番台,,,,,,732番台,,,,,,733番台,,,,,,735番台,,,,,,736番台,,,,,,737番台,,,,,,738番台,,,,,,750番台,,,,,,751番台,,,,,,752番台,,,,,,753番台,,,,,,755番台,,,,,,756番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,いいえ,-10,"3,739",16,5,1/178,1.96,-864,"1,653",3,4,1/236,3.03,"+1,078","4,388",23,9,1/137,2.49,"-1,071","2,785",7,6,1/214,2.62,"-1,004","2,321",5,6,1/211,3.00,"+1,746","6,887",30,21,1/135,3.58,-992,"2,866",7,7,1/205,2.82,"+1,080","5,150",23,14,1/139,3.11,"+1,320","6,992",29,24,1/132,4.17,+91,"3,437",13,9,1/156,3.03,+326,"5,916",23,15,1/156,2.69,-982,"2,136",6,3,1/237,2.38,-237,"4,751",19,8,1/176,1.97,-311,"2,255",8,7,1/150,3.50,-853,"3,734",11,9,1/187,2.68,"+1,157","5,021",23,15,1/132,3.52,"+1,190","6,258",27,18,1/139,3.28,-966,"2,061",5,3,1/258,2.42,"-1,015","3,976",11,11,1/181,3.00,"-1,406","6,374",19,18,1/172,2.92
2026-06-07,日,いいえ,+597,"6,906",27,22,1/141,3.72,"+2,291","7,870",33,34,1/117,5.17,"+1,343","2,446",16,3,1/129,2.42,-258,"2,844",11,3,1/203,2.02,"-1,075","1,716",4,2,1/286,2.43,-118,"6,777",25,21,1/147,3.52,-43,"3,056",12,8,1/153,3.09,+358,"3,502",17,5,1/159,2.12,"-1,408","4,833",12,18,1/161,4.11,"-1,161","5,014",14,15,1/173,3.21,+372,"4,644",20,13,1/141,3.22,-15,"4,500",16,13,1/155,3.23,-499,"3,720",11,13,1/155,3.84,"+1,869","6,385",30,23,1/120,4.46,-920,"1,860",5,2,1/266,2.34,"-1,461","2,770",6,7,1/213,2.88,"-1,654","3,949",9,9,1/219,2.45,"+2,145","6,053",29,18,1/129,3.55,-117,"1,483",6,1,1/212,2.43,"-1,408","5,432",16,13,1/187,2.42
2026-06-06,土,いいえ,-273,"3,701",13,9,1/168,2.78,-326,"4,068",13,15,1/145,4.10,-135,855,3,2,1/171,3.28,"+2,653","6,414",33,22,1/117,4.32,+944,"6,400",25,25,1/128,4.68,-948,"2,446",6,5,1/222,2.63,"+1,674","6,336",30,18,1/132,3.31,-846,"1,571",3,2,1/314,2.52,-381,"4,615",16,12,1/165,2.84,-334,"4,692",17,10,1/174,2.33,-151,"2,140",8,3,1/195,2.44,-209,"5,569",19,18,1/151,3.66,-523,"5,549",17,18,1/159,3.61,-478,"2,253",7,4,1/205,2.57,"+1,274","6,348",27,24,1/124,4.60,"+2,262","5,087",28,15,1/118,3.63,-336,"1,599",4,3,1/228,2.81,-333,"4,059",13,14,1/150,3.85,+640,"5,882",25,20,1/131,4.08,-879,"3,587",12,6,1/199,2.14
2026-06-05,金,いいえ,"-1,039","6,982",22,23,1/155,3.73,-992,"3,161",9,5,1/226,2.15,"+2,735","5,308",28,22,1/106,4.92,"-1,209","1,989",3,7,1/199,3.60,"+1,221","6,560",27,24,1/129,4.45,-997,"1,639",2,4,1/273,3.00,-260,"4,358",16,12,1/156,3.08,-610,"2,499",8,7,1/167,3.23,"+2,546","5,350",28,22,1/107,4.90,-548,"5,491",20,11,1/177,2.09,+238,"3,991",16,11,1/148,3.16,+486,"4,157",20,8,1/148,2.36,-268,"4,405",15,13,1/157,3.28,+777,"6,400",27,19,1/139,3.41,-551,"3,915",13,11,1/163,3.13,-425,"3,907",12,13,1/156,3.68,"+2,149","5,454",28,19,1/116,4.30,-430,"1,858",6,3,1/206,2.63,"+1,698","9,195",35,41,1/121,5.28,+161,"6,572",23,26,1/134,4.69
2026-06-04,木,いいえ,+309,"4,108",19,8,1/152,2.37,+876,"3,228",16,8,1/135,3.06,"-1,333","3,217",7,10,1/189,3.34,"-1,020","3,616",9,13,1/164,3.87,"-1,003","3,312",7,12,1/174,3.83,+138,"3,459",15,5,1/173,2.10,-8,"1,447",6,1,1/207,2.46,+569,"4,260",19,10,1/147,2.73,"-1,252","3,766",9,12,1/179,3.43,"+1,791","6,539",30,20,1/131,3.65,+86,"1,407",7,2,1/156,2.82,"+2,384","5,239",29,16,1/116,3.79,+219,"6,655",23,24,1/142,4.27,-912,988,1,0,1/988,2.45,+711,"3,953",19,8,1/146,2.49,"+1,982","7,389",30,34,1/115,5.26,-485,485,0,0,-,2.93,"+1,012","2,771",15,6,1/132,2.90,-357,"5,859",18,24,1/140,4.70,-962,"3,766",9,14,1/164,3.99
2026-06-03,水,いいえ,"-1,461","2,038",3,5,1/255,2.92,-366,"4,780",16,13,1/165,2.95,"-1,049","1,432",3,0,1/477,2.16,-564,"2,433",7,6,1/187,2.96,-520,"4,092",14,11,1/164,2.99,"+3,069","5,211",28,24,1/100,5.16,+526,"6,157",24,20,1/140,3.80,+589,"4,897",21,17,1/129,4.10,-611,"2,953",9,10,1/155,3.70,"-2,116","5,628",14,13,1/208,2.24,-978,"1,690",4,3,1/241,2.72,-982,"5,436",14,22,1/151,4.54,-915,"2,370",6,4,1/237,2.44,-486,"9,070",29,35,1/142,4.71,"-1,208","1,837",2,4,1/306,2.80,-733,"4,437",13,14,1/164,3.47,"-1,531","1,566",1,1,1/783,2.23,"+1,101","3,523",19,6,1/141,2.36,-634,"3,060",9,5,1/219,2.22,-968,"5,685",17,21,1/150,4.23
2026-06-02,火,いいえ,-270,"1,903",6,5,1/173,3.18,-571,"5,198",20,11,1/168,2.26,-569,"2,057",6,6,1/171,3.33,-762,"1,884",4,5,1/209,3.13,"-1,393","4,829",14,10,1/201,2.17,+583,"2,469",11,8,1/130,3.69,+434,"2,814",12,11,1/122,4.22,-115,"4,017",15,10,1/161,2.82,-923,"3,728",12,4,1/233,1.76,-190,594,2,1,1/198,3.21,"+1,120","7,655",29,37,1/116,5.34,-566,"3,182",10,6,1/199,2.37,"-1,179","4,748",14,12,1/183,2.66,"-1,690","4,516",10,16,1/174,3.83,+937,"5,027",22,15,1/136,3.48,-222,"1,311",4,3,1/187,3.13,"+3,913","7,809",39,36,1/104,5.35,-392,527,1,0,1/527,2.92,-971,"1,947",5,2,1/278,2.27,-538,"5,584",20,11,1/180,2.04
2026-06-01,月,いいえ,"+2,429","5,493",29,18,1/117,4.07,-291,"2,935",11,6,1/173,2.61,+112,"1,720",7,5,1/143,3.43,+362,"6,553",28,16,1/149,2.57,+890,"3,910",18,10,1/140,3.03,-368,"2,409",7,7,1/172,3.29,+797,"5,000",21,18,1/128,4.25,-665,"3,681",12,8,1/184,2.51,+209,"4,527",19,10,1/156,2.50,"+1,167","4,144",21,11,1/130,3.19,"+1,209","4,541",22,15,1/123,3.96,-961,"3,732",10,10,1/187,2.92,+78,"5,022",19,15,1/148,3.38,+490,"4,441",21,9,1/148,2.40,+101,"2,760",10,9,1/145,3.64,+531,"3,328",14,9,1/145,3.18,-579,"2,280",4,11,1/152,4.44,+550,"9,161",30,34,1/143,4.53,-97,"2,553",10,5,1/170,2.66,-145,"2,615",10,5,1/174,2.60
2026-05-31,日,いいえ,"+3,157","6,029",31,23,1/112,4.73,-351,"3,422",12,9,1/163,3.01,"-1,250","3,117",7,7,1/223,2.59,"-1,403","4,289",10,10,1/214,2.44,-874,"2,506",7,2,1/278,1.96,-266,"6,394",22,18,1/160,3.00,-891,"2,773",7,6,1/213,2.63,-500,"4,312",16,9,1/172,2.36,"-1,509","3,338",8,6,1/238,2.21,+40,"8,924",29,33,1/144,4.49,-229,"2,523",10,4,1/180,2.42,+797,"7,534",28,29,1/132,4.69,+13,"5,461",21,14,1/156,2.77,-150,"4,196",17,9,1/161,2.47,+113,"6,405",25,16,1/156,2.60,+126,"4,571",16,13,1/158,3.16,-715,"3,749",11,10,1/179,2.94,"-2,206","4,944",10,13,1/215,2.63,+98,"1,778",9,1,1/178,2.28,+101,"6,169",25,15,1/154,2.55
2026-05-30,土,はい,-804,"2,418",6,5,1/220,2.65,"+1,333","3,924",20,12,1/123,3.67,+444,"4,962",21,13,1/146,2.95,+734,"2,247",13,4,1/132,2.77,+413,"4,530",21,11,1/142,2.81,-546,"5,677",15,26,1/138,4.99,-592,"2,579",8,4,1/215,2.32,"-1,120","3,103",9,5,1/222,2.19,"-1,231","3,414",9,7,1/213,2.40,-313,"4,604",15,16,1/149,3.92,+478,"6,488",26,20,1/141,3.56,"-1,388","1,564",2,1,1/521,2.25,"+2,145","6,897",34,20,1/128,3.45,-116,"1,449",4,6,1/145,3.93,-278,"5,579",21,12,1/169,2.24,-699,"2,461",7,5,1/205,2.65,"-1,122","1,695",3,4,1/242,2.98,-325,"5,855",19,21,1/146,4.15,"+1,281","6,437",28,22,1/129,4.16,"+2,736","7,006",37,17,1/130,2.70
