日付,曜日,特定日,763番台,,,,,,765番台,,,,,,766番台,,,,,,767番台,,,,,,768番台,,,,,,770番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,いいえ,-945,"2,581",8,1,1/287,1.96,+886,"5,166",22,17,1/132,4.01,"-1,196","1,427",2,1,1/476,2.41,"+1,171","5,150",25,12,1/139,3.02,-519,"2,651",6,9,1/177,3.40,"+2,798","7,077",38,22,1/118,4.50
2026-06-07,日,いいえ,"-1,143","2,111",5,3,1/264,2.44,-739,"3,688",12,9,1/176,2.81,+765,"6,521",26,22,1/136,4.08,"-1,056","3,061",6,13,1/161,3.95,+513,"6,162",29,12,1/150,2.41,-700,"3,517",11,10,1/167,3.14
2026-06-06,土,いいえ,-98,"6,883",25,27,1/132,4.62,+377,"4,870",21,12,1/148,3.01,"+1,586","7,975",38,18,1/142,2.67,"+2,053","6,737",33,18,1/132,3.48,"+4,203","5,725",37,18,1/104,4.94,-112,"3,465",14,6,1/173,2.48
2026-06-05,金,いいえ,-280,"3,653",12,11,1/159,3.32,"+3,296","5,809",34,23,1/102,5.39,+189,"4,988",21,14,1/143,3.38,-202,"5,407",23,9,1/169,2.14,-474,"1,599",3,6,1/178,3.53,+513,"6,403",24,21,1/142,3.83
2026-06-04,木,いいえ,+484,"7,106",30,17,1/151,2.72,-984,"1,442",1,4,1/288,3.01,-843,"5,014",17,12,1/173,2.64,-243,"3,700",15,7,1/168,2.55,-593,"2,624",8,7,1/175,3.08,"-1,263","6,042",17,22,1/155,3.88
2026-06-03,水,いいえ,"-1,302","3,886",10,8,1/216,2.36,"-1,446","1,423",1,2,1/474,2.56,-255,"4,270",17,12,1/147,3.32,"+1,981","5,984",28,22,1/120,4.74,-401,"1,824",6,5,1/166,3.26,-523,"4,588",16,12,1/164,2.94
2026-06-02,火,いいえ,-220,"2,961",13,2,1/197,2.08,-30,"4,286",17,11,1/153,3.05,+585,"4,936",21,16,1/133,3.93,-702,"4,040",15,6,1/192,2.15,-244,"4,175",16,10,1/161,2.86,-246,"3,734",14,11,1/149,3.39
2026-06-01,月,いいえ,+998,"4,085",22,7,1/141,2.65,"+2,943","7,789",39,30,1/113,5.26,"-1,301","3,197",6,10,1/200,3.10,-606,"1,278",3,0,1/426,2.38,-243,"4,434",14,15,1/153,3.65,-367,"3,201",12,5,1/188,2.38
2026-05-31,日,いいえ,-338,"3,527",13,6,1/186,2.39,-411,"4,389",18,9,1/163,2.58,-31,"6,617",27,19,1/144,3.39,"+2,002","7,776",38,22,1/130,3.77,-122,"3,582",13,9,1/163,2.98,+278,"7,005",29,18,1/149,2.95
2026-05-30,土,はい,"+1,015","5,081",23,13,1/141,3.19,"-1,442","2,384",5,4,1/265,2.43,+93,"5,431",21,17,1/143,3.65,-309,"4,368",14,15,1/151,3.72,"-1,212","4,526",15,10,1/181,2.51,-820,"5,751",20,16,1/160,3.05
2026-05-29,金,いいえ,"-1,422","3,003",6,8,1/215,2.82,"+1,721","5,736",26,20,1/125,4.42,-638,"3,106",10,8,1/173,2.99,-544,807,2,0,1/404,2.73,+937,"6,765",31,16,1/144,2.84,-10,"4,903",17,20,1/133,4.50
2026-05-28,木,いいえ,-432,"2,895",11,5,1/181,2.56,-484,"1,479",5,1,1/247,2.54,+414,"6,503",25,21,1/141,3.81,-646,"3,447",11,11,1/157,3.46,+702,"5,883",22,22,1/134,4.38,+730,"5,849",26,14,1/146,2.89
2026-05-27,水,いいえ,"-1,017","4,944",14,14,1/177,2.94,-30,"5,573",20,21,1/136,4.31,"-1,120","3,490",9,8,1/205,2.59,"+2,097","6,475",35,11,1/141,2.31,"-1,764","1,751",1,2,1/584,2.31,-545,"4,607",16,14,1/154,3.39
2026-05-26,火,いいえ,-65,"1,527",6,3,1/170,3.06,+303,"4,136",17,9,1/159,2.73,-818,"1,211",3,0,1/404,2.44,-319,"4,369",17,8,1/175,2.36,-864,"1,596",2,6,1/200,3.45,-53,"6,921",21,27,1/144,4.33
2026-05-25,月,いいえ,"+1,579","5,825",27,18,1/129,3.96,-57,"2,429",8,9,1/143,3.82,"+1,442","5,716",28,13,1/139,2.92,+276,"3,851",16,8,1/160,2.70,+833,"6,564",26,23,1/134,4.25,-562,"3,717",12,8,1/186,2.58
2026-05-24,日,いいえ,-928,"5,744",19,12,1/185,2.25,+162,"4,965",19,14,1/150,3.25,-64,"6,377",22,23,1/142,4.13,-55,"7,428",30,16,1/161,2.32,-380,"5,148",17,16,1/156,3.40,-668,"7,822",28,20,1/163,2.66
2026-05-23,土,いいえ,+166,"1,833",10,1,1/167,2.55,-647,"4,628",18,8,1/178,2.24,-616,"3,028",11,3,1/216,2.12,"-1,021","5,281",19,9,1/189,2.07,-132,"3,208",12,9,1/153,3.29,-466,"5,038",18,16,1/148,3.58
2026-05-22,金,いいえ,+306,"4,489",18,13,1/145,3.41,-334,"5,368",20,17,1/145,3.64,-732,"3,086",9,8,1/182,2.94,+530,"6,404",22,25,1/136,4.47,"-1,105","1,939",4,1,1/388,2.16,-609,"3,488",13,7,1/174,2.61
2026-05-21,木,いいえ,-551,"2,134",8,2,1/213,2.39,"-1,816","4,541",10,11,1/216,2.45,-454,"4,087",12,16,1/146,4.07,-337,"4,664",17,12,1/161,2.93,"+1,190","4,704",22,17,1/121,4.49,-980,"2,617",7,5,1/218,2.56
2026-05-20,水,はい,-370,"3,100",9,9,1/172,3.17,-300,"2,817",10,7,1/166,3.03,"+2,994","5,214",33,15,1/109,4.46,"-2,397","4,211",6,14,1/211,3.09,"+1,483","7,240",32,21,1/137,3.61,"+1,934","3,681",24,6,1/123,2.96
2026-05-18,月,いいえ,+180,"5,538",18,24,1/132,4.72,-317,"3,981",15,8,1/173,2.54,"-1,302","3,625",11,6,1/213,2.23,-121,"4,194",17,9,1/161,2.68,-862,"4,952",14,16,1/165,3.38,-385,"3,862",13,12,1/154,3.43
2026-05-17,日,いいえ,-195,"3,750",13,11,1/156,3.30,+539,"6,310",27,13,1/158,2.40,-154,"6,198",21,25,1/135,4.57,"+1,634","5,833",29,12,1/142,2.66,-885,"4,621",15,10,1/185,2.45,"+2,713","6,398",33,26,1/108,5.32
2026-05-16,土,いいえ,-373,"5,414",18,19,1/146,3.90,-897,"3,454",12,5,1/203,2.22,"-1,322","3,573",8,10,1/199,2.89,"-1,176","3,387",7,13,1/169,3.70,-997,"2,280",4,7,1/207,3.13,"+1,402","4,196",21,13,1/123,4.00
2026-05-15,金,いいえ,-171,"3,560",14,5,1/187,2.24,"-1,126","1,796",2,6,1/225,3.23,"-1,137","2,417",4,6,1/242,2.77,"+1,009","6,190",26,19,1/138,3.74,+0,"2,000",9,3,1/167,2.79,+91,"5,699",23,14,1/154,2.84
2026-05-14,木,いいえ,-490,"5,341",19,16,1/153,3.36,+467,"5,921",21,24,1/132,4.63,"+1,438","5,276",31,10,1/129,2.84,+44,"5,347",20,16,1/149,3.42,"+1,486","6,642",33,18,1/130,3.58,+177,"6,148",25,15,1/154,2.79
2026-05-13,水,いいえ,-429,"3,489",12,10,1/159,3.24,"-1,005","1,576",3,2,1/315,2.55,+815,"5,857",28,12,1/146,2.58,+501,"5,641",24,16,1/141,3.43,-137,"2,875",10,9,1/151,3.49,-347,"5,926",23,13,1/165,2.47
2026-05-12,火,いいえ,-291,"3,483",12,10,1/158,3.25,-956,"1,575",3,2,1/315,2.56,+941,"5,844",28,12,1/146,2.59,+619,"5,630",24,16,1/140,3.44,-139,"2,869",10,9,1/151,3.49,-253,"5,920",23,13,1/164,2.47
2026-05-11,月,いいえ,+324,"3,990",18,7,1/160,2.49,"+1,084","6,325",29,16,1/141,3.11,+490,"6,024",24,21,1/134,4.20,"-1,018","3,868",12,9,1/184,2.66,-749,"3,630",14,5,1/191,2.19,"+1,310","5,238",24,13,1/142,3.10
2026-05-10,日,はい,-491,"5,337",19,14,1/162,2.91,-951,"4,362",12,12,1/182,2.89,-750,"7,023",22,26,1/146,4.14,-124,"5,908",25,11,1/164,2.23,-434,"4,646",18,10,1/166,2.58,"-1,387","6,723",20,20,1/168,3.08
2026-05-09,土,いいえ,-50,"5,297",21,14,1/151,3.07,+33,"4,145",18,8,1/159,2.57,"-1,476","5,798",16,16,1/181,2.78,"-1,439","3,870",10,10,1/194,2.75,"+1,413","5,446",26,17,1/127,4.05,-439,"5,696",21,13,1/168,2.53
2026-05-08,金,いいえ,-969,"1,765",2,5,1/252,3.01,-807,"1,732",5,1,1/289,2.34,-732,"5,404",18,16,1/159,3.23,-374,"2,832",12,5,1/167,2.68,+530,"5,004",21,13,1/147,3.12,-504,"5,762",19,19,1/152,3.64
2026-05-07,木,いいえ,+790,"5,944",24,25,1/121,4.96,"+1,959","6,161",33,14,1/131,3.08,-394,"2,566",9,4,1/197,2.51,-300,"5,165",19,15,1/152,3.29,"-1,337","1,678",2,2,1/420,2.42,"-1,638","5,538",11,26,1/150,4.58
2026-05-06,水,いいえ,-779,"4,997",17,13,1/167,2.86,-602,"4,324",15,11,1/166,2.88,"+1,275","5,775",28,16,1/131,3.60,+692,"3,510",18,5,1/153,2.47,-792,"3,614",11,9,1/181,2.82,-454,"4,781",17,13,1/159,3.05
2026-05-05,火,いいえ,+479,"5,168",23,13,1/144,3.10,-917,"5,040",16,12,1/180,2.57,"+3,944","7,469",39,29,1/110,5.34,"+1,173","6,913",29,23,1/133,4.15,+130,"7,725",26,28,1/143,4.19,"-1,916","5,039",11,11,1/229,2.19
2026-05-04,月,いいえ,+927,"5,080",25,12,1/137,3.09,+121,"4,763",20,12,1/149,3.04,-299,"7,627",27,23,1/153,3.36,"-2,023","6,369",16,14,1/212,2.11,"-1,810","2,707",4,7,1/246,2.73,"+2,429","7,052",36,21,1/124,4.13
2026-05-03,日,いいえ,"+1,678","7,639",32,29,1/125,4.81,"-2,509","4,282",8,7,1/285,1.94,-78,"5,332",17,21,1/140,4.31,"+1,007","7,885",33,22,1/143,3.30,"-1,092","3,976",11,10,1/189,2.72,"+1,422","7,015",35,16,1/138,2.87
2026-05-02,土,いいえ,-872,"4,090",10,16,1/157,3.91,-585,"6,224",19,22,1/152,3.86,-674,"5,287",17,16,1/160,3.27,"-1,056","4,786",12,17,1/165,3.62,"+2,475","6,277",34,18,1/121,4.08,"-1,458","3,664",9,8,1/216,2.46
2026-05-01,金,いいえ,"+1,043","7,646",34,21,1/139,3.36,+867,"2,896",17,5,1/132,2.98,-439,"5,230",20,10,1/174,2.28,+608,"6,266",27,13,1/157,2.43,+625,"3,108",14,8,1/141,3.30,+29,"6,131",24,15,1/157,2.75
