日付,曜日,特定日,1052番台,,,,,,,,,1053番台,,,,,,,,,1055番台,,,,,,,,,1056番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-03,水,いいえ,+0,0,0,0,-,-,-,9,-,"+1,684","2,454",15,13,1/87,1/6.48,4.90,12,3.0,-526,"1,260",2,5,1/180,1/5.94,3.40,31,19.0,-88,407,2,0,1/203,1/7.07,3.21,32,1.0
2026-06-02,火,いいえ,"+2,480","8,681",40,33,1/119,1/5.97,4.69,8,-,-947,"5,598",17,17,1/165,1/5.98,2.81,28,2.0,-361,"1,144",3,2,1/229,1/5.66,2.93,26,18.0,-428,"3,878",16,6,1/176,1/6.26,2.19,29,1.0
2026-06-01,月,いいえ,"-1,003","1,808",4,5,1/201,1/6.81,2.98,36,9.0,"-1,014","2,241",5,5,1/224,1/6.04,2.63,12,1.0,-428,"2,098",6,5,1/191,1/5.68,2.85,11,-,+925,"7,475",30,29,1/127,1/6.09,4.34,27,15.0
2026-05-31,日,はい,-716,"1,190",2,1,1/397,1/5.55,2.58,26,20.0,+998,"6,491",27,26,1/122,1/6.17,4.46,1,-,"+1,189","6,915",29,22,1/136,1/5.77,3.52,6,5.0,"-1,438","3,332",8,9,1/196,1/6.35,2.64,64,38.0
2026-05-30,土,はい,-112,"4,578",19,10,1/158,1/6.17,2.52,26,17.0,+13,"5,606",25,12,1/152,1/6.39,2.42,7,-,"+2,215","8,094",41,24,1/125,1/6.16,3.82,9,2.0,"-1,198","4,617",13,12,1/185,1/5.96,2.45,34,8.0
2026-05-29,金,いいえ,-229,"3,484",15,4,1/183,1/6.07,2.10,23,4.0,-472,"2,958",10,7,1/174,1/6.02,2.75,19,10.0,"-1,481","2,292",4,3,1/327,1/5.98,2.17,49,26.0,-832,"1,966",6,2,1/246,1/6.28,2.37,9,-
2026-05-28,木,いいえ,+98,"5,182",18,21,1/133,1/6.05,4.07,23,9.0,"-1,015","2,773",7,6,1/213,1/5.94,2.49,12,6.0,-406,443,1,0,1/443,1/7.48,3.07,14,2.0,"+1,602","7,403",35,23,1/128,1/6.11,3.77,6,-
2026-05-27,水,いいえ,"+2,570","7,140",31,34,1/110,1/5.77,5.12,29,4.0,+704,"4,658",19,14,1/141,1/5.67,3.28,4,-,-163,"3,454",14,8,1/157,1/6.23,2.79,8,4.0,-127,"7,121",25,24,1/145,1/5.96,3.37,25,17.0
2026-05-26,火,いいえ,-221,"6,321",17,33,1/126,1/5.95,4.71,56,30.0,+442,"1,804",9,4,1/139,1/5.88,3.24,4,-,+267,"5,948",27,15,1/142,1/6.46,2.85,10,6.0,-840,"3,587",9,9,1/199,1/5.52,2.49,26,16.0
2026-05-25,月,いいえ,-498,"2,436",8,6,1/174,1/6.17,2.89,56,36.0,"+2,216","6,068",29,22,1/119,1/5.73,4.37,8,-,+283,"2,825",11,12,1/123,1/6.23,4.07,9,1.0,-175,"1,712",7,3,1/171,1/6.28,2.91,20,11.0
2026-05-24,日,はい,"-1,493","3,527",11,4,1/235,1/6.42,1.90,54,23.0,-984,"3,098",9,5,1/221,1/5.89,2.19,31,5.0,-679,"1,061",2,0,1/531,1/5.57,2.50,26,17.0,+27,"7,560",27,28,1/137,1/6.08,3.87,9,-
2026-05-23,土,はい,-840,"3,679",10,10,1/184,1/5.77,2.67,41,21.0,-786,"1,229",2,2,1/307,1/5.96,2.75,17,-,-132,"3,726",17,7,1/155,1/6.58,2.56,20,3.0,"+2,897","8,862",42,32,1/120,1/5.85,4.58,20,3.0
2026-05-22,金,いいえ,-645,629,0,1,1/629,1/5.92,2.99,27,19.0,-164,"1,108",3,5,1/139,1/6.18,3.68,7,-,"+4,810","7,977",42,46,1/91,1/6.11,5.73,8,1.0,-737,"4,098",13,8,1/195,1/5.72,2.18,44,17.0
2026-05-21,木,いいえ,-386,289,0,0,-,1/6.70,3.15,20,12.0,"+3,888","8,345",44,36,1/104,1/6.10,5.34,8,-,"-1,021","1,974",4,5,1/219,1/6.25,2.81,45,17.0,-117,"2,441",8,6,1/174,1/5.49,2.89,28,8.0
2026-05-20,水,はい,"+1,466","7,173",33,23,1/128,1/6.07,3.83,19,5.0,"+1,827","7,926",34,33,1/118,1/6.03,4.79,14,2.0,-296,"7,071",22,31,1/133,1/6.08,4.34,12,-,-749,"6,187",22,16,1/163,1/6.14,2.47,29,10.0
2026-05-19,火,いいえ,-139,"5,320",20,17,1/144,1/6.20,3.32,29,5.0,-872,"2,314",6,4,1/231,1/5.87,2.45,51,22.0,"+1,118","6,107",28,19,1/130,1/6.11,3.65,5,-,-488,"2,553",8,8,1/160,1/6.24,3.21,24,19.0
2026-05-18,月,いいえ,-445,962,2,3,1/192,1/6.32,3.28,16,5.0,"-1,141","7,905",23,32,1/144,1/6.18,3.93,45,25.0,-356,926,3,1,1/232,1/6.34,2.94,11,-,"+2,333","6,769",36,21,1/119,1/6.17,4.14,20,4.0
2026-05-17,日,はい,-702,"1,496",3,5,1/187,1/6.37,3.23,14,3.0,"+1,167","8,077",31,39,1/115,1/6.23,5.04,14,3.0,-512,"2,060",6,3,1/229,1/5.55,2.48,11,-,-932,"5,923",18,20,1/156,1/6.08,3.17,42,28.0
2026-05-16,土,はい,"+1,775","7,256",32,28,1/121,1/5.97,4.52,12,7.0,+620,"6,682",27,21,1/139,1/5.94,3.37,14,2.0,+0,"3,608",14,9,1/157,1/5.90,2.85,5,-,-556,"4,657",15,18,1/141,1/6.34,3.76,39,25.0
2026-05-15,金,いいえ,-655,"2,042",6,2,1/255,1/5.68,2.31,21,15.0,"-1,495","5,573",14,18,1/174,1/5.95,2.80,31,10.0,"-1,020","2,572",7,6,1/198,1/6.38,2.67,6,-,"+1,805","8,933",35,45,1/112,1/6.14,5.23,36,5.0
2026-05-14,木,いいえ,-549,"1,998",6,4,1/200,1/5.97,2.74,12,11.0,"-1,092","5,150",18,9,1/191,1/6.11,1.93,25,13.0,"+1,044","3,784",21,7,1/135,1/6.19,2.84,1,-,"-1,021","4,605",15,9,1/192,1/5.99,2.10,78,53.0
2026-05-13,水,いいえ,+231,"3,743",14,12,1/144,1/5.79,3.37,11,9.0,-890,"2,912",9,5,1/208,1/6.08,2.33,16,5.0,+468,"2,930",14,6,1/147,1/5.96,2.90,2,-,"-1,137","3,027",8,6,1/216,1/6.03,2.35,77,61.0
2026-05-12,火,いいえ,+732,"5,999",23,23,1/130,1/5.88,4.09,9,8.0,-998,"2,940",8,7,1/196,1/6.13,2.61,13,4.0,"+2,026","7,338",37,20,1/129,1/6.01,3.38,1,-,-65,"8,713",28,37,1/134,1/5.97,4.35,73,60.0
2026-05-10,日,はい,"-1,102","4,641",14,11,1/186,1/5.98,2.32,18,13.0,"+2,102","8,228",40,24,1/129,1/6.00,3.58,5,1.0,"-1,903","3,862",9,7,1/241,1/6.15,2.00,4,-,-139,"8,622",27,35,1/139,1/5.85,4.09,68,50.0
2026-05-09,土,はい,-696,"1,473",2,6,1/184,1/5.98,3.39,6,4.0,"+2,264","6,662",33,25,1/115,1/6.08,4.64,8,2.0,+649,"2,744",12,9,1/131,1/5.72,3.62,2,-,"-1,440","5,915",15,20,1/169,1/5.93,2.95,65,57.0
2026-05-08,金,いいえ,"+1,507","8,285",32,42,1/112,1/6.19,5.19,1,-,+462,"7,551",25,31,1/135,1/5.72,4.20,31,29.0,"+1,562","5,687",30,13,1/132,1/6.08,2.96,2,1.0,-359,"4,778",17,15,1/149,1/6.17,3.19,58,27.0
2026-05-07,木,いいえ,-461,"1,354",4,3,1/193,1/6.33,3.02,15,14.0,"-1,655","3,389",4,13,1/199,1/5.77,3.07,47,32.0,+901,"2,716",12,12,1/113,1/5.83,4.28,1,-,+291,"7,188",29,20,1/147,1/6.01,2.84,59,12.0
2026-05-06,水,いいえ,-533,"6,338",21,21,1/151,1/6.02,3.21,12,10.0,+101,"7,414",29,22,1/145,1/6.08,3.02,12,10.0,+30,"5,125",19,16,1/146,1/5.96,3.22,2,-,"-1,020","7,716",26,17,1/179,1/5.82,1.88,83,71.0
2026-05-05,火,いいえ,"+1,368","7,709",33,29,1/124,1/6.09,4.38,9,4.0,"-1,566","4,866",13,13,1/187,1/6.12,2.43,26,17.0,+980,"7,990",35,23,1/138,1/6.06,3.15,5,-,"-1,004","9,494",27,37,1/148,1/5.87,3.73,88,62.0
2026-05-04,月,いいえ,"+1,418","5,437",26,19,1/121,1/6.14,4.17,18,14.0,+662,"6,504",29,17,1/141,1/6.12,2.88,22,4.0,+996,"8,165",31,34,1/126,1/5.99,4.55,4,-,-402,"6,184",22,19,1/151,1/6.10,3.04,85,63.0
2026-05-03,日,はい,+379,"5,668",23,20,1/132,1/6.25,3.85,28,13.0,-327,"5,733",21,19,1/143,1/6.29,3.40,30,2.0,-654,"2,388",6,8,1/171,1/6.02,3.21,15,-,"-1,286","6,025",16,21,1/163,1/5.97,3.11,81,51.0
2026-05-02,土,はい,+936,"9,105",33,39,1/126,1/5.94,4.63,42,11.0,-498,"3,023",10,8,1/168,1/6.09,2.89,31,25.0,-727,"1,446",4,1,1/289,1/6.18,2.50,6,-,"-1,834","5,918",17,13,1/197,1/6.07,1.97,68,26.0
