日付,曜日,特定日,1181番台,,,,,,,,,1182番台,,,,,,,,,1183番台,,,,,,,,,1185番台,,,,,,,,,1186番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-03,水,いいえ,-211,956,3,2,1/191,-,3.09,48,9.0,+0,0,0,0,-,-,-,51,3.0,+263,273,2,1,1/91,-,3.64,18,6.0,-97,192,0,1,1/192,-,3.50,39,21.0,"+2,298","1,946",16,7,1/84,-,4.54,12,-
2026-06-02,火,いいえ,-203,307,0,1,1/307,-,3.34,46,11.0,-417,820,2,2,1/205,-,3.15,64,18.0,+308,"4,709",18,17,1/135,-,3.70,26,2.0,-81,"2,098",9,5,1/150,-,3.07,35,9.0,-57,"1,506",6,3,1/167,-,2.98,24,-
2026-06-01,月,いいえ,-415,575,1,0,1/575,-,2.85,38,4.0,-486,587,1,1,1/294,-,3.08,47,9.0,+28,"2,571",10,7,1/151,-,3.08,18,-,-573,"1,057",1,5,1/176,-,3.49,34,11.0,-229,"1,632",6,3,1/181,-,2.83,23,5.0
2026-05-31,日,はい,+765,"7,738",32,29,1/127,-,4.21,17,1.0,-207,537,2,0,1/269,-,3.01,33,13.0,-501,929,2,3,1/186,-,3.26,20,3.0,-944,"2,775",6,8,1/198,-,2.68,16,-,+322,"1,017",5,3,1/127,-,3.51,16,-
2026-05-30,土,はい,-825,"2,670",8,6,1/191,-,2.56,55,27.0,"-1,031","2,831",7,8,1/189,-,2.71,28,10.0,-361,"4,154",15,9,1/173,-,2.34,14,2.0,+890,"3,653",19,9,1/130,-,3.22,12,-,-928,"5,372",19,13,1/168,-,2.32,18,4.0
2026-05-29,金,いいえ,-147,"2,336",7,8,1/156,-,3.28,45,26.0,-157,"2,102",9,4,1/162,-,2.83,19,6.0,+45,"1,857",7,5,1/155,-,3.15,10,-,"+1,449","5,940",26,25,1/116,-,4.70,11,1.0,+853,"6,408",27,25,1/123,-,4.35,13,2.0
2026-05-28,木,いいえ,-617,"2,247",8,5,1/173,-,2.79,35,9.0,-820,"1,469",2,4,1/245,-,2.84,11,-,-475,"1,198",2,4,1/200,-,3.17,16,5.0,-209,"1,779",7,5,1/148,-,3.25,26,2.0,-478,"2,736",7,10,1/161,-,3.27,24,8.0
2026-05-27,水,いいえ,-396,"1,214",3,2,1/243,-,2.77,13,5.0,"+1,015","3,764",17,16,1/114,-,4.46,8,-,-209,125,0,0,-,-,3.32,8,-,-228,"1,112",4,3,1/159,-,3.26,25,3.0,+371,"3,083",13,10,1/134,-,3.50,22,9.0
2026-05-26,火,いいえ,+39,"3,525",16,9,1/141,-,3.05,9,2.0,+450,"1,834",10,6,1/115,-,3.79,10,1.0,+781,"4,835",24,13,1/131,-,3.28,7,-,-305,295,0,1,1/295,-,3.36,21,11.0,"-1,015","1,216",2,2,1/304,-,2.67,44,23.0
2026-05-25,月,いいえ,+203,651,4,1,1/130,-,3.36,12,6.0,+584,"2,016",11,5,1/126,-,3.40,13,1.0,"+2,381","6,624",35,22,1/116,-,4.30,6,-,+287,"1,109",7,2,1/123,-,3.36,19,2.0,+594,"6,101",24,28,1/117,-,4.86,17,4.0
