日付,曜日,特定日,588番台,,,,,,,,,600番台,,,,,,,,,601番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-02,火,いいえ,+614,"4,502",18,13,1/145,-,3.73,13,7.0,+102,"1,116",5,2,1/159,-,3.27,6,5.0,+679,"2,320",10,7,1/136,-,3.72,1,-
2026-06-01,月,いいえ,"+1,682","2,290",13,6,1/121,-,3.61,12,6.0,+920,"2,235",11,5,1/140,-,3.33,6,1.0,-619,"2,426",6,10,1/152,-,4.21,5,-
2026-05-31,日,はい,-264,"2,665",9,7,1/167,-,3.41,29,11.0,-794,"1,763",2,9,1/160,-,4.34,18,17.0,"+2,504","6,079",27,17,1/138,-,3.77,1,-
2026-05-30,土,はい,"-1,808","3,516",6,8,1/251,-,2.89,21,9.0,-699,"3,678",13,8,1/175,-,3.00,12,4.0,"+1,115","6,974",26,21,1/148,-,3.99,8,-
2026-05-29,金,いいえ,-853,667,0,1,1/667,-,3.21,10,7.0,-761,"3,187",9,7,1/199,-,3.00,3,-,+172,"2,762",11,4,1/184,-,2.69,14,4.0
2026-05-28,木,いいえ,-733,"1,859",5,2,1/266,-,2.71,5,4.0,"+2,737","3,734",20,9,1/129,-,3.44,1,-,+208,"1,147",6,0,1/191,-,2.80,29,24.0
2026-05-27,水,いいえ,"+1,116","4,044",16,14,1/135,-,4.25,2,-,+79,"1,215",5,1,1/203,-,2.95,2,-,-598,"2,449",7,7,1/175,-,3.51,35,33.0
2026-05-26,火,いいえ,+602,"1,782",6,5,1/162,-,3.52,3,2.0,+390,"3,943",16,9,1/158,-,3.13,1,-,-711,"1,390",3,3,1/232,-,3.23,25,22.0
2026-05-25,月,いいえ,"+1,026","4,444",17,12,1/153,-,3.50,11,4.0,-211,"1,771",6,5,1/161,-,3.53,7,-,"+1,298","3,888",19,5,1/162,-,2.39,34,23.0
2026-05-24,日,はい,+768,"2,146",10,4,1/153,-,3.12,28,19.0,+114,"1,285",4,4,1/161,-,3.60,9,-,-713,"4,017",12,13,1/161,-,3.90,77,49.0
2026-05-23,土,はい,+608,"1,564",7,2,1/174,-,2.99,46,38.0,"+3,447","4,573",26,12,1/120,-,3.72,8,-,-620,"2,430",5,7,1/203,-,3.45,64,18.0
2026-05-22,金,いいえ,-241,"2,241",8,4,1/187,-,2.98,54,6.0,+951,845,5,1,1/141,-,3.24,12,-,-797,"2,425",6,9,1/162,-,3.98,48,36.0
2026-05-21,木,いいえ,"-1,121","1,208",2,0,1/604,-,2.63,49,7.0,-685,"1,740",5,1,1/290,-,2.57,15,-,+156,"1,767",5,4,1/196,-,3.24,42,27.0
2026-05-20,水,はい,+337,"5,468",22,12,1/161,-,2.88,31,12.0,"+1,538","4,673",19,19,1/123,-,4.89,19,-,-8,"3,323",13,4,1/195,-,2.38,84,53.0
2026-05-19,火,いいえ,"-1,916","3,409",6,9,1/227,-,3.20,67,11.0,"-1,212","1,113",1,1,1/557,-,2.89,56,-,"-1,420","3,035",5,12,1/179,-,4.17,79,12.0
