日付,曜日,特定日,718番台,,,,,,,,,720番台,,,,,,,,,721番台,,,,,,,,,722番台,,,,,,,,,723番台,,,,,,,,,725番台,,,,,,,,,726番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-03,水,いいえ,-136,131,0,0,-,-,3.41,19,-,-91,44,0,0,-,-,3.47,45,1.0,-152,183,0,0,-,-,3.38,51,4.0,+105,269,1,1,1/134,-,3.54,44,25.0,-114,185,0,0,-,-,3.38,45,1.0,-91,77,0,0,-,-,3.45,44,25.0,-70,335,1,0,1/335,-,3.37,47,2.0
2026-06-02,火,いいえ,+728,"3,381",13,8,1/161,-,3.43,20,-,+90,"1,110",4,2,1/185,-,3.38,28,8.0,-147,"1,363",4,2,1/227,-,3.21,49,4.0,-41,677,3,0,1/226,-,3.32,71,22.0,-498,"1,283",3,2,1/257,-,3.18,34,6.0,-241,386,0,1,1/386,-,3.38,40,6.0,-264,415,1,0,1/415,-,3.32,45,5.0
2026-06-01,月,いいえ,-451,"1,155",3,1,1/289,-,3.14,45,2.0,-546,"1,284",3,3,1/214,-,3.30,26,10.0,-686,"1,367",3,2,1/273,-,3.13,43,4.0,-405,"1,172",2,1,1/391,-,3.05,39,1.0,-691,774,1,1,1/387,-,3.21,16,-,-479,932,2,0,1/466,-,3.07,38,12.0,-340,630,1,1,1/315,-,3.30,45,2.0
2026-05-31,日,はい,+648,"2,907",12,8,1/145,-,3.66,44,2.0,-384,"3,129",9,11,1/156,-,3.64,16,6.0,-502,"1,220",3,2,1/244,-,3.22,38,2.0,"-1,388","5,180",13,9,1/235,-,2.52,36,6.0,-852,"1,307",2,3,1/261,-,3.21,10,-,-595,"1,812",5,2,1/259,-,3.02,30,14.0,-173,"2,301",7,4,1/209,-,3.12,42,4.0
2026-05-30,土,はい,+310,"1,076",5,1,1/179,-,3.36,28,16.0,+277,"2,691",9,7,1/168,-,3.41,12,3.0,"-1,812","2,814",4,5,1/313,-,2.71,33,1.0,+228,"2,713",11,6,1/160,-,3.44,30,2.0,+72,"2,709",10,4,1/194,-,3.11,9,-,"+1,185","6,114",22,17,1/157,-,3.57,32,2.0,-203,822,3,0,1/274,-,3.22,48,15.0
2026-05-29,金,いいえ,-875,"1,441",2,4,1/240,-,3.25,45,14.0,-568,"2,093",6,7,1/161,-,3.54,22,1.0,"+2,218","7,085",27,25,1/136,-,4.36,21,13.0,-431,805,1,2,1/268,-,3.32,46,1.0,+27,"1,968",5,11,1/123,-,4.05,8,-,-465,"3,654",8,16,1/152,-,3.84,47,1.0,+998,"4,825",19,15,1/142,-,3.90,31,9.0
2026-05-28,木,いいえ,-542,"2,824",7,11,1/157,-,3.66,41,1.0,-818,884,1,1,1/442,-,3.14,19,7.0,-279,805,2,2,1/201,-,3.40,39,20.0,-466,"3,735",10,13,1/162,-,3.58,44,3.0,+129,"1,823",6,5,1/166,-,3.47,12,-,-67,"3,185",9,10,1/168,-,3.47,40,1.0,-502,"1,388",4,3,1/198,-,3.32,78,34.0
2026-05-27,水,いいえ,-717,"4,926",13,18,1/159,-,3.70,34,6.0,+108,"1,895",7,4,1/172,-,3.38,12,-,-280,"1,037",3,2,1/207,-,3.34,38,4.0,-605,"1,072",2,2,1/268,-,3.23,28,16.0,+312,"2,722",11,4,1/181,-,3.19,12,-,-244,"2,285",7,3,1/229,-,3.01,38,4.0,-373,"1,178",2,3,1/236,-,3.29,59,21.0
2026-05-26,火,いいえ,-673,461,0,0,-,-,3.20,32,10.0,"+1,060","4,952",19,15,1/146,-,3.82,11,-,-135,137,0,0,-,-,3.41,22,7.0,"+1,486","5,612",21,22,1/131,-,4.42,15,4.0,"+1,122","3,650",16,10,1/140,-,3.77,11,-,-161,572,2,0,1/286,-,3.30,32,10.0,-464,914,2,3,1/183,-,3.46,41,9.0
2026-05-25,月,いいえ,-351,"1,396",4,2,1/233,-,3.19,23,6.0,-87,782,3,1,1/196,-,3.38,17,1.0,-147,603,2,2,1/151,-,3.53,16,-,-572,"3,212",9,7,1/201,-,3.09,42,8.0,-721,"1,618",3,5,1/202,-,3.34,17,1.0,-385,785,1,2,1/262,-,3.33,29,6.0,-539,"1,981",4,5,1/220,-,3.20,34,5.0
2026-05-24,日,はい,"+2,569","2,852",18,8,1/110,-,4.21,24,8.0,+866,"2,523",13,3,1/158,-,3.36,16,1.0,-384,"1,058",2,2,1/265,-,3.24,11,-,-708,"1,725",4,4,1/216,-,3.23,32,8.0,-245,"2,124",7,4,1/193,-,3.23,11,-,-997,"2,774",6,11,1/163,-,3.61,15,4.0,"-1,106","1,194",0,3,1/398,-,3.11,16,1.0
2026-05-23,土,はい,+198,"1,516",5,4,1/168,-,3.45,49,10.0,-458,346,0,0,-,-,3.28,39,7.0,"+2,858","7,388",34,19,1/139,-,4.02,9,-,-492,950,1,2,1/317,-,3.22,32,20.0,+217,"4,176",16,8,1/174,-,3.18,10,1.0,"+1,650","3,200",14,15,1/110,-,4.50,12,2.0,+643,"8,019",25,27,1/154,-,3.86,9,-
2026-05-22,金,いいえ,-372,"2,465",6,10,1/154,-,3.68,73,49.0,-678,"3,575",10,9,1/188,-,3.19,19,3.0,+18,"2,589",9,4,1/199,-,3.11,13,2.0,-286,590,1,2,1/197,-,3.46,14,1.0,-770,"2,364",5,7,1/197,-,3.28,11,-,"+1,162","6,139",24,18,1/146,-,3.85,24,5.0,-731,"2,523",7,4,1/229,-,2.99,16,2.0
2026-05-21,木,いいえ,-181,"1,056",3,2,1/211,-,3.33,77,29.0,+237,"8,258",25,32,1/145,-,4.31,17,1.0,-26,"1,371",5,3,1/171,-,3.42,16,2.0,+413,"2,245",9,8,1/132,-,3.83,11,2.0,"+1,205","5,648",24,15,1/145,-,3.79,9,-,-136,"2,204",9,2,1/200,-,3.10,48,31.0,+67,"2,354",8,7,1/157,-,3.55,14,3.0
2026-05-20,水,はい,-656,"2,221",6,6,1/185,-,3.33,85,49.0,+623,"6,377",24,24,1/133,-,4.43,36,5.0,+518,"4,901",19,13,1/153,-,3.60,19,1.0,"+1,598","6,393",27,20,1/136,-,4.19,12,2.0,+376,"4,898",16,18,1/144,-,3.97,10,-,-127,"2,069",7,4,1/188,-,3.27,31,12.0,+130,"2,386",8,6,1/170,-,3.40,18,6.0
2026-05-19,火,いいえ,-381,639,1,0,1/639,-,3.17,85,14.0,-556,"1,505",2,7,1/167,-,3.58,71,41.0,+798,"1,382",9,1,1/138,-,3.50,17,3.0,-125,199,0,1,1/199,-,3.50,24,7.0,"+3,803","7,844",36,29,1/121,-,4.99,12,-,-312,436,0,2,1/218,-,3.47,14,2.0,-240,"2,721",7,11,1/151,-,3.73,30,6.0
2026-05-18,月,いいえ,"-1,086","1,287",2,0,1/644,-,2.86,85,27.0,-191,541,1,1,1/271,-,3.36,58,19.0,-56,773,2,3,1/155,-,3.55,39,10.0,-40,"1,570",6,1,1/224,-,3.13,18,8.0,-464,"2,702",7,10,1/159,-,3.62,29,10.0,+213,"2,624",10,6,1/164,-,3.42,10,-,"+1,350","2,514",15,3,1/140,-,3.53,19,1.0
2026-05-17,日,はい,-421,"3,867",10,14,1/161,-,3.62,62,10.0,-433,"1,558",4,3,1/223,-,3.22,52,11.0,-758,"2,232",6,2,1/279,-,2.85,36,17.0,"-1,191","2,016",2,4,1/336,-,2.90,16,2.0,-55,"3,247",10,9,1/171,-,3.39,14,-,-26,"1,490",4,5,1/166,-,3.51,19,3.0,"+1,374","6,372",24,21,1/142,-,4.08,41,5.0
2026-05-16,土,はい,-583,"2,972",7,11,1/165,-,3.57,56,5.0,+344,"5,724",22,12,1/168,-,3.20,51,19.0,+962,"3,097",14,6,1/155,-,3.45,32,17.0,"+1,236","5,023",21,17,1/132,-,4.19,13,1.0,"+1,747","4,207",20,13,1/127,-,4.13,12,-,"-1,193","1,928",3,4,1/275,-,3.03,15,2.0,"-1,530","2,018",2,4,1/336,-,2.90,83,27.0
2026-05-15,金,いいえ,"-1,021","3,571",7,11,1/198,-,3.19,54,38.0,-713,"1,520",3,3,1/253,-,3.16,74,19.0,-916,"2,158",4,6,1/216,-,3.21,55,1.0,"+1,098","6,234",23,22,1/139,-,4.20,16,1.0,-4,906,3,2,1/181,-,3.42,15,8.0,-170,"6,222",18,27,1/138,-,4.39,7,-,-545,747,1,1,1/374,-,3.23,54,38.0
2026-05-14,木,いいえ,"-1,528","2,715",6,4,1/272,-,2.80,26,8.0,-974,"1,451",2,3,1/290,-,3.12,74,30.0,-946,"4,410",11,13,1/184,-,3.24,44,11.0,-407,"2,392",8,3,1/217,-,3.03,33,4.0,+675,"3,319",15,5,1/166,-,3.27,18,12.0,"+1,223","4,532",18,15,1/137,-,4.00,6,-,-670,"4,899",12,16,1/175,-,3.38,29,3.0
2026-05-13,水,いいえ,+836,"3,675",15,8,1/160,-,3.42,19,3.0,-838,"4,120",12,11,1/179,-,3.26,69,33.0,"+1,403","4,293",17,16,1/130,-,4.19,36,4.0,+434,"4,231",14,19,1/128,-,4.35,32,7.0,-139,"2,197",7,5,1/183,-,3.31,25,6.0,"+2,567","4,977",28,9,1/135,-,3.81,6,-,-427,"1,766",4,9,1/136,-,3.84,16,10.0
2026-05-12,火,いいえ,-655,901,1,1,1/451,-,3.13,38,17.0,-437,"6,880",20,22,1/164,-,3.54,58,5.0,-838,"1,580",1,8,1/176,-,3.58,53,6.0,"+1,368","6,708",26,23,1/137,-,4.27,47,9.0,-468,"1,127",3,0,1/376,-,3.04,21,6.0,+0,"4,181",11,17,1/149,-,3.88,11,-,+208,"5,322",17,21,1/140,-,4.16,15,4.0
2026-05-10,日,はい,+573,"6,400",21,21,1/152,-,3.81,36,6.0,-385,"4,371",14,9,1/190,-,3.02,56,8.0,-543,"1,566",3,4,1/224,-,3.25,48,12.0,-985,"3,150",6,8,1/225,-,3.01,78,22.0,+54,"6,134",18,20,1/161,-,3.60,30,2.0,"+1,673","6,346",30,16,1/138,-,3.98,10,-,-861,"2,485",5,7,1/207,-,3.21,28,18.0
2026-05-09,土,はい,-575,"1,318",2,4,1/220,-,3.32,61,11.0,-133,"5,549",20,16,1/154,-,3.64,62,1.0,-605,"1,540",3,4,1/220,-,3.27,50,8.0,-654,"3,280",9,10,1/173,-,3.41,61,11.0,-468,"1,280",3,3,1/213,-,3.31,42,7.0,+0,"4,813",18,12,1/160,-,3.44,35,19.0,-795,"3,013",7,9,1/188,-,3.29,16,-
2026-05-08,金,いいえ,-487,"2,692",6,8,1/192,-,3.29,52,1.0,-275,"2,935",9,9,1/163,-,3.51,37,22.0,-237,"5,037",14,19,1/153,-,3.84,43,4.0,-405,"2,438",7,2,1/271,-,2.81,45,2.0,"+1,360","4,521",22,10,1/141,-,3.72,39,2.0,-250,"1,264",4,2,1/211,-,3.28,51,6.0,+595,"1,538",7,4,1/140,-,3.61,15,-
