日付,曜日,特定日,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,,1133番台,,,,,,,,1135番台,,,,,,,,1136番台,,,,,,,,1137番台,,,,,,,,1138番台,,,,,,,,1150番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-06-02,火,いいえ,"-2,254","2,836",10,2,1/236,-,22,2.0,-193,786,7,0,1/112,-,15,-,-891,"2,160",9,5,1/154,-,36,13.0,-156,404,3,1,1/101,-,78,26.0,-322,679,4,2,1/113,-,89,11.0,-352,"1,498",7,5,1/125,-,36,13.0,+122,"1,406",7,6,1/108,-,52,3.0,-238,614,3,3,1/102,-,49,13.0,+60,337,2,1,1/112,-,20,5.0,+314,"2,605",16,6,1/118,-,22,2.0,+483,"3,709",23,7,1/124,-,23,1.0
2026-06-01,月,いいえ,"+1,154","2,409",17,7,1/100,-,11,-,+114,674,5,0,1/135,-,12,1.0,-46,32,0,0,-,-,27,15.0,-161,174,0,2,1/87,-,71,12.0,-127,"1,752",9,4,1/135,-,82,11.0,+313,"1,209",7,5,1/101,-,35,1.0,"-1,292","2,036",8,4,1/170,-,47,9.0,-128,"1,464",8,3,1/133,-,59,12.0,-96,169,0,2,1/85,-,38,3.0,"-1,952","1,629",3,4,1/233,-,29,2.0,"-2,489","3,234",10,7,1/190,-,34,5.0
2026-05-31,日,はい,-962,821,2,3,1/164,-,18,1.0,+217,"1,157",7,4,1/105,-,17,-,"+4,849","5,055",43,17,1/84,-,26,5.0,"-1,710","4,029",19,6,1/161,-,50,7.0,-393,667,3,4,1/95,-,69,15.0,-290,422,2,2,1/106,-,54,4.0,-443,568,3,0,1/189,-,21,3.0,-16,808,6,4,1/81,-,43,9.0,-298,"4,425",23,14,1/120,-,34,3.0,-174,630,4,3,1/90,-,28,2.0,"-2,626","2,685",8,5,1/207,-,31,3.0
2026-05-30,土,はい,"+11,628","9,275",91,18,1/85,-,16,-,"-2,249","2,451",7,4,1/223,-,25,1.0,-563,"1,804",9,4,1/139,-,56,19.0,"-1,990","2,994",11,7,1/166,-,34,9.0,-467,"3,459",19,6,1/138,-,64,8.0,"-1,829","3,564",13,11,1/149,-,37,3.0,+575,583,4,4,1/73,-,20,4.0,"-1,125","4,084",18,12,1/136,-,22,2.0,"+1,154","3,208",22,9,1/103,-,22,2.0,-819,695,2,2,1/174,-,22,2.0,"-2,761","6,278",27,15,1/149,-,24,2.0
2026-05-29,金,いいえ,-372,"4,367",21,15,1/121,-,35,7.0,-719,835,3,4,1/119,-,14,5.0,+150,"1,388",7,6,1/107,-,48,13.0,"-2,109","2,168",5,5,1/217,-,22,6.0,+597,"4,009",25,9,1/118,-,63,8.0,+142,"1,417",9,3,1/118,-,9,-,-202,532,4,0,1/133,-,28,6.0,-964,"1,608",5,5,1/161,-,15,1.0,"-1,366","1,598",4,4,1/200,-,55,7.0,"+2,501","2,214",21,5,1/85,-,16,1.0,"+6,170","5,493",48,19,1/82,-,16,1.0
2026-05-28,木,いいえ,+569,"1,993",11,10,1/95,-,22,3.0,+561,370,4,1,1/74,-,9,-,"-1,472","2,179",9,4,1/168,-,79,31.0,-934,872,3,3,1/145,-,15,3.0,"-4,525","8,899",35,20,1/162,-,88,9.0,+449,"1,025",8,1,1/114,-,12,3.0,"-2,674","3,139",10,7,1/185,-,28,2.0,+131,301,2,1,1/100,-,12,3.0,+487,"1,216",8,4,1/101,-,48,20.0,+421,447,4,1,1/89,-,19,4.0,"+3,128","4,542",35,12,1/97,-,26,4.0
2026-05-27,水,いいえ,-856,"1,316",4,4,1/165,-,44,22.0,"+4,838","1,859",25,7,1/58,-,12,1.0,"-1,248","2,180",8,5,1/168,-,78,3.0,"+3,037","4,021",33,9,1/96,-,14,2.0,-910,"2,478",11,5,1/155,-,84,6.0,"-1,279","1,731",5,7,1/144,-,22,1.0,-734,"1,523",7,1,1/190,-,11,-,+734,"2,129",14,6,1/106,-,15,1.0,-997,"2,112",8,7,1/141,-,75,23.0,"-1,381","3,662",15,13,1/131,-,21,6.0,"-1,545","2,567",8,8,1/160,-,52,8.0
2026-05-26,火,いいえ,+38,"1,582",9,4,1/122,-,44,18.0,-10,405,2,4,1/68,-,19,4.0,-164,439,3,1,1/110,-,82,28.0,+550,"2,673",17,8,1/107,-,15,1.0,-233,608,3,3,1/101,-,92,10.0,-43,20,0,0,-,-,19,4.0,"+2,617","2,504",22,8,1/83,-,6,-,"-1,087",983,2,5,1/140,-,26,2.0,-491,769,4,3,1/110,-,54,10.0,"+6,780","3,981",44,12,1/71,-,14,8.0,+272,"1,333",8,4,1/111,-,24,5.0
2026-05-25,月,いいえ,"-1,514","3,660",15,9,1/153,-,61,14.0,-477,989,6,3,1/110,-,15,3.0,-546,587,2,3,1/117,-,61,14.0,+131,419,2,3,1/84,-,15,3.0,-593,920,4,5,1/102,-,91,30.0,-304,701,5,1,1/117,-,10,1.0,+220,"2,663",16,4,1/133,-,9,-,+103,247,2,0,1/124,-,12,2.0,-399,"2,177",11,4,1/145,-,37,15.0,"-2,675","4,716",21,4,1/189,-,22,7.0,-344,853,5,3,1/107,-,47,10.0
2026-05-24,日,はい,-731,"3,540",14,15,1/122,-,36,5.0,"+8,010","4,165",47,15,1/67,-,14,1.0,-407,"1,642",9,0,1/182,-,54,10.0,-126,476,4,0,1/119,-,31,10.0,-643,"4,776",25,8,1/145,-,80,26.0,+132,"1,008",6,2,1/126,-,6,-,-436,749,4,3,1/107,-,13,3.0,"+3,242","1,359",18,4,1/62,-,21,7.0,+56,"4,397",25,10,1/126,-,44,5.0,-455,933,7,1,1/117,-,10,4.0,-383,"3,748",19,11,1/125,-,39,3.0
