日付,曜日,特定日,873番台,,,,,,,,875番台,,,,,,,,876番台,,,,,,,,877番台,,,,,,,,878番台,,,,,,,,880番台,,,,,,,,881番台,,,,,,,,882番台,,,,,,,,883番台,,,,,,,,885番台,,,,,,,,886番台,,,,,,,,887番台,,,,,,,,1078番台,,,,,,,,1080番台,,,,,,,,1081番台,,,,,,,,1082番台,,,,,,,,1083番台,,,,,,,,1085番台,,,,,,,,1086番台,,,,,,,,1087番台,,,,,,,,1088番台,,,,,,,,1100番台,,,,,,,,1101番台,,,,,,,,1102番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-06-02,火,いいえ,"-1,392","4,053",0,9,1/450,-,79,11.0,+764,"3,218",0,5,1/644,-,7,-,-231,897,0,3,1/299,-,36,6.0,-264,389,0,2,1/195,-,66,4.0,"-2,522","3,659",0,5,1/732,-,62,8.0,-939,752,0,2,1/376,-,13,2.0,"+3,798","4,556",0,9,1/506,-,11,2.0,"-1,088","3,377",0,8,1/422,-,54,16.0,-345,279,0,1,1/279,-,38,2.0,-696,"1,449",0,2,1/725,-,68,2.0,"+1,453","4,465",0,10,1/447,-,30,17.0,+41,999,0,3,1/333,-,9,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-01,月,いいえ,"-1,036","1,268",0,3,1/423,-,74,22.0,+342,"1,244",0,3,1/415,-,6,-,"+6,410","4,704",0,12,1/392,-,35,6.0,"-1,092","1,397",0,2,1/699,-,46,11.0,+36,"1,981",0,5,1/396,-,50,4.0,"+1,402","1,903",0,4,1/476,-,11,5.0,"+1,451","4,191",0,7,1/599,-,16,1.0,+289,"2,310",0,4,1/578,-,19,3.0,-113,401,0,2,1/201,-,29,10.0,"-2,517","3,018",0,6,1/503,-,52,2.0,-724,"3,702",0,9,1/411,-,35,6.0,-930,"2,252",0,6,1/375,-,15,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-31,日,はい,-787,"6,837",0,13,1/526,-,40,7.0,+874,"2,039",0,4,1/510,-,12,4.0,"-2,720","4,260",0,11,1/387,-,88,32.0,+62,"4,695",0,11,1/427,-,42,2.0,+495,"1,572",0,6,1/262,-,56,9.0,+91,"3,317",0,8,1/415,-,17,5.0,"+1,113","4,659",0,8,1/582,-,29,12.0,"-1,023","1,599",0,3,1/533,-,47,5.0,"+4,669","6,672",0,13,1/513,-,31,2.0,+463,"3,061",0,6,1/510,-,32,1.0,"+5,363","7,787",0,20,1/389,-,33,1.0,"+3,174","5,596",0,7,1/799,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-30,土,はい,"-2,044","3,247",0,9,1/361,-,24,8.0,+308,"5,703",0,13,1/439,-,15,7.0,"-2,039","4,784",0,14,1/342,-,78,30.0,"-2,580","4,147",0,9,1/461,-,82,4.0,-980,"3,943",0,11,1/358,-,85,3.0,"+2,245","2,581",0,5,1/516,-,16,1.0,"+2,797","8,235",0,21,1/392,-,44,3.0,"-1,265","4,038",0,9,1/449,-,41,17.0,"-1,300","1,537",0,3,1/512,-,89,1.0,"-1,687","4,775",0,11,1/434,-,48,4.0,"-2,178","3,643",0,10,1/364,-,88,3.0,"+2,186","8,844",0,30,1/295,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-29,金,いいえ,"-1,108","2,371",0,4,1/593,-,14,3.0,"+1,655","6,694",0,15,1/446,-,14,3.0,-458,796,0,2,1/398,-,46,4.0,"-1,331","3,912",0,7,1/559,-,58,4.0,-210,"2,142",0,5,1/428,-,77,1.0,"-1,781","2,778",0,6,1/463,-,25,11.0,"-1,616","1,871",0,3,1/624,-,76,18.0,"-1,849","1,470",0,2,1/735,-,39,14.0,"-2,090","2,338",0,6,1/390,-,54,8.0,-621,635,0,2,1/318,-,42,3.0,-858,"2,586",0,3,1/862,-,77,1.0,"-1,409","1,919",0,5,1/384,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-28,木,いいえ,"+1,672","3,348",0,8,1/419,-,9,-,-856,853,0,2,1/427,-,31,3.0,-72,"2,846",0,8,1/356,-,41,2.0,-134,712,0,2,1/356,-,48,7.0,-985,"3,647",0,9,1/405,-,58,10.0,-126,596,0,3,1/199,-,13,4.0,-29,"2,048",0,4,1/512,-,59,1.0,-526,575,0,2,1/288,-,28,14.0,-131,"2,032",0,5,1/406,-,39,8.0,+20,427,0,2,1/214,-,41,2.0,-827,"3,821",0,11,1/347,-,77,18.0,+145,223,0,2,1/112,-,14,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-27,水,いいえ,+99,888,0,2,1/444,-,23,2.0,-438,380,0,1,1/380,-,25,2.0,"-1,212","1,828",0,4,1/457,-,44,18.0,+0,"1,496",0,4,1/374,-,48,4.0,"-1,174","1,720",0,4,1/430,-,54,6.0,"+1,325","3,425",0,6,1/571,-,9,-,-516,618,0,1,1/618,-,58,4.0,+502,"4,788",0,11,1/435,-,26,1.0,-406,938,0,3,1/313,-,17,4.0,-893,"1,231",0,3,1/410,-,21,4.0,-511,"3,154",0,9,1/350,-,73,15.0,"+2,332","1,200",0,3,1/400,-,13,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-26,火,いいえ,-367,"3,381",0,5,1/676,-,44,18.0,"+3,797","5,304",0,13,1/408,-,12,-,-632,"2,237",0,7,1/320,-,24,2.0,+186,349,0,2,1/175,-,44,18.0,-688,885,0,3,1/295,-,24,2.0,"-1,035","4,357",0,14,1/311,-,22,3.0,"-1,092","2,193",0,5,1/439,-,52,4.0,"+4,669","3,228",0,3,1/1076,-,26,2.0,+181,"5,792",0,12,1/483,-,14,2.0,+103,334,0,1,1/334,-,14,2.0,-312,655,0,1,1/655,-,48,4.0,-667,"2,706",0,7,1/387,-,19,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-25,月,いいえ,+216,"2,319",0,6,1/387,-,34,13.0,"-1,199",962,0,2,1/481,-,34,13.0,-27,481,0,3,1/160,-,21,2.0,-348,"1,457",0,2,1/729,-,78,28.0,"-1,175","1,738",0,3,1/579,-,17,2.0,-297,"2,750",0,6,1/458,-,15,-,"-1,561","1,834",0,4,1/459,-,50,4.0,-485,977,0,4,1/244,-,46,2.0,"-1,139","2,769",0,7,1/396,-,34,13.0,+481,"2,322",0,7,1/332,-,19,1.0,-337,313,0,1,1/313,-,44,10.0,+861,"2,436",0,6,1/406,-,18,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-24,日,はい,+619,"4,940",0,12,1/412,-,45,2.0,-164,"1,578",0,3,1/526,-,27,3.0,-457,"1,607",0,2,1/804,-,18,4.0,"-1,761","3,400",0,5,1/680,-,79,30.0,-497,605,0,2,1/303,-,10,-,"+6,690","5,674",0,7,1/811,-,14,4.0,-951,"1,488",0,4,1/372,-,28,1.0,"-1,431","4,192",0,8,1/524,-,49,4.0,-220,"4,314",0,9,1/479,-,24,1.0,"-1,018","1,607",0,3,1/536,-,39,11.0,"-1,437","2,346",0,5,1/469,-,43,4.0,+852,"3,285",0,5,1/657,-,23,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
