日付,曜日,特定日,1078番台,,,,,,,,1080番台,,,,,,,,1081番台,,,,,,,,1082番台,,,,,,,,1083番台,,,,,,,,1085番台,,,,,,,,1086番台,,,,,,,,1087番台,,,,,,,,1088番台,,,,,,,,1100番台,,,,,,,,1101番台,,,,,,,,1102番台,,,,,,,,1103番台,,,,,,,,1105番台,,,,,,,,1106番台,,,,,,,,1107番台,,,,,,,,1108番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-06-02,火,いいえ,+821,"4,973",0,10,1/497,-,22,1.0,"+3,566","9,939",0,20,1/497,-,58,17.0,"-2,463","4,440",0,6,1/740,-,91,17.0,"-1,384","6,528",0,12,1/544,-,74,12.0,"+3,852","9,334",0,20,1/467,-,41,2.0,-442,286,0,0,-,-,62,4.0,"+1,839","3,594",0,9,1/399,-,6,-,"+1,883","6,394",0,11,1/581,-,21,1.0,"-1,547","1,424",0,3,1/475,-,20,1.0,-79,975,0,4,1/244,-,33,2.0,"-1,490","7,079",0,16,1/442,-,19,1.0,"-1,728","1,641",0,4,1/410,-,31,9.0,"+2,661","8,018",0,15,1/535,-,39,6.0,"+1,559","3,853",0,7,1/550,-,20,1.0,"+4,128","5,393",0,12,1/449,-,8,2.0,"+2,569","1,731",0,3,1/577,-,18,9.0,+256,"4,437",0,10,1/444,-,9,1.0
2026-06-01,月,いいえ,+780,"6,685",0,17,1/393,-,34,2.0,"-1,843","3,847",0,10,1/385,-,87,9.0,"-2,347","3,118",0,6,1/520,-,44,2.0,-732,"4,339",0,7,1/620,-,66,2.0,"-1,353","1,554",0,3,1/518,-,68,2.0,"-4,545","5,397",0,10,1/540,-,49,5.0,"+4,416","4,970",0,10,1/497,-,11,2.0,"+13,155","3,526",0,2,1/1763,-,32,6.0,-127,520,0,1,1/520,-,13,2.0,-334,"1,908",0,4,1/477,-,42,5.0,"+2,677","5,873",0,16,1/367,-,14,1.0,-219,791,0,3,1/264,-,26,5.0,"-2,305","6,941",0,18,1/386,-,78,10.0,"-1,848","2,093",0,3,1/698,-,64,15.0,-935,"7,330",0,15,1/489,-,21,7.0,+880,"1,969",0,6,1/328,-,37,3.0,"+2,923","7,186",0,20,1/359,-,9,-
2026-05-31,日,はい,+762,"7,394",0,20,1/370,-,49,3.0,"-1,594","8,443",0,21,1/402,-,87,23.0,-608,"2,492",0,5,1/498,-,34,6.0,"-2,761","3,492",0,5,1/698,-,61,5.0,"-3,196","4,957",0,9,1/551,-,63,2.0,"-1,217","4,753",0,12,1/396,-,28,7.0,+587,"6,691",0,17,1/394,-,12,3.0,"+2,314","6,130",0,12,1/511,-,46,7.0,"+1,201","5,684",0,15,1/379,-,12,3.0,+49,445,0,3,1/148,-,39,3.0,"+6,079","8,690",0,17,1/511,-,14,2.0,-933,"1,549",0,3,1/516,-,21,7.0,"-1,035","6,600",0,14,1/471,-,64,1.0,-349,804,0,3,1/268,-,46,7.0,+285,882,0,1,1/882,-,36,2.0,+408,"6,165",0,13,1/474,-,56,7.0,+227,282,0,1,1/282,-,9,-
2026-05-30,土,はい,"-4,262","5,676",0,10,1/568,-,62,1.0,"-3,083","7,793",0,22,1/354,-,91,29.0,"-1,266","4,891",0,11,1/445,-,19,3.0,"-1,772","4,381",0,9,1/487,-,25,1.0,"+1,631","9,547",0,23,1/415,-,59,1.0,"+1,770","3,654",0,8,1/457,-,24,5.0,-275,"3,242",0,8,1/405,-,24,5.0,-62,"5,986",0,11,1/544,-,92,1.0,"+1,484","4,242",0,9,1/471,-,15,1.0,"+3,625","7,335",0,17,1/431,-,44,2.0,"-1,378","2,872",0,4,1/718,-,33,8.0,"+4,696","4,619",0,8,1/577,-,14,-,-488,"3,481",0,8,1/435,-,58,14.0,"-1,867","3,955",0,9,1/439,-,42,4.0,"-1,243","4,120",0,8,1/515,-,38,5.0,"-1,713","4,415",0,8,1/552,-,61,2.0,"+5,852","6,562",0,9,1/729,-,16,1.0
2026-05-29,金,いいえ,+341,"6,956",0,15,1/464,-,51,17.0,"-1,126","1,386",0,2,1/693,-,89,1.0,+515,"2,587",0,7,1/370,-,17,1.0,"+2,848","3,924",0,5,1/785,-,18,1.0,-432,"8,092",0,19,1/426,-,86,27.0,-76,208,0,1,1/208,-,25,3.0,"+1,219","2,486",0,4,1/622,-,21,3.0,"-1,247","5,653",0,13,1/435,-,88,1.0,"+1,226","3,134",0,7,1/448,-,15,-,"-1,084","9,730",0,24,1/405,-,87,1.0,"+2,262","2,762",0,7,1/395,-,16,1.0,"+9,457","4,125",0,5,1/825,-,22,1.0,-822,763,0,1,1/763,-,59,8.0,"+1,723","5,222",0,9,1/580,-,32,7.0,+196,778,0,2,1/389,-,32,7.0,"+2,004","7,068",0,17,1/416,-,34,2.0,-894,"2,542",0,7,1/363,-,51,17.0
2026-05-28,木,いいえ,+766,"7,974",0,18,1/443,-,52,2.0,-721,"1,196",0,3,1/399,-,48,12.0,-437,"4,233",0,12,1/353,-,33,1.0,"-1,848","1,885",0,3,1/628,-,25,2.0,"-2,251","9,057",0,26,1/348,-,88,1.0,"+2,641","3,199",0,5,1/640,-,26,1.0,+334,"1,196",0,3,1/399,-,32,4.0,"-1,639","6,945",0,13,1/534,-,82,27.0,"+1,909","2,172",0,7,1/310,-,15,-,"-1,655","5,584",0,11,1/508,-,87,3.0,-478,"1,411",0,3,1/470,-,36,3.0,"+2,095","9,154",0,28,1/327,-,55,3.0,+313,"1,423",0,4,1/356,-,23,8.0,-175,470,0,1,1/470,-,55,3.0,"+1,296","6,655",0,20,1/333,-,28,2.0,"-1,496","3,728",0,8,1/466,-,84,2.0,-888,"3,584",0,4,1/896,-,50,2.0
2026-05-27,水,いいえ,"-1,035","4,872",0,11,1/443,-,93,7.0,"-3,314","4,945",0,9,1/549,-,43,1.0,"-1,092","2,885",0,9,1/321,-,19,1.0,"+1,085","3,882",0,9,1/431,-,18,-,-930,"2,462",0,5,1/492,-,86,4.0,"-1,192",856,0,1,1/856,-,60,17.0,-912,"3,308",0,4,1/827,-,39,1.0,"-2,902","3,756",0,6,1/626,-,30,9.0,-563,"6,296",0,14,1/450,-,31,1.0,-491,"1,652",0,2,1/826,-,86,4.0,-480,492,0,1,1/492,-,38,7.0,"-2,230","6,392",0,13,1/492,-,82,11.0,"-1,173",973,0,1,1/973,-,42,3.0,+308,"6,939",0,21,1/330,-,62,2.0,+21,"1,472",0,4,1/368,-,42,3.0,"-2,415","5,465",0,13,1/420,-,71,9.0,-99,"2,310",0,5,1/462,-,21,2.0
2026-05-26,火,いいえ,-625,"8,139",0,19,1/428,-,91,4.0,-268,"1,805",0,5,1/361,-,39,5.0,"+3,918","7,596",0,21,1/362,-,19,5.0,"-1,128",766,0,1,1/766,-,26,2.0,"-1,039","2,914",0,5,1/583,-,85,20.0,-226,"4,137",0,12,1/345,-,24,2.0,"-1,333","1,470",0,2,1/735,-,34,6.0,"-1,217","5,864",0,8,1/733,-,14,-,"-1,457","2,070",0,4,1/518,-,22,3.0,"-2,602","6,239",0,17,1/367,-,94,3.0,-415,"2,453",0,4,1/613,-,28,2.0,-970,"3,302",0,6,1/550,-,49,5.0,"+1,454","8,067",0,21,1/384,-,50,1.0,"-1,403","3,688",0,11,1/335,-,87,2.0,"-1,351","1,970",0,3,1/657,-,65,15.0,"-2,041","8,831",0,19,1/465,-,44,5.0,+466,"3,003",0,5,1/601,-,34,6.0
2026-05-25,月,いいえ,"-1,088","4,252",0,9,1/472,-,85,1.0,"-2,970","5,973",0,12,1/498,-,25,6.0,-297,"2,271",0,6,1/379,-,49,10.0,"-2,864","3,793",0,7,1/542,-,19,1.0,"-1,212","2,984",0,6,1/497,-,80,4.0,-421,"1,360",0,3,1/453,-,18,2.0,"+12,768","5,965",0,8,1/746,-,30,5.0,+237,"1,456",0,4,1/364,-,9,-,-79,48,0,0,-,-,16,7.0,-67,"9,604",0,26,1/369,-,89,4.0,+986,669,0,2,1/335,-,31,1.0,-555,540,0,1,1/540,-,52,3.0,"-1,249","7,693",0,21,1/366,-,76,16.0,-499,296,0,0,-,-,84,4.0,"-3,078","5,497",0,10,1/550,-,60,8.0,-68,45,0,0,-,-,39,8.0,"+2,122","6,257",0,11,1/569,-,52,3.0
2026-05-24,日,はい,-215,981,0,2,1/491,-,68,3.0,"+1,538","7,791",0,15,1/519,-,18,2.0,+145,160,0,1,1/160,-,24,6.0,"+5,524","5,847",0,13,1/450,-,14,3.0,"-1,825","2,425",0,3,1/808,-,45,2.0,-96,279,0,1,1/279,-,15,1.0,"-3,642","7,406",0,12,1/617,-,65,1.0,-825,985,0,1,1/985,-,16,1.0,-559,"4,667",0,11,1/424,-,11,-,-166,"6,756",0,17,1/397,-,89,21.0,"-1,793","5,369",0,12,1/447,-,31,7.0,+20,"6,626",0,17,1/390,-,51,6.0,"-2,525","6,631",0,15,1/442,-,64,13.0,-528,"3,409",0,9,1/379,-,92,3.0,+345,"3,613",0,9,1/401,-,43,12.0,"-1,304","1,902",0,4,1/476,-,43,12.0,"-1,866","6,348",0,15,1/423,-,64,13.0
