日付,曜日,特定日,1158番台,,,,,,,,,1160番台,,,,,,,,,1161番台,,,,,,,,,1162番台,,,,,,,,,1163番台,,,,,,,,,1175番台,,,,,,,,,1176番台,,,,,,,,,1177番台,,,,,,,,,1178番台,,,,,,,,,1180番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-281,303,0,0,-,-,3.15,29,1.0,+0,240,1,0,1/240,-,3.36,14,2.0,+102,235,1,0,1/235,-,3.37,12,-,-158,215,0,0,-,-,3.25,25,11.0,-123,"1,657",7,1,1/207,-,2.88,28,3.0
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+514,"2,523",13,4,1/148,-,3.49,16,-,-230,225,0,0,-,-,3.24,25,1.0,-39,"2,943",12,3,1/196,-,2.70,19,3.0,+584,664,4,3,1/95,-,4.10,24,2.0,"+1,603","7,967",39,20,1/135,-,4.71,22,3.0
2026-06-01,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-455,305,0,0,-,-,3.14,27,3.0,"+2,010","5,833",35,9,1/133,-,4.04,24,15.0,-254,377,1,0,1/377,-,3.20,9,-,-120,"1,432",6,2,1/179,-,3.23,29,2.0,-122,"2,373",8,7,1/158,-,3.74,64,35.0
2026-05-31,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-62,"1,624",7,0,1/232,-,2.68,22,14.0,+392,"5,124",24,8,1/160,-,3.16,38,14.0,+745,"2,626",14,6,1/131,-,4.02,8,-,"+2,643","5,513",33,12,1/123,-,4.71,24,2.0,-272,288,0,1,1/288,-,3.43,44,6.0
2026-05-30,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+265,"5,667",28,9,1/153,-,3.34,34,23.0,-466,"2,680",11,3,1/191,-,2.83,67,24.0,"+1,244","4,969",25,10,1/142,-,3.91,11,-,-772,"1,218",3,1,1/305,-,2.82,43,7.0,-414,"5,197",22,6,1/186,-,2.48,36,2.0
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-685,"1,598",5,1,1/266,-,2.70,52,10.0,-240,"1,538",6,1,1/220,-,2.87,59,7.0,"+1,401","2,963",18,7,1/119,-,4.40,14,-,-627,"1,465",4,2,1/244,-,2.94,41,27.0,-703,841,1,1,1/421,-,2.95,42,1.0
2026-05-28,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-262,675,2,1,1/225,-,3.27,16,-,-267,"1,469",5,4,1/163,-,3.58,52,16.0,-490,"2,981",11,3,1/213,-,2.56,36,3.0,"-1,056","1,562",4,1,1/312,-,2.62,33,2.0,-136,"2,157",10,1,1/196,-,2.75,31,15.0
2026-05-27,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+296,"3,898",19,5,1/162,-,3.06,15,1.0,-909,"2,060",6,0,1/343,-,2.24,54,24.0,+21,"2,151",10,2,1/179,-,2.99,14,-,-133,789,3,1,1/197,-,3.28,29,14.0,+127,"3,346",16,4,1/167,-,3.01,30,1.0
2026-05-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+129,"2,288",10,3,1/176,-,3.09,25,2.0,-607,"1,889",6,2,1/236,-,2.76,39,8.0,+274,"5,160",23,9,1/161,-,3.23,23,9.0,-156,325,1,0,1/325,-,3.26,14,-,-598,"2,942",10,6,1/184,-,3.15,31,6.0
2026-05-25,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-511,"1,436",4,2,1/239,-,2.97,35,8.0,+206,"1,527",8,2,1/153,-,3.40,35,8.0,-197,729,3,1,1/182,-,3.35,38,3.0,+179,"1,148",5,2,1/164,-,3.41,10,-,"+1,349","3,308",19,8,1/123,-,4.40,27,17.0
