日付,曜日,特定日,1151番台,,,,,,,,,1152番台,,,,,,,,,1153番台,,,,,,,,,1155番台,,,,,,,,,1156番台,,,,,,,,,1157番台,,,,,,,,,1158番台,,,,,,,,,1160番台,,,,,,,,,1161番台,,,,,,,,,1162番台,,,,,,,,,1163番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-03,水,いいえ,+842,"1,235",6,1,1/176,-,2.86,46,9.0,+474,"1,641",10,3,1/126,-,3.22,63,11.0,-159,112,0,0,-,-,2.93,35,3.0,+263,802,3,3,1/133,-,3.17,52,6.0,+263,416,2,1,1/138,-,3.05,18,2.0,-404,554,1,0,1/554,-,2.74,37,2.0,+614,824,4,3,1/117,-,3.24,16,4.0,+193,422,1,2,1/140,-,3.10,12,4.0,+105,815,4,1,1/163,-,2.96,8,-,-35,530,1,2,1/176,-,3.03,32,14.0,-596,543,0,0,-,-,2.67,84,21.0
2026-06-02,火,いいえ,-301,"1,156",4,1,1/231,-,2.75,76,40.0,"-1,088","1,379",2,1,1/460,-,2.48,81,5.0,"-1,110","1,835",4,1,1/367,-,2.39,32,10.0,"-1,174","3,858",10,7,1/227,-,2.46,85,2.0,-18,"1,050",4,2,1/175,-,2.95,36,3.0,"-1,632","2,366",3,7,1/237,-,2.76,32,10.0,+659,"3,527",15,9,1/147,-,3.29,22,6.0,-427,307,0,0,-,-,2.81,16,8.0,+444,"1,161",7,1,1/145,-,2.99,8,-,-769,"4,054",10,12,1/184,-,2.98,33,1.0,"-1,368","1,572",1,4,1/314,-,2.68,83,2.0
2026-06-01,月,いいえ,-502,"3,907",12,12,1/163,-,3.23,69,13.0,-274,"3,584",13,3,1/224,-,2.34,79,2.0,+574,"3,776",15,10,1/151,-,3.27,28,16.0,"-1,635","3,714",8,9,1/218,-,2.63,76,7.0,-691,"2,186",5,8,1/168,-,3.17,36,2.0,+183,"2,092",8,4,1/174,-,2.91,28,16.0,-474,"3,544",12,6,1/197,-,2.64,56,20.0,"+1,509","2,583",14,7,1/123,-,3.52,12,4.0,+337,"5,206",17,19,1/145,-,3.77,8,-,+384,"4,701",18,10,1/168,-,2.95,34,6.0,-670,"1,287",3,2,1/257,-,2.73,77,1.0
2026-05-31,日,はい,"-1,995","3,343",7,5,1/279,-,2.30,65,2.0,"-2,043","3,767",8,6,1/269,-,2.27,79,14.0,-982,"1,066",1,2,1/355,-,2.71,44,15.0,-381,"3,871",13,8,1/184,-,2.79,54,1.0,-560,900,1,1,1/450,-,2.67,19,9.0,"+3,621","8,684",37,26,1/138,-,4.09,29,10.0,"-1,248","2,327",5,5,1/233,-,2.68,63,7.0,"-1,316","3,480",6,13,1/183,-,3.14,19,9.0,"+1,787","6,600",27,17,1/150,-,3.46,10,-,-864,"3,044",9,6,1/203,-,2.70,56,2.0,-607,"6,201",21,13,1/182,-,2.71,53,9.0
2026-05-30,土,はい,"+1,171","6,978",29,16,1/155,-,3.26,54,3.0,-880,"3,684",12,6,1/205,-,2.57,38,5.0,"-1,195","3,458",10,7,1/203,-,2.67,38,5.0,"-1,034","5,000",14,10,1/208,-,2.50,51,5.0,"+2,829","5,563",27,14,1/136,-,3.68,17,2.0,"-1,068","5,447",16,13,1/188,-,2.76,82,23.0,+626,"5,392",22,10,1/169,-,2.85,59,5.0,"+3,128","4,728",27,12,1/121,-,3.90,15,6.0,"+1,008","6,133",24,18,1/146,-,3.63,9,-,"-1,440","2,637",6,4,1/264,-,2.46,46,8.0,"-1,599","5,001",13,10,1/217,-,2.43,33,16.0
2026-05-29,金,いいえ,"-1,386","4,933",12,15,1/183,-,3.01,76,11.0,-842,"1,440",2,4,1/240,-,2.83,33,4.0,"+2,878","8,269",37,23,1/138,-,3.98,27,7.0,+313,"3,428",13,8,1/163,-,3.05,48,4.0,"-1,858","3,491",5,12,1/205,-,2.92,29,2.0,-752,"3,829",9,11,1/191,-,2.90,65,17.0,+96,"3,280",11,9,1/164,-,3.12,44,10.0,-715,"2,246",6,4,1/225,-,2.67,34,1.0,-218,530,2,0,1/265,-,2.83,14,1.0,+343,"3,682",14,11,1/147,-,3.39,20,6.0,-296,"2,859",11,0,1/260,-,2.24,13,-
2026-05-28,木,いいえ,"-1,280","6,044",16,16,1/189,-,2.81,76,2.0,-464,"1,547",4,3,1/221,-,2.79,29,5.0,-510,"2,940",10,5,1/196,-,2.70,62,17.0,-415,"4,427",15,8,1/192,-,2.62,71,9.0,"+2,880","5,773",28,14,1/137,-,3.63,24,4.0,-655,"1,298",2,4,1/216,-,2.92,45,13.0,-369,"1,855",5,6,1/169,-,3.10,74,3.0,"+1,167","4,032",18,10,1/144,-,3.36,32,3.0,"+1,225","5,451",25,11,1/151,-,3.19,15,7.0,+798,"4,117",17,10,1/152,-,3.23,20,5.0,"+1,104","4,449",19,9,1/159,-,3.04,8,-
2026-05-27,水,いいえ,-630,853,2,0,1/427,-,2.64,46,10.0,"+1,612","4,457",19,14,1/135,-,3.71,25,6.0,-384,"2,361",8,4,1/197,-,2.75,60,1.0,-632,"2,907",8,5,1/224,-,2.58,59,5.0,-242,713,2,1,1/238,-,2.86,35,6.0,-452,"2,106",6,5,1/191,-,2.88,36,1.0,-638,"1,173",2,2,1/293,-,2.72,74,14.0,-399,"1,855",5,4,1/206,-,2.82,51,5.0,-610,930,2,1,1/310,-,2.73,29,4.0,-579,"1,229",3,2,1/246,-,2.76,54,3.0,-658,"3,458",9,11,1/173,-,3.12,19,-
2026-05-26,火,いいえ,-734,"4,819",14,11,1/193,-,2.71,28,1.0,-617,"1,018",2,1,1/339,-,2.68,51,6.0,-869,813,1,0,1/813,-,2.59,54,3.0,-822,"4,280",11,13,1/178,-,3.06,45,5.0,-905,"3,104",9,6,1/207,-,2.67,35,3.0,-321,555,1,0,1/555,-,2.74,40,5.0,"-1,298","4,327",12,9,1/206,-,2.59,45,5.0,+546,"3,440",14,9,1/150,-,3.26,54,3.0,+173,"1,366",4,5,1/152,-,3.18,27,13.0,"-1,334","5,091",13,15,1/182,-,3.00,32,4.0,-538,890,2,1,1/297,-,2.75,14,-
2026-05-25,月,いいえ,-898,"2,564",7,7,1/183,-,2.96,25,10.0,-384,235,0,0,-,-,2.85,32,3.0,-667,"6,948",22,22,1/158,-,3.52,49,7.0,+45,548,2,1,1/183,-,2.96,50,1.0,"+2,189","6,465",29,15,1/147,-,3.43,28,2.0,-66,"3,628",10,15,1/145,-,3.64,15,3.0,"-3,020","4,562",10,5,1/304,-,1.99,42,10.0,-728,"1,919",5,2,1/274,-,2.53,84,34.0,-528,"1,418",4,2,1/236,-,2.73,29,1.0,-287,"2,392",8,5,1/184,-,2.87,26,1.0,+24,"4,950",17,10,1/183,-,2.73,12,-
