日付,曜日,特定日,1165番台,,,,,,,,,1166番台,,,,,,,,,1167番台,,,,,,,,,1168番台,,,,,,,,,1170番台,,,,,,,,,1171番台,,,,,,,,,1172番台,,,,,,,,,1173番台,,,,,,,,,1175番台,,,,,,,,,1176番台,,,,,,,,,1177番台,,,,,,,,,1178番台,,,,,,,,,1180番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-03,水,いいえ,+211,650,3,2,1/130,-,3.66,21,6.0,-136,170,0,0,-,-,3.32,32,1.0,+158,"2,056",8,5,1/158,-,3.52,25,4.0,+421,"2,166",10,9,1/114,-,4.45,28,3.0,+211,685,3,1,1/171,-,3.40,15,4.0,+0,998,4,2,1/166,-,3.43,11,-,-211,700,2,0,1/350,-,3.05,52,20.0,-159,164,0,0,-,-,3.33,31,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-02,火,いいえ,+205,712,4,0,1/178,-,3.29,39,8.0,"+1,484","5,010",23,8,1/162,-,3.13,26,12.0,-497,"1,182",4,0,1/296,-,2.84,26,12.0,+161,"1,258",6,1,1/180,-,3.21,44,5.0,-266,731,2,1,1/244,-,3.23,31,5.0,+169,"2,361",11,3,1/169,-,3.17,14,-,-80,683,2,2,1/171,-,3.49,45,1.0,"+2,801","8,500",40,23,1/135,-,4.64,26,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-01,月,いいえ,-445,815,2,0,1/408,-,2.94,41,18.0,-317,"1,575",5,3,1/197,-,3.20,56,13.0,"+2,236","5,760",26,18,1/131,-,4.63,14,-,-222,"1,132",4,1,1/226,-,3.08,71,9.0,-182,113,0,0,-,-,3.38,15,1.0,+619,"5,578",23,12,1/159,-,3.39,23,8.0,-256,415,1,0,1/415,-,3.20,43,2.0,-370,"4,100",17,3,1/205,-,2.38,62,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-31,日,はい,-434,"4,656",14,12,1/179,-,3.20,34,5.0,-678,"1,481",3,4,1/212,-,3.25,50,12.0,-320,"2,376",8,4,1/198,-,3.00,35,1.0,-980,"1,579",2,5,1/226,-,3.24,58,8.0,+240,"4,854",19,11,1/162,-,3.40,12,-,"+1,633","7,571",35,15,1/151,-,3.54,29,6.0,-786,702,0,1,1/702,-,3.01,23,11.0,-778,"2,180",5,4,1/242,-,2.84,38,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-30,土,はい,-394,"3,691",14,8,1/168,-,3.29,22,6.0,-378,"4,588",15,7,1/209,-,2.48,44,15.0,-419,"3,160",9,10,1/166,-,3.60,22,6.0,"-1,093","4,907",12,17,1/169,-,3.71,49,5.0,-67,"5,244",17,13,1/175,-,3.20,16,-,-821,"4,164",12,7,1/219,-,2.50,74,25.0,+584,"4,313",19,11,1/144,-,3.90,22,6.0,-705,"3,274",10,5,1/218,-,2.64,29,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-29,金,いいえ,-311,"2,443",9,7,1/153,-,3.68,13,2.0,-550,"2,667",8,6,1/191,-,3.13,24,1.0,"-1,250","1,933",3,2,1/387,-,2.48,22,9.0,+44,"4,334",17,11,1/155,-,3.65,34,10.0,"+1,138","4,211",22,7,1/145,-,3.56,11,-,-67,"4,447",17,8,1/178,-,2.95,58,13.0,+235,"5,475",20,11,1/177,-,2.96,45,11.0,-464,"1,433",4,2,1/239,-,3.00,23,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-28,木,いいえ,+218,"1,937",7,6,1/149,-,3.72,7,-,-262,"3,351",11,7,1/186,-,3.06,16,5.0,-126,"2,698",10,6,1/169,-,3.35,11,4.0,-103,"1,061",4,1,1/212,-,3.15,56,2.0,-359,"1,168",4,0,1/292,-,2.85,20,2.0,-520,583,1,0,1/583,-,3.04,54,34.0,"-1,140","4,380",12,9,1/209,-,2.67,71,15.0,-969,"1,091",0,2,1/546,-,2.85,18,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-27,水,いいえ,-720,"1,651",5,1,1/275,-,2.73,12,2.0,+501,"5,945",22,16,1/156,-,3.72,16,2.0,+516,"4,233",18,9,1/157,-,3.46,10,-,-562,642,1,0,1/642,-,2.98,56,10.0,-445,"2,311",9,2,1/210,-,2.79,14,2.0,-432,"4,693",14,12,1/181,-,3.16,46,3.0,-267,"3,524",11,10,1/168,-,3.49,43,27.0,+120,"1,170",6,0,1/195,-,3.08,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-26,火,いいえ,"+2,169","7,381",38,14,1/142,-,3.85,12,-,-30,155,0,1,1/155,-,3.56,28,4.0,+256,"5,123",19,11,1/171,-,3.15,13,1.0,-606,"1,058",1,3,1/265,-,3.20,36,8.0,+15,"2,308",11,1,1/192,-,2.82,14,1.0,-101,727,2,2,1/182,-,3.45,24,10.0,-179,"1,120",3,2,1/224,-,3.18,46,10.0,+797,"3,907",14,13,1/145,-,4.08,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-25,月,いいえ,"-1,034","2,800",5,6,1/255,-,2.69,20,2.0,+124,"1,167",4,4,1/146,-,3.69,36,4.0,+516,"6,530",22,24,1/142,-,4.60,16,-,-193,296,1,0,1/296,-,3.32,32,10.0,+130,"2,631",11,4,1/175,-,3.12,16,-,-627,500,0,0,-,-,3.00,18,2.0,+511,"3,661",15,9,1/153,-,3.64,36,4.0,+783,"4,739",17,15,1/148,-,4.05,22,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
