日付,曜日,特定日,727番台,,,,,,,,728番台,,,,,,,,730番台,,,,,,,,731番台,,,,,,,,732番台,,,,,,,,733番台,,,,,,,,735番台,,,,,,,,736番台,,,,,,,,737番台,,,,,,,,738番台,,,,,,,,750番台,,,,,,,,751番台,,,,,,,,752番台,,,,,,,,753番台,,,,,,,,755番台,,,,,,,,756番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-06-04,木,いいえ,-453,"2,665",9,5,1/190,1/5.84,22,6.0,-116,"7,287",27,21,1/152,1/5.93,56,2.0,+653,"3,240",16,8,1/135,1/6.11,10,-,-114,"5,890",22,13,1/168,1/5.70,54,31.0,-337,"4,435",16,8,1/185,1/5.65,90,34.0,+385,"1,175",7,1,1/147,1/5.94,16,4.0,"+1,277","6,733",31,18,1/137,1/5.89,12,2.0,-397,"1,656",6,1,1/237,1/5.86,23,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-03,水,いいえ,-652,"2,469",9,5,1/176,1/6.68,21,1.0,-843,"5,131",14,17,1/166,1/5.74,34,13.0,+50,"2,500",11,3,1/179,1/5.80,14,-,-155,"5,018",17,19,1/139,1/6.05,46,12.0,-851,"4,091",13,7,1/205,1/5.73,75,29.0,+102,"3,808",19,5,1/159,1/6.49,16,2.0,"-1,158","4,778",14,14,1/171,1/6.13,21,1.0,+307,"7,972",29,24,1/150,1/5.68,20,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-02,火,いいえ,-51,"3,807",17,4,1/181,1/5.95,11,-,"-1,032","3,600",9,12,1/171,1/6.04,32,14.0,+156,"3,431",15,6,1/163,1/5.89,18,3.0,+162,"8,690",33,26,1/147,1/5.92,37,5.0,-791,"7,380",23,26,1/151,1/5.98,68,17.0,-603,"2,511",8,4,1/209,1/5.82,32,14.0,-666,"5,725",20,12,1/179,1/5.82,15,4.0,-451,"4,205",15,9,1/175,1/5.87,51,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-01,月,いいえ,"+1,245","3,822",21,9,1/127,1/6.10,9,1.0,"-1,020","1,499",3,2,1/300,1/6.44,26,17.0,+390,"6,138",24,21,1/136,1/6.03,32,4.0,-805,"4,899",17,9,1/188,1/5.89,69,5.0,"-2,280","2,790",4,5,1/310,1/6.68,64,32.0,-724,"1,466",4,1,1/293,1/6.07,26,17.0,+76,"3,464",15,5,1/173,1/5.82,8,-,-825,"3,137",9,7,1/196,1/5.86,28,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-31,日,はい,"+2,917","7,535",39,28,1/112,1/6.07,12,-,+674,"4,083",19,9,1/146,1/5.85,19,4.0,-416,"2,939",9,7,1/184,1/5.61,47,16.0,-384,"5,636",23,10,1/171,1/6.10,31,7.0,+580,"4,247",17,14,1/137,1/5.76,31,7.0,"+2,476","7,936",40,24,1/124,1/5.96,24,5.0,-528,601,1,0,1/601,1/6.37,15,3.0,+457,"6,717",28,17,1/149,1/5.90,24,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-30,土,はい,-155,"6,934",28,15,1/161,1/6.01,24,6.0,-916,"3,370",9,11,1/169,1/6.13,34,7.0,+539,"6,622",27,19,1/144,1/5.89,27,2.0,"-1,550","3,970",9,11,1/199,1/6.01,17,8.0,-869,"6,840",24,19,1/159,1/6.18,25,1.0,"-1,040","3,162",10,4,1/226,1/6.05,36,2.0,"+1,787","7,604",34,26,1/127,1/5.87,9,-,+550,"7,594",29,21,1/152,1/5.63,18,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-29,金,いいえ,+178,"3,540",17,4,1/169,1/6.06,14,3.0,+925,"4,535",24,6,1/151,1/5.98,34,10.0,-116,"5,160",19,20,1/132,1/6.39,54,12.0,+95,"3,686",12,15,1/137,1/5.78,8,-,"-1,315","3,453",10,6,1/216,1/6.21,23,9.0,-151,"1,383",6,2,1/173,1/6.44,24,1.0,+237,"3,898",16,11,1/144,1/5.99,11,3.0,-785,"5,126",17,16,1/155,1/6.24,42,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-28,木,いいえ,-392,"1,673",5,3,1/209,1/5.68,14,2.0,+375,"6,367",26,16,1/152,1/5.84,31,7.0,"-1,021","2,882",9,4,1/222,1/6.18,54,23.0,-264,"3,090",12,8,1/155,1/6.32,9,-,+545,"4,460",20,13,1/135,1/6.17,15,1.0,"+2,127","7,510",36,25,1/123,1/5.96,21,6.0,"+1,845","5,734",24,26,1/115,1/5.67,12,3.0,-145,"7,440",30,22,1/143,1/6.35,24,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-27,水,いいえ,"+1,843","6,700",28,30,1/116,1/5.83,9,-,-279,"3,514",13,8,1/167,1/5.95,58,9.0,-267,"5,573",19,16,1/159,1/5.76,37,12.0,+332,"5,654",22,15,1/153,1/5.71,9,-,-938,"2,424",5,7,1/202,1/5.83,25,9.0,-479,"3,815",14,7,1/182,1/5.93,47,10.0,"-1,229","5,586",18,12,1/186,1/6.01,49,2.0,"-1,459","4,545",13,9,1/207,1/6.00,16,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-26,火,いいえ,-538,"5,590",19,14,1/169,1/5.80,25,3.0,-920,"1,535",3,2,1/307,1/5.98,42,2.0,-393,"4,424",16,12,1/158,1/6.09,22,3.0,-617,"3,321",9,10,1/175,1/5.69,10,-,-821,"2,414",7,3,1/241,1/5.81,19,7.0,-337,"2,779",10,7,1/163,1/6.13,40,15.0,+414,"8,159",32,25,1/143,1/5.94,43,1.0,+396,"3,755",16,10,1/144,1/5.89,12,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-25,月,いいえ,-391,826,2,2,1/207,1/6.43,16,3.0,-403,"5,057",17,15,1/158,1/5.88,22,4.0,-527,"2,639",7,8,1/176,1/5.70,17,1.0,+638,"2,596",13,8,1/124,1/6.26,7,-,+431,888,6,1,1/127,1/6.22,18,1.0,-327,"4,824",16,19,1/138,1/6.21,39,17.0,-357,"5,031",18,16,1/148,1/6.17,58,19.0,-469,528,1,0,1/528,1/6.72,13,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-24,日,はい,-522,"3,169",10,8,1/176,1/5.85,12,1.0,-186,"3,853",15,6,1/183,1/5.72,18,5.0,"+1,468","8,410",38,22,1/140,1/5.84,13,1.0,"+1,046","4,018",20,6,1/155,1/5.51,9,-,"+3,568","7,855",44,26,1/112,1/6.05,26,8.0,-261,990,4,0,1/248,1/6.16,28,2.0,-158,"6,180",25,14,1/158,1/6.08,42,14.0,"+1,414","7,469",36,21,1/131,1/6.19,11,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-23,土,はい,+655,"4,080",18,9,1/151,1/5.63,13,1.0,-818,"1,629",3,3,1/272,1/5.67,15,2.0,-911,"6,492",19,25,1/148,1/6.07,32,8.0,+456,"2,235",11,6,1/131,1/6.18,15,2.0,"-1,704","4,880",9,19,1/174,1/5.86,42,10.0,"+1,309","5,557",25,17,1/132,1/5.75,13,1.0,+233,"4,296",14,20,1/126,1/5.90,24,9.0,-208,"6,629",23,23,1/144,1/6.00,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-22,金,いいえ,"+2,528","8,840",41,35,1/116,1/6.05,14,4.0,"+1,015","5,553",23,18,1/135,1/5.68,10,1.0,-344,"1,587",6,1,1/227,1/5.94,14,4.0,+729,"7,694",30,23,1/145,1/5.70,18,3.0,+638,"5,819",23,21,1/132,1/5.95,15,1.0,-446,"4,166",15,10,1/167,1/6.02,42,24.0,-116,"7,167",27,19,1/156,1/5.90,75,33.0,+325,"7,110",28,23,1/139,1/6.06,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-21,木,いいえ,+148,"7,894",27,31,1/136,1/5.92,36,6.0,-402,466,0,1,1/466,1/5.46,17,2.0,+228,"3,806",17,10,1/141,1/6.32,15,1.0,-740,986,1,2,1/329,1/5.95,19,2.0,-427,"3,712",13,10,1/161,1/6.07,30,8.0,-232,"2,632",11,2,1/202,1/5.85,22,3.0,"-1,601","3,094",6,7,1/238,1/6.01,71,35.0,"+1,234","4,451",23,11,1/131,1/6.01,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
