日付,曜日,特定日,1026番台,,,,,,,,,1027番台,,,,,,,,,1028番台,,,,,,,,,1030番台,,,,,,,,,1031番台,,,,,,,,,1032番台,,,,,,,,,1033番台,,,,,,,,,1035番台,,,,,,,,,1036番台,,,,,,,,,1037番台,,,,,,,,,1038番台,,,,,,,,,1050番台,,,,,,,,,1051番台,,,,,,,,,1057番台,,,,,,,,,1058番台,,,,,,,,,1060番台,,,,,,,,,1061番台,,,,,,,,,1062番台,,,,,,,,,1063番台,,,,,,,,,1065番台,,,,,,,,,1066番台,,,,,,,,,1067番台,,,,,,,,,1068番台,,,,,,,,,1070番台,,,,,,,,,1071番台,,,,,,,,,1072番台,,,,,,,,,1073番台,,,,,,,,,1075番台,,,,,,,,,1076番台,,,,,,,,,1077番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-03,水,いいえ,+947,"3,054",14,13,1/113,1/6.01,4.53,6,-,+614,"1,894",8,11,1/99,1/6.24,4.87,14,3.0,-632,"2,553",5,11,1/159,1/5.71,3.81,32,1.0,"+1,263","3,339",17,11,1/119,1/5.84,3.90,17,1.0,-175,"2,902",11,8,1/152,1/6.17,3.04,44,2.0,-368,"2,823",14,6,1/141,1/7.94,2.83,41,2.0,"+1,386","1,724",12,5,1/101,1/5.78,3.83,11,4.0,-947,"2,669",5,8,1/205,1/5.55,2.85,11,4.0,-684,633,0,0,-,1/5.50,2.65,34,1.0,-737,961,0,1,1/961,1/4.79,2.55,34,1.0,-895,"3,341",10,4,1/238,1/5.58,1.89,39,4.0,-175,269,1,0,1/269,1/8.08,3.20,30,8.0,+368,"3,631",16,12,1/129,1/6.36,3.71,33,1.0,-614,"1,730",5,2,1/247,1/5.82,2.37,11,4.0,+263,"2,050",12,3,1/136,1/7.18,2.75,16,1.0,-684,"2,350",5,6,1/213,1/5.38,2.69,35,1.0,+789,"3,338",14,12,1/128,1/5.65,3.91,32,1.0,-965,"3,636",9,13,1/165,1/6.02,3.37,49,5.0,+684,"3,281",14,11,1/131,1/5.74,3.69,7,1.0,"+1,053","2,256",13,6,1/118,1/5.89,3.48,14,3.0,-70,592,2,1,1/197,1/5.55,3.16,16,1.0,"+1,316","3,032",14,13,1/112,1/5.54,4.55,22,2.0,+632,"3,508",16,10,1/134,1/5.96,3.29,7,1.0,-211,"1,156",2,6,1/144,1/5.58,3.95,42,1.0,"+1,439","3,212",16,14,1/107,1/5.87,4.74,31,1.0,"+1,000","1,853",11,5,1/115,1/5.77,3.54,7,1.0,-895,"1,036",1,0,1/1036,1/5.55,2.33,19,2.0,+316,"2,564",11,9,1/128,1/6.22,3.78,16,1.0,"-1,474","1,647",1,4,1/329,1/6.35,2.65,15,1.0,"+1,351","3,638",17,17,1/107,1/6.01,4.97,20,1.0
2026-06-02,火,いいえ,-161,"6,281",19,26,1/140,1/5.79,4.33,10,1.0,+667,"5,836",26,14,1/146,1/5.94,2.53,21,5.0,-226,"5,244",20,15,1/150,1/6.16,2.94,29,3.0,-656,"3,233",12,6,1/180,1/6.34,2.32,37,2.0,-481,"3,740",13,5,1/208,1/5.54,1.91,41,4.0,-787,"5,208",19,9,1/186,1/5.96,1.89,45,4.0,+177,"3,583",16,8,1/149,1/6.17,2.66,15,1.0,+667,"4,559",22,9,1/147,1/6.01,2.36,9,1.0,"+1,170","9,075",33,40,1/124,1/5.87,5.07,26,1.0,"+1,046","8,208",34,27,1/135,1/5.93,3.72,14,2.0,-504,"5,175",19,10,1/178,1/5.84,2.02,32,1.0,"+1,115","7,048",28,27,1/128,1/5.85,4.43,16,1.0,-31,"6,938",20,33,1/131,1/5.81,4.98,49,4.0,+268,"4,916",21,9,1/164,1/5.76,2.08,10,1.0,-683,"6,967",25,18,1/162,1/6.03,2.39,22,1.0,-544,"4,542",16,11,1/168,1/5.99,2.46,31,2.0,"-1,580","7,989",20,26,1/174,1/5.63,2.86,49,4.0,"-2,371","6,107",15,13,1/218,1/5.91,1.88,35,3.0,+217,"5,462",20,18,1/144,1/5.81,3.45,7,1.0,"+1,149","7,606",33,22,1/138,1/5.86,3.11,14,2.0,+138,"5,703",22,17,1/146,1/5.95,3.09,15,1.0,"+1,139","8,706",35,31,1/132,1/5.91,4.14,35,3.0,+689,"4,496",21,9,1/150,1/5.82,2.36,8,1.0,+442,"3,540",17,7,1/148,1/6.08,2.54,25,3.0,-471,"7,825",29,17,1/170,1/5.81,1.94,37,2.0,+38,"6,890",24,26,1/138,1/5.98,4.10,9,1.0,+185,"2,837",9,14,1/123,1/5.88,4.59,12,2.0,+351,"8,481",31,29,1/141,1/5.85,3.68,25,3.0,"+2,432","8,615",38,37,1/115,1/5.97,5.23,6,-,"-1,742","4,552",12,8,1/228,1/5.92,1.89,54,5.0
2026-06-01,月,いいえ,+254,"7,476",32,14,1/163,1/5.88,1.83,8,-,"-1,334","2,666",4,8,1/222,1/5.78,2.79,35,2.0,"+1,137","8,134",32,30,1/131,1/5.83,4.27,29,1.0,"-1,108","1,516",2,3,1/303,1/6.17,2.61,32,3.0,"-1,314","2,057",3,4,1/294,1/5.89,2.40,42,4.0,+827,"7,086",24,30,1/131,1/5.60,4.65,24,2.0,"+3,149","8,202",41,30,1/116,1/5.87,4.78,19,1.0,+579,"5,920",23,21,1/135,1/5.90,3.92,9,1.0,"-2,299","6,378",16,15,1/206,1/5.94,2.01,56,1.0,-484,"4,472",15,10,1/179,1/5.69,2.28,37,1.0,"-2,366","5,146",11,13,1/214,1/6.06,2.20,26,2.0,-661,"2,395",8,3,1/218,1/5.99,2.20,36,1.0,-680,"6,890",22,23,1/153,1/5.94,3.30,55,4.0,"-1,944","5,113",13,15,1/183,1/6.34,2.64,12,3.0,-822,"5,591",20,10,1/186,1/5.89,1.87,19,1.0,+595,"3,525",17,6,1/153,1/5.79,2.34,18,1.0,-542,"8,113",29,20,1/166,1/5.83,2.17,33,1.0,+499,"6,172",22,20,1/147,1/5.53,3.32,12,3.0,"+1,836","6,273",31,17,1/131,1/5.80,3.14,12,3.0,"-1,108","3,316",9,9,1/184,1/6.22,2.71,28,2.0,-492,"5,632",20,14,1/166,1/5.90,2.40,22,3.0,"-2,394","4,115",6,10,1/257,1/5.84,2.17,45,3.0,-393,747,2,0,1/374,1/5.86,2.67,14,2.0,-668,"4,666",16,9,1/187,1/5.78,2.05,22,3.0,"-1,631","2,880",6,4,1/288,1/5.99,2.00,38,1.0,"+1,204","5,977",26,24,1/120,1/6.15,4.71,8,-,"+1,466","5,391",27,15,1/128,1/6.00,3.31,17,3.0,-770,"3,516",10,10,1/176,1/5.89,2.81,51,6.0,+428,"8,772",31,31,1/141,1/5.75,3.81,28,2.0,"-1,016","6,078",21,14,1/174,1/6.08,2.16,42,4.0
2026-05-31,日,はい,-150,"4,772",19,11,1/159,1/6.04,2.43,14,2.0,"+1,068","7,268",33,12,1/162,1/5.58,1.74,27,3.0,-754,"6,854",19,28,1/146,1/5.87,4.17,40,2.0,"+2,662","9,081",43,32,1/121,1/5.93,4.51,16,1.0,"+2,684","7,707",37,31,1/113,1/5.97,5.05,34,1.0,-943,"6,655",21,19,1/166,1/5.88,2.61,45,1.0,"-2,399","6,311",11,25,1/175,1/5.91,3.54,53,1.0,"+1,488","8,784",33,37,1/125,1/5.74,4.90,8,-,"-1,922","6,167",18,10,1/220,1/5.85,1.68,35,1.0,-881,"5,179",15,16,1/167,1/5.84,2.91,17,1.0,"-1,515","4,222",9,13,1/192,1/5.85,2.76,17,1.0,"+1,289","7,619",30,29,1/129,1/5.76,4.41,38,3.0,-966,"5,559",17,16,1/168,1/5.93,2.69,52,7.0,+730,"5,467",26,10,1/152,1/5.92,2.09,10,2.0,+981,"6,555",30,19,1/134,1/6.13,3.26,14,2.0,"+2,195","8,063",34,32,1/122,1/5.68,4.78,16,1.0,"-1,473","6,779",23,14,1/183,1/6.13,1.90,24,5.0,"-1,785","5,454",13,14,1/202,1/5.76,2.24,24,5.0,-794,"1,032",2,0,1/516,1/6.15,2.38,19,2.0,+786,"7,179",28,27,1/131,1/5.96,4.30,16,1.0,-903,"2,614",6,8,1/187,1/5.96,2.98,12,2.0,+724,"8,185",30,32,1/132,1/5.87,4.45,33,1.0,"+4,452","7,693",46,26,1/107,1/5.93,4.84,14,2.0,"+1,413","8,371",37,29,1/127,1/6.13,4.20,16,1.0,-453,"7,042",24,22,1/153,1/5.93,3.06,32,4.0,"+1,627","6,362",31,16,1/135,1/5.81,2.80,15,1.0,"+2,103","7,868",36,27,1/125,1/5.84,4.21,28,1.0,-50,"6,866",27,15,1/163,1/5.82,2.07,44,3.0,"-1,160","6,332",17,23,1/158,1/5.90,3.50,41,1.0,-367,"5,093",19,13,1/159,1/6.06,2.57,32,4.0
2026-05-30,土,はい,"+4,060","7,415",38,33,1/104,1/5.63,5.45,11,3.0,"+1,460","8,059",37,20,1/141,1/5.82,2.51,27,2.0,-810,"5,539",19,9,1/198,1/5.68,1.78,27,2.0,"-1,674","7,292",20,23,1/170,1/5.96,2.83,40,1.0,"-2,252","5,342",12,12,1/223,1/5.89,2.01,66,11.0,+955,"6,834",30,19,1/139,1/5.92,2.97,25,2.0,"+1,240","7,627",31,25,1/136,1/5.70,3.65,34,2.0,-895,"5,955",17,24,1/145,1/6.12,4.09,22,3.0,"+1,220","6,857",30,20,1/137,1/5.80,3.19,32,1.0,+240,"7,022",28,18,1/153,1/5.86,2.48,19,1.0,+725,"7,328",31,18,1/150,1/5.79,2.40,15,2.0,"-1,264","6,447",21,14,1/184,1/5.93,1.98,55,6.0,"+2,589","8,755",36,37,1/120,1/5.58,5.06,45,4.0,"+2,981","9,159",43,30,1/125,1/5.66,4.08,8,-,+962,"7,584",31,25,1/135,1/5.88,3.69,23,1.0,"-1,109","7,804",21,26,1/166,1/5.61,3.05,34,2.0,-819,"5,161",18,9,1/191,1/5.83,1.89,11,3.0,+61,"5,400",21,12,1/164,1/5.72,2.25,18,3.0,"+2,128","7,327",40,13,1/138,1/5.95,1.97,13,1.0,"+1,239","6,701",33,15,1/140,1/6.05,2.40,31,4.0,"+2,336","8,245",40,23,1/131,1/5.79,3.19,12,1.0,+713,"6,497",25,22,1/138,1/5.75,3.68,49,4.0,"+2,595","7,656",36,28,1/120,1/5.76,4.59,19,1.0,"-2,155","5,685",14,12,1/219,1/5.87,1.91,45,4.0,+768,"7,948",29,27,1/142,1/5.61,3.63,35,1.0,"+2,521","7,579",40,18,1/131,1/5.84,2.67,18,3.0,"-1,301","5,980",20,11,1/193,1/5.98,1.83,41,1.0,-839,"5,755",20,15,1/164,1/6.14,2.49,38,3.0,+640,"8,385",32,23,1/152,1/5.59,2.59,39,1.0,"+1,978","8,410",39,20,1/143,1/5.60,2.35,19,1.0
2026-05-29,金,いいえ,+579,"7,922",32,23,1/144,1/5.89,2.97,14,2.0,-563,"4,223",14,12,1/162,1/6.01,2.85,49,1.0,-169,"6,031",25,11,1/168,1/5.99,1.92,18,2.0,-397,586,1,1,1/293,1/6.24,3.07,28,1.0,-786,"6,767",22,20,1/161,1/5.91,2.77,27,2.0,"-1,049","4,566",14,9,1/199,1/5.80,2.05,69,13.0,-700,"6,043",20,17,1/163,1/5.91,2.65,48,9.0,+446,"6,098",25,17,1/145,1/5.91,2.90,12,3.0,-943,"3,855",10,9,1/203,1/5.54,2.32,29,1.0,-505,"4,296",18,7,1/172,1/6.38,2.04,25,2.0,"+1,790","6,297",29,25,1/117,1/6.03,4.80,19,1.0,-350,"3,223",10,11,1/153,1/5.92,3.41,22,3.0,-778,"8,560",27,31,1/148,1/5.99,3.74,87,18.0,"+1,078","8,550",38,24,1/138,1/6.05,2.98,9,-,+88,"3,726",15,8,1/162,1/5.78,2.47,31,1.0,-705,"5,772",19,14,1/175,1/5.76,2.26,28,1.0,+65,"4,984",22,9,1/161,1/6.09,2.08,9,-,"+1,562","7,910",35,30,1/122,1/6.15,4.65,23,1.0,-716,"1,928",5,6,1/175,1/6.45,3.17,22,3.0,-944,"6,122",20,17,1/165,1/6.02,2.59,33,2.0,-655,"2,205",6,4,1/221,1/5.67,2.44,25,2.0,"-1,513","6,329",16,19,1/181,1/5.72,2.61,51,2.0,-679,642,0,1,1/642,1/6.03,2.91,52,1.0,-104,"7,092",25,20,1/158,1/5.71,2.66,37,3.0,-476,550,0,1,1/550,1/5.35,3.03,56,4.0,+835,"8,915",34,29,1/142,1/5.72,3.47,34,1.0,-478,924,2,2,1/231,1/6.21,3.02,34,1.0,-381,"3,979",11,13,1/166,1/5.48,3.14,16,2.0,-31,"4,960",17,16,1/150,1/5.74,3.27,30,1.0,"-1,268","7,924",22,27,1/162,1/5.80,3.20,39,2.0
2026-05-28,木,いいえ,"+1,930","7,443",34,24,1/128,1/5.78,3.84,13,1.0,-262,"5,976",22,15,1/162,1/5.86,2.42,47,11.0,"+1,593","8,058",36,25,1/132,1/5.89,3.57,18,1.0,"+2,362","8,436",39,36,1/112,1/6.20,5.26,16,1.0,+441,"5,056",19,19,1/133,1/5.90,4.08,27,2.0,-317,"8,515",24,41,1/131,1/5.91,5.11,58,11.0,+91,"5,401",20,15,1/154,1/5.74,2.79,29,2.0,+101,"4,660",15,20,1/133,1/5.85,4.42,14,1.0,"+1,118","8,830",32,39,1/124,1/5.87,5.06,24,1.0,-120,"5,118",19,16,1/146,1/6.07,3.25,12,3.0,"+2,919","6,533",33,26,1/111,1/5.79,5.00,19,1.0,-650,"2,560",8,6,1/183,1/6.13,2.68,17,1.0,"-2,091","7,090",18,21,1/182,1/5.95,2.52,87,25.0,+31,"7,431",25,24,1/152,1/5.64,3.20,9,1.0,"-1,437","3,806",9,8,1/224,1/5.76,2.15,22,3.0,-737,"2,907",9,6,1/194,1/5.97,2.42,25,1.0,"+1,231","8,362",33,30,1/133,1/5.77,4.13,8,-,"-1,492","3,640",8,7,1/243,1/5.66,2.07,36,2.0,+190,"3,548",15,6,1/169,1/5.67,2.23,15,1.0,-275,"5,101",20,13,1/155,1/6.19,2.62,16,1.0,+389,"8,006",26,29,1/146,1/5.51,3.78,23,1.0,"-1,280","2,191",4,3,1/313,1/5.79,2.17,25,1.0,+996,"8,310",34,29,1/132,1/6.00,4.05,33,4.0,"-1,298","3,419",10,4,1/244,1/5.96,1.86,33,4.0,-822,"4,435",14,9,1/193,1/5.73,2.11,58,11.0,"-1,815","7,415",17,26,1/172,1/5.71,3.15,62,4.0,-638,"1,462",3,4,1/209,1/5.96,3.01,33,4.0,"+1,865","6,037",26,29,1/110,1/5.95,5.34,15,1.0,+205,"7,753",29,26,1/141,1/5.98,3.60,33,4.0,+405,"7,041",30,18,1/147,1/6.05,2.57,34,1.0
2026-05-27,水,いいえ,"-1,666","4,878",13,10,1/212,1/5.90,2.00,39,5.0,"-1,198","3,525",10,7,1/207,1/6.05,2.20,40,1.0,"-1,175","3,240",9,2,1/295,1/5.53,1.72,28,2.0,-519,"4,770",17,10,1/177,1/5.84,2.17,34,3.0,-31,"6,381",21,22,1/148,1/5.69,3.51,42,2.0,"-1,456","3,732",9,10,1/196,1/6.12,2.55,63,11.0,-666,"5,452",18,17,1/156,1/6.07,3.07,34,3.0,+41,"3,778",16,8,1/157,1/6.04,2.48,24,2.0,-328,"7,114",21,27,1/148,1/5.67,3.87,46,4.0,"+1,042","8,442",37,19,1/151,1/5.76,2.11,14,1.0,-662,"1,837",5,3,1/230,1/5.87,2.49,22,1.0,+182,"5,768",23,15,1/152,1/5.89,2.63,16,1.0,-150,"8,992",31,27,1/155,1/5.71,2.83,74,6.0,-593,"4,198",14,12,1/161,1/6.08,2.87,14,1.0,"+1,363","6,325",27,24,1/124,1/5.90,4.46,13,-,-837,"3,381",10,10,1/169,1/6.20,2.95,14,1.0,+533,"7,252",25,31,1/130,1/5.86,4.74,15,1.0,+167,"1,275",5,4,1/142,1/5.63,3.45,16,1.0,"+2,804","9,149",41,37,1/117,1/5.83,5.05,16,1.0,+713,"8,169",36,19,1/149,1/5.97,2.22,16,1.0,-386,"3,296",12,6,1/183,1/5.85,2.27,21,3.0,-718,"7,129",23,21,1/162,1/5.82,2.72,18,1.0,+268,"8,161",31,28,1/138,1/6.05,3.77,31,3.0,"+1,190","3,434",19,8,1/127,1/6.03,3.06,17,1.0,"+3,832","8,121",40,41,1/100,1/6.00,5.74,52,3.0,-696,"2,147",3,13,1/134,1/6.21,4.65,49,3.0,"+4,422","8,986",49,35,1/107,1/5.98,5.25,31,3.0,-63,"3,363",14,4,1/187,1/5.70,1.99,26,2.0,+393,"8,702",32,31,1/138,1/5.92,3.94,22,1.0,-700,"8,419",25,31,1/150,1/5.79,3.74,68,5.0
2026-05-26,火,いいえ,+90,"7,030",31,8,1/180,1/5.80,1.53,17,1.0,-277,"5,748",23,14,1/155,1/6.20,2.45,38,3.0,-945,"1,455",3,3,1/243,1/6.72,2.74,15,1.0,-599,"5,963",20,15,1/170,1/5.77,2.34,35,1.0,"-1,208","3,383",7,11,1/188,1/5.85,2.98,28,4.0,+515,"8,220",32,28,1/137,1/6.01,3.79,39,1.0,-866,"1,328",0,6,1/221,1/5.53,3.51,30,2.0,"+1,010","8,450",34,25,1/143,1/5.71,3.04,41,2.0,-558,"4,637",14,11,1/185,1/5.47,2.30,43,2.0,-430,"3,095",10,7,1/182,1/5.71,2.53,14,3.0,"+2,475","7,977",39,20,1/135,1/5.60,2.69,18,1.0,-432,"2,312",9,1,1/231,1/5.83,1.98,23,1.0,"-1,615","4,365",10,14,1/182,1/6.13,2.91,51,8.0,"+1,775","7,583",32,32,1/118,1/5.94,5.02,14,3.0,"-1,197","3,076",8,4,1/256,1/5.73,1.96,24,1.0,"+5,563","7,802",51,25,1/103,1/5.86,4.89,11,-,-573,974,2,0,1/487,1/5.50,2.44,28,4.0,+992,"6,953",30,20,1/139,1/5.87,3.09,22,1.0,-804,"5,021",17,13,1/167,1/6.10,2.52,41,2.0,"-2,227","3,842",8,7,1/256,1/6.25,1.97,19,1.0,+336,"3,107",15,4,1/164,1/5.88,2.18,14,3.0,+31,"5,289",21,13,1/156,1/5.92,2.52,11,-,"-1,178","4,861",13,13,1/187,1/5.74,2.45,73,9.0,"+2,737","6,102",31,22,1/115,1/5.66,4.57,16,1.0,-859,"5,854",18,20,1/154,1/6.07,3.37,90,17.0,"+1,719","6,358",29,23,1/122,1/5.89,4.37,53,2.0,-983,"3,113",8,9,1/183,1/6.05,2.84,64,11.0,"-1,455","5,141",14,14,1/184,1/5.99,2.48,21,2.0,"-2,720","4,377",4,13,1/257,1/5.68,2.40,34,4.0,-737,"5,822",20,14,1/171,1/5.92,2.27,23,1.0
2026-05-25,月,いいえ,-808,"6,645",18,25,1/155,1/5.72,3.70,32,4.0,-182,"8,534",30,30,1/142,1/6.02,3.77,16,1.0,+394,"3,134",15,5,1/157,1/5.89,2.35,14,2.0,+639,"8,260",34,24,1/142,1/5.96,3.00,34,2.0,-733,806,0,1,1/806,1/5.31,2.72,18,1.0,-380,"5,579",22,10,1/174,1/5.94,1.92,22,4.0,-725,"1,754",2,8,1/175,1/5.69,3.72,25,1.0,-998,"8,820",26,30,1/158,1/5.78,3.27,63,9.0,-76,"4,371",18,9,1/162,1/6.01,2.31,34,2.0,+92,"6,436",23,23,1/140,1/5.95,3.83,12,4.0,-911,"1,527",2,3,1/305,1/5.58,2.60,45,2.0,-950,"6,222",18,22,1/156,1/5.95,3.45,16,1.0,"-1,252","2,847",8,5,1/219,1/6.39,2.23,46,1.0,"-1,459","2,274",3,5,1/284,1/5.86,2.42,17,1.0,-285,"2,979",11,6,1/175,1/5.89,2.47,15,1.0,"+3,031","7,450",41,21,1/120,1/5.94,3.65,12,4.0,+482,"2,667",13,6,1/140,1/6.03,2.93,17,1.0,-985,"1,864",4,4,1/233,1/6.23,2.63,54,1.0,"-1,234","4,623",11,19,1/154,1/6.16,3.92,24,2.0,+336,"1,140",7,2,1/127,1/6.76,3.19,8,-,"+1,203","8,031",31,33,1/125,1/5.89,4.78,17,1.0,-620,980,1,1,1/490,1/5.13,2.60,24,2.0,"-2,046","4,208",10,9,1/221,1/6.29,2.11,53,7.0,-314,"2,044",7,4,1/186,1/5.84,2.65,46,1.0,"-2,816","4,771",7,13,1/239,1/6.01,2.27,90,8.0,"-1,004","4,248",13,9,1/193,1/5.88,2.19,82,19.0,-902,"3,456",8,12,1/173,1/5.79,3.23,43,9.0,-855,"4,290",12,15,1/159,1/6.04,3.38,14,2.0,-784,"3,036",9,6,1/202,1/5.82,2.32,28,3.0,-491,"7,336",28,13,1/179,1/5.79,1.73,17,1.0
