日付,曜日,特定日,837番台,,,,,,,,838番台,,,,,,,,850番台,,,,,,,,851番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-06-03,水,いいえ,+684,"1,830",7,10,1/107,1/5.78,6,-,+404,521,2,6,1/65,1/6.67,41,17.0,-632,"3,335",12,9,1/158,1/6.85,24,18.0,+316,621,3,5,1/77,1/7.78,6,-
2026-06-02,火,いいえ,-469,"1,150",3,3,1/192,1/6.69,25,13.0,-862,"1,576",3,3,1/263,1/6.18,66,41.0,"+2,190","8,080",37,27,1/126,1/6.13,9,-,"-1,498","3,314",7,7,1/237,1/6.06,12,3.0
2026-06-01,月,いいえ,-511,"1,827",4,6,1/183,1/5.88,20,15.0,-468,"4,295",15,14,1/148,1/6.56,46,26.0,-952,"5,588",19,16,1/160,1/6.56,48,2.0,+639,"4,931",22,14,1/137,1/6.32,5,-
2026-05-31,日,はい,"+2,653","8,397",41,31,1/117,1/6.43,6,1.0,"-1,284","4,236",12,10,1/193,1/6.29,14,8.0,-811,"3,106",10,5,1/207,1/6.19,35,21.0,"+1,983","6,441",32,15,1/137,1/5.83,5,-
2026-05-30,土,はい,"+1,456","7,563",33,25,1/130,1/6.24,24,16.0,"+1,226","7,430",29,29,1/128,1/6.12,8,-,-925,"3,454",10,13,1/150,1/7.08,26,2.0,"+1,101","8,351",30,32,1/135,1/5.90,8,-
2026-05-29,金,いいえ,-359,"4,821",15,20,1/138,1/6.48,45,25.0,"-1,232","3,885",10,10,1/194,1/6.16,20,9.0,+379,"5,307",23,11,1/156,1/6.09,11,-,-465,"2,840",11,4,1/189,1/6.39,45,25.0
2026-05-28,木,いいえ,-510,"4,162",13,13,1/160,1/6.11,45,19.0,-922,"1,861",4,5,1/207,1/6.60,17,1.0,-190,"3,489",13,9,1/159,1/6.23,26,9.0,-230,"1,881",8,1,1/209,1/6.22,16,-
2026-05-27,水,いいえ,-691,"2,796",10,3,1/215,1/6.29,47,36.0,-316,"1,653",6,2,1/207,1/6.14,5,-,+961,"7,407",31,30,1/121,1/6.72,11,6.0,-767,968,1,2,1/323,1/6.43,11,6.0
2026-05-26,火,いいえ,-384,"8,474",28,33,1/139,1/6.44,38,28.0,+18,"3,870",13,17,1/129,1/6.50,4,-,"-1,023","4,832",12,18,1/161,1/6.08,43,5.0,+21,"5,091",22,9,1/164,1/6.26,10,6.0
2026-05-25,月,いいえ,+33,"4,839",19,13,1/151,1/6.22,39,2.0,"+2,565","8,387",38,35,1/115,1/6.29,8,-,-7,"3,465",13,11,1/144,1/6.28,37,16.0,+534,"4,303",17,15,1/134,1/6.17,21,13.0
2026-05-24,日,はい,-546,"5,114",14,22,1/142,1/6.26,22,-,-344,"7,506",26,28,1/139,1/6.56,39,7.0,-280,"5,339",19,15,1/157,1/6.13,39,7.0,-520,"6,215",20,19,1/159,1/6.01,32,10.0
2026-05-23,土,はい,+615,"6,882",25,29,1/127,1/6.31,9,-,+384,"1,976",11,2,1/152,1/6.44,19,10.0,+88,"5,289",20,20,1/132,1/6.67,38,14.0,-747,"3,992",12,12,1/166,1/6.23,24,5.0
2026-05-22,金,いいえ,-772,"1,813",4,4,1/227,1/6.09,38,14.0,-984,"1,677",3,3,1/280,1/6.18,24,3.0,-590,781,1,2,1/260,1/6.82,45,7.0,"+2,654","7,281",36,26,1/117,1/6.21,21,-
2026-05-21,木,いいえ,"-1,228","3,257",6,12,1/181,1/6.12,19,11.0,+170,"4,147",16,15,1/134,1/6.55,8,-,+92,"7,126",26,21,1/152,1/5.99,39,20.0,-824,"2,340",7,8,1/156,1/7.39,41,2.0
2026-05-20,水,はい,-126,"2,051",8,5,1/158,1/6.41,16,-,-253,"7,024",23,22,1/156,1/5.89,24,5.0,-255,"5,513",20,17,1/149,1/6.31,58,34.0,-226,"5,795",22,12,1/170,1/6.01,19,3.0
2026-05-19,火,いいえ,-516,"1,570",4,3,1/224,1/5.89,14,-,-972,"2,702",5,11,1/169,1/6.35,23,2.0,-623,"1,810",7,0,1/259,1/6.62,35,12.0,-773,"5,021",17,15,1/157,1/6.52,21,7.0
