日付,曜日,特定日,716番台,,,,,,,,,717番台,,,,,,,,,731番台,,,,,,,,,732番台,,,,,,,,,733番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-06-03,水,いいえ,+0,0,0,0,-,-,-,1,-,-70,237,1,0,1/237,-,3.37,15,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-02,火,いいえ,"+3,128","3,829",23,15,1/101,-,4.62,0,-,-352,251,0,1,1/251,-,3.45,9,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-01,月,いいえ,+936,"7,772",28,27,1/141,-,3.77,4,-,+566,813,5,3,1/102,-,3.74,6,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-31,日,はい,-477,"2,794",9,6,1/186,-,2.88,8,-,"+1,096","4,075",18,11,1/141,-,3.38,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-30,土,はい,+121,"4,455",18,8,1/171,-,2.59,5,-,-210,"6,114",19,22,1/149,-,3.59,39,34.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-29,金,いいえ,"+1,628","3,822",20,9,1/132,-,3.43,6,-,-219,"1,758",6,4,1/176,-,3.16,41,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-28,木,いいえ,"+2,707","4,921",27,14,1/120,-,3.92,16,-,+363,"1,673",7,7,1/120,-,3.85,28,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-27,水,いいえ,-411,"2,917",9,8,1/172,-,3.10,30,-,-442,556,0,2,1/278,-,3.36,41,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-26,火,いいえ,-548,"1,888",5,5,1/189,-,3.14,18,-,+0,213,1,0,1/213,-,3.40,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-25,月,いいえ,-45,"4,299",18,7,1/172,-,2.56,12,-,-537,"1,009",2,4,1/168,-,3.48,27,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-24,日,はい,+584,"4,585",20,8,1/164,-,2.64,8,-,-876,"3,294",8,10,1/183,-,3.04,25,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-23,土,はい,-873,"4,306",12,13,1/172,-,3.02,28,12.0,"-1,108","3,913",10,7,1/230,-,2.29,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-22,金,いいえ,-65,"2,193",8,5,1/169,-,3.13,18,7.0,+322,"4,593",15,17,1/144,-,3.71,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-21,木,いいえ,+642,"4,094",17,13,1/136,-,3.62,9,-,-93,166,0,1,1/166,-,3.53,28,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-20,水,はい,+0,"4,800",17,13,1/160,-,3.02,14,-,+780,"5,958",21,24,1/132,-,4.22,30,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
