日付,曜日,特定日,1118番台,,,,,,,,1120番台,,,,,,,,1121番台,,,,,,,,1122番台,,,,,,,,1123番台,,,,,,,,1125番台,,,,,,,,1126番台,,,,,,,,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-06-02,火,いいえ,+976,"4,360",23,4,1/161,-,21,1.0,"+1,230","3,324",19,5,1/139,-,12,3.0,+641,"2,265",11,6,1/133,-,17,5.0,"-1,864","5,233",19,4,1/228,-,20,3.0,"+3,303","3,851",27,9,1/107,-,9,2.0,"+2,857","5,853",35,10,1/130,-,58,37.0,-233,"4,149",16,10,1/160,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-01,月,いいえ,"+2,457","4,880",30,6,1/136,-,32,11.0,-167,887,5,1,1/148,-,21,1.0,+501,"5,840",24,17,1/142,-,20,3.0,"+1,537","5,081",25,13,1/134,-,16,10.0,+557,831,5,3,1/104,-,17,1.0,"-3,100","5,761",14,12,1/222,-,92,60.0,"+2,755","4,906",29,12,1/120,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-31,日,はい,"-3,108","3,840",8,2,1/384,-,49,21.0,-414,"2,323",9,4,1/179,-,21,13.0,"-4,125","6,769",18,9,1/251,-,25,3.0,"-3,021","2,980",4,4,1/373,-,22,1.0,"+6,073","7,195",45,21,1/109,-,28,3.0,"-6,820","9,069",19,9,1/324,-,91,42.0,-896,"1,460",3,3,1/243,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-30,土,はい,"-1,476","3,199",9,6,1/213,-,31,13.0,-489,"5,271",22,8,1/176,-,18,9.0,"+1,536","3,412",18,9,1/126,-,18,9.0,"+2,448","3,115",20,9,1/107,-,9,3.0,"-1,147","7,769",30,11,1/189,-,57,2.0,"-1,358","3,239",10,7,1/191,-,55,24.0,"+2,801","2,853",20,7,1/106,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-29,金,いいえ,"+3,535","3,431",24,12,1/95,-,26,7.0,"+3,069","3,554",22,12,1/105,-,19,1.0,"+2,101","3,881",22,9,1/125,-,18,2.0,"+1,913","2,527",14,12,1/97,-,16,10.0,+536,"3,467",17,6,1/151,-,63,37.0,"-1,827","4,339",14,5,1/228,-,66,3.0,"+4,735","6,117",40,12,1/118,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-28,木,いいえ,-229,"5,623",22,12,1/165,-,35,13.0,+994,"2,925",15,7,1/133,-,48,9.0,"+6,450","7,127",47,22,1/103,-,22,6.0,"+3,679","3,790",26,12,1/100,-,16,10.0,-241,"3,258",14,4,1/181,-,92,44.0,-304,"4,772",19,9,1/170,-,39,4.0,"+1,486","3,722",20,8,1/133,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-27,水,いいえ,"-1,057","2,875",10,4,1/205,-,25,5.0,-364,"4,858",21,6,1/180,-,41,7.0,"-2,815","4,755",13,6,1/250,-,34,9.0,-484,"4,842",15,18,1/147,-,41,7.0,-292,"1,799",7,2,1/200,-,89,48.0,-117,"5,334",23,9,1/167,-,20,11.0,"+1,789","1,644",13,2,1/110,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-26,火,いいえ,-367,763,3,2,1/153,-,12,-,+174,628,4,0,1/157,-,44,14.0,"-2,305","3,254",7,5,1/271,-,22,6.0,-581,969,4,2,1/162,-,30,8.0,"-2,253","3,142",8,2,1/314,-,91,47.0,"+1,291","1,672",11,4,1/111,-,16,4.0,+698,"3,417",15,10,1/137,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-25,月,いいえ,+219,459,2,2,1/115,-,14,7.0,"-1,521","2,977",8,4,1/248,-,81,57.0,-172,622,2,4,1/104,-,7,-,-313,"1,912",5,9,1/137,-,19,5.0,-457,719,3,1,1/180,-,82,1.0,"-1,316","2,161",6,2,1/270,-,24,5.0,-473,"1,588",6,1,1/227,-,24,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-24,日,はい,-887,"3,007",10,5,1/200,-,21,2.0,"-1,562","3,468",9,7,1/217,-,71,11.0,+784,"1,004",7,2,1/112,-,9,-,"+4,457","2,993",25,8,1/91,-,19,3.0,-961,"3,436",12,4,1/215,-,60,37.0,"+1,544","3,435",18,11,1/118,-,16,7.0,+449,"4,807",21,11,1/150,-,23,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
