日付,曜日,特定日,1676番台,,,,,1677番台,,,,,1678番台,,,,,1680番台,,,,,1681番台,,,,,1682番台,,,,,1683番台,,,,,1685番台,,,,,1686番台,,,,,1687番台,,,,,1688番台,,,,,1700番台,,,,,1701番台,,,,,1702番台,,,,,1703番台,,,,,1705番台,,,,,1706番台,,,,,1707番台,,,,,1708番台,,,,,1710番台,,,,,1711番台,,,,,1712番台,,,,,1713番台,,,,,1715番台,,,,,1716番台,,,,,1717番台,,,,,1718番台,,,,,1720番台,,,,,1721番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-06-28,日,いいえ,"-1,078","5,690",18,9,1/211,"-1,078","7,204",25,20,1/160,+166,"7,565",29,25,1/140,-634,"6,242",20,17,1/169,"-2,378","7,242",18,18,1/201,"-1,312","6,465",19,19,1/170,-195,"6,731",25,17,1/160,-989,"8,206",28,25,1/155,"+1,400","7,269",33,19,1/140,"+2,755","7,015",36,18,1/130,"-2,000","5,080",11,9,1/254,+700,"6,716",31,12,1/156,+544,"5,525",23,10,1/167,+405,"7,054",25,22,1/150,"-1,200","6,344",17,21,1/167,-628,"5,272",19,12,1/170,+94,"6,827",25,23,1/142,"-1,078","5,885",19,13,1/184,"-1,634","5,856",16,14,1/195,+388,"6,825",29,15,1/155,-256,"7,158",26,21,1/152,"+1,055","8,918",36,30,1/135,+94,"7,124",26,20,1/155,"+4,900","8,175",46,36,1/100,+177,"6,936",23,25,1/145,"-1,400","5,366",17,9,1/206,-373,"7,933",31,18,1/162,-439,"7,002",24,22,1/152,+361,"7,930",31,21,1/153
2026-06-27,土,はい,"-1,956","4,916",14,10,1/205,-523,"5,697",21,10,1/184,+322,"5,720",23,18,1/140,"-2,667","4,548",9,8,1/268,"-1,600","8,199",22,25,1/174,"+1,866","8,020",35,30,1/123,-39,"6,610",27,17,1/150,"+1,088","6,459",29,16,1/144,"+1,288","8,045",31,36,1/120,-667,"4,261",15,7,1/194,"+2,377","7,170",35,23,1/124,"-1,112","5,395",19,9,1/193,"-1,167","7,005",19,26,1/156,-78,"7,016",32,19,1/138,-806,"6,216",20,15,1/178,"-1,067","5,467",17,14,1/176,-567,"6,623",21,21,1/158,"-2,089","3,542",7,7,1/253,-978,"6,473",22,16,1/170,+377,"8,224",31,22,1/155,+900,"7,130",33,14,1/152,"-1,034","4,642",16,9,1/186,-500,"6,174",23,16,1/158,-312,"8,335",28,25,1/157,"-1,334","7,413",20,27,1/158,"+1,033","7,343",33,19,1/141,-934,"5,860",17,19,1/163,-84,"5,811",22,14,1/161,-384,"6,405",22,18,1/160
2026-06-26,金,いいえ,-212,"5,822",22,16,1/153,+83,"3,796",15,7,1/173,"+1,755","6,436",33,12,1/143,-923,"3,115",8,8,1/195,"-1,778","5,187",14,15,1/179,"-1,445","4,635",11,14,1/185,-162,"5,092",19,13,1/159,-823,"1,628",4,1,1/326,"+1,388","5,813",27,22,1/119,"-1,467","1,521",1,3,1/380,+333,"5,351",19,17,1/149,"+1,100","6,930",32,18,1/139,+22,"4,066",15,14,1/140,"-2,578","4,016",5,9,1/287,-217,"6,107",22,18,1/153,-973,"4,358",13,12,1/174,+355,"7,918",28,30,1/137,+777,"5,768",28,16,1/131,-345,"3,939",12,14,1/152,"-1,756","5,059",12,15,1/187,+866,"7,671",35,18,1/145,+472,"3,626",16,7,1/158,"-1,000","5,156",15,12,1/191,"-1,112","3,678",10,8,1/204,-300,"3,079",11,7,1/171,"+1,300","6,794",29,21,1/136,+211,"5,755",22,18,1/144,"-1,178","3,181",6,10,1/199,+455,"6,227",27,16,1/145
2026-06-25,木,いいえ,"-1,156","1,772",3,3,1/295,"-1,100","6,222",15,26,1/152,+194,"3,604",15,8,1/157,+788,"6,468",22,33,1/118,-417,"4,694",15,16,1/151,+988,"5,006",21,14,1/143,-256,"3,326",13,11,1/139,"+2,622","7,661",37,26,1/122,-750,"2,206",6,5,1/201,-495,"4,122",14,9,1/179,-528,"3,281",11,9,1/164,+22,"4,177",17,9,1/161,+666,"3,676",17,14,1/119,-928,"3,118",9,7,1/195,"-1,478","2,410",5,3,1/301,-628,"3,127",10,6,1/195,-434,"5,196",18,15,1/157,"+2,422","7,029",33,24,1/123,+311,"3,818",17,8,1/153,-595,"2,993",11,5,1/187,-95,"4,821",20,14,1/142,"-1,312","1,963",3,3,1/327,+22,"4,649",19,12,1/150,"-1,056","3,362",8,8,1/210,+355,"4,819",24,9,1/146,"-1,089","4,605",9,18,1/171,-973,"1,715",3,3,1/286,"+1,655","4,315",22,14,1/120,-512,"5,363",19,12,1/173
2026-06-24,水,いいえ,"+2,555","7,773",37,32,1/113,"+1,577","7,774",35,22,1/136,-839,"3,066",8,8,1/192,"+1,311","6,996",35,13,1/146,+544,"5,274",25,6,1/170,-650,"5,650",21,13,1/166,-873,"2,795",6,9,1/186,+22,"6,099",24,15,1/156,+644,"5,248",23,14,1/142,-545,"5,684",19,16,1/162,"+1,311","6,967",32,20,1/134,+466,"6,345",24,20,1/144,-623,"4,414",13,15,1/158,-389,"5,263",16,19,1/150,"+1,088","5,418",21,22,1/126,-406,"4,900",17,13,1/163,-173,"3,993",16,6,1/182,-917,"2,921",8,7,1/195,-245,"4,827",17,11,1/172,+488,"5,859",26,12,1/154,-195,"6,649",28,14,1/158,+455,"5,901",25,14,1/151,"-1,112","4,153",12,7,1/219,"-1,012","5,498",17,15,1/172,-389,"8,116",30,22,1/156,+988,"7,176",27,29,1/128,-700,"3,405",11,6,1/200,+266,"5,088",17,22,1/130,"-1,100","5,198",15,15,1/173
2026-06-23,火,いいえ,+544,"4,390",23,4,1/163,"+1,455","6,139",28,16,1/140,"+2,822","6,813",36,19,1/124,-778,"4,224",16,8,1/176,+11,"3,866",17,5,1/176,-156,"3,088",12,8,1/154,"+1,466","7,930",32,29,1/130,-517,"2,773",10,6,1/173,-150,"7,433",26,24,1/149,+88,"4,971",22,11,1/151,+683,"5,428",26,10,1/151,-823,"5,443",16,19,1/156,+605,"3,526",15,9,1/147,"+1,466","7,398",31,25,1/132,+622,"5,036",22,13,1/144,"+2,466","4,421",27,15,1/105,"-1,689","7,237",23,15,1/190,"+1,155","3,812",18,13,1/123,"+2,822","7,675",34,36,1/110,"+1,888","8,048",35,33,1/118,"+1,177","5,346",23,17,1/134,+800,"4,325",21,9,1/144,"-1,778","3,134",8,3,1/285,+933,"5,873",23,20,1/137,-623,"3,995",12,11,1/174,-700,"5,824",18,23,1/142,"+1,444","5,014",25,11,1/139,+627,"6,826",29,19,1/142,-423,"5,255",18,15,1/159
2026-06-22,月,いいえ,+566,"8,707",33,29,1/140,-912,"2,603",6,8,1/186,-250,"7,557",24,25,1/154,-162,"5,007",17,17,1/147,+522,"7,048",25,28,1/133,+561,"4,764",21,16,1/129,"-1,267","2,005",3,6,1/223,+50,"5,503",21,13,1/162,"-2,089","3,267",6,6,1/272,-173,"5,697",23,14,1/154,-628,"2,861",9,6,1/191,+0,"4,955",19,11,1/165,"+1,455","6,207",28,19,1/132,-573,"5,373",19,14,1/163,"+1,911","5,809",30,15,1/129,-678,"1,660",5,1,1/277,-200,"3,593",13,9,1/163,-356,"6,565",23,16,1/168,"-1,823","3,749",8,8,1/234,-250,"5,515",20,15,1/158,+94,"5,249",21,14,1/150,+261,"3,496",13,11,1/146,-67,"6,244",20,24,1/142,+666,"5,907",24,19,1/137,+338,"1,530",8,1,1/170,"-1,489","5,137",13,11,1/214,+766,"4,472",22,8,1/149,+800,"6,677",28,20,1/139,-895,"5,692",16,20,1/158
2026-06-21,日,はい,"+1,755","7,526",34,29,1/119,-834,"4,431",13,13,1/170,-89,"5,932",19,20,1/152,"-1,723","4,032",10,9,1/212,+377,"4,036",17,9,1/155,+355,"2,906",14,4,1/161,+477,"7,308",30,19,1/149,-645,"1,272",4,0,1/318,+322,"7,121",28,19,1/152,+822,"6,032",26,20,1/131,"-1,434","3,945",10,8,1/219,"+1,477","6,347",30,15,1/141,-406,"4,001",14,7,1/191,-339,"4,843",19,10,1/167,-717,"5,460",16,19,1/156,"+1,066","6,787",26,25,1/133,"+2,422","7,907",35,32,1/118,"-1,056","2,141",3,6,1/238,-34,"4,146",15,11,1/159,"-1,589","7,142",18,28,1/155,-667,"5,827",20,13,1/177,+383,"7,425",31,20,1/146,+355,"6,535",24,20,1/149,"-1,000","1,795",3,4,1/256,-712,"3,222",10,8,1/179,+133,"6,231",25,15,1/156,-689,"4,629",17,11,1/165,+655,"3,932",19,7,1/151,"-1,000","5,960",17,18,1/170
2026-06-20,土,いいえ,"+1,111","6,769",28,24,1/130,"-1,134","4,733",17,7,1/197,"+1,000","7,704",30,30,1/128,-334,"5,861",22,16,1/154,-367,"6,479",28,11,1/166,"+1,744","7,840",34,28,1/126,-884,"7,438",24,20,1/169,+211,"7,958",34,16,1/159,"-1,467","7,120",23,13,1/198,+644,"7,768",27,25,1/149,+600,"7,254",29,22,1/142,-889,"6,664",21,20,1/163,"+1,488","8,046",33,31,1/126,"-1,589","5,864",16,19,1/168,"+1,822","7,409",34,28,1/120,-500,"5,588",20,17,1/151,"-2,800","5,272",12,10,1/240,"-1,167","5,145",18,7,1/206,+844,"6,576",29,16,1/146,-584,"4,909",19,5,1/205,"+1,155","7,251",29,26,1/132,+394,"6,687",27,20,1/142,+111,"7,816",25,32,1/137,"+2,288","7,160",34,23,1/126,"-1,367","4,019",12,7,1/212,-556,"5,050",19,6,1/202,+866,"7,065",32,16,1/147,-312,"6,887",22,26,1/143,"-1,023","6,385",19,21,1/160
2026-06-19,金,いいえ,"+2,622","7,658",35,26,1/126,+722,"6,916",26,26,1/133,"-1,267","5,816",16,15,1/188,"+1,166","6,609",29,20,1/135,"+1,566","4,004",23,8,1/129,-606,"4,757",16,11,1/176,-567,"4,163",17,5,1/189,+616,"4,355",19,15,1/128,-567,"6,478",19,22,1/158,+922,"6,374",28,16,1/145,-700,"5,435",18,16,1/160,"-1,112","4,494",13,13,1/173,"-1,367","5,013",14,16,1/167,+572,"6,715",26,23,1/137,-589,"7,350",25,23,1/153,"-1,834","4,156",8,13,1/198,-78,"5,219",22,10,1/163,-639,"5,088",15,15,1/170,+544,"7,397",28,26,1/137,-373,"4,575",15,12,1/169,"-1,700","5,368",14,13,1/199,+144,"7,071",25,24,1/144,+150,"5,288",17,19,1/147,"+1,511","7,837",34,28,1/126,"+2,311","7,468",37,26,1/119,-845,"4,047",16,4,1/202,-300,"5,936",23,14,1/160,-662,"4,928",18,9,1/183,+566,"7,028",27,20,1/150
