日付,曜日,特定日,287番台,,,,,,288番台,,,,,,289番台,,,,,,290番台,,,,,,291番台,,,,,,292番台,,,,,,293番台,,,,,,294番台,,,,,,295番台,,,,,,296番台,,,,,,297番台,,,,,,298番台,,,,,,299番台,,,,,,300番台,,,,,,301番台,,,,,,302番台,,,,,,449番台,,,,,,450番台,,,,,,451番台,,,,,,452番台,,,,,,453番台,,,,,,454番台,,,,,,455番台,,,,,,456番台,,,,,,457番台,,,,,,458番台,,,,,,459番台,,,,,,460番台,,,,,,461番台,,,,,,462番台,,,,,,463番台,,,,,,464番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-579,"2,335",6,6,1/195,3.03,+102,"3,535",11,15,1/136,4.50,+29,"4,069",15,11,1/157,3.05,-155,334,1,0,1/334,3.14,-439,"3,167",11,8,1/167,2.94,-211,"1,296",4,4,1/162,3.47,-11,"4,169",18,6,1/174,1.94,-220,992,4,1,1/198,2.84,+214,"2,213",10,2,1/184,2.20,-454,"1,916",5,6,1/174,3.45,-866,"1,074",1,4,1/215,3.61,+307,"6,634",25,23,1/138,4.13,-195,368,1,0,1/368,3.10,-485,718,1,1,1/359,3.03,+621,"4,115",18,10,1/147,2.83,-155,"1,891",8,3,1/172,2.66
2026-06-07,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+457,"1,558",8,3,1/142,3.01,"+2,427","6,286",33,18,1/123,3.46,-380,285,0,0,-,3.16,-197,"1,956",6,4,1/196,2.82,-444,805,2,1,1/268,2.97,+605,"3,565",16,8,1/149,2.73,-431,694,1,2,1/231,3.39,-241,"3,392",11,9,1/170,3.01,-574,"2,120",8,2,1/212,2.22,-521,685,1,0,1/685,2.75,+928,"3,725",18,10,1/133,3.22,+645,"3,717",13,20,1/113,5.13,+175,"1,622",8,2,1/162,2.64,+183,"1,320",6,4,1/132,3.52,-709,"1,419",3,2,1/284,2.67,+549,"3,631",15,9,1/151,2.91
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+621,"5,086",23,14,1/137,3.18,-359,"1,042",2,4,1/174,3.68,-221,"3,491",13,8,1/166,2.70,-80,"1,131",4,1,1/226,2.70,+81,"6,645",23,25,1/138,4.47,"-1,778","3,074",5,10,1/205,3.42,"+2,262","4,623",24,23,1/98,5.22,"-1,088","1,585",2,5,1/226,3.38,+251,"4,521",17,16,1/137,4.07,"+1,273","5,581",24,24,1/116,4.96,-169,"3,066",11,8,1/161,3.05,+130,"5,287",21,15,1/147,3.19,-427,"1,410",3,5,1/176,3.62,-332,"2,299",8,6,1/164,3.14,"+3,886","7,320",41,23,1/114,4.04,+441,"1,620",9,2,1/147,2.68
2026-06-05,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,825","7,810",32,38,1/112,5.37,-300,"2,936",11,4,1/196,2.15,"+1,696","7,897",38,24,1/127,3.69,+213,"9,688",33,37,1/138,4.73,"-1,002","5,423",15,17,1/169,3.40,+592,"7,146",26,26,1/137,4.38,+63,"9,089",36,27,1/144,3.32,"+3,650","8,571",42,39,1/106,5.36,+903,"4,015",19,11,1/134,3.25,-602,706,1,0,1/706,2.73,"+1,321","7,643",32,23,1/139,3.47,-256,"2,630",9,8,1/155,3.44,"+2,769","7,391",39,21,1/123,3.43,"+1,560","4,574",25,9,1/135,2.41,"+2,357","8,779",34,43,1/114,5.40,+391,"6,766",27,22,1/138,3.84
2026-06-04,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-433,355,0,0,-,3.07,+68,622,3,1,1/156,3.22,+76,485,2,2,1/121,3.68,+283,"4,198",19,7,1/161,2.11,-284,178,0,0,-,3.28,-344,586,1,2,1/195,3.52,"+2,128","5,478",30,14,1/125,3.04,+361,"1,012",5,3,1/127,3.51,-198,184,0,0,-,3.28,+250,"2,477",11,5,1/155,2.76,-296,"1,664",5,5,1/166,3.41,-198,324,1,0,1/324,3.15,+656,"3,203",15,7,1/146,2.76,-336,"2,561",8,6,1/183,2.86,"-1,068","1,339",1,4,1/268,3.30,-407,"3,537",12,11,1/154,3.49
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-146,745,2,2,1/186,3.37,+37,150,1,0,1/150,3.36,"+3,834","6,836",36,29,1/105,5.14,-69,46,0,0,-,3.44,+287,"4,268",17,11,1/152,2.93,-119,143,0,1,1/143,3.67,-549,491,0,1,1/491,3.25,+716,"5,691",25,15,1/142,2.95,"+1,222","5,972",27,19,1/130,3.82,"+3,481","3,654",28,12,1/91,4.22,-66,"1,202",4,5,1/134,3.90,+91,207,1,1,1/104,3.63,+232,"5,546",20,18,1/146,3.72,-22,842,4,1,1/168,3.01,-206,"4,870",18,11,1/168,2.44,-168,"1,545",6,3,1/172,2.94
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,069","8,226",30,45,1/110,5.45,-44,233,1,0,1/233,3.26,-239,"2,521",10,4,1/180,2.43,-491,"1,360",4,4,1/170,3.40,-210,252,0,1,1/252,3.54,-355,401,0,1,1/401,3.36,-241,172,0,0,-,3.29,-170,258,1,0,1/258,3.23,"+4,132","6,513",37,27,1/102,5.09,-202,204,0,0,-,3.25,-25,626,3,0,1/209,2.89,+375,"2,864",12,10,1/130,3.90,-119,258,1,0,1/258,3.23,-23,530,2,0,1/265,2.95,-480,499,0,1,1/499,3.24,-254,"2,053",6,8,1/147,3.95
2026-06-01,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+278,"6,999",24,32,1/125,5.17,-145,150,0,1,1/150,3.66,"-2,536","5,705",15,5,1/285,1.40,+25,170,1,0,1/170,3.34,-321,"2,599",9,6,1/173,2.86,"+1,150","7,007",30,22,1/135,3.72,-349,400,0,1,1/400,3.36,-203,219,0,0,-,3.24,-503,"4,533",14,19,1/137,4.62,-298,478,1,0,1/478,2.97,-344,"1,292",3,4,1/185,3.43,-568,"1,033",1,4,1/207,3.65,-721,962,1,1,1/481,2.76,-573,"1,155",2,2,1/289,2.90,-405,"4,145",14,14,1/148,3.80,-387,"2,339",9,2,1/213,2.10
2026-05-31,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,494","5,436",12,22,1/160,4.48,+0,"3,424",13,8,1/163,2.76,-185,"2,656",10,6,1/166,2.84,+286,"3,968",18,7,1/159,2.23,"+1,672","6,905",29,28,1/121,4.91,"+2,307","5,909",29,21,1/118,4.40,-590,"1,214",1,5,1/202,3.77,-722,"3,237",10,9,1/170,3.13,-843,909,0,2,1/455,3.10,-571,"1,896",7,2,1/211,2.36,-806,"1,701",3,5,1/213,3.29,-458,789,2,0,1/395,2.68,"+1,064","5,645",27,14,1/138,2.80,+517,"3,282",14,10,1/137,3.53,-290,877,2,2,1/219,3.22,+319,"4,748",15,25,1/119,5.21
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-179,"6,071",15,32,1/129,5.29,-92,"4,534",16,12,1/162,2.91,-434,869,2,2,1/217,3.22,"-1,567","3,282",7,6,1/252,2.23,+434,"2,145",9,7,1/134,3.66,-430,"2,294",7,7,1/164,3.42,+514,"3,587",17,7,1/149,2.49,-837,"1,239",2,3,1/248,3.13,-416,"4,634",17,13,1/154,3.13,-131,183,0,0,-,3.28,"+1,454","5,987",29,19,1/125,3.87,-159,541,2,0,1/271,2.94,-85,"2,297",10,4,1/164,2.62,-437,"1,047",2,2,1/262,3.02,-740,"4,603",16,8,1/192,1.99,-810,"1,775",4,6,1/178,3.57
