日付,曜日,特定日,343番台,,,,,,344番台,,,,,,345番台,,,,,,346番台,,,,,,347番台,,,,,,348番台,,,,,,349番台,,,,,,350番台,,,,,,351番台,,,,,,352番台,,,,,,418番台,,,,,,419番台,,,,,,420番台,,,,,,421番台,,,,,,422番台,,,,,,423番台,,,,,,424番台,,,,,,425番台,,,,,,426番台,,,,,,427番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-720,"6,150",19,24,1/143,3.79,-231,280,1,0,1/280,3.24,"+2,006","7,131",29,35,1/111,5.08,-158,"1,632",6,6,1/136,3.54,+109,"4,704",21,12,1/143,2.61,-395,"2,835",9,11,1/142,3.64,-947,"3,694",10,14,1/154,3.53,-937,"1,763",5,3,1/220,2.68,+45,"1,810",9,6,1/121,3.51,-523,"4,554",17,11,1/163,2.43
2026-06-07,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-42,"3,879",14,14,1/139,3.53,-327,707,2,0,1/354,2.86,-927,"2,810",8,8,1/176,2.94,-264,"1,644",7,2,1/183,2.64,-690,"2,248",6,6,1/187,2.93,-623,619,1,1,1/310,3.14,-973,"1,147",1,2,1/382,2.86,+556,"3,600",17,10,1/133,3.00,-786,"1,757",5,3,1/220,2.69,"-2,090","5,003",12,12,1/208,2.23
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,680","6,734",31,27,1/116,4.40,-496,"2,723",8,10,1/151,3.48,"-1,087","3,135",7,11,1/174,3.26,+466,"4,976",23,14,1/134,2.86,+605,"1,944",11,5,1/122,3.21,"+3,861","7,714",43,35,1/99,5.28,-761,"2,421",6,7,1/186,2.99,-96,"4,724",16,18,1/139,3.70,-123,"2,609",12,4,1/163,2.43,-345,"3,536",15,10,1/141,2.98
2026-06-05,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,110","6,293",16,20,1/175,2.78,"+1,119","8,352",34,32,1/127,4.09,"-1,389","3,429",8,11,1/180,3.03,"+2,289","7,307",32,37,1/106,5.24,-360,"2,625",9,7,1/164,2.92,+446,"6,912",26,27,1/130,4.02,+957,"7,319",33,22,1/133,2.87,-540,"4,104",14,12,1/158,2.87,+218,"3,566",13,15,1/127,4.01,"+1,422","7,901",37,24,1/130,2.93
2026-06-04,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-692,"1,927",7,2,1/214,2.42,"+2,238","3,140",20,16,1/87,4.90,+267,"2,035",10,4,1/145,2.84,-53,688,3,0,1/229,2.92,"+2,032","4,412",26,16,1/105,4.07,-198,953,3,1,1/238,2.89,-445,"1,433",4,3,1/205,2.94,-537,618,0,3,1/206,3.58,+919,"5,326",23,20,1/124,3.89,-616,"3,639",11,13,1/152,3.40
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,300","2,375",5,8,1/183,3.22,-166,"1,239",5,2,1/177,2.93,+375,336,3,0,1/112,3.28,"+2,356","6,539",30,27,1/115,4.52,-821,848,1,2,1/283,3.15,"-1,005","1,679",2,6,1/210,3.31,-653,"1,334",4,1,1/267,2.60,+681,"3,176",16,9,1/127,3.14,-237,"5,772",18,25,1/134,4.25,-405,301,0,0,-,3.18
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-37,"1,265",5,4,1/141,3.39,"+1,330","3,141",19,9,1/112,3.33,+76,"1,338",6,3,1/149,3.11,+103,"5,980",22,23,1/133,3.86,-194,"1,088",3,4,1/155,3.48,+603,"7,480",27,30,1/131,4.14,+641,"1,664",10,4,1/119,3.21,+341,"5,755",24,19,1/134,3.29,-81,742,2,3,1/148,3.55,-319,"2,620",11,5,1/164,2.58
2026-06-01,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+516,"7,652",30,30,1/128,4.13,-210,174,0,0,-,3.31,-738,902,1,2,1/301,3.09,-123,"1,536",6,3,1/171,2.92,+169,"4,982",19,21,1/125,4.22,-251,417,1,0,1/417,3.10,-360,450,1,0,1/450,3.07,-300,"2,350",9,6,1/157,2.95,-164,327,1,0,1/327,3.19,"+1,526","6,435",30,24,1/119,4.03
2026-05-31,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,206","7,069",30,28,1/122,4.25,-257,307,1,0,1/307,3.22,+320,"4,930",18,19,1/133,3.81,-908,"1,502",2,4,1/250,3.02,"-1,249","2,322",3,11,1/166,3.86,+219,"4,670",18,15,1/142,3.16,-878,"3,348",10,8,1/186,2.57,-602,"1,334",3,4,1/191,3.22,+191,"3,548",16,8,1/148,2.59,"+1,156","6,191",27,26,1/117,4.48
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-888,"2,853",8,7,1/190,2.69,"+1,236","3,144",17,11,1/112,3.72,-359,"4,599",19,9,1/164,2.15,-215,766,2,1,1/255,3.03,-15,"1,272",5,1,1/212,2.68,+336,"2,753",14,5,1/145,2.57,+64,766,4,0,1/192,2.88,-643,"6,193",20,24,1/141,3.79,-392,284,0,0,-,3.19,-168,"6,730",27,20,1/143,2.76
