日付,曜日,特定日,394番台,,,,,,395番台,,,,,,396番台,,,,,,397番台,,,,,,398番台,,,,,,399番台,,,,,,400番台,,,,,,401番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,はい,-231,"6,537",25,22,1/139,3.55,-361,"1,575",4,5,1/175,3.24,"-1,514","5,804",12,24,1/161,3.56,+252,"2,595",10,8,1/144,3.36,-805,"1,227",2,1,1/409,2.55,+274,"5,101",21,10,1/165,2.23,-425,"3,028",10,10,1/151,3.33,-793,867,0,2,1/434,2.96
2026-06-07,日,いいえ,-712,"2,985",7,11,1/166,3.32,-182,"2,142",8,6,1/153,3.22,-387,"4,525",14,13,1/168,2.78,-722,"2,374",8,5,1/183,2.74,+114,"4,266",18,10,1/152,2.73,-543,844,2,0,1/422,2.72,-102,"1,991",9,2,1/181,2.57,-455,"2,032",8,2,1/203,2.45
2026-06-06,土,いいえ,-221,"3,994",15,9,1/166,2.56,-563,689,1,0,1/689,2.79,-167,"4,343",14,19,1/132,4.15,+902,"5,402",27,12,1/139,2.77,-396,876,2,1,1/292,2.91,-774,605,0,1,1/605,3.02,+939,"7,131",30,21,1/140,3.18,-9,"6,574",21,31,1/126,4.60
2026-06-05,金,はい,-685,"5,984",16,27,1/139,4.19,+997,"5,726",27,16,1/133,3.31,-627,"4,395",18,5,1/191,1.84,"+2,967","8,631",38,40,1/111,5.20,-234,"1,588",5,6,1/144,3.56,"+2,125","8,102",38,30,1/119,4.59,"+1,916","7,349",35,20,1/134,3.18,+517,"8,693",34,33,1/130,4.25
2026-06-04,木,いいえ,-740,"2,675",8,6,1/191,2.65,-25,"1,021",3,4,1/146,3.55,"+4,316","5,063",35,16,1/99,4.82,-406,"3,465",10,14,1/144,3.72,"+1,596","4,420",24,14,1/116,4.05,+100,339,2,0,1/170,3.30,"+1,879","5,710",25,27,1/110,4.96,-331,"1,362",4,3,1/195,3.02
2026-06-03,水,いいえ,-814,"1,536",3,4,1/219,2.96,"+2,567","5,482",30,20,1/110,4.65,-645,"1,211",3,2,1/242,2.86,-722,"1,337",2,5,1/191,3.31,"-1,033","1,688",4,0,1/422,2.13,"+2,881","3,717",25,14,1/95,4.83,-182,122,0,0,-,3.35,"+1,011","7,501",30,27,1/132,3.99
2026-06-02,火,いいえ,"-1,128","2,131",4,4,1/266,2.46,-794,861,0,3,1/287,3.20,+0,729,3,1,1/182,3.17,-328,"1,061",3,3,1/177,3.26,-469,398,0,1,1/398,3.26,-547,934,1,3,1/234,3.21,-699,"1,361",2,4,1/227,3.06,-205,"3,686",12,12,1/154,3.24
2026-06-01,月,いいえ,-510,"2,498",7,8,1/167,3.18,-544,"3,020",9,9,1/168,3.03,-642,"1,034",3,1,1/259,2.83,-539,690,1,0,1/690,2.79,-408,"2,235",8,2,1/224,2.28,-669,"1,550",3,5,1/194,3.17,+125,"5,115",15,27,1/122,4.71,+460,"3,881",18,9,1/144,2.91
2026-05-31,日,いいえ,"+1,136","6,862",28,24,1/132,3.88,-685,871,1,2,1/290,3.05,+748,"5,129",21,18,1/132,3.82,+926,"2,430",15,5,1/122,3.36,"-1,159","2,099",5,4,1/233,2.56,-986,"3,327",7,13,1/166,3.39,-171,"2,357",9,5,1/168,2.84,+469,"6,297",24,22,1/137,3.70
2026-05-30,土,いいえ,-411,"1,448",4,3,1/207,2.92,-232,898,3,2,1/180,3.22,-207,"3,735",13,12,1/149,3.28,-385,"1,649",6,2,1/206,2.66,-705,"1,234",2,3,1/247,2.97,+346,"2,628",13,7,1/131,3.39,-607,"1,658",5,4,1/184,3.01,-337,"1,533",7,1,1/192,2.65
2026-05-29,金,いいえ,+240,"1,901",9,5,1/136,3.36,-846,780,0,2,1/390,3.06,-674,"1,166",1,5,1/194,3.41,-42,"1,014",4,1,1/203,2.94,+507,"1,420",8,3,1/129,3.35,+906,"3,425",17,10,1/127,3.57,-304,229,0,0,-,3.22,-432,"1,511",3,6,1/168,3.44
2026-05-28,木,はい,-734,"2,106",7,2,1/234,2.32,-780,703,0,1,1/703,2.91,-608,"1,182",2,2,1/296,2.80,+496,"4,357",21,8,1/150,2.48,-737,881,1,2,1/294,3.04,+567,"4,505",21,11,1/141,2.96,-361,"2,470",10,3,1/190,2.40,-420,"1,106",4,0,1/277,2.62
2026-05-27,水,いいえ,+119,"1,458",7,3,1/146,3.20,-34,"5,345",19,20,1/137,3.82,-878,"3,887",11,11,1/177,2.75,-136,"2,889",9,14,1/126,4.20,-211,"2,038",6,8,1/146,3.60,"+1,045","7,034",31,25,1/126,4.16,+126,"1,277",6,1,1/182,2.83,-756,"5,088",16,17,1/154,3.21
2026-05-26,火,いいえ,+451,"5,578",23,18,1/136,3.54,+746,"5,712",24,21,1/127,4.09,"+1,103","3,017",15,12,1/112,4.26,-524,819,1,2,1/273,3.11,+755,"7,157",29,26,1/130,4.05,+111,338,2,0,1/169,3.30,-990,"4,742",13,18,1/153,3.50,+145,"3,180",12,12,1/133,3.79
2026-05-25,月,はい,-683,"8,759",27,33,1/146,3.69,+854,"6,538",30,16,1/142,2.73,"+1,085","7,157",33,18,1/140,2.78,-784,"8,045",24,34,1/139,4.18,+396,"7,217",30,24,1/134,3.71,+552,"8,225",32,30,1/133,4.02,"+3,243","7,755",43,24,1/116,4.37,"-1,602","4,748",13,10,1/206,2.06
2026-05-24,日,いいえ,-111,"3,449",14,7,1/164,2.59,-681,"1,533",4,4,1/192,3.06,-274,970,2,3,1/194,3.27,-45,376,2,0,1/188,3.25,-280,"4,653",18,11,1/160,2.57,-250,202,0,0,-,3.25,-304,"1,487",5,5,1/149,3.44,"+1,077","7,242",34,20,1/134,3.20
2026-05-23,土,いいえ,-827,"2,680",8,7,1/179,2.86,"-1,174","5,552",14,19,1/168,3.01,-366,321,0,0,-,3.11,-665,"4,686",16,16,1/146,3.41,-532,"1,458",4,3,1/208,2.91,+867,"5,332",24,16,1/133,3.46,-574,"1,271",2,6,1/159,3.62,-845,"2,623",8,9,1/154,3.36
