日付,曜日,特定日,303番台,,,,,,304番台,,,,,,305番台,,,,,,306番台,,,,,,307番台,,,,,,308番台,,,,,,309番台,,,,,,310番台,,,,,,311番台,,,,,,312番台,,,,,,313番台,,,,,,314番台,,,,,,315番台,,,,,,316番台,,,,,,317番台,,,,,,318番台,,,,,,428番台,,,,,,429番台,,,,,,430番台,,,,,,431番台,,,,,,432番台,,,,,,433番台,,,,,,434番台,,,,,,435番台,,,,,,436番台,,,,,,437番台,,,,,,438番台,,,,,,439番台,,,,,,440番台,,,,,,441番台,,,,,,442番台,,,,,,443番台,,,,,,444番台,,,,,,445番台,,,,,,446番台,,,,,,447番台,,,,,,448番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+495,"3,591",14,12,1/138,3.80,"+1,737","7,110",30,27,1/125,4.68,-902,"1,830",2,5,1/261,3.11,+166,529,3,0,1/176,2.99,"-1,621","4,522",10,14,1/188,3.27,-219,318,1,0,1/318,3.16,"+3,501","7,154",40,19,1/121,3.16,-234,485,1,0,1/485,2.97,-702,"2,268",7,3,1/227,2.31,-582,"2,015",6,4,1/202,2.76,-591,"1,787",5,5,1/179,3.27,-363,"1,459",3,4,1/208,3.24,-638,"3,179",10,6,1/199,2.38,-702,"1,797",6,1,1/257,2.19,-339,"3,194",9,13,1/145,4.27,-378,465,0,2,1/233,3.62,"+1,845","8,019",34,28,1/129,4.34,-593,"2,481",8,5,1/191,2.66,-103,"2,538",8,10,1/141,4.09,"+1,485","5,190",23,17,1/130,3.90,-839,"2,745",8,7,1/183,2.97
2026-06-07,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,792","6,794",29,30,1/115,5.15,-535,430,0,0,-,2.99,+719,"5,673",23,20,1/132,4.20,-276,801,2,1,1/267,2.97,-602,"1,288",3,2,1/258,2.80,-144,"1,945",7,4,1/177,2.87,-391,"1,325",4,2,1/221,2.80,-352,"1,852",6,4,1/185,2.93,+91,"2,881",12,7,1/152,2.98,-957,"4,511",14,14,1/161,3.43,-658,"3,357",10,10,1/168,3.30,-735,"2,194",6,5,1/199,2.87,+292,"2,256",10,5,1/150,2.95,+760,"3,398",18,5,1/148,2.21,+146,"1,002",5,1,1/167,2.87,"+1,231","6,979",30,24,1/129,4.21,-799,947,0,3,1/316,3.38,+228,"3,928",16,11,1/145,3.23,+163,"4,188",16,14,1/140,3.82,+0,"5,459",20,17,1/148,3.53,-286,"1,098",4,2,1/183,3.04
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-17,"4,465",16,16,1/140,4.09,"-1,459","2,789",6,6,1/232,2.58,-493,"1,628",6,0,1/271,2.09,-479,"3,894",13,12,1/156,3.45,+440,"5,728",21,19,1/143,3.84,-876,"1,896",4,4,1/237,2.81,-651,982,2,2,1/246,3.09,-749,"1,952",4,5,1/217,3.05,-914,"1,416",3,1,1/354,2.40,"-1,180","2,158",5,2,1/308,2.12,+415,"1,388",8,1,1/154,2.58,+655,"4,109",21,7,1/147,2.21,+86,"1,024",5,1,1/171,2.84,-349,"2,398",6,7,1/184,3.27,-170,"2,125",8,5,1/163,3.02,"-1,793","3,242",6,10,1/203,3.28,+216,"4,601",19,10,1/159,2.45,"-3,025","5,054",7,16,1/220,3.21,"-1,653","2,093",3,2,1/419,2.12,-11,"3,792",14,11,1/152,3.29,-575,993,2,2,1/248,3.08
2026-06-05,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,605","7,036",31,22,1/133,3.73,"+3,622","8,065",42,27,1/117,4.33,+396,"5,536",23,14,1/150,2.76,+158,"2,678",11,7,1/149,3.15,-934,"3,462",10,10,1/173,3.19,"+2,450","7,391",34,30,1/115,5.00,-652,"2,819",8,6,1/201,2.62,+655,"6,949",27,24,1/136,4.15,-487,"4,555",15,13,1/163,3.14,-679,"2,059",6,2,1/257,2.21,+162,"7,870",28,30,1/136,4.64,"+2,332","8,447",37,31,1/124,4.65,"+2,142","6,887",34,19,1/130,3.20,"+2,333","7,346",31,34,1/113,5.28,+790,"4,760",21,13,1/140,3.15,-682,"4,289",15,9,1/179,2.35,"+1,190","7,773",30,27,1/136,4.22,-933,"3,458",10,9,1/182,2.91,+834,"8,160",29,36,1/126,5.18,+347,"4,138",16,12,1/148,3.30,"+2,146","8,010",35,28,1/127,4.38
2026-06-04,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-924,"1,353",2,3,1/271,3.00,-710,906,1,1,1/453,2.82,-423,516,1,0,1/516,2.93,-240,"1,604",6,3,1/178,2.88,-252,254,0,0,-,3.19,-92,"1,934",8,3,1/176,2.62,-222,280,0,1,1/280,3.50,-709,819,1,0,1/819,2.61,-301,522,1,0,1/522,2.92,-156,363,1,1,1/182,3.45,+909,"2,517",12,7,1/132,3.37,-382,778,2,2,1/195,3.33,-167,"2,908",10,9,1/153,3.48,-350,541,1,0,1/541,2.90,-634,"3,749",15,3,1/208,1.68,+924,"2,918",13,13,1/112,4.61,"+1,413","3,360",17,14,1/108,4.59,+178,482,3,0,1/161,3.05,+279,"2,425",9,11,1/121,4.47,-195,"2,827",9,13,1/129,4.57,"+1,257","3,586",18,9,1/133,3.06
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-14,"2,005",8,4,1/167,2.84,+179,"5,731",23,17,1/143,3.38,-206,"1,150",4,2,1/192,2.98,"+3,414","6,801",33,32,1/105,5.31,-281,291,0,1,1/291,3.49,"+1,289","7,332",30,26,1/131,4.35,-190,136,0,0,-,3.33,-99,192,0,1,1/192,3.61,"+2,573","6,115",30,24,1/113,4.80,-193,458,1,1,1/229,3.33,+919,"2,312",13,5,1/128,3.01,-305,"1,726",6,3,1/192,2.76,-500,"1,168",4,0,1/292,2.39,"+1,887","7,417",29,31,1/124,5.02,-131,467,2,0,1/234,3.03,-155,851,3,2,1/170,3.29,-586,"3,293",9,11,1/165,3.63,-85,"1,618",6,4,1/162,3.18,-255,"1,651",4,6,1/165,3.71,-363,490,1,0,1/490,2.96,-405,"2,452",7,9,1/153,3.86
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+392,"4,812",19,19,1/127,4.55,+884,"5,524",21,25,1/120,5.05,+960,"5,218",24,15,1/134,3.36,-167,208,0,0,-,3.25,"+1,185","8,600",34,29,1/137,4.10,+515,"1,088",7,1,1/136,2.85,-229,287,0,1,1/287,3.50,+803,"2,513",13,5,1/140,2.80,+383,"1,859",7,8,1/124,4.18,+0,657,3,0,1/219,2.85,-99,"4,378",14,17,1/141,4.33,-300,"1,284",4,3,1/183,3.16,-75,483,2,1,1/161,3.34,-864,962,0,2,1/481,3.04,-140,"3,017",12,5,1/177,2.33,-195,810,3,0,1/270,2.69,-527,"1,708",5,5,1/171,3.36,"+1,166","7,162",30,22,1/138,3.59,-126,100,0,0,-,3.38,"-1,088","2,252",4,8,1/188,3.66,-15,546,2,0,1/273,2.94
2026-06-01,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-203,"4,206",13,14,1/156,3.70,-685,543,0,0,-,2.86,-619,668,1,0,1/668,2.77,-802,"2,989",8,7,1/199,2.73,-724,"2,172",4,9,1/167,4.04,-609,985,3,0,1/328,2.52,-713,"2,420",7,6,1/186,2.97,-45,843,4,0,1/211,2.69,-120,489,2,0,1/245,3.00,-284,197,0,0,-,3.26,"+2,669","6,920",30,36,1/105,5.41,-150,582,2,1,1/194,3.23,+783,"4,452",18,13,1/144,3.35,+734,"2,192",11,8,1/115,3.99,-628,"1,496",3,5,1/187,3.52,"+1,226","2,972",16,9,1/119,3.64,-620,904,2,1,1/301,2.86,-665,"1,357",3,2,1/271,2.73,-86,113,0,0,-,3.36,"+1,062","7,205",30,25,1/131,4.25,-631,"1,701",3,7,1/170,3.92
2026-05-31,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+875,"5,690",23,17,1/142,3.42,-185,602,2,1,1/201,3.20,-267,394,1,0,1/394,3.07,-122,"8,367",25,38,1/133,5.21,-627,"1,175",2,4,1/196,3.53,"-1,032","3,498",10,9,1/184,2.87,-180,433,1,1,1/217,3.36,"+2,198","6,118",34,10,1/139,1.88,-499,679,1,1,1/340,3.07,+351,"2,345",10,8,1/130,3.79,"-1,234","5,881",17,23,1/147,4.49,-343,438,1,0,1/438,3.02,"+4,137","6,833",37,34,1/96,5.41,+0,710,3,1,1/178,3.12,+602,"5,491",23,18,1/134,3.87,+107,"1,587",7,2,1/176,2.64,-733,"2,912",6,11,1/171,3.92,"+1,245","5,881",28,11,1/151,2.04,-867,"2,519",8,5,1/194,2.62,+773,"4,096",16,15,1/132,4.17,+421,"5,289",23,14,1/143,2.98
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-228,"3,901",15,7,1/177,2.20,-230,"2,161",8,5,1/166,2.98,+445,"5,561",23,16,1/143,3.27,-10,"6,582",20,28,1/137,4.90,+637,"3,311",13,13,1/127,4.30,-279,992,3,1,1/248,2.80,-297,246,0,0,-,3.20,"+3,799","6,419",38,23,1/105,4.64,-679,"3,207",10,9,1/169,3.16,-470,522,0,2,1/261,3.55,+131,"8,104",27,33,1/135,4.90,-573,"1,528",4,4,1/191,3.20,-609,"2,019",6,4,1/202,2.75,-450,"2,710",10,4,1/194,2.28,+461,"1,908",9,3,1/159,2.68,-435,"4,131",14,10,1/172,2.69,-982,"5,453",18,14,1/170,2.68,-514,626,1,0,1/626,2.81,"+1,084","7,778",35,17,1/150,2.14,-251,938,3,2,1/188,3.18,+163,"2,435",10,5,1/162,2.77
