日付,曜日,特定日,319番台,,,,,,320番台,,,,,,321番台,,,,,,322番台,,,,,,323番台,,,,,,324番台,,,,,,325番台,,,,,,326番台,,,,,,465番台,,,,,,466番台,,,,,,467番台,,,,,,468番台,,,,,,469番台,,,,,,470番台,,,,,,471番台,,,,,,472番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,115","5,747",26,20,1/125,4.41,-143,359,1,0,1/359,3.14,-21,"2,766",11,4,1/184,2.46,-272,"1,343",3,6,1/149,3.84,-686,"3,108",8,9,1/183,3.09,-300,"8,195",29,30,1/139,4.35,"+1,316","2,170",15,5,1/109,3.69,-127,"3,933",15,7,1/179,2.38
2026-06-07,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+207,"1,812",8,4,1/151,3.18,+36,"3,734",15,10,1/149,3.22,-124,"1,624",6,3,1/180,2.95,-431,"2,225",7,4,1/202,2.68,-455,"1,813",5,4,1/201,2.93,-239,"1,873",7,2,1/208,2.54,"+2,362","6,841",36,17,1/129,3.36,"-1,128","1,668",3,2,1/334,2.48
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-894,"5,586",19,12,1/180,2.34,"-1,653","3,677",6,12,1/204,3.11,-439,"1,303",3,2,1/261,2.80,-845,"1,604",4,2,1/267,2.59,-749,"3,583",9,13,1/163,3.65,"-1,066","3,093",7,8,1/206,2.80,-823,"2,763",6,12,1/154,4.03,"-1,176","4,452",14,4,1/247,1.72
2026-06-05,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-705,"7,345",20,30,1/147,4.43,+245,"4,663",19,12,1/150,3.07,-743,"4,106",15,7,1/187,2.27,-748,"4,504",15,12,1/167,2.95,+115,"6,511",27,19,1/142,3.49,+0,"8,306",28,27,1/151,3.66,"-1,617","4,341",9,13,1/197,2.94,"-1,032","6,263",18,21,1/161,3.55
2026-06-04,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-381,861,2,2,1/215,3.20,+502,"6,064",26,14,1/152,2.71,-114,274,1,0,1/274,3.25,"+1,297","6,245",28,19,1/133,3.84,-193,868,2,4,1/145,3.76,-514,"2,463",8,5,1/189,2.75,+628,"1,021",7,2,1/113,3.48,-626,"4,548",17,10,1/168,2.60
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-748,"6,746",24,19,1/157,3.08,+196,520,3,1,1/130,3.43,-686,875,1,2,1/292,3.10,-657,"1,036",1,4,1/207,3.47,"+2,433","4,949",29,13,1/118,3.86,-162,122,0,0,-,3.34,-347,"7,754",24,29,1/146,4.21,+296,"3,210",14,6,1/161,2.69
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,503","4,184",23,11,1/123,3.66,-428,848,2,1,1/283,2.95,+19,"3,698",15,7,1/168,2.56,"+1,119","3,465",15,16,1/112,4.89,-333,486,1,0,1/486,3.00,-614,970,1,2,1/323,3.00,"+1,539","4,355",24,15,1/112,4.59,"-1,021","1,142",0,3,1/381,3.00
2026-06-01,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,952","2,641",4,4,1/330,2.22,-139,"2,390",9,6,1/159,3.15,+492,790,4,5,1/88,4.34,+189,"5,130",20,14,1/151,3.16,-302,"2,010",6,7,1/155,3.59,-548,564,0,2,1/282,3.38,+336,"3,902",16,12,1/139,3.63,-785,"2,809",9,6,1/187,2.73
2026-05-31,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,657","3,351",5,11,1/209,3.12,-790,"3,231",9,8,1/190,2.81,-273,238,0,0,-,3.20,+192,"7,356",24,33,1/129,5.03,-366,326,0,0,-,3.09,-255,379,1,0,1/379,3.12,+625,"4,507",20,13,1/137,3.56,-391,"3,852",11,17,1/138,4.43
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-70,"7,003",28,18,1/152,2.89,-2,"2,462",10,5,1/164,2.89,"+3,266","8,273",38,35,1/113,5.43,-276,973,2,4,1/162,3.63,+496,"3,905",19,7,1/150,2.62,-23,"4,909",19,12,1/158,2.84,-550,743,1,1,1/372,2.98,"+2,656","7,719",38,26,1/121,4.68
