日付,曜日,特定日,327番台,,,,,,328番台,,,,,,329番台,,,,,,330番台,,,,,,331番台,,,,,,332番台,,,,,,333番台,,,,,,334番台,,,,,,335番台,,,,,,336番台,,,,,,337番台,,,,,,338番台,,,,,,339番台,,,,,,340番台,,,,,,341番台,,,,,,342番台,,,,,,402番台,,,,,,403番台,,,,,,404番台,,,,,,405番台,,,,,,406番台,,,,,,407番台,,,,,,408番台,,,,,,409番台,,,,,,410番台,,,,,,411番台,,,,,,412番台,,,,,,413番台,,,,,,414番台,,,,,,415番台,,,,,,416番台,,,,,,417番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-08,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,121","3,801",10,11,1/181,2.77,-362,"2,299",9,3,1/192,2.32,-140,"4,576",17,13,1/153,2.93,"-1,070","2,740",7,6,1/211,2.45,-500,"3,376",12,7,1/178,2.40,-517,"1,391",4,1,1/278,2.40,"+1,891","7,760",35,25,1/129,3.81,-206,"2,346",8,4,1/196,2.43,"-1,199","5,138",15,13,1/184,2.35,-575,"1,579",4,5,1/175,3.24,-819,"3,913",11,11,1/178,2.72,"+1,945","5,956",28,23,1/117,4.69,-958,"3,247",8,10,1/180,2.95,-137,"6,932",26,22,1/144,3.30,-865,"2,084",5,6,1/189,2.98,"+3,270","8,431",42,29,1/119,4.49
2026-06-07,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+157,"5,407",21,15,1/150,2.84,-487,"2,053",7,4,1/187,2.64,-193,"3,624",11,13,1/151,3.55,"+3,857","7,678",43,28,1/108,4.98,-313,658,2,0,1/329,2.77,+332,"6,601",25,22,1/140,3.57,-634,"2,213",6,6,1/184,2.91,-662,"3,039",9,8,1/179,2.74,+707,"4,137",20,8,1/148,2.40,-214,"3,292",11,12,1/143,3.69,-187,"3,532",13,9,1/161,2.76,-222,"2,100",7,5,1/175,2.85,"+2,948","6,413",34,23,1/113,4.67,-123,"3,969",16,11,1/147,3.01,-37,"2,041",8,4,1/170,2.72,"+1,174","6,486",28,21,1/132,3.69
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,721","5,900",16,18,1/174,2.76,-722,"5,880",20,17,1/159,2.79,-625,"3,691",13,6,1/194,2.06,-674,"5,342",17,15,1/167,2.66,"+1,378","5,487",27,12,1/141,2.47,-352,"6,691",23,20,1/156,2.89,"-1,339","3,398",9,7,1/212,2.24,-456,"5,086",17,10,1/188,2.01,-182,"5,528",23,14,1/149,2.63,"+1,704","7,292",33,26,1/124,4.35,+170,"4,224",17,9,1/162,2.37,-284,"3,928",14,8,1/179,2.27,"+1,292","5,724",25,19,1/130,3.81,"+1,221","7,004",30,21,1/137,3.28,"+1,047","7,583",30,29,1/129,4.44,"-1,192","2,107",5,2,1/301,2.10
2026-06-05,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+856,"8,945",37,28,1/138,3.43,"+2,266","9,475",40,35,1/126,4.50,"-1,262","5,871",18,14,1/183,2.17,"+1,939","8,697",39,25,1/136,3.13,+96,"3,546",15,6,1/169,2.23,-943,"7,103",23,21,1/161,2.74,"+1,890","9,365",38,32,1/134,3.94,+526,"7,467",32,20,1/144,2.73,+863,"8,292",33,27,1/138,3.57,-550,"3,097",9,7,1/194,2.47,"+2,125","7,825",33,33,1/119,5.03,+249,"7,611",32,17,1/155,2.11,-802,"8,228",23,31,1/152,3.78,-771,"3,351",10,7,1/197,2.32,"+2,735","8,555",38,34,1/119,4.92,+21,"5,104",22,9,1/165,2.01
2026-06-04,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-196,"7,247",22,28,1/145,4.02,-569,574,1,0,1/574,2.79,"-1,208","5,748",19,11,1/192,1.89,-692,"1,603",4,3,1/229,2.66,-179,"4,771",18,12,1/159,2.58,-202,"2,477",10,4,1/177,2.43,"-1,531","2,043",1,5,1/341,2.51,-430,"4,696",17,9,1/181,2.07,+750,"5,298",23,16,1/136,3.36,-397,"2,979",10,6,1/186,2.42,+455,"2,686",12,8,1/134,3.41,"-1,443","1,947",2,7,1/216,3.18,"+1,826","7,030",31,27,1/121,4.64,+87,"2,923",11,7,1/162,2.76,+766,"6,994",26,29,1/127,4.69,-649,983,2,2,1/246,2.94
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+455,"5,509",22,16,1/145,3.05,"+1,050","3,847",19,9,1/137,2.85,-934,"2,246",4,8,1/187,3.26,-428,"1,242",3,4,1/177,3.30,-274,"4,684",15,15,1/156,3.17,-144,352,1,0,1/352,3.08,"-1,428","3,384",8,8,1/212,2.39,+973,"5,323",23,17,1/133,3.60,-198,990,3,3,1/165,3.33,+551,"6,949",29,15,1/158,2.09,"+1,402","3,267",19,7,1/126,2.98,-490,870,1,2,1/290,3.00,"-1,583","1,878",2,3,1/376,2.30,"-1,231","2,115",3,3,1/353,2.18,"-1,111","7,103",20,18,1/187,2.14,-867,"2,945",9,5,1/210,2.21
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+49,"2,655",12,3,1/177,2.19,-149,"3,121",13,4,1/184,2.09,+712,"4,384",20,11,1/141,2.85,-332,"6,223",17,24,1/152,3.83,+40,"1,538",7,2,1/171,2.68,"+1,862","4,136",23,14,1/112,4.26,"+1,173","6,755",29,23,1/130,3.95,"+2,442","8,438",35,37,1/117,5.20,-391,"2,027",7,3,1/203,2.44,-662,"1,028",2,2,1/257,2.89,+249,"4,025",18,5,1/175,1.92,+605,"3,579",16,12,1/128,3.78,-196,336,1,0,1/336,3.10,"-1,261","1,477",1,4,1/295,2.83,-513,"1,398",3,3,1/233,2.81,-893,"6,826",22,24,1/148,3.58
2026-06-01,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-787,"5,698",20,15,1/163,2.53,-7,"4,313",17,13,1/144,3.22,-134,"1,040",3,2,1/208,2.96,"+1,579","7,270",30,26,1/130,4.16,-681,"1,796",3,6,1/200,3.17,+779,"4,028",19,12,1/130,3.47,"+1,775","4,926",28,9,1/133,2.38,-769,"4,353",10,19,1/150,4.14,"+1,449","8,432",35,31,1/128,4.38,+571,"3,458",16,7,1/150,2.55,"-1,651","2,942",4,9,1/226,2.75,+230,"1,686",8,1,1/187,2.36,-427,"4,077",15,10,1/163,2.59,-302,"1,480",6,1,1/211,2.43,-884,975,0,3,1/325,3.08,"+1,487","6,703",33,19,1/129,3.33
2026-05-31,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-752,"6,982",25,20,1/155,2.75,+944,"5,074",26,8,1/149,2.02,-708,"3,211",8,10,1/178,2.99,+98,"4,267",19,5,1/178,1.84,-739,"4,186",16,6,1/190,1.91,-696,"2,799",9,5,1/200,2.31,-507,"4,518",14,13,1/167,2.79,"+1,980","5,986",32,14,1/130,2.76,-523,"2,820",9,7,1/176,2.72,-207,"3,733",13,12,1/149,3.31,"-1,886","3,517",9,7,1/220,2.17,"+1,208","6,709",24,29,1/127,4.80,"-1,088","6,156",21,13,1/181,1.99,+134,"4,393",15,17,1/137,4.02,-737,"2,306",6,7,1/177,3.07,"+1,678","8,039",35,27,1/130,3.97
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,847","5,311",13,10,1/231,1.83,-349,"3,803",14,9,1/165,2.56,"+1,361","4,618",21,18,1/118,4.50,-996,"1,060",0,1,1/1060,2.46,-964,"4,070",12,12,1/170,2.87,"+2,523","6,102",34,13,1/130,2.55,-770,729,0,1,1/729,2.81,-150,"7,619",25,31,1/136,4.44,"-1,303","4,881",15,11,1/188,2.19,"-1,124","6,022",17,19,1/167,2.91,+307,"2,047",11,3,1/146,2.68,"+1,398","6,548",29,26,1/119,4.76,-301,"1,947",7,5,1/162,3.03,+783,"6,181",26,19,1/137,3.37,-311,"6,486",21,23,1/147,3.63,-940,"1,794",3,6,1/199,3.17
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-336,"8,480",26,36,1/137,4.60,+88,153,1,0,1/153,3.37,"+1,455","7,473",34,24,1/129,3.80,-331,"1,412",4,4,1/177,3.16,-811,"1,263",3,0,1/421,2.25,-899,"2,138",5,7,1/178,3.20,"-1,092","3,216",8,7,1/214,2.33,-68,"3,443",14,5,1/181,2.09,-21,"5,653",18,22,1/141,4.05,-617,514,0,0,-,2.78,"+1,049","6,943",31,19,1/139,2.93,-489,516,0,1,1/516,3.08,-349,"2,516",8,7,1/168,2.98,-379,"1,140",3,4,1/163,3.44,-157,"2,250",8,5,1/173,2.75,+834,"5,440",25,12,1/147,2.40
2026-05-28,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,579","8,235",32,35,1/123,4.96,-562,873,2,1,1/291,2.79,-551,"3,756",12,10,1/171,2.71,-162,"6,322",22,19,1/154,2.94,-708,"1,924",5,3,1/241,2.41,"+4,062","5,435",37,20,1/95,5.15,"+1,078","6,118",22,32,1/113,5.44,-663,"5,014",16,13,1/173,2.48,+240,"4,455",17,15,1/139,3.60,-997,"2,517",5,6,1/229,2.53,-936,"5,804",20,11,1/187,1.89,-258,"6,978",26,19,1/155,2.61,+31,"4,093",16,10,1/157,2.64,"-1,032","1,720",4,3,1/246,2.54,+191,"5,298",21,14,1/151,2.72,"-1,596","2,873",5,7,1/239,2.44
2026-05-27,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-87,"7,667",24,31,1/139,4.33,"+2,478","8,159",38,30,1/120,4.63,-724,"1,742",4,3,1/249,2.52,"-1,015","1,692",3,5,1/212,3.01,"+1,677","7,664",36,22,1/132,3.26,-714,"5,173",15,14,1/178,2.50,+519,"7,274",30,20,1/145,2.78,"-1,439","6,001",15,24,1/154,3.90,"-2,823","7,775",21,17,1/205,1.82,-984,"5,457",16,17,1/165,2.93,"-1,023","4,439",13,10,1/193,2.23,-563,"3,795",14,4,1/211,1.81,"-1,420","5,621",14,21,1/161,3.55,"-1,178","1,750",3,2,1/350,2.25,-879,"7,258",22,22,1/165,2.76,"-1,160","3,820",13,5,1/212,1.88
2026-05-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,257","5,759",26,16,1/137,3.07,+349,"5,063",15,25,1/127,4.96,-206,"4,348",18,6,1/181,1.89,"-1,073","3,118",5,14,1/164,3.92,"-1,950","4,051",9,7,1/253,1.91,-42,"5,628",20,19,1/144,3.52,-441,"2,118",7,5,1/177,2.83,"+1,291","7,344",31,31,1/118,5.00,+596,"5,549",20,20,1/139,3.85,-287,"7,461",23,27,1/149,3.68,-856,"2,246",6,2,1/281,2.05,-623,"3,074",11,8,1/162,2.85,+691,"7,511",32,22,1/139,3.14,-374,"4,562",16,13,1/157,2.88,-281,"4,466",15,13,1/160,2.91,+904,"5,757",27,15,1/137,2.90
