日付,曜日,特定日,316番台,,,,,,317番台,,,,,,318番台,,,,,,319番台,,,,,,320番台,,,,,,321番台,,,,,,322番台,,,,,,323番台,,,,,,324番台,,,,,,325番台,,,,,,326番台,,,,,,327番台,,,,,,328番台,,,,,,329番台,,,,,,330番台,,,,,,331番台,,,,,,332番台,,,,,,333番台,,,,,,334番台,,,,,,335番台,,,,,,336番台,,,,,,337番台,,,,,,338番台,,,,,,339番台,,,,,,340番台,,,,,,341番台,,,,,,342番台,,,,,,343番台,,,,,,344番台,,,,,,345番台,,,,,,346番台,,,,,,347番台,,,,,,348番台,,,,,,349番台,,,,,,350番台,,,,,,351番台,,,,,,352番台,,,,,,353番台,,,,,,354番台,,,,,,355番台,,,,,,356番台,,,,,,357番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-28,日,はい,-345,"3,030",10,9,1/159,3.35,-420,754,1,2,1/251,3.32,-524,407,0,0,-,3.01,+358,"3,647",16,7,1/159,2.41,-380,519,1,0,1/519,2.93,+996,"7,226",29,25,1/134,4.20,-315,318,0,0,-,3.12,"+2,620","6,966",36,24,1/116,4.39,-240,218,0,0,-,3.24,-121,"4,361",17,10,1/162,2.58,"+1,397","5,032",23,16,1/129,3.78,"-1,527","1,362",1,1,1/681,2.39,-615,"1,790",5,4,1/199,2.95,-316,"2,683",8,11,1/141,4.21,-958,"3,248",8,11,1/171,3.64,-434,674,1,2,1/225,3.41,+782,"6,543",22,32,1/121,5.26,-386,331,0,0,-,3.10,"-1,472","3,120",4,13,1/184,4.18,+827,"4,446",21,12,1/135,3.17,"+2,197","7,282",36,22,1/126,3.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-27,土,はい,"-1,763","3,558",6,11,1/209,3.24,-861,"1,703",4,3,1/243,2.71,"-1,226","1,774",3,4,1/253,2.90,-441,"4,401",14,12,1/169,2.97,-537,"1,652",4,5,1/184,3.39,"+1,722","7,720",34,24,1/133,3.71,-656,"1,918",5,6,1/174,3.45,-546,"2,216",7,4,1/201,2.60,+534,"6,861",26,20,1/149,3.22,"+1,133","5,471",24,18,1/130,3.93,"-1,969","4,316",9,10,1/227,2.40,-845,"4,336",13,13,1/167,3.28,-433,"1,208",4,2,1/201,2.92,"+1,131","7,599",33,22,1/138,3.30,-254,"2,578",9,8,1/152,3.50,+100,"2,840",12,5,1/167,2.47,"+1,101","5,459",23,19,1/130,4.15,+500,"3,268",13,13,1/126,4.33,"-1,014","5,129",15,16,1/165,3.41,-425,"3,459",11,11,1/157,3.53,-968,"2,261",5,5,1/226,2.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-26,金,いいえ,-210,"2,381",8,7,1/159,3.36,-134,274,0,1,1/274,3.51,"+1,180","6,615",31,18,1/135,3.09,+208,488,3,1,1/122,3.38,"+1,014","4,244",18,18,1/118,4.73,-87,"1,489",5,5,1/149,3.61,-174,"1,225",4,2,1/204,2.90,-175,"1,247",2,8,1/125,4.57,"-1,119","2,077",5,4,1/231,2.66,-148,384,1,0,1/384,3.08,-406,"3,257",8,15,1/142,4.62,-418,"3,803",12,12,1/158,3.50,+132,130,1,0,1/130,3.38,-84,68,0,0,-,3.42,"+1,256","5,647",22,25,1/120,5.01,-408,595,1,1,1/298,3.17,-7,531,3,0,1/177,2.99,-285,270,0,0,-,3.17,+169,"2,873",11,10,1/137,3.86,-986,"2,223",6,4,1/222,2.56,-45,"1,694",7,3,1/169,2.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-25,木,はい,"+3,510","7,544",42,20,1/122,3.14,"+4,844","7,024",43,26,1/102,4.84,"+3,510","5,567",34,18,1/107,4.16,"-1,172","1,782",3,5,1/223,3.20,-930,"3,130",7,12,1/165,4.01,+124,"3,565",14,10,1/149,3.23,"+2,546","7,052",31,35,1/107,5.37,"+2,078","6,319",28,30,1/109,5.26,-121,980,3,3,1/163,3.47,"-1,031","2,442",7,2,1/271,1.99,-255,"1,149",3,4,1/164,3.60,+161,"5,720",26,7,1/173,1.60,"+1,343","4,077",20,14,1/120,4.07,-559,"1,212",3,1,1/303,2.58,+853,"6,401",26,25,1/126,4.71,+298,"1,173",6,2,1/147,3.04,+98,"6,411",23,25,1/134,4.63,-147,"2,185",7,6,1/168,3.23,"-1,210","4,164",8,18,1/160,4.54,"-1,017","4,773",11,16,1/177,3.62,"+1,666","7,065",34,21,1/128,3.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-24,水,いいえ,"+2,266","5,651",31,17,1/118,3.73,-541,"4,203",14,14,1/150,3.74,-140,"1,128",4,3,1/161,3.34,+198,788,5,0,1/158,2.79,+308,972,6,1,1/139,2.94,+849,"3,254",17,6,1/141,2.52,-515,591,1,0,1/591,2.85,-28,"4,779",18,14,1/149,3.30,+28,177,1,0,1/177,3.33,+869,"5,323",22,20,1/127,4.45,-211,239,0,1,1/239,3.55,+336,"2,718",11,8,1/143,3.42,-134,428,2,0,1/214,3.07,"+2,050","3,648",20,12,1/114,3.96,"-1,003","1,486",2,4,1/248,3.17,-250,227,0,0,-,3.23,-263,"2,643",7,13,1/132,4.65,"+2,151","5,404",29,15,1/123,3.36,-315,401,1,0,1/401,3.06,-274,640,2,0,1/320,2.83,-803,"4,561",12,15,1/169,3.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-23,火,いいえ,-860,"4,906",17,14,1/158,3.14,-253,"1,099",3,3,1/183,3.33,-15,"3,005",11,10,1/143,3.72,-410,396,0,0,-,3.03,-676,"4,366",15,12,1/162,3.04,-663,"1,171",3,0,1/390,2.36,+111,"2,579",12,4,1/161,2.44,-363,"1,221",3,2,1/244,2.87,"+1,725","3,717",21,9,1/124,3.04,+743,"3,670",16,13,1/127,4.06,-281,968,4,0,1/242,2.57,-773,"1,092",1,3,1/273,3.26,-84,77,0,0,-,3.41,-209,"7,543",24,25,1/154,3.78,-97,181,0,1,1/181,3.62,"+1,554","4,298",23,11,1/126,3.11,-557,"2,090",7,3,1/209,2.45,-891,"3,719",10,10,1/186,2.94,+636,"6,247",24,23,1/133,4.41,-428,311,0,0,-,3.13,-279,"4,112",14,13,1/152,3.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-22,月,はい,-627,"1,445",3,3,1/241,2.94,+450,"4,617",20,13,1/140,3.25,+645,"1,027",7,1,1/128,2.92,"+2,761","7,509",37,24,1/123,3.99,"+1,275","4,437",22,12,1/131,3.22,+185,"2,241",10,5,1/149,2.97,-162,"3,404",13,10,1/148,3.37,"-1,340","4,156",9,13,1/189,3.32,-757,867,0,3,1/289,3.48,-379,405,0,1,1/405,3.35,"+1,985","8,260",33,39,1/115,5.34,-208,438,1,1,1/219,3.36,+254,"2,763",12,5,1/163,2.53,"-1,128","2,349",6,4,1/235,2.45,-665,"2,169",6,4,1/217,2.61,-227,"1,420",5,3,1/178,3.04,"-1,335","4,334",14,8,1/197,2.10,-358,"1,571",5,2,1/224,2.59,-374,"2,247",7,6,1/173,3.16,-116,"1,607",6,3,1/179,2.88,-104,"5,598",17,23,1/140,4.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-21,日,いいえ,+432,"3,257",15,5,1/163,2.23,+723,"1,561",9,3,1/130,3.04,+627,"2,504",12,7,1/132,3.38,-275,215,0,0,-,3.24,"+1,472","2,495",16,7,1/108,3.55,"+1,385","2,256",14,6,1/113,3.42,-743,"1,497",3,4,1/214,3.20,-418,363,0,0,-,3.07,-290,"1,199",3,5,1/150,3.86,+644,"2,543",12,7,1/134,3.34,+234,"1,369",6,5,1/124,3.79,-608,877,1,3,1/219,3.51,-804,699,0,0,-,2.70,+393,"2,006",9,8,1/118,4.11,-512,932,2,2,1/233,3.15,-275,"1,111",3,2,1/222,2.99,+336,"4,880",19,13,1/153,2.96,-544,724,1,2,1/241,3.35,-227,992,4,0,1/248,2.55,+977,"1,431",8,6,1/102,4.10,-159,"4,497",15,13,1/161,3.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-20,土,いいえ,+653,"2,815",14,5,1/148,2.55,"+1,435","4,506",25,9,1/133,2.46,-391,569,0,2,1/285,3.50,-222,391,1,0,1/391,3.07,-684,"5,529",17,20,1/149,4.13,-136,304,1,0,1/304,3.18,-645,867,1,1,1/434,2.86,"+1,188","6,412",28,21,1/131,3.95,"+1,116","2,875",15,10,1/115,4.00,+449,"2,346",12,5,1/138,2.93,-826,"2,114",5,3,1/264,2.37,-532,"2,219",6,7,1/171,3.46,+330,"1,275",7,2,1/142,2.96,-732,"1,188",1,3,1/297,3.15,-627,"1,169",3,0,1/390,2.36,-579,"2,374",7,4,1/216,2.46,-256,"2,363",9,4,1/182,2.53,-404,"1,704",5,3,1/213,2.74,+334,"1,865",7,7,1/133,3.89,"+1,238","4,865",22,17,1/125,4.16,-5,"2,449",9,7,1/153,3.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-19,金,いいえ,+53,"3,656",12,13,1/146,3.94,+248,"2,332",11,5,1/146,2.91,-276,512,1,0,1/512,2.94,-703,696,0,1,1/696,3.01,+0,"3,271",13,7,1/164,2.64,-22,401,2,0,1/201,3.10,+173,"1,509",7,4,1/137,3.35,-101,442,2,0,1/221,3.05,-458,975,2,4,1/163,3.76,-160,573,1,2,1/191,3.53,-285,727,2,0,1/364,2.74,"+2,880","5,843",36,14,1/117,2.91,-350,385,0,0,-,3.04,-360,"1,068",3,3,1/178,3.37,-889,"1,902",4,6,1/190,3.42,-843,604,0,0,-,2.80,-544,520,0,0,-,2.89,-334,654,1,2,1/218,3.44,-264,"3,508",11,12,1/153,3.77,-744,"1,765",3,7,1/177,3.85,-490,"2,262",8,4,1/189,2.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
