conditionName,adoption,scoreDate,targetDate,resultDate,event,machine,machineType,stand,storeCommonScore,storeCommonRankInMachine,storeCommonTopGapInMachine,storeCommonBoostCount,storeCommonRiskCount,boostNames,riskNames,historyDays,daysSinceHighContent,daysSinceStrongHighContent,highContentCount7,strongHighContentCount7,diff7,diff14,angle7,lossStreak,g7,g14,prevDiff,prevG,prevHighContent,resultDiff,resultG,resultBB,resultRB,resultPayout,resultCombinedRate,resultRBRate,isHighContentResult
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,L東京喰種,AT_SMART,671,96,2,0,4,0,interval4_14|cooling|moderate_sink|angle_sink,,14,7,7,1,1,-5586,-3182,-162.933,0,34284,81316,133,6536,False,-2078,5843,0,19,88.1454,307.526,307.526,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,L東京喰種,AT_SMART,672,100,1,4,5,0,interval4_14|cooling|moderate_sink|angle_sink|loss_rhythm,,14,4,4,1,1,-3108,-5875,-84.125,3,36945,81258,-348,5108,False,-5016,6117,0,20,72.6663,305.85,305.85,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ゴーゴージャグラー３,JUGGLER,837,100,1,0,4,0,interval4_14|cooling|moderate_sink|g_reliable,,14,13,13,0,0,-5193,-2038,-418.183,7,12418,38036,-605,992,False,-526,3270,10,10,94.6381,163.5,327.0,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ゴーゴージャグラー３,JUGGLER,838,83,4,0,3,0,interval4_14|cooling|g_reliable,,14,5,11,1,0,1926,4466,128.263,0,15016,38534,801,2601,False,-852,1656,4,4,82.8502,207.0,414.0,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ゴーゴージャグラー３,JUGGLER,850,100,1,0,5,0,interval4_14|cooling|moderate_sink|angle_sink|g_reliable,,14,10,999,0,0,-3273,-3260,-234.961,7,13930,41229,-651,1345,False,1062,7409,30,31,104.778,121.459,239.0,True
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ゴーゴージャグラー３,JUGGLER,851,95,2,0,4,0,moderate_sink|angle_sink|loss_rhythm|g_reliable,,14,2,999,1,0,-2353,-2518,-113.847,6,20668,36223,-721,2065,False,-329,2125,7,5,94.8392,177.083,425.0,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ゴーゴージャグラー３,JUGGLER,852,86,3,0,3,0,moderate_sink|angle_sink|g_reliable,,14,3,10,1,0,-3503,960,-251.67,1,13919,41958,-587,1308,False,-1085,2053,5,2,82.3835,293.286,1026.5,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ゴーゴージャグラー３,JUGGLER,853,100,1,0,6,0,interval4_14|cooling|moderate_sink|angle_sink|loss_rhythm|g_reliable,,14,4,13,1,0,-2708,389,-150.436,3,18001,40544,-2555,2949,False,-959,3544,11,8,90.9801,186.526,443.0,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ジャグラーガールズSS,JUGGLER,856,89,2,0,4,0,moderate_sink|angle_sink|loss_rhythm|g_reliable,,14,3,3,1,1,-1955,562,-143.066,2,13665,34128,-208,3461,False,-197,2174,8,5,96.9795,167.231,434.8,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ジャグラーガールズSS,JUGGLER,857,100,1,0,4,0,interval4_14|cooling|loss_rhythm|g_reliable,,14,4,7,2,1,3008,418,183.258,2,16414,27632,-241,682,False,-798,1219,2,2,78.1788,304.75,609.5,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ジャグラーガールズSS,JUGGLER,861,100,1,0,5,0,interval4_14|cooling|moderate_sink|angle_sink|g_reliable,,14,5,10,1,0,-2478,-4269,-112.955,1,21938,40595,-1372,3301,False,404,6020,25,18,102.237,140.0,334.444,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,スマスロモンキーターンV,AT_SMART,700,87,3,0,4,0,interval4_14|cooling|moderate_sink|g_reliable,,14,12,999,0,0,-7543,-8153,-401.394,0,18792,54922,383,767,False,2020,5842,0,11,111.5257,531.091,531.091,True
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,スマスロモンキーターンV,AT_SMART,701,100,1,6,6,0,interval4_14|cooling|moderate_sink|angle_sink|loss_rhythm|g_reliable,,14,11,11,0,0,-3123,-6165,-131.417,2,23764,61504,-688,816,False,28,3290,0,7,100.2837,470.0,470.0,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,スマスロモンキーターンV,AT_SMART,702,94,2,0,3,0,interval4_14|cooling|g_reliable,,14,8,8,0,0,3333,3440,123.098,1,27076,60694,-465,6443,False,-26,4702,0,12,99.8157,391.833,391.833,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ハッピージャグラーＶＩＩＩ,JUGGLER,1032,100,1,0,5,0,interval4_14|cooling|moderate_sink|loss_rhythm|g_reliable,,14,4,999,1,0,-794,-6533,-33.958,3,23382,48354,-1320,4735,False,-897,3346,9,9,91.064,185.889,371.778,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ハッピージャグラーＶＩＩＩ,JUGGLER,1033,100,1,0,3,0,interval4_14|cooling|g_reliable,,14,4,8,1,0,1247,-549,92.521,1,13478,33016,-462,668,False,-470,1841,6,3,91.4901,204.556,613.667,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ハッピージャグラーＶＩＩＩ,JUGGLER,1035,100,1,0,6,0,interval4_14|cooling|moderate_sink|angle_sink|loss_rhythm|g_reliable,,14,8,8,0,0,-2631,1049,-162.759,2,16165,40966,-526,2695,False,-1283,6754,16,27,93.6679,157.07,250.148,False
SC_STAGE_REF_80_RISK0,参考表示,2025-07-19,2025-07-20,2025-07-20,いいえ,ハッピージャグラーＶＩＩＩ,JUGGLER,1036,81,6,0,3,0,moderate_sink|loss_rhythm|g_reliable,,14,2,4,2,1,367,-5981,13.966,2,26279,52139,-446,2421,False,-1268,2033,3,6,79.2097,225.889,338.833,False
