日付,曜日,特定日,587番台,,,,,588番台,,,,,600番台,,,,,601番台,,,,,602番台,,,,,603番台,,,,,605番台,,,,,606番台,,,,,607番台,,,,,608番台,,,,,682番台,,,,,683番台,,,,,687番台,,,,,688番台,,,,,700番台,,,,,701番台,,,,,702番台,,,,,703番台,,,,,1178番台,,,,,1180番台,,,,,1181番台,,,,,1182番台,,,,,1183番台,,,,,1185番台,,,,,1186番台,,,,,1187番台,,,,,1188番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-06-11,木,いいえ,-987,"3,798",0,10,1/380,+155,"1,302",0,3,1/434,+81,662,0,1,1/662,"-1,409","3,078",0,9,1/342,-819,"1,450",0,3,1/483,+421,"1,639",0,5,1/328,+489,619,0,1,1/619,-987,"1,473",0,5,1/295,+886,"2,831",0,5,1/566,-463,732,0,1,1/732,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-10,水,いいえ,+922,"5,447",0,16,1/340,"-1,084","1,291",0,3,1/430,"+4,590","4,828",0,8,1/604,"-1,480","1,590",0,3,1/530,-402,"5,212",0,11,1/474,-652,"4,311",0,14,1/308,"-1,366","1,506",0,3,1/502,"+1,432","4,433",0,9,1/493,"-1,208","1,847",0,3,1/616,"-1,437","2,357",0,6,1/393,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-09,火,いいえ,+358,"3,205",0,6,1/534,-279,"1,632",0,4,1/408,"-1,140","2,222",0,5,1/444,"+11,402","7,693",0,7,1/1099,"-1,123","2,968",0,7,1/424,"-1,995","4,210",0,11,1/383,-346,297,0,1,1/297,+238,"5,805",0,10,1/581,-724,768,0,2,1/384,-701,"2,238",0,6,1/373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-06,土,はい,+433,"7,664",0,18,1/426,-757,"6,411",0,15,1/427,"+1,320","6,346",0,12,1/529,"+5,415","7,878",0,13,1/606,"-1,726","5,824",0,13,1/448,+367,"6,329",0,18,1/352,"-2,150","7,886",0,15,1/526,"-1,635","6,414",0,17,1/377,"+3,358","7,897",0,20,1/395,+967,"8,802",0,22,1/400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-05,金,いいえ,-592,"2,899",0,4,1/725,-371,454,0,2,1/227,-369,"2,374",0,6,1/396,"+1,579","2,120",0,3,1/707,+346,"1,223",0,2,1/612,-473,"3,385",0,8,1/423,-344,801,0,4,1/200,-437,325,0,1,1/325,-726,534,0,1,1/534,-711,"1,717",0,3,1/572,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-04,木,いいえ,"-2,068","4,687",0,10,1/469,-737,"1,627",0,3,1/542,"+3,884","5,841",0,12,1/487,-116,305,0,1,1/305,"+4,316","4,866",0,9,1/541,"-1,296","2,596",0,5,1/519,"-1,066","1,661",0,4,1/415,-623,519,0,1,1/519,"+1,727","2,361",0,3,1/787,"-2,301","3,730",0,10,1/373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-03,水,はい,-944,"2,133",0,5,1/427,"+5,032","4,921",0,10,1/492,-475,"9,230",0,28,1/330,-383,321,0,1,1/321,-598,"3,616",0,10,1/362,"-2,022","4,433",0,12,1/369,-689,"2,653",0,6,1/442,"+1,981","4,280",0,10,1/428,"-2,699","6,052",0,15,1/403,-540,710,0,2,1/355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-02,火,いいえ,-734,"1,461",0,3,1/487,-369,"2,086",0,5,1/417,-822,653,0,1,1/653,"-1,269","3,526",0,11,1/321,+274,"1,229",0,5,1/246,"+1,608","1,380",0,2,1/690,"-1,574","4,582",0,12,1/382,-525,376,0,1,1/376,-702,"1,277",0,3,1/426,"+2,549","7,022",0,16,1/439,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-01,月,いいえ,"-2,299","5,004",0,13,1/385,"-2,328","2,397",0,5,1/479,-975,933,0,2,1/467,-262,385,0,1,1/385,"-1,493","3,900",0,10,1/390,-355,889,0,2,1/445,-520,"1,830",0,5,1/366,"+4,239","4,023",0,6,1/671,-899,"3,836",0,13,1/295,+121,653,0,1,1/653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-31,日,いいえ,"+1,289","4,490",0,10,1/449,"-1,462","2,131",0,4,1/533,-824,"1,441",0,3,1/480,-739,962,0,3,1/321,"-1,282","3,159",0,8,1/395,"-1,740","2,982",0,7,1/426,"+5,359","4,145",0,9,1/461,+88,"1,580",0,5,1/316,-139,173,0,1,1/173,-19,165,0,1,1/165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
