日付,曜日,特定日,531番台,,,,,,,532番台,,,,,,,533番台,,,,,,,535番台,,,,,,,536番台,,,,,,,537番台,,,,,,,538番台,,,,,,,550番台,,,,,,,551番台,,,,,,,552番台,,,,,,,553番台,,,,,,,555番台,,,,,,,556番台,,,,,,,557番台,,,,,,,558番台,,,,,,,560番台,,,,,,,561番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-06-11,木,いいえ,"+7,944","5,632",0,5,1/1126,0,-,"+1,436","3,445",0,5,1/689,19,3.0,-406,793,0,4,1/198,50,3.0,-721,560,0,1,1/560,53,3.0,-931,671,0,1,1/671,73,8.0,"+1,122","1,594",0,3,1/531,47,3.0,"-2,069","2,263",0,5,1/453,59,4.0,+179,"2,759",0,6,1/460,42,23.0,"-1,615","2,099",0,2,1/1050,63,2.0,"-1,287","2,030",0,3,1/677,64,1.0,-182,738,0,2,1/369,61,2.0,-206,134,0,0,-,64,1.0,+0,"5,103",0,15,1/340,55,2.0,-65,45,0,0,-,44,2.0,-280,"4,965",0,13,1/382,44,2.0,"+3,950","1,856",0,4,1/464,16,16.0,"-2,368","5,539",0,13,1/426,65,1.0
2026-06-10,水,いいえ,-178,"5,998",0,15,1/400,7,-,"+7,886","4,786",0,9,1/532,15,8.0,-512,318,0,0,-,62,5.0,-966,789,0,1,1/789,55,1.0,"-1,702","2,699",0,8,1/337,65,3.0,"-2,768","3,572",0,6,1/595,68,3.0,"-1,140","3,221",0,8,1/403,25,10.0,"-1,490","2,389",0,5,1/478,48,17.0,"-2,085","3,057",0,7,1/437,53,2.0,+349,"2,041",0,5,1/408,51,1.0,-335,412,0,1,1/412,70,2.0,-958,"2,916",0,3,1/972,54,1.0,"-1,587","2,267",0,3,1/756,77,7.0,"+1,471","3,502",0,7,1/500,29,4.0,"-2,250","3,354",0,8,1/419,50,2.0,+374,"1,533",0,4,1/383,31,2.0,"-2,156","8,193",0,18,1/455,57,2.0
2026-06-09,火,いいえ,"+7,355","6,745",0,10,1/675,0,-,"-2,968","4,249",0,7,1/607,61,2.0,-580,"2,242",0,7,1/320,59,3.0,-700,"1,474",0,3,1/491,32,14.0,"-1,157","4,881",0,10,1/488,56,4.0,-98,180,0,1,1/180,42,10.0,"+2,933","6,150",0,13,1/473,11,2.0,+73,"3,126",0,6,1/521,9,9.0,+854,"2,115",0,6,1/353,47,5.0,+20,"4,657",0,11,1/423,52,5.0,"-2,352","3,201",0,6,1/534,65,3.0,-866,807,0,1,1/807,62,1.0,"-1,652","2,360",0,3,1/787,75,7.0,-952,824,0,1,1/824,56,4.0,-78,"3,172",0,8,1/397,18,7.0,"-1,586","5,398",0,13,1/415,18,7.0,"-1,805","2,804",0,4,1/701,68,3.0
2026-06-06,土,はい,-493,"7,968",0,17,1/469,42,18.0,"+1,139","7,411",0,14,1/529,24,15.0,"-3,802","6,586",0,17,1/387,53,1.0,-204,"6,686",0,14,1/478,24,15.0,"-1,266","5,843",0,14,1/417,47,1.0,"-1,832","10,274",0,19,1/541,46,4.0,"-2,089","4,327",0,10,1/433,52,1.0,"+3,216","8,309",0,18,1/462,0,-,"-4,685","6,469",0,12,1/539,51,2.0,"-3,697","4,891",0,10,1/489,54,1.0,"-2,437","6,594",0,11,1/599,61,3.0,"-1,491","6,520",0,14,1/466,49,2.0,"-1,672","5,048",0,9,1/561,58,1.0,"-1,904","7,176",0,15,1/478,42,18.0,"+3,712","6,551",0,15,1/437,9,9.0,"+4,349","6,624",0,12,1/552,0,-,"-1,645","6,777",0,14,1/484,57,3.0
2026-06-05,金,いいえ,"-2,887","6,830",0,12,1/569,54,1.0,-986,"2,501",0,7,1/357,64,2.0,-908,"1,975",0,4,1/494,68,4.0,+60,"1,886",0,3,1/629,43,5.0,"-1,561","1,921",0,3,1/640,38,5.0,"-1,773","1,804",0,3,1/601,57,3.0,"-2,046","3,886",0,10,1/389,53,2.0,+287,"5,719",0,12,1/477,44,1.0,+703,"1,739",0,7,1/248,30,-,"+2,355","3,864",0,7,1/552,33,3.0,+288,"1,224",0,2,1/612,51,3.0,-524,"1,947",0,5,1/389,62,2.0,"-1,068","1,474",0,3,1/491,59,2.0,-86,61,0,0,-,45,1.0,"-2,759","3,054",0,3,1/1018,62,2.0,"-1,403","2,382",0,4,1/596,48,3.0,-890,"1,154",0,2,1/577,60,1.0
2026-06-04,木,いいえ,-925,"2,175",0,4,1/544,54,1.0,-214,240,0,1,1/240,53,7.0,-426,294,0,0,-,53,7.0,+160,684,0,2,1/342,42,3.0,"+9,957","4,113",0,5,1/823,15,-,-634,"2,419",0,5,1/484,46,4.0,+220,"1,200",0,4,1/300,39,3.0,"-3,137","4,970",0,8,1/621,66,8.0,-157,703,0,3,1/234,24,5.0,-503,"1,779",0,2,1/890,55,1.0,-433,"1,300",0,4,1/325,36,1.0,-310,818,0,3,1/273,58,1.0,"+1,891","2,118",0,7,1/303,42,3.0,-736,"1,315",0,3,1/438,35,11.0,"-1,597","2,721",0,5,1/544,57,2.0,+342,"1,740",0,4,1/435,19,4.0,-408,260,0,0,-,46,4.0
2026-06-03,水,はい,"-1,120","4,275",0,11,1/389,37,1.0,-66,49,0,0,-,42,4.0,-675,"3,107",0,6,1/518,65,8.0,-446,"4,329",0,9,1/481,38,1.0,"+1,077","2,005",0,4,1/501,37,1.0,"-1,214","1,426",0,2,1/713,44,2.0,-752,"3,310",0,8,1/414,51,7.0,-68,42,0,0,-,65,8.0,"+7,827","3,287",0,3,1/1096,7,-,-291,182,0,0,-,42,4.0,"+4,239","3,924",0,9,1/436,25,12.0,-410,256,0,0,-,57,3.0,-580,987,0,2,1/494,57,3.0,"+1,437","2,848",0,3,1/949,13,1.0,"-1,590","4,607",0,11,1/419,54,3.0,"+2,446","4,378",0,8,1/547,12,5.0,"+2,383","2,630",0,5,1/526,36,11.0
2026-06-02,火,いいえ,"+1,575","6,260",0,17,1/368,29,1.0,"+6,355","2,080",0,1,1/2080,28,13.0,"-1,349","4,529",0,11,1/412,74,9.0,"-1,086","3,675",0,7,1/525,57,3.0,+167,"4,312",0,15,1/287,35,2.0,+902,"2,446",0,6,1/408,35,2.0,"-1,569","2,318",0,3,1/773,45,10.0,"-2,485","1,903",0,2,1/952,59,2.0,"-1,402","2,061",0,3,1/687,57,3.0,"+4,984","3,038",0,6,1/506,15,5.0,-766,"1,978",0,5,1/396,65,6.0,"+1,806","1,253",0,4,1/313,51,2.0,"+1,843","3,232",0,7,1/462,33,4.0,"+3,561","3,882",0,12,1/324,10,-,-711,761,0,1,1/761,49,3.0,"-1,740","4,151",0,11,1/377,54,3.0,-66,47,0,0,-,46,1.0
2026-06-01,月,いいえ,"-1,882","4,378",0,7,1/625,52,9.0,-629,"1,980",0,4,1/495,38,1.0,"-1,092",830,0,2,1/415,76,17.0,-64,46,0,0,-,76,17.0,-72,50,0,0,-,34,5.0,-134,783,0,1,1/783,39,1.0,-88,53,0,0,-,22,5.0,-868,"6,603",0,14,1/472,42,3.0,-819,823,0,1,1/823,29,7.0,"+14,308","5,605",0,5,1/1121,13,-,-998,"1,428",0,2,1/714,59,4.0,-910,632,0,1,1/632,79,3.0,-84,"3,373",0,7,1/482,55,3.0,-266,"1,856",0,2,1/928,43,1.0,"-1,653","1,435",0,2,1/718,17,4.0,-750,"1,248",0,3,1/416,37,3.0,-913,680,0,1,1/680,29,7.0
2026-05-31,日,いいえ,"-2,303","9,341",0,20,1/467,44,2.0,"+9,263","3,289",0,2,1/1645,15,3.0,"-1,017","2,373",0,7,1/339,60,2.0,"-2,320","2,467",0,5,1/493,65,3.0,"+12,032","5,269",0,8,1/659,19,4.0,"-1,374","1,476",0,2,1/738,26,7.0,"+6,833","5,286",0,8,1/661,9,9.0,-914,"1,186",0,1,1/1186,55,11.0,"+1,166","5,991",0,19,1/315,12,2.0,-615,"2,280",0,6,1/380,62,2.0,-699,"5,852",0,15,1/390,42,2.0,"-1,104","1,945",0,4,1/486,73,8.0,"-1,181","1,137",0,2,1/569,58,3.0,-46,"3,279",0,9,1/364,40,14.0,"+3,654","8,158",0,22,1/371,0,-,-70,"2,167",0,5,1/433,12,2.0,"+11,166","5,567",0,5,1/1113,10,1.0
