日付,曜日,特定日,1076番台,,,,,1077番台,,,,,1078番台,,,,,1080番台,,,,,1081番台,,,,,1082番台,,,,,1083番台,,,,,1085番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-07-05,日,いいえ,"-1,193","3,696",9,14,1/161,-503,"1,842",6,5,1/167,"-1,499","2,662",7,5,1/222,+446,"5,754",27,13,1/144,+626,"2,096",9,11,1/105,-772,"4,532",15,15,1/151,+69,"2,299",7,11,1/128,"-2,078","5,241",13,18,1/169
2026-07-04,土,いいえ,-336,774,3,3,1/129,"-4,361","4,595",7,7,1/328,"-2,914","3,814",8,5,1/293,+960,"3,287",16,10,1/126,"+1,754","1,347",9,9,1/75,"-5,074","6,854",14,12,1/264,-267,"3,642",14,12,1/140,"+1,934","3,442",20,12,1/108
2026-07-03,金,はい,"+1,089","4,905",25,8,1/149,-426,276,0,0,-,"+3,297","1,334",14,9,1/58,"-2,211","2,206",3,4,1/315,+771,603,5,2,1/86,-949,722,1,0,1/722,+356,"1,284",5,6,1/117,"-1,586","2,120",4,6,1/212
2026-07-02,木,いいえ,-872,"2,344",8,2,1/234,+44,"1,113",4,6,1/111,+438,"1,285",6,6,1/107,"-1,019",852,1,2,1/284,"-1,667","5,116",18,8,1/197,-712,"1,485",4,3,1/212,-315,"1,457",4,4,1/182,"-3,028","4,098",9,6,1/273
2026-07-01,水,いいえ,-817,"3,035",11,5,1/190,"-1,215","1,848",4,5,1/205,-789,"2,344",6,7,1/180,"+3,089","2,277",19,9,1/81,+668,"2,055",10,6,1/128,"-1,779","1,141",0,1,1/1141,-272,839,4,3,1/120,"+1,824","2,034",15,4,1/107
2026-06-30,火,いいえ,"+1,734","2,166",14,6,1/108,"+1,490","3,700",21,9,1/123,"+1,576","7,578",40,13,1/143,+739,604,5,1,1/101,"-3,020","5,317",12,12,1/222,+83,"3,841",16,11,1/142,-666,"4,504",16,12,1/161,+743,"7,378",35,16,1/145
2026-06-29,月,いいえ,+589,"2,217",11,6,1/130,-433,273,0,0,-,"-2,159","1,782",1,3,1/446,+495,692,3,5,1/87,"+4,483","1,809",19,11,1/60,"+1,395","1,273",9,6,1/85,-849,841,1,3,1/210,+263,"2,510",11,9,1/126
2026-06-28,日,いいえ,+886,"1,471",9,5,1/105,"-2,549","6,036",20,8,1/216,"-3,761","7,370",19,18,1/199,-346,"4,241",16,12,1/151,-126,979,5,4,1/109,"+1,156","4,211",22,10,1/132,"-4,691","5,337",10,7,1/314,-385,"4,349",18,9,1/161
2026-06-27,土,いいえ,+884,"3,699",18,12,1/123,"-4,973","8,883",22,17,1/228,"+2,333","4,519",26,14,1/113,+830,563,4,4,1/70,-952,"1,475",3,2,1/295,"+1,607","2,179",15,5,1/109,"-2,117","4,391",13,10,1/191,"+2,316","5,991",28,27,1/109
2026-06-26,金,はい,-841,"6,091",22,15,1/165,-275,292,1,0,1/292,-915,"2,958",9,9,1/164,"-2,508","3,248",5,8,1/250,"+2,191","3,617",21,12,1/110,-628,"9,481",33,31,1/148,-100,"3,213",13,9,1/146,"-3,639","6,037",13,16,1/208
2026-06-25,木,いいえ,-296,649,3,1,1/162,"+3,652","4,188",30,10,1/105,"+4,131","1,989",21,8,1/69,"-2,998","5,837",16,11,1/216,+432,"1,010",5,4,1/112,-379,"1,908",6,6,1/159,+253,"2,680",11,9,1/134,-266,991,6,0,1/165
2026-06-24,水,いいえ,-698,"4,257",16,10,1/164,"-2,841","4,034",9,7,1/252,+377,"2,924",15,5,1/146,"+1,755","2,018",13,8,1/96,+955,"1,448",8,7,1/97,-391,244,0,0,-,"-3,872","4,470",8,7,1/298,-617,"1,436",4,4,1/180
2026-06-23,火,はい,"-4,762","3,829",3,6,1/425,"+1,220",700,7,1,1/88,"+1,574","2,810",15,11,1/108,"-1,392","1,245",1,2,1/415,+33,"1,055",5,2,1/151,-487,447,1,0,1/447,-227,"1,414",5,4,1/157,-397,255,0,0,-
2026-06-22,月,いいえ,+128,"7,914",35,17,1/152,-257,152,0,0,-,"+1,505","1,162",8,7,1/77,-272,678,3,2,1/136,+0,977,4,3,1/140,-293,"1,530",6,3,1/170,-27,947,5,4,1/105,-135,"2,161",9,4,1/166
2026-06-21,日,いいえ,-951,"2,043",7,2,1/227,-206,"3,595",16,6,1/163,"+1,963","2,264",17,4,1/108,"-1,113","4,325",13,15,1/154,"-4,088","5,310",13,6,1/279,"-1,103","2,314",6,5,1/210,-833,"1,520",3,5,1/190,"-1,050","1,630",3,5,1/204
2026-06-20,土,いいえ,"-1,318","2,650",7,7,1/189,"+4,527","3,146",24,16,1/79,"-3,078","6,502",20,12,1/203,+941,"3,609",19,8,1/134,"-4,128","4,861",9,6,1/324,"+1,014","1,075",7,5,1/90,"-4,693","6,062",12,11,1/264,+45,"5,267",22,15,1/142
2026-06-19,金,いいえ,+968,"4,730",22,11,1/143,"-2,156","5,721",16,19,1/163,+91,622,3,2,1/124,-222,925,5,2,1/132,"-1,975","2,504",5,5,1/250,"+1,931","2,693",17,8,1/108,"+5,686","4,959",35,24,1/84,"+5,728","3,950",37,8,1/88
2026-06-18,木,いいえ,+620,"3,810",17,11,1/136,"-5,431","4,624",4,5,1/514,-929,"1,695",4,4,1/212,"-1,920","2,445",5,3,1/306,"-2,063","3,204",9,3,1/267,"-1,601","1,371",1,3,1/343,+568,"2,416",12,6,1/134,+867,"1,235",8,3,1/112
2026-06-17,水,いいえ,-538,"3,277",12,7,1/172,+138,958,4,3,1/137,"+2,896","4,545",29,12,1/111,"-1,051",904,1,2,1/301,+614,"1,987",8,9,1/117,"+2,711","1,990",16,8,1/83,"+1,290","3,768",18,13,1/122,+119,"1,867",8,6,1/133
2026-06-16,火,はい,+943,"5,043",27,10,1/136,+873,"1,643",8,7,1/110,"+1,414",698,7,3,1/70,"+2,669","3,445",20,14,1/101,-312,"4,530",19,9,1/162,"+1,331","3,262",18,8,1/125,"+1,079","1,786",10,7,1/105,"+1,130","5,976",29,15,1/136
2026-06-15,月,いいえ,+251,"3,043",12,10,1/138,+805,"2,803",12,10,1/127,-474,838,3,4,1/120,-572,"1,893",7,2,1/210,+291,"1,931",8,7,1/129,"-1,049",773,0,2,1/387,"+3,155","2,200",15,17,1/69,"-4,057","4,212",6,7,1/324
2026-06-14,日,いいえ,"-1,281","3,355",10,7,1/197,-628,"3,704",14,8,1/168,-642,"2,771",11,4,1/185,"-1,078","6,373",22,18,1/159,"-1,687","4,510",13,14,1/167,"-3,846","3,940",5,7,1/328,"-5,472","4,875",4,8,1/406,+638,"3,082",15,7,1/140
2026-06-13,土,はい,+698,"1,593",9,4,1/123,-736,"10,162",38,27,1/156,"+1,263","1,486",8,10,1/83,"+4,316","9,867",53,28,1/122,-443,347,0,1,1/347,+860,"5,271",25,11,1/146,"-1,638","6,668",23,15,1/175,-113,"4,256",19,8,1/158
2026-06-12,金,いいえ,-955,"3,192",13,3,1/200,+575,"1,404",8,2,1/140,-171,584,3,1,1/146,"-1,861","4,212",13,7,1/211,+825,"5,292",25,13,1/139,+785,908,6,2,1/114,"+1,577","1,492",12,3,1/99,"+3,178","4,027",26,15,1/98
2026-06-11,木,いいえ,"+4,032","3,449",29,8,1/93,-650,"1,628",5,3,1/204,-184,"1,374",4,6,1/137,"-1,712","3,815",10,11,1/182,+607,560,4,2,1/93,"-1,314","4,293",13,14,1/159,"-3,700","3,524",4,7,1/320,"-3,202","3,785",6,8,1/270
2026-06-10,水,いいえ,"-1,261",991,1,1,1/496,"-2,139","5,512",15,15,1/184,-244,163,0,0,-,-125,246,1,0,1/246,"-2,817","3,814",8,6,1/272,"-2,113","1,561",1,0,1/1561,-661,"1,805",6,4,1/181,-30,"2,922",12,6,1/162
2026-06-09,火,いいえ,"+1,115","1,051",8,3,1/96,"+1,113","1,747",12,3,1/116,"+3,301","1,705",15,13,1/61,"+2,075","3,194",19,11,1/106,"+1,256","4,641",23,15,1/122,"-1,053","6,202",24,12,1/172,"-3,702","4,988",10,8,1/277,+727,"4,240",20,11,1/137
