日付,曜日,特定日,1066番台,,,,,1067番台,,,,,1068番台,,,,,1070番台,,,,,1071番台,,,,,1072番台,,,,,1073番台,,,,,1075番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-07-05,日,いいえ,"+1,697","4,569",22,19,1/111,"+1,063","3,584",18,11,1/124,+244,"4,365",21,7,1/156,"-6,864","8,426",13,18,1/272,"-3,758","7,789",24,10,1/229,"+1,044","2,388",15,3,1/133,+829,"5,321",28,9,1/144,"+1,227","3,190",17,8,1/128
2026-07-04,土,いいえ,+766,"2,490",14,5,1/131,"-5,310","6,848",13,12,1/274,-333,"3,345",13,9,1/152,"-1,830","5,813",20,10,1/194,"-4,300","3,520",3,4,1/503,"+2,715","2,160",19,4,1/94,+593,"1,604",9,4,1/123,"-5,925","8,375",17,18,1/239
2026-07-03,金,はい,-970,756,1,0,1/756,-580,424,0,1,1/424,+866,"1,727",10,3,1/133,-622,"1,905",7,3,1/191,+453,669,3,4,1/96,"+2,055","2,159",15,6,1/103,+37,"1,391",5,6,1/126,+116,"1,836",9,4,1/141
2026-07-02,木,いいえ,"-2,327","7,855",27,20,1/167,-49,"1,694",6,6,1/141,"-1,849","4,001",11,9,1/200,"-3,019","3,683",7,4,1/335,"+4,350","1,814",22,5,1/67,-402,"3,245",13,5,1/180,+133,535,3,1,1/134,-746,"1,239",3,3,1/207
2026-07-01,水,いいえ,+589,"7,032",32,17,1/144,-451,304,0,0,-,-716,"1,264",4,1,1/253,+345,"1,205",6,3,1/134,"+1,580","3,394",18,10,1/121,-366,213,0,0,-,"+1,333","1,550",10,6,1/97,+68,"1,615",7,3,1/162
2026-06-30,火,いいえ,"-1,830","4,680",16,8,1/195,"-1,221","6,031",22,19,1/147,"+1,007","5,349",22,20,1/127,"-2,350","6,703",19,19,1/176,"-1,802","2,930",8,4,1/244,+218,"3,766",15,13,1/135,"-2,406","4,978",13,13,1/191,"+2,711","3,622",24,9,1/110
2026-06-29,月,いいえ,+145,"1,931",10,2,1/161,-821,"3,670",14,6,1/184,-74,728,4,2,1/121,"+2,613","3,569",26,4,1/119,"+1,947","1,626",12,6,1/90,-359,597,2,1,1/199,"-1,020","2,490",8,4,1/208,-559,"1,525",5,2,1/218
2026-06-28,日,いいえ,"-1,643","4,867",14,14,1/174,-49,474,2,3,1/95,+442,"4,669",19,18,1/126,"-1,270","4,689",14,14,1/167,+638,"3,788",18,9,1/140,-70,"4,551",21,10,1/147,"-1,532","2,327",6,3,1/259,"-1,667","5,588",19,11,1/186
2026-06-27,土,いいえ,+531,"4,523",21,11,1/141,+685,"2,467",11,10,1/117,"+1,328","1,391",9,6,1/93,-490,"1,577",5,4,1/175,"-2,286","5,570",15,18,1/169,"-1,000","3,134",11,5,1/196,"-2,819","4,883",12,9,1/233,-300,"1,902",6,6,1/159
2026-06-26,金,はい,"-1,572","3,704",12,5,1/218,"+1,976","4,376",24,14,1/115,"+2,192","3,153",18,13,1/102,+478,"3,202",17,3,1/160,+264,797,4,3,1/114,"-1,499","2,479",7,3,1/248,+115,"3,101",12,9,1/148,"-1,851","2,915",7,5,1/243
2026-06-25,木,いいえ,+131,709,4,0,1/177,"-3,452","6,587",17,16,1/200,-140,"1,465",6,3,1/163,"-1,424","2,479",8,2,1/248,"+1,012","2,165",12,7,1/114,"+4,634","3,333",27,14,1/81,"-3,346","5,875",16,11,1/218,-197,631,3,2,1/126
2026-06-24,水,いいえ,-269,415,1,1,1/208,-322,202,0,0,-,-738,"7,367",29,20,1/150,+449,419,3,2,1/84,+554,240,3,0,1/80,-426,"2,339",7,9,1/146,+875,544,5,2,1/78,"+1,719","4,486",25,12,1/121
2026-06-23,火,はい,"+2,052","2,056",15,6,1/98,"+1,627","2,182",13,10,1/95,-269,205,0,0,-,+496,"1,646",9,4,1/127,+955,"3,530",19,7,1/136,"-2,093","3,606",11,3,1/258,"-1,811","2,152",4,3,1/307,-962,"5,377",22,9,1/173
2026-06-22,月,いいえ,"-1,093","5,753",20,18,1/151,+42,851,4,1,1/170,-343,203,0,0,-,"+1,138","1,544",9,7,1/97,-404,"1,861",6,5,1/169,-50,"3,224",12,11,1/140,-604,"3,806",16,6,1/173,-253,144,0,0,-
2026-06-21,日,いいえ,-933,"2,467",9,3,1/206,+518,"4,340",21,10,1/140,-68,"1,593",7,3,1/159,-239,"2,058",8,5,1/158,"+1,448","1,229",10,3,1/95,-595,"2,791",10,6,1/174,"-2,261","3,809",8,10,1/212,+991,"3,329",16,11,1/123
2026-06-20,土,いいえ,"-3,114","6,513",16,19,1/186,"-2,161","3,346",7,8,1/223,"+6,503","2,819",30,14,1/64,-581,"4,948",16,18,1/146,-326,996,5,3,1/125,+0,"2,240",10,5,1/149,+851,"2,447",13,6,1/129,"-1,156","3,211",9,10,1/169
2026-06-19,金,いいえ,-133,"3,267",14,7,1/156,-420,260,0,0,-,+838,"2,335",13,5,1/130,"+3,296","3,298",24,11,1/94,"+2,189","2,575",18,7,1/103,-453,272,0,0,-,"+3,888","1,988",19,10,1/69,-580,440,0,1,1/440
2026-06-18,木,いいえ,"+3,063","1,692",16,8,1/71,"-2,226","3,655",8,10,1/203,"-1,091","1,904",4,5,1/212,"-2,820","4,580",13,4,1/269,-61,"2,127",8,5,1/164,+288,"1,273",6,3,1/141,-418,"3,206",13,5,1/178,+510,"2,652",14,4,1/147
2026-06-17,水,いいえ,"+1,752","2,702",17,8,1/108,+349,"1,125",6,2,1/141,"-1,920","5,215",16,14,1/174,"-2,816","4,128",9,9,1/229,-820,670,1,0,1/670,+676,679,5,2,1/97,+32,"8,274",37,16,1/156,"-1,795","3,769",13,4,1/222
2026-06-16,火,はい,+96,"6,803",29,16,1/151,-16,"1,829",7,6,1/141,"-1,637","5,432",20,6,1/209,"+2,218","2,512",17,9,1/97,"+1,698","2,458",16,7,1/107,"+2,738","3,969",25,12,1/107,"-4,407","4,796",8,9,1/282,-426,255,0,0,-
