日付,曜日,特定日,1401番台,,,,,,,1402番台,,,,,,,1403番台,,,,,,,1427番台,,,,,,,1428番台,,,,,,,1429番台,,,,,,,1430番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-07-03,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-472,"4,074",15,8,1/177.1,-,2.31,-39,"1,770",7,4,1/160.9,-,3.08,-643,"1,309",3,2,1/261.8,-,2.76,+962,"5,695",25,18,1/132.4,-,3.60
2026-07-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-392,676,1,1,1/338,1/5.51,3.04,"-1,000","1,433",1,4,1/287,1/5.74,2.89,+411,"1,578",9,1,1/158,1/5.89,2.78,-303,233,0,0,-,1/6.51,3.21
2026-07-01,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-498,826,2,1,1/275,1/6.52,2.96,-904,"4,687",13,16,1/162,1/5.97,3.15,-397,"1,575",5,2,1/225,1/5.75,2.66,-899,"5,031",15,14,1/173,1/5.86,2.60
2026-06-30,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-391,748,1,3,1/187,1/6.16,3.43,-500,911,3,0,1/304,1/6.73,2.73,+207,"2,309",10,6,1/144,1/6.03,3.22,-103,"1,992",7,4,1/181,1/5.56,2.83
2026-06-29,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+798,"3,975",18,9,1/147,1/5.62,2.81,+112,886,4,2,1/148,1/5.92,3.33,"-1,084","1,549",1,4,1/310,1/5.61,2.78,"+1,402","2,348",15,7,1/107,1/6.14,3.95
2026-06-28,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+306,"6,912",25,26,1/136,1/5.97,3.94,-301,"1,606",6,3,1/178,1/6.33,2.93,-397,"2,073",7,3,1/207,1/5.77,2.54,"+1,616","8,198",33,36,1/119,1/5.99,4.86
2026-06-27,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-590,"1,668",4,5,1/185,1/6.11,3.13,-191,"2,624",9,8,1/154,1/5.98,3.23,+113,"2,746",13,5,1/153,1/6.37,2.79,-391,"4,985",15,15,1/166,1/5.57,2.83
2026-06-26,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+208,"3,865",17,8,1/155,1/6.03,2.63,-301,276,0,0,-,1/5.56,3.16,-304,"1,109",3,2,1/222,1/5.59,2.97,+509,"3,109",14,8,1/141,1/5.87,3.17
2026-06-25,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-598,921,2,1,1/307,1/6.38,2.86,-498,"1,061",2,2,1/265,1/5.61,2.93,-297,818,1,3,1/205,1/5.27,3.35,-500,676,1,1,1/338,1/6.20,3.04
2026-06-24,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-298,"2,187",6,8,1/156,1/5.79,3.43,+112,"2,953",14,4,1/164,1/6.17,2.45,"+3,098","6,719",36,26,1/108,1/6.02,4.94,-504,"1,156",4,0,1/289,1/6.34,2.57
