日付,曜日,特定日,1511番台,,,,,,,1512番台,,,,,,,1513番台,,,,,,,1514番台,,,,,,,1515番台,,,,,,,1516番台,,,,,,,1517番台,,,,,,,1518番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-07-02,木,いいえ,"-1,298","2,915",0,7,1/416,47,28.0,+113,142,0,1,1/142,1,-,+308,635,0,3,1/212,1,-,+110,"2,925",0,6,1/488,10,9.0,+712,"2,891",0,6,1/482,19,9.0,+116,215,0,1,1/215,10,9.0,-392,"2,110",0,4,1/528,62,15.0,-,-,-,-,-,-,-
2026-07-01,水,はい,+913,"6,069",0,11,1/552,16,4.0,"+2,613","8,776",0,24,1/366,5,-,+217,"5,334",0,12,1/445,6,1.0,-796,"3,734",0,10,1/373,21,5.0,"-1,899","2,513",0,3,1/838,21,5.0,-594,"4,543",0,10,1/454,12,6.0,"-2,394","4,555",0,12,1/380,63,42.0,-,-,-,-,-,-,-
2026-06-30,火,いいえ,-190,"1,454",0,5,1/291,60,16.0,-103,"2,250",0,6,1/375,13,2.0,-790,"1,752",0,4,1/438,8,-,+208,881,0,3,1/294,19,6.0,+0,370,0,1,1/370,11,1.0,+311,"2,975",0,9,1/331,10,2.0,+712,"3,312",0,7,1/473,44,25.0,-,-,-,-,-,-,-
2026-06-29,月,いいえ,-990,"3,067",0,7,1/438,66,32.0,+409,"1,614",0,5,1/323,24,9.0,+108,247,0,1,1/247,6,-,+0,403,0,2,1/202,26,2.0,"-1,693","3,964",0,9,1/440,13,7.0,+316,158,0,1,1/158,15,2.0,-899,"3,374",0,6,1/562,34,8.0,-,-,-,-,-,-,-
2026-06-28,日,いいえ,-98,"1,474",0,4,1/369,32,8.0,+795,"5,629",0,18,1/313,38,4.0,+711,"1,918",0,3,1/639,6,-,"-1,191","3,001",0,6,1/500,34,2.0,+800,"4,204",0,8,1/526,6,-,"+3,592","6,430",0,16,1/402,24,7.0,+413,"4,826",0,10,1/483,17,11.0,-,-,-,-,-,-,-
2026-06-27,土,はい,-797,"1,914",0,5,1/383,21,13.0,"-1,300","1,480",0,3,1/493,54,10.0,-790,649,0,2,1/325,8,-,"+3,504","5,915",0,12,1/493,34,13.0,-596,527,0,1,1/527,21,13.0,"-1,090","2,633",0,6,1/439,70,16.0,-499,572,0,1,1/572,44,10.0,-,-,-,-,-,-,-
2026-06-26,金,いいえ,+113,716,0,2,1/358,19,19.0,+205,666,0,2,1/333,44,19.0,"+7,095","3,613",0,2,1/1807,0,-,-892,"1,968",0,3,1/656,92,34.0,"+2,215","2,582",0,4,1/646,25,6.0,-504,491,0,1,1/491,58,5.0,"-1,387","1,496",0,2,1/748,53,9.0,-,-,-,-,-,-,-
2026-06-25,木,いいえ,"+1,822","1,650",0,3,1/550,18,11.0,-198,559,0,3,1/186,43,5.0,-390,643,0,4,1/161,7,-,-595,985,0,3,1/328,69,12.0,"+2,313","3,555",0,6,1/593,38,15.0,+0,274,0,1,1/274,57,14.0,-502,599,0,2,1/300,23,5.0,-,-,-,-,-,-,-
2026-06-24,水,はい,"-3,292","3,872",0,7,1/553,26,13.0,+0,647,0,2,1/324,32,6.0,"+6,032","3,967",0,5,1/793,5,-,-499,"2,213",0,6,1/369,62,3.0,-199,227,0,1,1/227,59,27.0,-700,"1,424",0,2,1/712,74,12.0,-193,"3,718",0,7,1/531,13,8.0,-,-,-,-,-,-,-
2026-06-23,火,いいえ,-904,"1,341",0,2,1/671,12,1.0,"-1,501","5,412",0,13,1/416,29,13.0,-496,522,0,2,1/261,16,4.0,-98,275,0,1,1/275,49,20.0,"+2,803","2,352",0,6,1/392,52,3.0,-599,490,0,1,1/490,64,12.0,"+1,909","2,110",0,3,1/703,11,-,-,-,-,-,-,-,-
2026-06-22,月,いいえ,"+2,217","2,643",0,4,1/661,0,-,-101,340,0,1,1/340,15,10.0,"+2,801","4,347",0,11,1/395,5,5.0,-499,444,0,1,1/444,49,18.0,"-1,004","4,319",0,12,1/360,86,25.0,-504,502,0,1,1/502,61,12.0,+0,510,0,2,1/255,31,16.0,-,-,-,-,-,-,-
2026-06-21,日,はい,+0,"1,734",0,3,1/578,2,-,-701,630,0,1,1/630,12,1.0,+507,"3,584",0,11,1/326,11,9.0,"-1,901","1,938",0,4,1/485,51,26.0,"-2,085","4,558",0,8,1/570,84,33.0,-699,"1,721",0,3,1/574,25,3.0,-795,"2,108",0,5,1/422,22,10.0,-,-,-,-,-,-,-
2026-06-20,土,いいえ,-699,"1,894",0,5,1/379,8,6.0,-299,502,0,1,1/502,2,-,"+3,216","7,845",0,14,1/560,10,2.0,-590,739,0,2,1/370,20,10.0,"-1,996","5,406",0,10,1/541,80,58.0,-390,"3,574",0,9,1/397,20,10.0,"-1,190","3,404",0,5,1/681,22,2.0,-,-,-,-,-,-,-
2026-06-19,金,いいえ,+197,"7,179",0,23,1/312,1,-,+509,931,0,1,1/931,1,-,-97,"2,042",0,3,1/681,34,12.0,"+1,207","2,592",0,6,1/432,13,8.0,"-1,193","3,717",0,7,1/531,76,42.0,-896,"4,739",0,10,1/474,22,9.0,+0,495,0,2,1/248,5,4.0,-,-,-,-,-,-,-
2026-06-18,木,いいえ,"+4,701","4,389",0,8,1/549,5,4.0,+309,"1,536",0,4,1/384,1,-,-393,371,0,1,1/371,30,10.0,-403,"3,555",0,7,1/508,34,4.0,"-1,093","1,568",0,3,1/523,67,33.0,+210,323,0,1,1/323,20,6.0,+204,"2,204",0,7,1/315,14,9.0,-,-,-,-,-,-,-
2026-06-17,水,はい,-991,847,0,2,1/424,17,6.0,"+2,621","4,886",0,9,1/543,5,-,"-1,191","1,576",0,3,1/525,28,7.0,+405,"1,238",0,3,1/413,21,4.0,+510,"1,984",0,4,1/496,53,18.0,+202,538,0,2,1/269,35,7.0,-304,"2,176",0,6,1/363,11,6.0,-,-,-,-,-,-,-
2026-06-16,火,いいえ,"+4,120","5,308",0,8,1/664,5,-,+801,"1,456",0,5,1/291,6,1.0,+403,514,0,2,1/257,15,1.0,-504,529,0,2,1/265,48,17.0,"-1,192","1,931",0,4,1/483,75,27.0,-590,494,0,1,1/494,31,16.0,+112,"1,654",0,4,1/414,14,8.0,-,-,-,-,-,-,-
2026-06-15,月,いいえ,"+2,401","2,587",0,3,1/862,14,2.0,-302,360,0,1,1/360,12,-,-102,429,0,1,1/429,26,4.0,-785,"2,532",0,6,1/422,30,2.0,-598,507,0,1,1/507,61,31.0,"+2,617","2,450",0,4,1/613,28,2.0,"+1,204",838,0,2,1/419,22,8.0,-,-,-,-,-,-,-
2026-06-14,日,はい,-191,"2,703",0,6,1/451,16,11.0,"+2,126","6,611",0,13,1/509,5,-,"+9,814","8,810",0,17,1/518,18,2.0,"+1,013","5,556",0,13,1/427,18,2.0,-592,860,0,2,1/430,48,15.0,"-1,003","5,644",0,10,1/564,55,7.0,"-1,495","2,027",0,5,1/405,33,15.0,-,-,-,-,-,-,-
2026-06-13,土,いいえ,"+6,997","7,580",0,19,1/399,9,2.0,-393,838,0,3,1/279,7,-,"-1,389","1,814",0,4,1/454,53,13.0,-190,"3,391",0,6,1/565,40,10.0,"-1,384","2,075",0,5,1/415,17,8.0,"-1,190","2,835",0,5,1/567,40,10.0,+406,"1,704",0,4,1/426,30,13.0,-,-,-,-,-,-,-
2026-06-12,金,いいえ,-597,643,0,1,1/643,39,7.0,"+6,218","5,452",0,9,1/606,0,-,-188,"3,546",0,7,1/507,31,10.0,"-1,085","1,473",0,3,1/491,47,8.0,-499,417,0,1,1/417,10,10.0,-785,"3,710",0,8,1/464,21,11.0,-701,882,0,3,1/294,32,1.0,-,-,-,-,-,-,-
2026-06-11,木,はい,-896,683,0,1,1/683,30,7.0,-186,"3,442",0,8,1/430,7,-,-790,"1,547",0,3,1/516,23,3.0,+209,"1,218",0,3,1/406,51,21.0,+0,739,0,2,1/370,20,2.0,"-1,005","1,409",0,3,1/470,13,6.0,"+3,298","2,618",0,4,1/655,18,5.0,-,-,-,-,-,-,-
2026-06-10,水,いいえ,+0,634,0,1,1/634,22,4.0,+910,"3,863",0,9,1/429,6,6.0,+107,"1,593",0,6,1/266,18,2.0,"-1,300","1,388",0,3,1/463,54,4.0,+203,"4,369",0,10,1/437,16,10.0,"+3,712","5,051",0,6,1/842,0,-,"-1,297","3,046",0,10,1/305,50,28.0,-,-,-,-,-,-,-
2026-06-09,火,いいえ,"-1,297","1,748",0,4,1/437,24,3.0,-496,"3,113",0,7,1/445,19,4.0,-697,"1,958",0,5,1/392,20,1.0,+801,"5,976",0,13,1/460,21,1.0,-97,964,0,3,1/321,15,8.0,-491,"5,531",0,12,1/461,7,-,-990,"1,252",0,2,1/626,20,1.0,-,-,-,-,-,-,-
2026-06-07,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-101,"3,280",0,7,1/469,54,39.0,+204,"7,133",0,15,1/476,14,10.0,-598,"1,887",0,3,1/629,4,-,-198,256,0,1,1/256,15,1.0,"-2,392","3,677",0,9,1/409,97,43.0
2026-06-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-198,"2,169",0,5,1/434,34,4.0,"+1,208","5,875",0,12,1/490,30,13.0,"+1,704","4,839",0,8,1/605,1,-,"-1,298","2,031",0,4,1/508,17,16.0,"-2,609","3,025",0,4,1/756,97,63.0
2026-06-05,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,087","4,224",0,10,1/422,32,18.0,-594,"2,221",0,8,1/278,44,12.0,+0,266,0,1,1/266,5,-,+209,"3,965",0,14,1/283,14,9.0,-97,"2,352",0,6,1/392,94,50.0
2026-06-04,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,204","2,227",0,4,1/557,29,6.0,"-1,987","2,808",0,6,1/468,41,12.0,+302,"5,289",0,15,1/353,8,-,+604,"1,977",0,5,1/395,23,15.0,-899,"4,601",0,10,1/460,95,54.0
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+310,541,0,1,1/541,16,-,+108,"6,807",0,16,1/425,31,13.0,+404,"1,694",0,4,1/424,18,2.0,+512,887,0,2,1/444,32,1.0,"-1,494","2,605",0,6,1/434,96,64.0
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,795","4,254",0,8,1/532,26,-,+615,"5,750",0,11,1/523,40,12.0,+907,"1,685",0,5,1/337,28,2.0,"+6,683","7,727",0,17,1/455,40,12.0,-299,"2,709",0,8,1/339,94,54.0
2026-06-01,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,088","1,332",0,4,1/333,50,1.0,-391,"1,868",0,5,1/374,49,1.0,"+1,301","5,814",0,10,1/581,48,-,"-1,302","2,424",0,7,1/346,96,2.0,-187,"6,822",0,19,1/359,94,44.0
2026-05-31,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,821","7,304",0,18,1/406,42,12.0,-899,"1,726",0,4,1/432,46,4.0,+95,"6,786",0,16,1/424,30,-,-896,"2,559",0,8,1/320,89,5.0,"-1,602","3,366",0,6,1/561,84,38.0
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-191,"5,556",0,16,1/347,62,5.0,+196,"8,158",0,18,1/453,55,9.0,"-1,497","3,431",0,8,1/429,46,-,-996,891,0,2,1/446,87,25.0,"-2,301","3,543",0,8,1/443,57,2.0
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-700,"2,271",0,6,1/379,56,6.0,-192,"3,360",0,11,1/305,60,2.0,-998,"2,265",0,5,1/453,32,-,"-1,298","2,711",0,7,1/387,58,2.0,"-1,497","2,558",0,6,1/426,50,18.0
2026-05-28,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-298,728,0,2,1/364,40,6.0,"-1,198",941,0,1,1/941,58,11.0,-890,"2,236",0,4,1/559,25,-,"-1,087","3,352",0,6,1/559,34,9.0,"-1,490","2,732",0,5,1/546,47,7.0
2026-05-27,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,687","3,310",0,8,1/414,45,7.0,-197,"1,637",0,3,1/546,55,10.0,-497,"1,973",0,5,1/395,24,-,"-1,192","4,092",0,9,1/455,33,9.0,-999,"4,244",0,10,1/424,38,5.0
2026-05-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-699,"2,110",0,6,1/352,37,3.0,+308,"2,249",0,7,1/321,57,20.0,"-1,004","5,046",0,12,1/421,22,-,"-1,385","1,054",0,2,1/527,29,7.0,-999,"3,476",0,11,1/316,34,5.0
2026-05-25,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-400,"1,855",0,5,1/371,45,10.0,-390,346,0,1,1/346,59,14.0,"+4,201","6,101",0,12,1/508,14,-,+0,364,0,1,1/364,27,13.0,"+1,698","3,612",0,7,1/516,35,8.0
