日付,曜日,特定日,1214番台,,,,,1215番台,,,,,1216番台,,,,,1217番台,,,,,1218番台,,,,,1219番台,,,,,1317番台,,,,,1318番台,,,,,1319番台,,,,,1422番台,,,,,1423番台,,,,,1424番台,,,,,1425番台,,,,,1426番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-07-03,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-372,"5,019",16,18,1/147.6,+277,"1,794",8,5,1/138.0,-270,309,0,1,1/309.0,"+1,475","7,149",35,16,1/140.2,-89,440,1,2,1/146.7
2026-07-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-392,"2,505",10,4,1/179,+607,"2,864",14,6,1/143,-300,311,0,0,-,-99,"3,188",13,6,1/168,-198,"1,048",3,2,1/210
2026-07-01,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+908,"5,723",26,13,1/147,-503,"3,139",10,10,1/157,+0,"1,766",7,4,1/161,-595,"1,744",4,5,1/194,"+3,414","7,374",35,34,1/107
2026-06-30,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+516,"3,544",15,12,1/131,-796,"3,883",11,11,1/177,-592,"2,131",7,5,1/178,-296,"1,583",5,3,1/198,-594,"1,395",3,3,1/233
2026-06-29,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-596,909,1,3,1/227,"+1,098","4,135",19,9,1/148,-700,"2,141",6,6,1/178,+112,"1,060",4,1,1/212,+207,"2,515",10,5,1/168
2026-06-28,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+410,"6,396",26,18,1/145,-394,"1,809",6,3,1/201,+708,"7,642",30,26,1/136,-97,"5,502",20,18,1/145,-900,"2,763",4,11,1/184
2026-06-27,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-599,"3,273",12,2,1/234,+314,"7,290",25,28,1/138,-896,"4,317",11,12,1/188,+307,"6,721",24,26,1/134,-994,"4,398",14,11,1/176
2026-06-26,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-894,"2,054",4,5,1/228,-195,"1,671",5,5,1/167,-296,"3,470",11,8,1/183,+406,"5,276",19,20,1/135,+711,"5,799",26,17,1/135
2026-06-25,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"3,879",16,9,1/155,-704,"1,885",4,5,1/209,+311,"5,219",20,21,1/127,"+4,005","6,709",38,25,1/106,-395,525,1,0,1/525
2026-06-24,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+4,307","8,253",43,34,1/107,"+2,405","6,938",32,28,1/116,"-1,304","5,217",14,16,1/174,+112,"3,135",15,5,1/157,-104,"4,764",16,18,1/140
