日付,曜日,特定日,1401番台,,,,,1402番台,,,,,1403番台,,,,,1404番台,,,,,1405番台,,,,,1406番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-07-03,金,いいえ,-450,664,1,1,1/332.0,"+1,428","5,603",28,14,1/133.4,-579,"6,528",21,22,1/151.8,-677,"3,814",12,10,1/173.4,-251,"1,387",5,2,1/198.1,-724,"1,706",3,6,1/189.6
2026-07-02,木,いいえ,-593,780,1,1,1/390,-191,"1,159",3,4,1/166,+110,"1,176",4,3,1/168,-394,970,3,2,1/194,-592,423,0,0,-,-192,"3,481",12,6,1/193
2026-07-01,水,はい,-295,"6,248",22,18,1/156,+604,"4,723",22,9,1/152,-498,"1,454",4,1,1/291,"-1,090","2,512",8,3,1/228,+207,"2,161",9,7,1/135,-497,"2,317",8,3,1/211
2026-06-30,火,いいえ,-394,"2,613",9,7,1/163,-704,"3,546",13,4,1/209,-501,"1,983",6,4,1/198,-797,"2,692",6,7,1/207,"+1,005","5,522",25,15,1/138,+603,"1,321",8,2,1/132
2026-06-29,月,いいえ,"+1,915","7,446",38,17,1/135,-197,"2,011",8,3,1/183,"+2,215","6,390",31,22,1/121,-501,"1,216",3,2,1/243,-195,971,4,0,1/243,-300,"2,841",12,6,1/158
2026-06-28,日,いいえ,"+1,506","8,336",37,24,1/137,"-1,905","4,443",9,11,1/222,"+1,615","5,294",22,25,1/113,"+2,408","7,431",35,27,1/120,-597,"1,745",6,2,1/218,"+3,108","8,949",45,26,1/126
2026-06-27,土,はい,-596,"7,046",23,17,1/176,-392,"5,487",16,19,1/157,-96,"2,112",8,3,1/192,"+1,697","7,079",28,28,1/126,"+1,095","8,150",30,30,1/136,"-1,497","4,144",10,7,1/244
2026-06-26,金,いいえ,+302,"4,398",21,5,1/169,+310,"3,459",16,7,1/150,"+1,700","9,277",36,39,1/124,+307,"5,022",18,14,1/157,"-1,092","2,398",5,4,1/266,-484,"7,228",22,22,1/164
2026-06-25,木,いいえ,-698,"3,727",11,10,1/177,"+1,401","8,456",35,32,1/126,-705,"2,466",7,4,1/224,+208,"2,478",13,3,1/155,+116,"2,162",9,3,1/180,+910,"6,470",28,22,1/129
2026-06-24,水,はい,-501,"5,465",18,11,1/188,-790,"4,582",16,8,1/191,-193,"5,446",20,15,1/156,"+1,609","8,160",36,26,1/132,-191,"3,359",12,8,1/168,-598,"5,334",17,15,1/167
2026-06-23,火,いいえ,+311,"4,460",16,13,1/154,-501,"2,995",11,6,1/176,-895,"5,952",17,19,1/165,-303,"5,057",19,9,1/181,"+1,610","5,164",24,19,1/120,+802,"7,742",34,19,1/146
2026-06-22,月,いいえ,-496,"1,082",3,1,1/271,-390,967,2,3,1/193,-300,"6,486",22,23,1/144,-498,480,0,1,1/480,-501,"1,295",3,3,1/216,-502,"1,899",6,3,1/211
2026-06-21,日,はい,"+2,615","8,111",39,27,1/123,+112,"2,671",9,9,1/148,-198,"1,217",5,1,1/203,-595,"1,038",1,3,1/260,+0,"4,161",17,9,1/160,-297,"2,282",9,4,1/176
2026-06-20,土,いいえ,-305,878,3,1,1/220,+800,"5,627",20,22,1/134,-392,745,1,1,1/373,-194,"1,167",4,2,1/195,-595,"1,292",4,0,1/323,"+1,016","4,845",21,12,1/147
2026-06-19,金,いいえ,+203,"2,536",9,11,1/127,-197,717,2,2,1/179,+110,"2,357",10,6,1/147,+602,"1,648",9,3,1/137,+915,"3,433",17,7,1/143,-394,965,2,1,1/322
2026-06-18,木,いいえ,+902,"1,972",10,7,1/116,-194,"6,320",23,15,1/166,-305,343,0,0,-,+206,530,3,0,1/177,+404,"2,433",11,6,1/143,-394,626,1,0,1/626
2026-06-17,水,はい,+715,"3,336",16,10,1/128,-102,554,1,2,1/185,"-1,002","2,625",6,6,1/219,-197,"1,551",5,4,1/172,-391,805,2,0,1/403,-99,"1,517",5,4,1/169
2026-06-16,火,いいえ,"-1,992","2,272",2,4,1/379,-190,577,2,0,1/289,+409,"1,079",6,1,1/154,-497,"1,273",3,2,1/255,-190,905,3,1,1/226,-396,"2,486",5,11,1/155
2026-06-15,月,いいえ,+0,"2,097",8,4,1/175,-296,464,1,0,1/464,+109,"6,032",22,18,1/151,+0,"1,362",5,4,1/151,-594,"3,511",12,10,1/160,+602,"5,218",23,12,1/149
2026-06-14,日,はい,-399,"3,788",11,11,1/172,+302,"7,850",28,26,1/145,+110,"1,890",8,3,1/172,-297,"1,493",6,1,1/213,-898,"5,085",16,14,1/170,-304,"2,925",11,5,1/183
2026-06-13,土,いいえ,-500,"2,817",12,2,1/201,+0,"3,975",16,9,1/159,-502,554,0,2,1/277,"+6,829","8,173",50,40,1/91,-592,"1,734",4,3,1/248,-299,"3,111",10,8,1/173
2026-06-12,金,いいえ,-795,"1,411",4,0,1/353,-396,"2,690",10,7,1/158,+311,"1,734",8,5,1/133,+309,"4,712",18,12,1/157,"+1,203","5,722",25,18,1/133,-195,924,2,2,1/231
2026-06-11,木,はい,"-1,196","3,959",11,9,1/198,"+1,400","2,400",16,2,1/133,+314,"2,008",8,6,1/143,-596,703,1,0,1/703,-901,"5,182",13,19,1/162,"-1,297","3,454",7,12,1/182
2026-06-10,水,いいえ,-394,471,0,1,1/471,-505,555,1,0,1/555,"+1,397","5,508",24,19,1/128,-397,325,0,0,-,-700,"1,460",1,6,1/209,-190,"3,897",14,10,1/162
2026-06-09,火,いいえ,-190,"4,016",14,12,1/154,"-1,392","4,515",13,8,1/215,-499,"1,090",3,1,1/273,+904,"3,854",17,12,1/133,+208,"3,760",14,12,1/145,-390,"4,219",16,9,1/169
2026-06-07,日,はい,"+3,502","8,730",40,35,1/116,-305,401,0,1,1/401,-698,"2,083",4,7,1/189,+305,"6,012",26,15,1/147,-994,"1,925",4,5,1/214,-591,"2,706",9,5,1/193
2026-06-06,土,いいえ,-301,"3,917",15,3,1/218,-504,998,2,1,1/333,"+1,805","6,119",33,13,1/133,-103,859,2,2,1/215,"+1,019","5,887",28,13,1/144,-297,"1,674",6,2,1/209
2026-06-05,金,いいえ,-97,614,2,0,1/307,+601,"3,252",12,15,1/120,-103,786,3,1,1/197,-399,"3,341",13,6,1/176,-392,717,2,0,1/359,-500,"1,682",5,3,1/210
2026-06-04,木,はい,-905,"1,188",2,2,1/297,"+2,408","7,583",34,29,1/120,-105,"4,922",20,11,1/159,-390,"1,963",6,3,1/218,-596,"2,369",8,1,1/263,+115,"7,144",32,10,1/170
2026-06-03,水,いいえ,-105,"2,595",8,9,1/153,+603,"1,793",8,6,1/128,"-1,387","2,839",8,3,1/258,+0,976,5,0,1/195,-702,"2,036",4,8,1/170,-302,576,1,1,1/288
2026-06-02,火,いいえ,+109,"2,877",12,4,1/180,+0,0,0,0,-,-191,"2,677",10,7,1/157,+108,"3,110",13,7,1/156,-299,"1,138",4,1,1/228,-395,911,2,1,1/304
2026-06-01,月,はい,-391,"2,135",8,2,1/214,"+3,503","7,948",38,36,1/107,-305,"3,295",10,10,1/165,"+1,813","4,118",24,12,1/114,"-1,305","1,385",1,2,1/462,"+1,607","7,336",32,26,1/126
2026-05-31,日,はい,-599,"6,053",20,17,1/164,-502,"4,355",14,12,1/168,-497,"4,899",16,15,1/158,-596,"2,691",8,5,1/207,+606,"5,966",24,18,1/142,"+2,707","9,076",43,30,1/124
