日付,曜日,特定日,1226番台,,,,,,,1227番台,,,,,,,1228番台,,,,,,,1229番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-07-03,金,いいえ,"-1,070","3,590",8,14,1/163.2,74,34.0,-948,"1,541",1,7,1/192.6,40,3.0,-59,"3,548",12,14,1/136.5,37,4.0,-124,103,0,0,1/0.0,33,-
2026-07-02,木,いいえ,-101,"2,342",5,13,1/130,56,10.0,-192,876,3,1,1/219,30,6.0,+0,901,4,1,1/180,46,16.0,+605,846,6,0,1/141,24,-
2026-07-01,水,はい,-505,706,1,1,1/353,56,28.0,"+1,403","4,422",23,11,1/130,16,-,-591,"2,074",5,7,1/173,56,28.0,-190,"1,504",6,3,1/167,28,12.0
2026-06-30,火,いいえ,-903,"1,608",4,1,1/322,39,7.0,-792,740,1,0,1/740,23,-,+403,"1,481",9,1,1/148,55,16.0,+210,481,2,2,1/120,32,9.0
2026-06-29,月,いいえ,-299,"1,334",4,3,1/191,18,7.0,-303,311,0,0,-,11,-,-297,451,1,0,1/451,69,21.0,-303,811,2,1,1/270,48,30.0
2026-06-28,日,いいえ,+0,"1,673",6,4,1/167,10,4.0,+0,"2,612",9,8,1/154,6,-,-501,"2,384",7,5,1/199,69,43.0,-398,"2,577",11,6,1/152,26,16.0
2026-06-27,土,はい,-393,698,1,1,1/349,15,2.0,-699,"2,581",9,3,1/215,10,-,-396,"2,938",10,6,1/184,65,50.0,-896,"2,103",5,3,1/263,13,3.0
2026-06-26,金,いいえ,+0,"4,473",18,13,1/144,15,11.0,-196,936,2,3,1/187,4,1.0,"-1,088","1,430",1,3,1/358,64,49.0,+0,353,2,0,1/177,3,-
2026-06-25,木,いいえ,-97,392,1,0,1/392,13,5.0,+197,"4,653",17,20,1/126,2,-,-305,"3,328",8,17,1/133,30,17.0,+512,744,5,0,1/149,8,6.0
2026-06-24,水,はい,+309,"2,290",9,7,1/143,3,-,"+1,207","5,928",29,12,1/145,3,-,-596,"3,246",12,7,1/171,27,14.0,-592,844,1,2,1/281,13,10.0
2026-06-23,火,いいえ,+209,"2,698",11,9,1/135,8,-,+707,"2,487",14,3,1/146,13,5.0,+605,"3,253",14,8,1/148,25,12.0,-196,296,0,0,-,8,-
2026-06-22,月,いいえ,+404,"1,962",9,5,1/140,8,2.0,+711,"1,378",7,6,1/106,12,4.0,-394,"2,942",7,12,1/155,52,40.0,"+1,008","2,582",13,9,1/117,6,-
2026-06-21,日,はい,-298,"4,667",15,14,1/161,14,4.0,"+1,611","4,040",21,12,1/122,17,3.0,-590,"1,141",2,3,1/228,32,15.0,"+1,014","3,453",15,14,1/119,10,-
2026-06-20,土,いいえ,-497,331,0,0,-,3,-,-394,482,1,0,1/482,51,20.0,-105,279,0,2,1/140,31,15.0,"+4,313","6,929",38,27,1/107,16,13.0
2026-06-19,金,いいえ,+509,"2,873",13,8,1/137,2,-,-198,339,1,0,1/339,46,2.0,+714,"1,809",10,3,1/139,44,42.0,-98,143,0,0,-,51,5.0
