日付,曜日,特定日,2301番台,,,,,,2302番台,,,,,,2303番台,,,,,,2304番台,,,,,,2305番台,,,,,,2306番台,,,,,,2307番台,,,,,,2308番台,,,,,,2309番台,,,,,,2310番台,,,,,,2311番台,,,,,,2312番台,,,,,,2313番台,,,,,,2314番台,,,,,,2315番台,,,,,,2316番台,,,,,,2317番台,,,,,,2318番台,,,,,,2319番台,,,,,,2320番台,,,,,,2321番台,,,,,,2322番台,,,,,,2323番台,,,,,,2324番台,,,,,,2325番台,,,,,,2326番台,,,,,,2327番台,,,,,,2328番台,,,,,,2329番台,,,,,,2330番台,,,,,,2331番台,,,,,,2332番台,,,,,,2333番台,,,,,,2334番台,,,,,,2335番台,,,,,,2336番台,,,,,,2337番台,,,,,,2338番台,,,,,,2339番台,,,,,,2340番台,,,,,,2501番台,,,,,,2502番台,,,,,,2503番台,,,,,,2504番台,,,,,,2505番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-06-25,木,いいえ,+601,"5,799",21,22,1/135,4.46,+204,"8,169",26,33,1/138,4.86,+799,"6,654",28,18,1/145,2.96,+195,"6,718",25,23,1/140,4.06,"+1,420","8,295",35,28,1/132,4.16,-398,"5,963",20,15,1/170,2.57,-504,"5,435",20,13,1/165,2.52,-697,"5,671",19,12,1/183,2.14,"-1,090","4,846",13,16,1/167,3.62,+908,"7,303",30,24,1/135,3.95,+495,"7,620",25,33,1/131,5.07,+707,"6,445",24,26,1/129,4.79,+609,"6,887",29,20,1/141,3.29,"+3,590","6,873",38,25,1/109,4.68,"-1,392","2,349",4,6,1/235,2.94,"+2,098","7,269",33,28,1/119,4.80,"-1,808","5,439",15,12,1/201,2.19,-898,"3,547",13,5,1/197,2.01,-795,"6,727",21,22,1/156,3.68,"+1,010","8,330",29,41,1/119,5.37,+716,"7,595",31,22,1/143,3.23,"+3,509","8,027",39,31,1/115,4.91,-296,"4,264",13,16,1/147,4.17,+509,"5,440",23,12,1/155,2.38,"-1,393","5,676",13,18,1/183,3.36,+109,"6,315",23,19,1/150,3.36,-502,"5,002",16,13,1/172,2.76,"+1,703","6,392",26,23,1/130,4.35,"-1,092","3,760",11,9,1/188,2.66,"-1,296","5,053",14,11,1/202,2.22,0,"6,770",24,23,1/144,3.98,"-1,002","5,944",18,19,1/161,3.54,-703,"6,156",21,15,1/171,2.46,"-1,492","5,881",19,7,1/226,1.50,-895,"5,660",18,12,1/189,2.13,-702,"6,480",23,19,1/154,3.21,-796,"7,060",22,23,1/157,3.66,+514,"8,194",27,37,1/128,5.21,-396,"5,648",20,18,1/149,3.62,"-2,296","4,939",8,18,1/190,3.88,-500,"3,611",10,11,1/172,3.34,"-1,196","7,006",19,29,1/146,4.80,"+2,405","7,815",34,37,1/110,5.35,-102,"2,681",9,6,1/179,2.78,"-1,491","4,383",13,7,1/219,1.90
2026-06-24,水,いいえ,"-1,304","5,839",17,14,1/188,2.37,-595,"6,365",23,11,1/187,1.75,-497,"4,919",15,14,1/170,3.06,"+2,809","6,983",36,24,1/116,4.38,"+1,609","4,556",26,7,1/138,2.05,+314,"6,260",23,19,1/149,3.41,-792,"4,283",14,10,1/178,2.56,+401,"6,591",29,17,1/143,2.80,-795,"6,065",18,17,1/173,2.91,"-1,191","4,643",15,10,1/186,2.31,"+1,509","7,334",31,29,1/122,4.86,-100,"5,579",18,16,1/164,3.08,0,"5,583",21,14,1/160,2.67,0,"4,003",13,11,1/167,3.04,"+2,708","7,897",38,27,1/121,4.34,-296,"6,873",23,24,1/146,4.09,+403,"5,544",22,19,1/135,4.04,"+1,397","7,913",32,27,1/134,4.17,"+1,608","8,058",34,31,1/124,4.81,"-2,485","5,192",10,12,1/236,2.24,+115,"6,906",22,22,1/157,3.55,"-1,693","5,857",16,14,1/195,2.33,-196,"5,643",21,12,1/171,2.20,+195,"5,903",21,23,1/134,4.57,"-1,296","6,250",17,21,1/164,3.73,-701,"6,728",23,19,1/160,2.99,-498,"4,153",15,9,1/173,2.45,-198,"5,947",22,14,1/165,2.42,+204,"7,256",24,31,1/132,5.00,"-1,198","3,367",11,4,1/224,1.90,"-1,389","4,904",15,10,1/196,2.15,+312,"7,740",28,27,1/141,4.19,"+1,807","6,438",29,21,1/129,3.96,-391,"6,061",21,19,1/152,3.53,"+2,009","7,047",36,16,1/136,2.43,"-1,898","3,222",5,8,1/248,2.69,"+1,701","7,858",32,32,1/123,4.99,+406,"5,577",23,14,1/151,2.73,-192,"6,491",21,18,1/166,2.88,"-1,089","3,741",12,4,1/234,1.76,+209,"5,659",22,14,1/157,2.63,-705,"4,520",11,18,1/156,4.35,+905,"5,235",23,14,1/141,3.03,"+1,613","6,003",29,15,1/136,2.80,+514,"3,845",16,11,1/142,3.31
2026-06-23,火,いいえ,"+1,002","7,178",25,35,1/120,5.30,"-1,390","4,678",12,13,1/187,2.92,-796,"4,381",14,10,1/183,2.48,"+2,899","7,094",36,23,1/120,4.08,"+1,507","6,949",31,18,1/142,2.81,"+1,909","7,132",29,30,1/121,5.03,"+2,308","6,028",29,26,1/110,5.07,"+1,099","6,940",27,26,1/131,4.55,"+2,807","5,962",32,21,1/112,4.44,"+1,296","8,235",33,30,1/131,4.53,"+2,613","7,249",34,31,1/112,5.14,-303,"6,022",18,28,1/131,5.09,-104,"4,645",18,13,1/150,3.15,"+3,501","7,801",39,33,1/108,5.19,"-1,386","5,649",16,15,1/182,2.71,-703,"3,462",12,8,1/173,2.70,+405,"5,746",25,10,1/164,1.90,"+4,416","6,622",39,24,1/105,4.70,"-1,299","5,279",14,18,1/165,3.77,+707,"7,800",27,32,1/132,4.93,"-1,088","3,317",10,3,1/255,1.77,"-1,692","7,354",15,37,1/141,5.27,"+2,008","7,764",28,41,1/113,5.42,-298,"5,885",20,20,1/147,3.91,+308,"5,861",23,17,1/147,3.25,-595,"5,105",15,20,1/146,4.42,-999,"7,324",21,30,1/144,4.80,"+2,804","5,311",27,21,1/111,4.76,"+1,404","6,710",28,28,1/120,4.98,"+2,009","6,611",32,21,1/125,3.90,"+1,916","6,026",30,19,1/123,3.87,"-1,004","4,334",12,12,1/181,2.97,"+1,508","6,554",27,27,1/121,4.92,"+2,213","6,157",31,21,1/118,4.26,"+1,204","7,374",32,24,1/132,3.95,"+1,818","7,746",31,32,1/123,5.02,0,"5,646",18,21,1/145,4.29,-599,"4,306",13,18,1/139,4.57,-794,"7,296",21,30,1/143,4.82,"+2,615","7,858",37,26,1/125,4.14,-195,"3,982",15,11,1/153,3.14,"-1,194","2,918",5,10,1/195,3.58,+116,"5,562",18,19,1/150,3.89,-100,"5,089",19,13,1/159,2.77,"-1,088","2,995",8,6,1/214,2.47
2026-06-22,月,はい,"-1,084","4,663",14,11,1/187,2.49,+796,"7,981",30,32,1/129,4.90,"+2,613","8,964",38,39,1/116,5.26,"-1,498","6,638",20,19,1/170,2.97,"+1,103","6,752",28,25,1/127,4.53,-590,"7,832",27,24,1/154,3.39,"+1,703","8,396",36,27,1/133,3.90,"+1,102","8,314",31,34,1/128,4.99,+308,"8,096",29,30,1/137,4.52,+402,"7,514",28,23,1/147,3.46,+707,"7,856",30,23,1/148,3.22,"+3,422","9,254",38,50,1/105,5.48,"+2,402","7,973",37,34,1/112,5.19,-192,"7,752",21,38,1/131,5.29,+409,"7,658",31,24,1/139,3.67,"+1,614","8,120",36,26,1/131,3.90,-594,"7,201",27,20,1/153,2.96,+110,"7,663",26,26,1/147,3.97,"+2,495","7,776",33,40,1/107,5.43,+513,"7,416",24,37,1/122,5.33,"+2,916","7,311",33,38,1/103,5.43,+315,"6,732",28,16,1/153,2.44,+601,"7,611",32,16,1/159,2.02,+208,"8,125",30,28,1/140,4.15,"-1,691","7,112",20,18,1/187,2.40,0,"7,865",29,25,1/146,3.67,"+1,509","7,929",30,38,1/117,5.34,-898,"7,107",22,19,1/173,2.66,+610,"8,664",30,37,1/129,5.12,"+2,715","8,609",36,48,1/102,5.48,-500,"7,080",25,16,1/173,2.16,+605,"6,501",26,17,1/151,2.78,+609,"8,029",30,28,1/138,4.23,-896,"5,770",18,15,1/175,2.67,+714,"6,964",28,20,1/145,3.19,"+1,008","8,095",29,35,1/126,5.13,"+7,021","8,575",52,44,1/89,5.53,"+3,090","7,249",37,24,1/119,4.20,-996,"6,489",23,14,1/175,2.11,-795,"7,842",24,28,1/151,4.20,"+1,698","8,321",36,31,1/124,4.70,-595,"5,898",20,17,1/159,3.12,+607,"7,824",28,33,1/128,5.04,+311,"8,806",30,33,1/140,4.59,-293,"6,707",24,24,1/140,4.26
2026-06-21,日,はい,"+2,503","7,829",32,42,1/106,5.45,-190,"7,857",29,19,1/164,2.32,+407,"7,323",27,24,1/144,3.83,"+1,510","8,241",38,24,1/133,3.39,+409,"8,848",29,42,1/125,5.33,"+1,912","6,747",30,26,1/120,4.74,"+2,004","6,803",30,31,1/112,5.23,"+1,612","7,868",35,27,1/127,4.29,"-3,196","7,227",16,13,1/249,1.62,"+1,397","9,075",32,44,1/119,5.38,-396,"8,555",27,32,1/145,4.51,"-1,384","7,258",24,14,1/191,1.79,"+1,311","7,403",26,37,1/118,5.35,-894,"7,529",26,21,1/160,2.90,"+1,099","6,664",28,19,1/142,3.21,+906,"8,798",28,45,1/121,5.40,"+3,413","7,586",33,40,1/104,5.44,-599,"6,179",21,18,1/158,3.16,"+2,098","8,624",35,31,1/131,4.49,"+4,420","9,357",42,53,1/98,5.51,"+1,007","8,544",31,34,1/131,4.89,"+3,297","7,642",36,27,1/121,4.47,+602,"8,046",31,26,1/141,3.81,+107,"8,713",34,24,1/150,2.88,+806,"5,246",21,17,1/138,3.78,+602,"7,993",36,19,1/145,2.40,"+2,312","7,731",35,27,1/125,4.39,"+1,701","7,836",32,32,1/122,4.99,-305,"7,163",26,20,1/156,2.96,"-2,300","7,399",21,18,1/190,2.25,"+1,402","8,798",32,40,1/122,5.29,"+2,500","8,557",41,21,1/138,2.55,"+1,702","8,058",28,44,1/112,5.44,"+1,313","7,779",30,29,1/132,4.59,-192,"7,579",25,27,1/146,4.23,"-1,599","6,087",15,21,1/169,3.81,"-1,793","4,354",11,12,1/189,2.92,-195,"6,083",22,18,1/152,3.28,+601,"6,543",28,19,1/139,3.32,-893,"7,009",22,26,1/146,4.37,+109,"7,259",29,18,1/154,2.52,"+4,416","9,051",42,44,1/105,5.44,+307,"7,410",29,21,1/148,3.09,+316,"5,550",20,18,1/146,3.71,0,"6,926",24,25,1/141,4.29
2026-06-20,土,いいえ,"-1,389","6,694",20,16,1/186,2.28,"-1,690","5,626",16,11,1/208,1.95,"+1,099","7,806",32,28,1/130,4.44,-794,"6,126",19,19,1/161,3.40,-303,"7,329",27,23,1/147,3.59,"-1,001","5,901",20,15,1/169,2.62,+607,"6,070",25,17,1/145,3.13,"-1,004","8,046",24,28,1/155,4.04,"+1,314","7,351",34,17,1/144,2.37,+806,"7,109",27,28,1/129,4.76,"-1,995","6,064",15,21,1/168,3.84,-785,"6,866",20,25,1/153,4.22,+107,"7,303",26,28,1/135,4.63,-701,"7,758",28,16,1/176,1.89,+496,"7,617",33,13,1/166,1.68,+512,"7,091",27,24,1/139,4.03,+315,"7,154",28,19,1/152,2.79,+209,"5,781",25,9,1/170,1.76,-794,"6,889",21,22,1/160,3.54,"-1,384","7,067",21,21,1/168,3.13,+312,"5,856",23,16,1/150,2.99,"-1,688","6,260",17,17,1/184,2.72,"+1,015","7,156",32,16,1/149,2.26,"-1,190","8,219",23,32,1/149,4.63,"+1,099","7,359",32,20,1/142,2.98,+904,"7,767",27,34,1/127,5.13,"+2,808","8,089",41,22,1/128,3.13,+407,"8,036",30,26,1/144,3.78,-899,"7,888",22,29,1/155,4.31,"-2,398","8,714",26,21,1/185,2.13,"+2,095","6,182",29,19,1/129,3.69,-305,"6,043",23,11,1/178,1.88,-795,"6,785",20,22,1/162,3.60,"+1,008","7,726",32,20,1/149,2.69,"-1,005","7,364",24,18,1/175,2.33,-596,"5,451",19,10,1/188,1.93,"-1,393","5,807",16,17,1/176,3.07,"-2,209","5,437",11,19,1/181,3.78,"+1,816","6,976",32,20,1/134,3.31,-904,"6,123",21,9,1/204,1.61,-999,"7,030",20,28,1/146,4.66,"-1,194","5,166",18,9,1/191,1.91,-701,"5,309",17,16,1/161,3.30,+404,"5,204",19,17,1/145,3.75,-96,"7,523",26,25,1/148,3.86
2026-06-19,金,いいえ,-701,"4,192",13,10,1/182,2.60,+609,"7,362",28,22,1/147,3.34,-799,"3,000",9,5,1/214,2.26,"+1,015","6,666",28,17,1/148,2.71,-797,"1,726",4,5,1/192,3.30,+309,"5,144",20,15,1/147,3.29,+501,"7,828",25,37,1/126,5.27,0,"7,504",27,25,1/144,3.91,"-1,596","3,008",5,6,1/273,2.37,+115,"5,322",20,12,1/166,2.38,+509,"5,282",23,14,1/143,2.99,+112,"6,540",22,22,1/149,3.88,-700,"6,178",18,18,1/172,3.06,"+1,009","5,691",25,18,1/132,3.75,-190,"6,106",21,18,1/157,3.22,"-1,596","7,415",23,17,1/185,2.11,-305,"4,211",14,11,1/168,2.88,+198,"5,707",20,21,1/139,4.30,"+1,915","8,113",33,31,1/127,4.76,+909,"7,338",32,17,1/150,2.34,"+1,013","6,735",29,19,1/140,3.17,+401,"7,546",28,28,1/135,4.52,"+1,400","6,925",29,26,1/126,4.61,+210,"4,026",16,10,1/155,2.85,-904,"3,580",9,10,1/188,3.04,-199,"6,036",22,18,1/151,3.32,-901,"5,067",15,12,1/188,2.44,+407,"5,308",22,16,1/140,3.48,"-1,493","2,831",6,7,1/218,2.82,-790,"6,408",23,18,1/156,3.02,"-1,002","3,212",8,9,1/189,3.08,-797,"5,706",18,17,1/163,3.23,"-1,191","4,428",14,9,1/193,2.23,"-1,087","4,547",13,14,1/168,3.36,"+1,210","6,139",26,21,1/131,4.12,"+1,107","6,806",32,18,1/136,2.96,"+2,004","6,035",29,20,1/123,4.07,+312,"6,474",24,23,1/138,4.23,-598,"4,808",16,12,1/172,2.67,"+1,601","7,445",31,26,1/131,4.29,"+1,009","5,014",23,16,1/129,3.80,"-1,799","6,070",15,20,1/173,3.58,-697,"1,711",4,5,1/190,3.32,"+1,399","5,266",21,22,1/122,4.81,-904,"2,484",6,6,1/207,2.87
2026-06-18,木,いいえ,+401,"4,754",19,15,1/140,3.64,-390,"4,699",16,14,1/157,3.31,"-1,003","4,796",14,15,1/165,3.42,-100,"4,812",19,12,1/155,2.76,"+1,908","6,162",30,17,1/131,3.21,-198,"4,775",16,15,1/154,3.52,"+3,597","6,567",35,29,1/103,5.21,"-1,093","8,273",23,32,1/150,4.60,+109,"5,311",19,18,1/144,3.91,+507,"6,784",29,16,1/151,2.43,-792,"4,820",15,12,1/179,2.63,+195,"7,230",28,18,1/157,2.51,0,"6,064",22,17,1/155,3.03,-897,"6,581",21,16,1/178,2.37,+502,"5,302",20,18,1/140,3.95,-302,"3,638",14,6,1/182,2.15,-998,"6,418",21,20,1/157,3.46,-98,"5,157",19,14,1/156,2.97,+711,"5,328",23,14,1/144,2.95,"-2,092","3,659",6,7,1/281,2.16,+908,"6,654",29,20,1/136,3.51,+797,"5,434",19,20,1/139,4.28,+713,"5,358",19,20,1/137,4.34,-795,"4,631",14,13,1/172,3.03,-398,"5,498",19,15,1/162,2.93,0,"9,495",37,22,1/161,2.10,"-1,085","5,153",14,18,1/161,3.89,+608,"8,222",29,30,1/139,4.44,"-1,392","2,838",5,8,1/218,3.06,+111,"6,960",27,19,1/151,2.92,"+2,217","7,943",39,22,1/130,3.19,-898,"6,714",17,31,1/140,5.10,-401,"6,063",22,16,1/160,2.78,+906,"6,305",27,20,1/134,3.76,"+1,010","5,472",25,14,1/140,2.88,"+1,999","5,535",29,14,1/129,2.96,-193,"4,598",16,12,1/164,2.86,-496,"4,249",15,12,1/157,3.16,-103,"4,052",16,8,1/169,2.33,+407,"5,659",22,17,1/145,3.41,+116,"4,636",18,10,1/166,2.39,-592,"2,657",9,3,1/221,2.09,-196,"1,495",5,2,1/214,2.66,0,"5,681",23,12,1/162,2.22,+606,"2,368",11,8,1/125,3.80
2026-06-17,水,はい,"+3,804","7,299",38,27,1/112,4.74,"-1,390","5,566",16,15,1/180,2.77,-997,"4,873",15,14,1/168,3.11,"+1,501","7,343",28,30,1/127,4.92,-892,"5,102",13,18,1/165,3.90,-597,"5,549",18,18,1/154,3.65,-398,"5,781",20,15,1/165,2.71,-496,"5,701",21,9,1/190,1.74,+408,"5,808",20,23,1/135,4.61,-103,"6,659",23,21,1/151,3.56,"+1,509","6,270",28,21,1/128,4.07,+806,"5,064",21,17,1/133,3.95,-703,"5,048",14,18,1/158,3.98,+407,"7,227",29,20,1/147,3.00,-487,"4,495",14,13,1/166,3.16,"+2,900","6,038",34,18,1/116,3.73,-296,"6,338",20,23,1/147,4.22,"-1,195","4,169",11,11,1/190,2.82,"-1,605","7,039",21,19,1/176,2.68,"+1,508","5,654",28,13,1/138,2.58,"-1,598","5,541",15,12,1/205,2.13,"+1,310","6,068",28,18,1/132,3.50,-104,"6,049",20,23,1/141,4.44,-391,"5,526",20,14,1/163,2.68,+605,"6,263",25,19,1/142,3.47,-798,"4,197",12,8,1/210,2.14,"-1,389","6,810",18,22,1/170,3.51,+510,"7,203",24,30,1/133,4.92,"+3,415","6,236",36,19,1/113,3.87,-904,"5,952",20,16,1/165,2.82,-785,"6,218",22,12,1/183,1.92,"+1,007","6,440",25,23,1/134,4.29,"+2,221","6,760",32,21,1/128,3.76,"-1,090","6,395",21,19,1/160,3.22,"+1,015","5,201",25,8,1/158,1.86,-399,"5,118",16,19,1/146,4.22,"+2,097","6,190",31,16,1/132,2.96,0,"6,413",23,23,1/139,4.25,-592,"6,652",22,18,1/166,2.78,+909,"7,218",31,22,1/136,3.57,-702,"5,098",18,12,1/170,2.50,+909,"7,242",28,25,1/137,4.16,+114,"3,214",14,6,1/161,2.46,-199,"5,551",21,11,1/173,2.08,"+2,495","6,935",32,31,1/110,5.21
2026-06-16,火,いいえ,+713,"6,407",25,27,1/123,4.95,+609,"6,470",25,25,1/129,4.64,"+1,609","7,042",31,26,1/124,4.58,+907,"6,066",26,18,1/138,3.43,-296,"5,414",20,10,1/180,1.97,+207,"6,052",23,16,1/155,2.82,"-1,387","4,297",10,11,1/205,2.68,+804,"5,620",20,23,1/131,4.73,"+2,807","7,799",34,32,1/118,5.04,"+2,499","6,500",33,26,1/110,4.93,"+2,799","6,778",35,22,1/119,4.08,"-1,088","4,738",13,15,1/169,3.45,"+1,010","4,320",21,10,1/139,2.74,"-2,298","4,847",8,14,1/220,2.90,"+1,103","5,835",26,17,1/136,3.38,"+1,100","5,569",24,17,1/136,3.57,-197,"4,116",15,6,1/196,1.91,"+1,209","6,353",29,19,1/132,3.53,+803,"6,537",28,18,1/142,3.06,"+1,011","8,167",34,29,1/130,4.42,-594,"7,211",19,32,1/141,5.04,+711,"7,761",31,28,1/132,4.45,"+1,095","6,860",25,31,1/123,5.15,-702,"6,038",19,18,1/163,3.22,+910,"8,192",31,34,1/126,5.04,"+1,309","5,098",24,12,1/142,2.67,"+1,399","7,269",32,24,1/130,4.04,"-1,296","4,381",12,10,1/199,2.43,"+2,709","7,391",35,28,1/117,4.77,-598,"5,303",17,16,1/161,3.31,"+1,501","8,838",31,42,1/121,5.35,+796,"6,165",23,27,1/123,5.02,+201,"5,374",20,16,1/149,3.34,"+1,098","7,658",29,33,1/124,5.11,-795,"6,522",18,23,1/159,4.01,"+3,416","6,160",34,23,1/108,4.71,-999,"5,071",16,12,1/181,2.46,-593,"5,251",19,9,1/188,1.88,"-1,598","6,248",18,18,1/174,3.00,-703,"6,974",20,27,1/148,4.53,+709,"4,848",22,13,1/139,3.09,-293,"4,261",13,15,1/152,3.92,"+1,697","5,411",27,17,1/123,3.82,-998,"3,523",7,12,1/185,3.61,-486,"6,017",19,21,1/150,4.01
